,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-04-03 00:00:00,1.5,1.7,1.22,1.69,134135,2012
1,2012-04-04 00:00:00,1.77,1.95,1.47,1.54,20707,2012
2,2012-04-05 00:00:00,1.52,1.54,1.39,1.54,10186,2012
3,2012-04-10 00:00:00,1.54,1.65,1.53,1.56,3977,2012
4,2012-04-11 00:00:00,1.56,1.65,1.56,1.57,2330,2012
5,2012-04-12 00:00:00,1.65,1.65,1.54,1.64,6070,2012
6,2012-04-13 00:00:00,1.64,1.74,1.64,1.74,820,2012
7,2012-04-16 00:00:00,1.74,1.75,1.74,1.75,1070,2012
8,2012-04-17 00:00:00,1.7,1.7,1.7,1.7,768,2012
9,2012-04-18 00:00:00,1.75,1.75,1.74,1.75,340,2012
10,2012-04-19 00:00:00,1.75,1.75,1.65,1.73,1560,2012
11,2012-04-20 00:00:00,1.64,1.7,1.63,1.7,1158,2012
12,2012-04-23 00:00:00,1.71,1.71,1.62,1.7,770,2012
13,2012-04-24 00:00:00,1.7,1.7,1.7,1.7,20,2012
14,2012-04-25 00:00:00,1.69,1.69,1.69,1.69,20,2012
15,2012-04-26 00:00:00,1.69,1.69,1.6,1.6,430,2012
16,2012-04-27 00:00:00,1.64,1.64,1.64,1.64,300,2012
17,2012-04-30 00:00:00,1.65,1.65,1.65,1.65,20,2012
18,2012-05-02 00:00:00,1.65,1.65,1.64,1.64,120,2012
19,2012-05-04 00:00:00,1.65,1.7,1.65,1.7,300,2012
20,2012-05-07 00:00:00,1.7,1.7,1.7,1.7,50,2012
21,2012-05-08 00:00:00,1.7,1.7,1.7,1.7,58,2012
22,2012-05-10 00:00:00,1.75,1.75,1.75,1.75,100,2012
23,2012-05-11 00:00:00,1.75,1.75,1.75,1.75,200,2012
24,2012-05-14 00:00:00,1.75,1.85,1.75,1.85,2000,2012
25,2012-05-15 00:00:00,1.85,1.85,1.85,1.85,30,2012
26,2012-05-16 00:00:00,1.85,1.85,1.76,1.76,1700,2012
27,2012-05-17 00:00:00,1.85,1.85,1.85,1.85,150,2012
28,2012-05-18 00:00:00,1.76,1.8,1.76,1.8,2050,2012
29,2012-05-21 00:00:00,1.8,1.8,1.8,1.8,100,2012
30,2012-05-23 00:00:00,1.8,1.8,1.8,1.8,10,2012
31,2012-05-24 00:00:00,1.71,1.71,1.66,1.71,3290,2012
32,2012-05-25 00:00:00,1.71,1.71,1.71,1.71,10,2012
33,2012-05-28 00:00:00,1.71,1.95,1.71,1.95,2440,2012
34,2012-05-29 00:00:00,1.96,1.99,1.96,1.99,230,2012
35,2012-05-30 00:00:00,2.0,2.0,2.0,2.0,170,2012
36,2012-06-01 00:00:00,2.05,2.06,2.05,2.06,1000,2012
37,2012-06-12 00:00:00,2.08,2.08,1.8,1.8,170,2012
38,2012-06-13 00:00:00,1.75,1.75,1.75,1.75,1330,2012
39,2012-06-29 00:00:00,1.75,2.1,1.75,2.1,1037,2012
40,2012-07-02 00:00:00,2.02,2.3,1.8,2.3,1812,2012
41,2012-07-03 00:00:00,2.14,2.14,2.06,2.06,800,2012
42,2012-07-05 00:00:00,2.1,2.3,2.1,2.3,1303,2012
43,2012-07-06 00:00:00,2.22,2.22,2.22,2.22,700,2012
44,2012-07-09 00:00:00,2.25,2.6,2.0,2.0,1853,2012
45,2012-07-10 00:00:00,2.0,2.0,2.0,2.0,50,2012
46,2012-07-11 00:00:00,2.0,2.0,2.0,2.0,20,2012
47,2012-07-13 00:00:00,2.0,2.0,2.0,2.0,25,2012
48,2012-07-17 00:00:00,2.0,2.05,2.0,2.05,40,2012
49,2012-07-18 00:00:00,2.1,2.12,2.1,2.12,52,2012
50,2012-07-23 00:00:00,2.04,2.04,1.75,1.95,1735,2012
51,2012-07-26 00:00:00,1.93,1.93,1.93,1.93,10,2012
52,2012-07-27 00:00:00,1.91,1.91,1.88,1.88,20,2012
53,2012-07-30 00:00:00,1.88,1.88,1.88,1.88,10,2012
54,2012-07-31 00:00:00,1.88,1.88,1.75,1.88,120,2012
55,2012-08-02 00:00:00,1.95,1.95,1.95,1.95,5,2012
56,2012-08-03 00:00:00,1.95,1.95,1.95,1.95,10,2012
57,2012-08-06 00:00:00,1.95,1.95,1.95,1.95,10,2012
58,2012-08-07 00:00:00,1.95,1.95,1.95,1.95,10,2012
59,2012-08-08 00:00:00,1.95,1.95,1.95,1.95,10,2012
60,2012-08-09 00:00:00,1.95,1.95,1.95,1.95,10,2012
