,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-11-28 00:00:00,0.83,0.83,0.764,0.764,15570,2012
1,2012-11-29 00:00:00,0.675,0.675,0.64,0.64,10520,2012
2,2012-11-30 00:00:00,0.642,0.642,0.512,0.512,7600,2012
3,2012-12-03 00:00:00,0.5589999999999999,0.5589999999999999,0.5589999999999999,0.5589999999999999,10,2012
4,2012-12-04 00:00:00,0.5479999999999999,0.62,0.5479999999999999,0.589,11460,2012
5,2012-12-05 00:00:00,0.5870000000000001,0.589,0.515,0.58,72890,2012
6,2012-12-06 00:00:00,0.588,0.588,0.588,0.588,10000,2012
7,2012-12-10 00:00:00,0.528,0.528,0.493,0.493,5800,2012
8,2012-12-12 00:00:00,0.528,0.528,0.528,0.528,2000,2012
9,2012-12-13 00:00:00,0.529,0.529,0.52,0.52,7800,2012
10,2012-12-14 00:00:00,0.523,0.523,0.523,0.523,3500,2012
11,2012-12-17 00:00:00,0.552,0.581,0.541,0.541,10200,2012
12,2012-12-18 00:00:00,0.545,0.57,0.545,0.555,18930,2012
13,2012-12-19 00:00:00,0.57,0.6,0.55,0.6,4030,2012
14,2012-12-27 00:00:00,0.585,0.623,0.585,0.623,2870,2012
15,2012-12-28 00:00:00,0.623,0.69,0.623,0.69,4710,2012
16,2013-01-02 00:00:00,0.66,0.66,0.66,0.66,2300,2013
17,2013-01-03 00:00:00,0.634,0.65,0.634,0.65,22500,2013
18,2013-01-04 00:00:00,0.649,0.649,0.649,0.649,1500,2013
19,2013-01-07 00:00:00,0.649,0.649,0.63,0.63,3900,2013
20,2013-01-08 00:00:00,0.63,0.63,0.63,0.63,1400,2013
21,2013-01-10 00:00:00,0.5920000000000001,0.5920000000000001,0.59,0.59,5000,2013
22,2013-01-14 00:00:00,0.551,0.551,0.551,0.551,600,2013
23,2013-01-15 00:00:00,0.551,0.551,0.551,0.551,3200,2013
24,2013-01-16 00:00:00,0.5529999999999999,0.5529999999999999,0.5529999999999999,0.5529999999999999,2730,2013
25,2013-01-18 00:00:00,0.591,0.65,0.591,0.65,12510,2013
26,2013-01-21 00:00:00,0.6,0.6,0.6,0.6,50,2013
27,2013-01-22 00:00:00,0.633,0.633,0.633,0.633,100,2013
28,2013-01-24 00:00:00,0.5920000000000001,0.5920000000000001,0.5710000000000001,0.5710000000000001,8190,2013
29,2013-01-31 00:00:00,0.62,0.62,0.62,0.62,420,2013
30,2013-02-01 00:00:00,0.617,0.65,0.617,0.65,7350,2013
31,2013-02-07 00:00:00,0.63,0.64,0.63,0.64,4030,2013
32,2013-02-14 00:00:00,0.64,0.64,0.565,0.565,11300,2013
33,2013-02-15 00:00:00,0.5720000000000001,0.5720000000000001,0.5720000000000001,0.5720000000000001,30,2013
34,2013-02-18 00:00:00,0.5720000000000001,0.599,0.5539999999999999,0.593,3950,2013
35,2013-02-19 00:00:00,0.594,0.617,0.574,0.617,5200,2013
36,2013-02-20 00:00:00,0.5770000000000001,0.64,0.551,0.602,14000,2013
37,2013-02-22 00:00:00,0.57,0.609,0.57,0.57,3050,2013
38,2013-02-25 00:00:00,0.6,0.6,0.555,0.555,5800,2013
39,2013-02-26 00:00:00,0.575,0.588,0.575,0.588,3280,2013
40,2013-02-28 00:00:00,0.55,0.55,0.55,0.55,1000,2013
41,2013-03-01 00:00:00,0.55,0.55,0.55,0.55,1000,2013
42,2013-03-04 00:00:00,0.55,0.55,0.55,0.55,1000,2013
43,2013-03-05 00:00:00,0.55,0.55,0.55,0.55,1000,2013
44,2013-03-06 00:00:00,0.55,0.573,0.5,0.573,15520,2013
45,2013-03-07 00:00:00,0.5,0.5,0.5,0.5,3000,2013
46,2013-03-08 00:00:00,0.535,0.535,0.535,0.535,4000,2013
47,2013-03-11 00:00:00,0.5,0.5,0.5,0.5,3000,2013
48,2013-03-26 00:00:00,0.499,0.523,0.48,0.523,6620,2013
49,2013-04-03 00:00:00,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,530,2013
50,2013-04-05 00:00:00,0.41100000000000003,0.523,0.41100000000000003,0.523,5660,2013
51,2013-04-11 00:00:00,0.48,0.513,0.48,0.513,3220,2013
52,2013-04-15 00:00:00,0.612,0.7340000000000001,0.612,0.725,1000,2013
53,2013-04-17 00:00:00,0.59,0.631,0.59,0.631,3100,2013
54,2013-04-19 00:00:00,0.6,0.6,0.53,0.58,20750,2013
55,2013-04-23 00:00:00,0.53,0.58,0.501,0.58,17270,2013
56,2013-04-25 00:00:00,0.515,0.551,0.47,0.551,3030,2013
57,2013-05-06 00:00:00,0.47,0.47,0.47,0.47,5230,2013
58,2013-05-07 00:00:00,0.46,0.5,0.4,0.5,115750,2013
59,2013-05-13 00:00:00,0.5,0.5,0.5,0.5,390,2013
60,2013-05-17 00:00:00,0.499,0.499,0.499,0.499,480,2013
61,2013-05-20 00:00:00,0.499,0.499,0.499,0.499,90,2013
62,2013-05-21 00:00:00,0.4,0.4,0.395,0.395,7650,2013
63,2013-05-22 00:00:00,0.41,0.462,0.41,0.462,11250,2013
64,2013-05-23 00:00:00,0.462,0.462,0.462,0.462,120,2013
65,2013-05-27 00:00:00,0.44,0.473,0.44,0.46799999999999997,26100,2013
66,2013-05-28 00:00:00,0.43799999999999994,0.446,0.423,0.425,16550,2013
67,2013-05-29 00:00:00,0.505,0.58,0.505,0.58,850,2013
68,2013-06-13 00:00:00,0.5,0.58,0.4,0.58,5150,2013
69,2013-06-18 00:00:00,0.5,0.535,0.4,0.535,22600,2013
70,2013-06-25 00:00:00,0.47,0.47,0.4,0.45799999999999996,15870,2013
71,2013-06-26 00:00:00,0.45799999999999996,0.502,0.45799999999999996,0.502,2800,2013
72,2013-06-27 00:00:00,0.461,0.502,0.461,0.502,800,2013
73,2013-07-02 00:00:00,0.6,0.6,0.6,0.6,100,2013
74,2013-07-05 00:00:00,0.48,0.48,0.39,0.4,39920,2013
75,2013-07-08 00:00:00,0.428,0.428,0.4,0.4,5350,2013
76,2013-07-09 00:00:00,0.4,0.428,0.4,0.428,11020,2013
77,2013-07-10 00:00:00,0.39,0.428,0.39,0.428,2100,2013
78,2013-07-11 00:00:00,0.38,0.428,0.38,0.4,1140,2013
79,2013-07-12 00:00:00,0.405,0.48100000000000004,0.405,0.46,12200,2013
80,2013-07-15 00:00:00,0.43,0.48100000000000004,0.43,0.48100000000000004,3760,2013
81,2013-07-16 00:00:00,0.48100000000000004,0.53,0.48100000000000004,0.53,670,2013
82,2013-07-17 00:00:00,0.435,0.435,0.435,0.435,1200,2013
83,2013-07-18 00:00:00,0.521,0.521,0.521,0.521,100,2013
84,2013-07-19 00:00:00,0.579,0.625,0.579,0.625,400,2013
85,2013-07-22 00:00:00,0.68,0.68,0.544,0.6779999999999999,1520,2013
86,2013-07-23 00:00:00,0.6,0.679,0.5,0.679,5700,2013
87,2013-07-24 00:00:00,0.62,0.675,0.5,0.675,4050,2013
88,2013-07-25 00:00:00,0.68,0.68,0.68,0.68,100,2013
89,2013-07-26 00:00:00,0.544,0.544,0.544,0.544,1000,2013
90,2013-07-29 00:00:00,0.649,0.669,0.649,0.669,100,2013
91,2013-07-30 00:00:00,0.68,0.68,0.436,0.44,9330,2013
92,2013-07-31 00:00:00,0.436,0.52,0.436,0.52,2050,2013
93,2013-08-01 00:00:00,0.436,0.52,0.436,0.52,8600,2013
94,2013-08-02 00:00:00,0.62,0.62,0.62,0.62,10,2013
95,2013-08-05 00:00:00,0.688,0.688,0.688,0.688,10,2013
96,2013-08-16 00:00:00,0.43,0.43,0.43,0.43,26750,2013
97,2013-08-19 00:00:00,0.43,0.49,0.4,0.484,36840,2013
98,2013-08-20 00:00:00,0.4,0.469,0.4,0.4,22350,2013
99,2013-08-21 00:00:00,0.449,0.449,0.449,0.449,50,2013
100,2013-08-22 00:00:00,0.46,0.46,0.45,0.45,1050,2013
101,2013-08-23 00:00:00,0.45799999999999996,0.45799999999999996,0.4,0.4,13000,2013
102,2013-08-26 00:00:00,0.4,0.4,0.4,0.4,2510,2013
103,2013-08-27 00:00:00,0.48,0.48,0.48,0.48,300,2013
104,2013-08-28 00:00:00,0.402,0.402,0.4,0.4,10800,2013
105,2013-08-29 00:00:00,0.48,0.48,0.4,0.48,4020,2013
106,2013-08-30 00:00:00,0.4,0.4,0.4,0.4,18510,2013
107,2013-09-02 00:00:00,0.48,0.48,0.45,0.48,4920,2013
108,2013-09-03 00:00:00,0.478,0.478,0.478,0.478,90,2013
109,2013-09-05 00:00:00,0.45,0.45,0.45,0.45,6060,2013
110,2013-09-06 00:00:00,0.48,0.5,0.48,0.5,6560,2013
111,2013-09-09 00:00:00,0.5,0.5,0.45,0.5,14160,2013
112,2013-09-10 00:00:00,0.5,0.5,0.5,0.5,20,2013
113,2013-09-13 00:00:00,0.475,0.5,0.475,0.5,4060,2013
114,2013-09-16 00:00:00,0.5,0.5,0.45,0.496,13140,2013
115,2013-09-17 00:00:00,0.494,0.494,0.494,0.494,50,2013
116,2013-09-18 00:00:00,0.44,0.494,0.44,0.494,9800,2013
117,2013-09-19 00:00:00,0.49200000000000005,0.557,0.49200000000000005,0.55,25090,2013
118,2013-09-20 00:00:00,0.5,0.5,0.5,0.5,3000,2013
119,2013-09-23 00:00:00,0.535,0.535,0.535,0.535,100,2013
120,2013-09-24 00:00:00,0.456,0.456,0.456,0.456,2960,2013
121,2013-09-25 00:00:00,0.535,0.535,0.456,0.456,7100,2013
122,2013-09-26 00:00:00,0.456,0.456,0.456,0.456,16840,2013
123,2013-09-27 00:00:00,0.457,0.457,0.457,0.457,500,2013
124,2013-09-30 00:00:00,0.53,0.53,0.45799999999999996,0.53,3200,2013
125,2013-10-01 00:00:00,0.53,0.535,0.53,0.535,2400,2013
126,2013-10-02 00:00:00,0.535,0.588,0.5,0.588,19120,2013
127,2013-10-03 00:00:00,0.588,0.588,0.588,0.588,1000,2013
128,2013-10-07 00:00:00,0.588,0.622,0.47200000000000003,0.55,7900,2013
129,2013-10-08 00:00:00,0.602,0.602,0.48200000000000004,0.48200000000000004,110,2013
130,2013-10-09 00:00:00,0.473,0.5670000000000001,0.47200000000000003,0.5660000000000001,6720,2013
131,2013-10-10 00:00:00,0.495,0.524,0.47200000000000003,0.495,13140,2013
132,2013-10-11 00:00:00,0.475,0.495,0.475,0.48,8800,2013
133,2013-10-14 00:00:00,0.524,0.601,0.48,0.59,15590,2013
134,2013-10-15 00:00:00,0.58,0.58,0.58,0.58,50,2013
135,2013-10-16 00:00:00,0.48200000000000004,0.5,0.473,0.473,8390,2013
136,2013-10-17 00:00:00,0.401,0.48100000000000004,0.401,0.48100000000000004,10010,2013
137,2013-10-18 00:00:00,0.5,0.5,0.45,0.45,3890,2013
138,2013-10-21 00:00:00,0.54,0.54,0.401,0.5,15350,2013
139,2013-10-22 00:00:00,0.465,0.496,0.41600000000000004,0.496,6890,2013
140,2013-10-23 00:00:00,0.535,0.545,0.45,0.545,6750,2013
141,2013-10-24 00:00:00,0.405,0.486,0.405,0.45,21610,2013
142,2013-10-25 00:00:00,0.42200000000000004,0.45,0.42100000000000004,0.423,5830,2013
143,2013-10-28 00:00:00,0.42100000000000004,0.48100000000000004,0.42100000000000004,0.48100000000000004,9030,2013
144,2013-10-29 00:00:00,0.452,0.54,0.451,0.45299999999999996,8010,2013
145,2013-10-30 00:00:00,0.461,0.5,0.461,0.5,8990,2013
146,2013-10-31 00:00:00,0.54,0.54,0.5,0.5,2830,2013
147,2013-11-04 00:00:00,0.54,0.54,0.54,0.54,50,2013
148,2013-11-05 00:00:00,0.46,0.54,0.45,0.54,9950,2013
149,2013-11-06 00:00:00,0.49200000000000005,0.49200000000000005,0.49200000000000005,0.49200000000000005,50,2013
150,2013-11-07 00:00:00,0.47100000000000003,0.49200000000000005,0.47100000000000003,0.49200000000000005,1150,2013
151,2013-11-08 00:00:00,0.46,0.46,0.44,0.44,25000,2013
152,2013-11-12 00:00:00,0.46,0.46,0.46,0.46,100,2013
153,2013-11-13 00:00:00,0.44,0.46,0.44,0.46,11290,2013
154,2013-11-14 00:00:00,0.43,0.49200000000000005,0.41,0.49200000000000005,13020,2013
155,2013-11-15 00:00:00,0.54,0.54,0.435,0.519,8160,2013
156,2013-11-18 00:00:00,0.52,0.52,0.42200000000000004,0.499,7200,2013
157,2013-11-21 00:00:00,0.41200000000000003,0.49,0.41200000000000003,0.49,5510,2013
158,2013-11-22 00:00:00,0.485,0.485,0.485,0.485,500,2013
159,2013-11-25 00:00:00,0.48,0.48,0.43,0.43,6720,2013
160,2013-11-26 00:00:00,0.43,0.46,0.415,0.428,11530,2013
161,2013-11-27 00:00:00,0.4,0.4,0.4,0.4,2500,2013
162,2013-11-28 00:00:00,0.428,0.428,0.415,0.415,10000,2013
163,2013-11-29 00:00:00,0.413,0.44,0.41200000000000003,0.44,6680,2013
164,2013-12-03 00:00:00,0.41200000000000003,0.44,0.38,0.401,6300,2013
165,2013-12-04 00:00:00,0.44,0.45899999999999996,0.401,0.45799999999999996,25290,2013
166,2013-12-05 00:00:00,0.401,0.45799999999999996,0.401,0.457,3900,2013
167,2013-12-06 00:00:00,0.45,0.45,0.45,0.45,2690,2013
168,2013-12-09 00:00:00,0.4,0.4,0.4,0.4,100,2013
169,2013-12-10 00:00:00,0.4,0.456,0.4,0.439,3160,2013
170,2013-12-11 00:00:00,0.4,0.46,0.4,0.4,12240,2013
171,2013-12-12 00:00:00,0.4,0.43,0.4,0.43,6500,2013
172,2013-12-13 00:00:00,0.455,0.54,0.405,0.53,17250,2013
173,2013-12-16 00:00:00,0.415,0.45,0.406,0.415,41480,2013
174,2013-12-17 00:00:00,0.415,0.449,0.415,0.41600000000000004,2550,2013
175,2013-12-18 00:00:00,0.442,0.52,0.425,0.514,32270,2013
176,2013-12-19 00:00:00,0.513,0.569,0.45399999999999996,0.562,15840,2013
177,2013-12-20 00:00:00,0.505,0.563,0.505,0.563,7690,2013
178,2013-12-23 00:00:00,0.599,0.599,0.52,0.598,2100,2013
179,2013-12-30 00:00:00,0.48,0.597,0.48,0.597,26870,2013
180,2014-01-02 00:00:00,0.675,0.675,0.655,0.655,1930,2014
181,2014-01-03 00:00:00,0.524,0.619,0.43,0.619,3960,2014
182,2014-01-08 00:00:00,0.496,0.5579999999999999,0.496,0.5579999999999999,1450,2014
183,2014-01-09 00:00:00,0.47600000000000003,0.556,0.47600000000000003,0.556,210,2014
184,2014-01-10 00:00:00,0.557,0.557,0.455,0.489,4130,2014
185,2014-01-13 00:00:00,0.49,0.56,0.461,0.466,10670,2014
186,2014-01-14 00:00:00,0.461,0.518,0.46,0.51,11260,2014
187,2014-01-15 00:00:00,0.535,0.545,0.488,0.524,2150,2014
188,2014-01-16 00:00:00,0.511,0.545,0.511,0.545,1250,2014
189,2014-01-17 00:00:00,0.511,0.545,0.511,0.521,4350,2014
190,2014-01-20 00:00:00,0.515,0.568,0.515,0.568,2950,2014
191,2014-01-21 00:00:00,0.521,0.529,0.488,0.529,3500,2014
192,2014-01-22 00:00:00,0.534,0.534,0.534,0.534,50,2014
193,2014-01-24 00:00:00,0.5,0.532,0.5,0.532,5100,2014
194,2014-01-27 00:00:00,0.535,0.535,0.5,0.5,80,2014
195,2014-01-28 00:00:00,0.488,0.514,0.478,0.514,2550,2014
196,2014-01-29 00:00:00,0.534,0.534,0.534,0.534,120,2014
197,2014-01-30 00:00:00,0.478,0.534,0.46799999999999997,0.534,8800,2014
198,2014-01-31 00:00:00,0.5,0.5,0.5,0.5,990,2014
199,2014-02-04 00:00:00,0.46799999999999997,0.46799999999999997,0.46,0.46,3020,2014
200,2014-02-05 00:00:00,0.46,0.535,0.455,0.535,2600,2014
201,2014-02-06 00:00:00,0.535,0.535,0.535,0.535,50,2014
202,2014-02-07 00:00:00,0.455,0.535,0.455,0.535,2700,2014
203,2014-02-10 00:00:00,0.46,0.46,0.46,0.46,2500,2014
204,2014-02-12 00:00:00,0.521,0.535,0.511,0.535,12150,2014
205,2014-02-18 00:00:00,0.535,0.601,0.535,0.601,3050,2014
206,2014-02-27 00:00:00,0.5,0.5,0.5,0.5,3000,2014
207,2014-03-03 00:00:00,0.451,0.499,0.4,0.48,2850,2014
208,2014-03-04 00:00:00,0.41200000000000003,0.49,0.41200000000000003,0.488,9550,2014
209,2014-03-05 00:00:00,0.48,0.48,0.445,0.445,1300,2014
210,2014-03-07 00:00:00,0.435,0.469,0.426,0.426,8460,2014
211,2014-03-10 00:00:00,0.428,0.428,0.428,0.428,2340,2014
212,2014-03-11 00:00:00,0.425,0.449,0.345,0.401,16320,2014
213,2014-03-12 00:00:00,0.42,0.42,0.42,0.42,5000,2014
214,2014-03-13 00:00:00,0.41,0.429,0.33,0.395,6270,2014
215,2014-03-14 00:00:00,0.42,0.42,0.42,0.42,50,2014
216,2014-03-17 00:00:00,0.395,0.408,0.35100000000000003,0.408,8750,2014
217,2014-03-19 00:00:00,0.381,0.381,0.381,0.381,200,2014
218,2014-03-20 00:00:00,0.408,0.408,0.408,0.408,90,2014
219,2014-03-21 00:00:00,0.381,0.408,0.381,0.408,1050,2014
220,2014-03-24 00:00:00,0.408,0.408,0.38,0.40700000000000003,2200,2014
221,2014-03-31 00:00:00,0.38,0.405,0.38,0.405,350,2014
222,2014-04-01 00:00:00,0.385,0.385,0.385,0.385,900,2014
223,2014-04-03 00:00:00,0.39,0.40700000000000003,0.39,0.40700000000000003,1100,2014
224,2014-04-04 00:00:00,0.38,0.38,0.38,0.38,1850,2014
225,2014-04-07 00:00:00,0.38,0.406,0.38,0.406,2400,2014
226,2014-04-11 00:00:00,0.326,0.326,0.326,0.326,3640,2014
227,2014-04-14 00:00:00,0.349,0.349,0.349,0.349,4500,2014
228,2014-04-15 00:00:00,0.35,0.35,0.35,0.35,3200,2014
229,2014-04-16 00:00:00,0.39,0.39,0.36,0.389,9300,2014
230,2014-04-22 00:00:00,0.39,0.39,0.39,0.39,4400,2014
231,2014-04-28 00:00:00,0.38799999999999996,0.4,0.38799999999999996,0.4,1600,2014
232,2014-04-29 00:00:00,0.39799999999999996,0.39799999999999996,0.39799999999999996,0.39799999999999996,200,2014
233,2014-04-30 00:00:00,0.361,0.39799999999999996,0.36,0.39799999999999996,8080,2014
234,2014-05-05 00:00:00,0.36,0.4,0.36,0.4,7110,2014
235,2014-05-07 00:00:00,0.4,0.4,0.359,0.37,4600,2014
236,2014-05-08 00:00:00,0.39899999999999997,0.39899999999999997,0.39899999999999997,0.39899999999999997,100,2014
237,2014-05-09 00:00:00,0.375,0.405,0.375,0.387,7900,2014
238,2014-05-12 00:00:00,0.415,0.415,0.355,0.355,10600,2014
239,2014-05-13 00:00:00,0.355,0.42,0.355,0.42,5900,2014
240,2014-05-14 00:00:00,0.43,0.515,0.43,0.515,113900,2014
241,2014-05-15 00:00:00,0.51,0.524,0.5,0.524,9380,2014
242,2014-05-19 00:00:00,0.524,0.524,0.524,0.524,3000,2014
243,2014-05-21 00:00:00,0.43,0.505,0.4,0.505,7500,2014
244,2014-05-26 00:00:00,0.40399999999999997,0.484,0.4,0.484,5500,2014
245,2014-05-27 00:00:00,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.49700000000000005,100,2014
246,2014-05-28 00:00:00,0.4,0.4,0.4,0.4,3050,2014
247,2014-05-29 00:00:00,0.382,0.382,0.38,0.38,8000,2014
248,2014-05-30 00:00:00,0.45,0.45,0.45,0.45,300,2014
249,2014-06-02 00:00:00,0.46299999999999997,0.466,0.371,0.375,14350,2014
250,2014-06-03 00:00:00,0.4,0.4,0.4,0.4,1000,2014
251,2014-06-04 00:00:00,0.4,0.4,0.4,0.4,3700,2014
252,2014-06-05 00:00:00,0.4,0.4,0.4,0.4,910,2014
253,2014-06-09 00:00:00,0.405,0.405,0.4,0.4,5000,2014
254,2014-06-10 00:00:00,0.4,0.4,0.4,0.4,6000,2014
255,2014-06-11 00:00:00,0.405,0.445,0.4,0.44299999999999995,10590,2014
256,2014-06-13 00:00:00,0.4,0.4,0.4,0.4,2770,2014
257,2014-06-16 00:00:00,0.4,0.4,0.39899999999999997,0.39899999999999997,6080,2014
258,2014-06-17 00:00:00,0.428,0.428,0.4,0.4,1300,2014
259,2014-06-18 00:00:00,0.4,0.428,0.391,0.419,26600,2014
260,2014-06-20 00:00:00,0.419,0.439,0.419,0.439,4000,2014
261,2014-06-23 00:00:00,0.42,0.439,0.415,0.415,10110,2014
262,2014-06-24 00:00:00,0.395,0.395,0.395,0.395,840,2014
263,2014-06-25 00:00:00,0.425,0.425,0.396,0.396,3160,2014
264,2014-06-26 00:00:00,0.402,0.402,0.4,0.4,10000,2014
265,2014-06-27 00:00:00,0.425,0.505,0.425,0.505,6860,2014
266,2014-07-01 00:00:00,0.426,0.426,0.425,0.425,3000,2014
267,2014-07-02 00:00:00,0.46,0.46,0.426,0.426,2500,2014
268,2014-07-03 00:00:00,0.425,0.425,0.425,0.425,1500,2014
269,2014-07-04 00:00:00,0.42700000000000005,0.42700000000000005,0.42700000000000005,0.42700000000000005,2500,2014
270,2014-07-07 00:00:00,0.46,0.46,0.426,0.43,1200,2014
271,2014-07-08 00:00:00,0.46,0.46,0.46,0.46,100,2014
272,2014-07-09 00:00:00,0.46,0.46,0.44,0.44,3800,2014
273,2014-07-10 00:00:00,0.47200000000000003,0.47200000000000003,0.47200000000000003,0.47200000000000003,50,2014
