,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-15 00:00:00,9.2469,9.2469,6.0212,6.5375,3031,2011
1,2011-12-16 00:00:00,6.5375,6.7094,5.6343,6.7094,284,2011
2,2011-12-19 00:00:00,6.7094,6.7094,6.4514,6.4514,140,2011
3,2011-12-20 00:00:00,6.4857,6.6233,5.5052,6.6233,117,2011
4,2011-12-21 00:00:00,6.5719,6.5719,6.5719,6.5719,58,2011
5,2011-12-22 00:00:00,6.4857,6.4857,5.8492,6.4686,38,2011
6,2011-12-23 00:00:00,5.5912,6.4686,5.5912,6.4686,27,2011
7,2011-12-27 00:00:00,5.1783,6.3568,5.1783,6.3568,424,2011
8,2011-12-28 00:00:00,6.4514,6.4514,6.4514,6.4514,2,2011
9,2011-12-29 00:00:00,6.4342,6.6664,5.3331,6.6233,127,2011
10,2011-12-30 00:00:00,6.3912,6.3912,6.3912,6.3912,4,2011
11,2012-01-05 00:00:00,5.9353,6.4342,5.9353,5.9353,183,2012
12,2012-01-17 00:00:00,5.1612,5.1612,4.9117,4.9117,154,2012
13,2012-01-20 00:00:00,5.6772,6.3653,5.6772,6.3653,687,2012
14,2012-01-23 00:00:00,6.5288,6.5288,6.5288,6.5288,2,2012
15,2012-01-24 00:00:00,5.8492,5.8492,5.4192,5.4192,129,2012
16,2012-01-27 00:00:00,6.502999999999999,6.502999999999999,6.502999999999999,6.502999999999999,5,2012
17,2012-02-13 00:00:00,5.746,5.746,5.746,5.746,113,2012
18,2012-02-21 00:00:00,5.746,5.746,5.5912,5.5912,98,2012
19,2012-02-23 00:00:00,5.4192,5.4192,5.4192,5.4192,465,2012
20,2012-03-01 00:00:00,5.2902,5.2902,4.559,4.559,242,2012
21,2012-03-05 00:00:00,4.4299,4.4299,4.4299,4.4299,58,2012
22,2012-05-31 00:00:00,4.2838,4.2838,4.2838,4.2838,1,2012
23,2012-06-14 00:00:00,3.7934,3.7934,3.7934,3.7934,698,2012
24,2012-06-15 00:00:00,4.0342,4.0342,4.0342,4.0342,115,2012
25,2012-06-19 00:00:00,4.0342,4.0342,4.0342,4.0342,115,2012
26,2012-08-06 00:00:00,3.2342,4.0428,3.2342,4.0428,184,2012
27,2012-08-07 00:00:00,4.0428,4.0428,4.0428,4.0428,5,2012
28,2012-08-08 00:00:00,4.0428,4.0428,4.0428,4.0428,6,2012
29,2012-08-09 00:00:00,4.0428,4.0428,4.0428,4.0428,4,2012
30,2012-08-10 00:00:00,4.0428,4.0428,4.0428,4.0428,7,2012
31,2012-08-17 00:00:00,3.8278,3.8278,3.8278,3.8278,35,2012
32,2012-08-21 00:00:00,3.8278,3.8278,3.8278,3.8278,3,2012
33,2012-08-24 00:00:00,3.8278,3.8278,3.8278,3.8278,10,2012
34,2012-08-27 00:00:00,3.7848,3.7848,3.7848,3.7848,3,2012
35,2012-08-29 00:00:00,3.7676,3.7676,3.7676,3.7676,5,2012
36,2012-08-30 00:00:00,3.7676,3.7676,3.7676,3.7676,2,2012
37,2012-09-03 00:00:00,3.8278,3.8278,3.8278,3.8278,4,2012
38,2012-09-04 00:00:00,3.8278,3.8278,3.8278,3.8278,2,2012
39,2012-09-06 00:00:00,3.8278,3.8278,3.8278,3.8278,2,2012
40,2012-09-07 00:00:00,3.8278,3.8278,3.8278,3.8278,2,2012
41,2012-09-26 00:00:00,3.8278,3.8278,3.8278,3.8278,2,2012
42,2012-10-08 00:00:00,3.8278,3.8278,3.8278,3.8278,3,2012
43,2012-10-09 00:00:00,3.8278,3.8278,3.8278,3.8278,5,2012
44,2012-10-24 00:00:00,3.8278,3.8278,3.8278,3.8278,3,2012
45,2012-10-26 00:00:00,3.8278,3.8278,3.8278,3.8278,4,2012
46,2012-11-05 00:00:00,3.8278,3.8278,3.8278,3.8278,3,2012
47,2012-11-07 00:00:00,3.8278,3.8278,3.8278,3.8278,3,2012
48,2012-11-08 00:00:00,3.0708,3.0708,3.0708,3.0708,115,2012
49,2012-11-16 00:00:00,3.6902,3.6902,3.6902,3.6902,290,2012
50,2012-11-22 00:00:00,3.6902,3.6902,3.6902,3.6902,10,2012
51,2013-01-18 00:00:00,3.673,3.673,3.673,3.673,5,2013
52,2013-02-05 00:00:00,3.673,3.673,3.673,3.673,2,2013
53,2013-02-06 00:00:00,3.673,3.673,3.673,3.673,3,2013
54,2013-02-07 00:00:00,3.673,3.673,3.673,3.673,3,2013
55,2013-02-11 00:00:00,3.673,3.673,3.673,3.673,2,2013
56,2013-02-12 00:00:00,3.673,3.673,3.673,3.673,3,2013
57,2013-02-15 00:00:00,3.673,3.673,3.5869,3.5869,11,2013
58,2013-02-18 00:00:00,3.5697,3.5697,3.5697,3.5697,3,2013
59,2013-02-19 00:00:00,3.5697,3.5697,3.5697,3.5697,3,2013
60,2013-02-21 00:00:00,3.4837,3.4837,3.4837,3.4837,5,2013
61,2013-02-25 00:00:00,3.2773,3.2773,2.7611,2.7611,1487,2013
62,2013-03-11 00:00:00,2.7439999999999998,2.7439999999999998,2.7439999999999998,2.7439999999999998,156,2013
63,2013-03-13 00:00:00,2.7439999999999998,2.7439999999999998,2.7439999999999998,2.7439999999999998,2,2013
64,2013-03-14 00:00:00,2.7525,2.7525,2.7525,2.7525,193,2013
65,2013-04-02 00:00:00,2.7439999999999998,2.7439999999999998,2.7439999999999998,2.7439999999999998,2,2013
66,2013-04-23 00:00:00,2.3225,2.3225,2.3225,2.3225,648,2013
67,2013-04-24 00:00:00,2.3225,2.3225,2.3225,2.3225,16,2013
68,2013-04-30 00:00:00,2.1507,2.1507,2.1507,2.1507,698,2013
69,2013-05-02 00:00:00,2.1505,2.1505,2.1505,2.1505,581,2013
70,2013-06-04 00:00:00,2.1419,2.4946,2.1419,2.4946,698,2013
71,2013-06-05 00:00:00,2.4946,2.7525,2.4946,2.7525,324,2013
72,2013-07-12 00:00:00,3.0965,3.0965,3.0965,3.0965,50,2013
73,2013-07-15 00:00:00,3.0965,3.0965,3.0965,3.0965,5,2013
74,2013-07-19 00:00:00,3.0965,3.0965,3.0965,3.0965,322,2013
75,2013-07-24 00:00:00,3.2126,3.2126,3.2126,3.2126,450,2013
76,2013-07-26 00:00:00,3.2126,3.2126,3.2126,3.2126,47,2013
77,2013-08-01 00:00:00,3.2126,3.2126,3.2126,3.2126,626,2013
78,2013-08-16 00:00:00,3.5607,3.5607,3.5607,3.5607,111,2013
79,2013-08-20 00:00:00,3.3465,3.6142,3.3465,3.6142,560,2013
80,2013-08-27 00:00:00,3.5429,3.5429,3.5429,3.5429,470,2013
