,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-10-17 00:00:00,10.3,10.3,7.0,9.88,474468,2019
1,2019-10-18 00:00:00,10.16,10.16,8.8,9.04,89157,2019
2,2019-10-21 00:00:00,9.11,9.88,8.5,8.9,67376,2019
3,2019-10-22 00:00:00,8.9,9.425,8.55,8.74,71713,2019
4,2019-10-23 00:00:00,9.08,9.08,8.41,9.04,18042,2019
5,2019-10-24 00:00:00,8.7,8.7,7.02,7.55,105379,2019
6,2019-10-25 00:00:00,7.4,7.58,6.12,7.279,101154,2019
7,2019-10-28 00:00:00,7.28,7.89,6.92,7.789,34803,2019
8,2019-10-29 00:00:00,7.82,7.82,7.32,7.58,10223,2019
9,2019-10-30 00:00:00,7.65,8.2,7.65,8.14,40348,2019
10,2019-10-31 00:00:00,8.22,8.799,8.02,8.15,94653,2019
11,2019-11-04 00:00:00,8.79,9.0,8.412,8.488,81917,2019
12,2019-11-05 00:00:00,8.687999999999999,8.687999999999999,8.2,8.57,21804,2019
13,2019-11-06 00:00:00,8.56,8.56,8.14,8.3,17525,2019
14,2019-11-07 00:00:00,8.44,8.44,7.92,7.96,24607,2019
15,2019-11-08 00:00:00,8.3,8.3,7.8,8.02,14141,2019
16,2019-11-12 00:00:00,8.03,8.16,7.58,7.58,10804,2019
17,2019-11-13 00:00:00,7.9,8.0,7.7,7.99,15545,2019
18,2019-11-14 00:00:00,8.2,8.2,7.75,7.98,2431,2019
19,2019-11-15 00:00:00,8.28,8.28,7.73,7.95,3704,2019
20,2019-11-18 00:00:00,8.45,8.45,7.8,7.98,5661,2019
21,2019-11-19 00:00:00,8.19,8.19,7.75,8.0,1528,2019
22,2019-11-20 00:00:00,8.0,8.0,7.752000000000001,7.96,768,2019
23,2019-11-21 00:00:00,7.99,7.99,7.73,7.95,1466,2019
24,2019-11-22 00:00:00,7.7010000000000005,7.9,7.4,7.7,9762,2019
25,2019-11-25 00:00:00,7.421,7.79,7.4,7.64,7664,2019
26,2019-11-26 00:00:00,7.87,7.87,7.2410000000000005,7.649,2212,2019
27,2019-11-27 00:00:00,7.7,8.35,7.56,7.83,10243,2019
28,2019-11-28 00:00:00,8.3,8.3,7.65,7.73,3021,2019
29,2019-11-29 00:00:00,8.0,8.0,7.361000000000001,7.52,3366,2019
30,2019-12-02 00:00:00,7.89,7.89,7.31,7.74,8628,2019
31,2019-12-03 00:00:00,7.78,7.78,7.1,7.2,18721,2019
32,2019-12-04 00:00:00,7.2,7.2,6.52,6.64,46436,2019
33,2019-12-05 00:00:00,6.9,7.18,6.42,6.51,26996,2019
34,2019-12-06 00:00:00,6.77,6.77,6.03,6.4,37405,2019
35,2019-12-09 00:00:00,6.2,6.7,6.2,6.4,11446,2019
36,2019-12-10 00:00:00,6.688,6.688,6.1,6.1,27949,2019
37,2019-12-11 00:00:00,6.26,6.26,5.832000000000001,6.1,13983,2019
38,2019-12-12 00:00:00,6.2,6.57,6.04,6.42,28410,2019
39,2019-12-13 00:00:00,6.49,6.6,5.87,6.25,45704,2019
40,2019-12-16 00:00:00,6.1,6.29,5.9,6.2,24876,2019
41,2019-12-17 00:00:00,6.1,6.2,5.97,6.138,12459,2019
42,2019-12-18 00:00:00,6.1,6.22,5.6,6.21,38707,2019
43,2019-12-19 00:00:00,6.21,6.29,6.0,6.249,22692,2019
44,2019-12-20 00:00:00,6.287999999999999,6.3,5.9,6.11,34126,2019
45,2019-12-23 00:00:00,6.05,6.7,6.05,6.7,15076,2019
46,2019-12-27 00:00:00,6.865,6.865,6.28,6.6,5281,2019
47,2019-12-30 00:00:00,6.6,6.6,6.1,6.14,13261,2019
48,2020-01-02 00:00:00,6.2,6.497000000000001,6.102,6.44,20146,2020
49,2020-01-03 00:00:00,6.59,6.59,6.2,6.4,8379,2020
50,2020-01-07 00:00:00,6.4,6.4,6.22,6.388,10920,2020
51,2020-01-08 00:00:00,6.388,6.388,6.13,6.34,10223,2020
52,2020-01-09 00:00:00,6.347,6.347,6.25,6.347,9387,2020
53,2020-01-10 00:00:00,6.347,6.95,6.2,6.664,43694,2020
54,2020-01-13 00:00:00,6.9,7.2,6.82,7.15,32304,2020
55,2020-01-14 00:00:00,7.03,7.3,6.81,7.1,28215,2020
56,2020-01-15 00:00:00,7.1,7.15,6.81,7.1,11749,2020
57,2020-01-16 00:00:00,6.8260000000000005,7.0,6.81,6.896,5970,2020
58,2020-01-17 00:00:00,6.84,6.85,6.5,6.78,7548,2020
59,2020-01-20 00:00:00,6.8,6.8,6.55,6.78,5926,2020
60,2020-01-21 00:00:00,7.0,7.0,6.65,6.81,3665,2020
61,2020-01-22 00:00:00,6.95,6.95,6.65,6.81,4463,2020
62,2020-01-23 00:00:00,6.82,6.89,6.501,6.78,4030,2020
63,2020-01-24 00:00:00,6.89,6.89,6.601,6.84,7883,2020
64,2020-01-27 00:00:00,6.8,6.8,6.1,6.65,13354,2020
65,2020-01-28 00:00:00,6.65,6.65,6.3,6.45,1020,2020
66,2020-01-29 00:00:00,6.59,6.59,6.2,6.2,3705,2020
67,2020-01-30 00:00:00,6.2,6.4,5.8,6.1979999999999995,21024,2020
68,2020-01-31 00:00:00,6.2,6.2,5.83,6.195,17118,2020
69,2020-02-03 00:00:00,6.03,6.42,6.03,6.42,4485,2020
70,2020-02-04 00:00:00,6.42,6.95,6.19,6.67,17963,2020
71,2020-02-05 00:00:00,6.8,7.4,6.7,6.82,27688,2020
72,2020-02-06 00:00:00,6.8,7.08,6.7,6.7,14012,2020
73,2020-02-07 00:00:00,6.96,6.99,6.7,6.95,6049,2020
74,2020-02-10 00:00:00,7.25,7.25,6.75,7.0,7248,2020
75,2020-02-11 00:00:00,7.08,7.15,6.85,7.0,6480,2020
76,2020-02-12 00:00:00,7.38,7.38,6.912999999999999,7.15,11047,2020
77,2020-02-13 00:00:00,7.38,7.38,7.0,7.1,6850,2020
78,2020-02-14 00:00:00,7.15,7.15,6.92,7.14,4406,2020
79,2020-02-17 00:00:00,7.09,7.1,6.9,7.02,10201,2020
80,2020-02-18 00:00:00,7.02,7.02,6.8,6.865,15822,2020
81,2020-02-19 00:00:00,6.865,6.865,6.255,6.82,20731,2020
82,2020-02-20 00:00:00,6.82,7.4,6.4,7.18,14728,2020
83,2020-02-21 00:00:00,7.175,7.18,6.9,7.08,6497,2020
84,2020-02-24 00:00:00,7.08,7.08,6.59,6.59,13183,2020
85,2020-02-25 00:00:00,6.71,6.71,6.1,6.45,21691,2020
86,2020-02-26 00:00:00,6.44,6.62,6.102,6.62,14873,2020
87,2020-02-27 00:00:00,6.6,6.6,5.95,6.08,10172,2020
88,2020-02-28 00:00:00,5.95,5.99,5.005,5.85,23313,2020
89,2020-03-02 00:00:00,5.52,6.3,5.25,5.85,9732,2020
90,2020-03-03 00:00:00,6.0,6.3,6.0,6.3,4352,2020
91,2020-03-04 00:00:00,6.1,6.28,5.72,6.15,6934,2020
92,2020-03-05 00:00:00,6.3,6.58,5.95,6.15,15952,2020
93,2020-03-06 00:00:00,6.05,6.33,5.52,6.33,8430,2020
94,2020-03-09 00:00:00,6.0,6.0,5.1,5.65,19432,2020
95,2020-03-10 00:00:00,5.8,5.949,5.68,5.68,10122,2020
96,2020-03-11 00:00:00,5.695,5.7,5.1610000000000005,5.45,33820,2020
97,2020-03-12 00:00:00,5.11,5.4,4.088,4.2,23825,2020
98,2020-03-13 00:00:00,4.2,4.99,4.2,4.885,16030,2020
99,2020-03-16 00:00:00,4.885,5.0,4.4,5.0,5403,2020
100,2020-03-17 00:00:00,5.18,5.58,4.77,5.45,28186,2020
101,2020-03-18 00:00:00,5.45,5.8,5.15,5.797999999999999,12297,2020
102,2020-03-19 00:00:00,5.7,6.4,5.3,6.4,23962,2020
103,2020-03-20 00:00:00,6.5,6.52,5.2,5.61,172162,2020
104,2020-03-23 00:00:00,5.3,5.39,4.4,5.1,11181,2020
105,2020-03-24 00:00:00,5.251,5.4,5.0,5.35,29274,2020
106,2020-03-25 00:00:00,5.7,5.73,5.11,5.31,16588,2020
107,2020-03-26 00:00:00,5.2,5.45,5.15,5.45,3990,2020
108,2020-03-27 00:00:00,5.529,5.529,4.95,5.33,4710,2020
109,2020-03-30 00:00:00,5.2,5.2,4.78,5.0,12389,2020
110,2020-03-31 00:00:00,5.12,5.12,4.77,4.98,27583,2020
111,2020-04-01 00:00:00,5.08,5.6,4.7,5.5,44988,2020
112,2020-04-02 00:00:00,5.5,5.5,5.43,5.49,2621,2020
113,2020-04-03 00:00:00,5.6,5.6,5.17,5.4,16860,2020
114,2020-04-06 00:00:00,5.41,5.9,5.41,5.8,29032,2020
115,2020-04-07 00:00:00,5.81,6.0,5.3,5.3,34958,2020
116,2020-04-08 00:00:00,5.3,5.85,5.3,5.65,4239,2020
117,2020-04-09 00:00:00,5.78,5.79,5.6,5.7,9866,2020
118,2020-04-14 00:00:00,5.78,5.8,5.5,5.74,21299,2020
119,2020-04-15 00:00:00,5.74,5.74,5.5,5.65,20884,2020
120,2020-04-16 00:00:00,5.68,5.7,5.46,5.68,13453,2020
121,2020-04-17 00:00:00,5.63,6.75,5.63,6.57,69751,2020
122,2020-04-20 00:00:00,6.78,7.14,5.43,7.0,626020,2020
123,2020-04-21 00:00:00,7.4,7.7,6.3,6.5,228969,2020
124,2020-04-22 00:00:00,5.9,6.37,5.81,6.15,57949,2020
125,2020-04-23 00:00:00,6.2,6.52,6.1,6.35,30211,2020
126,2020-04-24 00:00:00,6.4,6.4,6.1,6.11,32306,2020
127,2020-04-27 00:00:00,6.0,6.66,6.0,6.57,63773,2020
128,2020-04-28 00:00:00,6.7,6.7,6.0,6.5,39961,2020
