,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-06-12 00:00:00,6.45,6.45,6.0,6.35,1326,2014
1,2014-06-13 00:00:00,5.93,6.4,5.49,6.34,452,2014
2,2014-06-16 00:00:00,6.34,6.34,5.4,6.34,1065,2014
3,2014-06-17 00:00:00,6.33,6.33,5.9,6.33,266,2014
4,2014-06-18 00:00:00,6.33,6.33,6.05,6.3,11296,2014
5,2014-06-20 00:00:00,6.3,6.3,6.2,6.22,15520,2014
6,2014-06-23 00:00:00,6.21,6.21,5.9,6.12,3298,2014
7,2014-06-24 00:00:00,6.15,6.15,6.1,6.15,2008,2014
8,2014-06-25 00:00:00,6.1,6.1,6.1,6.1,6,2014
9,2014-06-26 00:00:00,6.1,6.1,6.1,6.1,11,2014
10,2014-06-27 00:00:00,6.1,6.1,6.1,6.1,6,2014
11,2014-06-30 00:00:00,6.1,6.1,5.89,6.0,212,2014
12,2014-07-01 00:00:00,6.0,6.0,5.84,6.0,657,2014
13,2014-07-02 00:00:00,6.0,6.0,6.0,6.0,6,2014
14,2014-07-03 00:00:00,6.0,6.0,6.0,6.0,5,2014
15,2014-07-04 00:00:00,6.0,6.0,6.0,6.0,4,2014
16,2014-07-07 00:00:00,6.0,6.0,6.0,6.0,2,2014
17,2014-07-08 00:00:00,6.0,6.0,6.0,6.0,1,2014
18,2014-07-09 00:00:00,6.0,6.0,6.0,6.0,3,2014
19,2014-07-10 00:00:00,6.0,6.0,6.0,6.0,5,2014
20,2014-07-11 00:00:00,6.0,6.0,5.8,6.0,102,2014
21,2014-07-14 00:00:00,6.0,6.0,6.0,6.0,1,2014
22,2014-07-15 00:00:00,6.0,6.0,6.0,6.0,2,2014
23,2014-07-16 00:00:00,6.0,6.0,6.0,6.0,1,2014
24,2014-07-17 00:00:00,6.0,6.0,6.0,6.0,4,2014
25,2014-07-18 00:00:00,6.0,6.0,6.0,6.0,3,2014
26,2014-07-21 00:00:00,6.0,6.0,6.0,6.0,2,2014
27,2014-07-22 00:00:00,6.0,6.0,6.0,6.0,3,2014
28,2014-07-23 00:00:00,6.0,6.0,5.8,6.0,5,2014
29,2014-07-24 00:00:00,6.0,6.0,6.0,6.0,2,2014
30,2014-07-25 00:00:00,6.0,6.0,6.0,6.0,2,2014
31,2014-07-28 00:00:00,6.0,6.0,6.0,6.0,1,2014
32,2014-07-29 00:00:00,6.0,6.0,5.74,5.99,103,2014
33,2014-07-30 00:00:00,5.99,5.99,5.99,5.99,1,2014
34,2014-07-31 00:00:00,6.0,6.0,6.0,6.0,1,2014
35,2014-08-01 00:00:00,5.99,5.99,5.99,5.99,1,2014
36,2014-08-04 00:00:00,5.99,5.99,5.99,5.99,2,2014
37,2014-08-05 00:00:00,5.99,5.99,5.99,5.99,1,2014
38,2014-08-06 00:00:00,5.99,5.99,5.99,5.99,1,2014
39,2014-08-07 00:00:00,5.99,5.99,5.99,5.99,6,2014
40,2014-08-08 00:00:00,5.99,5.99,5.99,5.99,1,2014
41,2014-08-11 00:00:00,5.99,5.99,5.99,5.99,3,2014
42,2014-08-12 00:00:00,5.99,5.99,5.99,5.99,1,2014
43,2014-08-13 00:00:00,5.99,5.99,5.48,5.9,2286,2014
44,2014-08-14 00:00:00,6.0,6.05,5.6,5.66,3072,2014
45,2014-08-18 00:00:00,6.05,6.05,5.3,5.7,29,2014
46,2014-08-19 00:00:00,5.84,5.84,5.84,5.84,7,2014
47,2014-08-20 00:00:00,5.84,5.84,5.84,5.84,1,2014
48,2014-08-21 00:00:00,5.84,5.84,5.21,5.21,344,2014
49,2014-08-22 00:00:00,5.2,5.2,5.2,5.2,3,2014
50,2014-08-25 00:00:00,5.84,5.84,5.1,5.1,423,2014
51,2014-08-26 00:00:00,5.1,5.1,3.1,3.1,2157,2014
52,2014-08-27 00:00:00,3.1,3.1,3.1,3.1,15752,2014
53,2014-08-28 00:00:00,3.1,3.1,3.0,3.0,751,2014
54,2014-08-29 00:00:00,3.0,3.0,2.5,3.0,5,2014
55,2014-09-01 00:00:00,3.0,3.0,3.0,3.0,147,2014
56,2014-09-02 00:00:00,3.0,3.92,3.0,3.92,2637,2014
57,2014-09-03 00:00:00,3.92,3.92,3.31,3.33,2928,2014
58,2014-09-04 00:00:00,3.33,3.42,3.16,3.42,5242,2014
59,2014-09-05 00:00:00,3.99,4.95,3.7,4.95,6595,2014
60,2014-09-08 00:00:00,5.4,5.4,4.65,4.65,73,2014
61,2014-09-09 00:00:00,5.4,5.43,4.51,4.6,1462,2014
62,2014-09-10 00:00:00,4.64,4.64,4.64,4.64,1,2014
63,2014-09-11 00:00:00,4.64,4.64,4.35,4.6,410,2014
64,2014-09-12 00:00:00,4.64,4.64,4.64,4.64,4,2014
65,2014-09-15 00:00:00,4.64,4.64,4.64,4.64,2,2014
66,2014-09-16 00:00:00,4.64,4.64,4.64,4.64,3,2014
67,2014-09-17 00:00:00,4.64,4.64,4.64,4.64,2,2014
68,2014-09-18 00:00:00,4.64,4.64,4.64,4.64,3,2014
69,2014-09-19 00:00:00,4.64,4.64,4.64,4.64,4,2014
70,2014-09-22 00:00:00,4.64,4.64,4.64,4.64,2,2014
71,2014-09-23 00:00:00,4.64,4.64,4.64,4.64,2,2014
72,2014-09-24 00:00:00,4.64,4.64,4.64,4.64,4,2014
73,2014-09-25 00:00:00,4.64,4.64,4.35,4.64,96,2014
74,2014-09-26 00:00:00,4.64,4.64,4.64,4.64,2,2014
75,2014-09-29 00:00:00,4.64,4.64,4.64,4.64,1,2014
76,2014-09-30 00:00:00,4.64,4.64,4.64,4.64,1,2014
77,2014-10-01 00:00:00,4.64,4.64,4.64,4.64,2,2014
78,2014-10-02 00:00:00,4.64,5.44,4.64,5.44,9133,2014
79,2014-10-03 00:00:00,5.44,5.85,5.44,5.85,3500,2014
80,2014-10-06 00:00:00,5.85,5.85,5.85,5.85,2,2014
81,2014-10-07 00:00:00,5.78,5.78,5.78,5.78,2,2014
82,2014-10-08 00:00:00,5.78,5.78,5.78,5.78,2,2014
83,2014-10-09 00:00:00,5.3,5.31,5.3,5.31,502,2014
84,2014-10-10 00:00:00,5.49,5.49,4.88,4.95,312,2014
85,2014-10-13 00:00:00,4.95,5.85,4.95,5.85,3,2014
86,2014-10-14 00:00:00,5.85,5.85,5.85,5.85,1,2014
87,2014-10-15 00:00:00,5.85,5.85,5.85,5.85,3,2014
88,2014-10-16 00:00:00,5.84,5.84,4.68,5.84,502,2014
89,2014-10-17 00:00:00,5.84,5.84,5.84,5.84,1,2014
90,2014-10-20 00:00:00,5.84,5.84,4.67,4.67,324,2014
91,2014-10-21 00:00:00,4.67,4.67,4.2,4.2,536,2014
92,2014-10-22 00:00:00,4.2,4.2,3.86,3.86,143,2014
93,2014-10-23 00:00:00,3.86,3.86,3.75,3.8,707,2014
94,2014-10-24 00:00:00,3.6,3.6,3.58,3.58,2550,2014
95,2014-10-27 00:00:00,3.63,3.63,3.63,3.63,420,2014
96,2014-10-28 00:00:00,4.35,4.65,3.6,3.6,3714,2014
97,2014-10-29 00:00:00,3.6,3.6,3.0,3.0,16688,2014
98,2014-10-30 00:00:00,3.16,3.16,3.09,3.1,9558,2014
99,2014-10-31 00:00:00,3.1,3.72,3.1,3.72,895,2014
100,2014-11-03 00:00:00,4.46,4.64,4.0,4.64,4,2014
101,2014-11-04 00:00:00,4.64,4.94,3.97,4.94,4,2014
102,2014-11-05 00:00:00,4.94,4.94,4.19,4.94,5,2014
103,2014-11-06 00:00:00,4.94,4.94,4.94,4.94,1,2014
104,2014-11-07 00:00:00,4.94,4.94,4.94,4.94,3,2014
105,2014-11-10 00:00:00,4.95,4.95,4.95,4.95,1,2014
106,2014-11-12 00:00:00,4.94,4.94,4.94,4.94,1,2014
107,2014-11-13 00:00:00,4.59,4.59,4.59,4.59,1,2014
108,2014-11-14 00:00:00,4.59,4.59,3.98,3.99,727,2014
109,2014-11-17 00:00:00,3.98,3.98,3.71,3.98,656,2014
110,2014-11-18 00:00:00,4.02,4.02,4.02,4.02,10,2014
111,2014-11-19 00:00:00,4.2,4.2,4.2,4.2,2,2014
112,2014-11-20 00:00:00,5.0,5.0,4.28,4.6,453,2014
113,2014-11-21 00:00:00,4.7,4.7,4.04,4.2,375,2014
114,2014-11-24 00:00:00,5.0,5.0,5.0,5.0,2,2014
115,2014-11-25 00:00:00,5.0,5.0,5.0,5.0,1,2014
116,2014-11-26 00:00:00,5.0,5.0,5.0,5.0,1,2014
117,2014-11-27 00:00:00,5.0,5.0,5.0,5.0,3,2014
118,2014-11-28 00:00:00,5.0,5.0,5.0,5.0,1,2014
119,2014-12-01 00:00:00,5.0,5.0,5.0,5.0,3,2014
120,2014-12-02 00:00:00,5.0,5.0,4.28,5.0,354,2014
121,2014-12-03 00:00:00,5.0,5.0,4.1,5.0,5779,2014
122,2014-12-04 00:00:00,5.0,5.0,4.1,5.0,502,2014
123,2014-12-05 00:00:00,5.0,5.0,4.1,4.75,252,2014
124,2014-12-08 00:00:00,4.75,4.75,4.06,4.7,1555,2014
125,2014-12-09 00:00:00,4.7,4.7,4.0,4.7,862,2014
126,2014-12-10 00:00:00,4.7,4.7,3.76,3.76,1258,2014
127,2014-12-11 00:00:00,4.32,4.32,4.32,4.32,3,2014
128,2014-12-12 00:00:00,4.7,4.7,4.03,4.65,170,2014
129,2014-12-15 00:00:00,3.76,4.51,3.01,4.51,1012,2014
130,2014-12-16 00:00:00,4.5,4.5,4.5,4.5,2,2014
131,2014-12-17 00:00:00,4.5,4.51,3.73,4.19,678,2014
132,2014-12-18 00:00:00,4.51,4.51,3.65,4.03,2316,2014
133,2014-12-19 00:00:00,4.51,4.51,4.51,4.51,2,2014
134,2014-12-22 00:00:00,4.51,4.51,4.51,4.51,5,2014
135,2014-12-23 00:00:00,4.51,4.51,4.51,4.51,2,2014
136,2014-12-29 00:00:00,4.51,4.51,4.51,4.51,5,2014
137,2014-12-30 00:00:00,4.51,4.51,4.0,4.51,3476,2014
138,2015-01-02 00:00:00,5.41,5.84,4.94,5.0,1619,2015
139,2015-01-05 00:00:00,5.2,5.5,4.1,5.5,10755,2015
140,2015-01-07 00:00:00,5.5,5.5,4.7,5.49,340,2015
141,2015-01-08 00:00:00,5.49,5.49,5.49,5.49,1,2015
142,2015-01-09 00:00:00,5.49,5.49,5.49,5.49,2,2015
143,2015-01-12 00:00:00,5.49,5.49,5.49,5.49,4,2015
144,2015-01-13 00:00:00,5.49,5.49,5.49,5.49,3,2015
145,2015-01-14 00:00:00,5.49,5.49,5.49,5.49,2,2015
146,2015-01-15 00:00:00,5.2,5.2,5.2,5.2,1,2015
147,2015-01-16 00:00:00,5.49,5.49,5.49,5.49,2,2015
148,2015-01-19 00:00:00,5.49,5.49,5.09,5.09,2,2015
149,2015-01-20 00:00:00,5.49,5.49,5.49,5.49,2,2015
150,2015-01-21 00:00:00,5.49,5.49,5.0,5.49,103,2015
151,2015-01-22 00:00:00,5.49,5.49,5.49,5.49,5,2015
152,2015-01-23 00:00:00,5.49,5.49,4.6,4.94,826,2015
153,2015-01-26 00:00:00,5.49,5.49,4.6,5.49,747,2015
154,2015-01-27 00:00:00,5.49,5.49,5.49,5.49,3,2015
155,2015-01-28 00:00:00,5.49,5.49,4.7,5.49,6505,2015
156,2015-01-29 00:00:00,5.49,5.49,5.49,5.49,2,2015
157,2015-01-30 00:00:00,5.49,5.49,4.7,5.49,203,2015
158,2015-02-02 00:00:00,5.49,5.49,5.49,5.49,6,2015
159,2015-02-03 00:00:00,5.49,5.49,5.49,5.49,3,2015
160,2015-02-04 00:00:00,5.49,5.49,4.71,5.49,303,2015
161,2015-02-05 00:00:00,5.49,5.49,4.72,5.49,103,2015
162,2015-02-06 00:00:00,5.49,5.49,5.49,5.49,3,2015
163,2015-02-09 00:00:00,5.49,5.49,5.49,5.49,3,2015
164,2015-02-10 00:00:00,5.45,5.45,5.45,5.45,3,2015
165,2015-02-11 00:00:00,5.45,5.45,5.45,5.45,2,2015
166,2015-02-12 00:00:00,5.45,5.45,5.45,5.45,3,2015
167,2015-02-13 00:00:00,5.45,5.45,5.45,5.45,3,2015
168,2015-02-16 00:00:00,5.45,5.45,5.45,5.45,3,2015
169,2015-02-17 00:00:00,5.45,5.45,4.67,5.45,409,2015
170,2015-02-18 00:00:00,5.45,5.45,5.45,5.45,3,2015
