,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-05-31 00:00:00,1.56,1.56,1.3087,1.3867,6947,2012
1,2012-06-05 00:00:00,1.7333,1.9067,1.4907,1.4907,25920,2012
2,2012-06-29 00:00:00,0.85,0.87,0.74,0.74,6097,2012
3,2012-07-03 00:00:00,0.7367,0.7367,0.6587,0.7193,8643,2012
4,2012-07-04 00:00:00,0.6933,0.6933,0.6587,0.6587,3018,2012
5,2012-07-05 00:00:00,0.624,0.7887,0.624,0.7887,3621,2012
6,2012-07-06 00:00:00,0.8233,0.8233,0.8233,0.8233,115,2012
7,2012-07-09 00:00:00,0.78,0.78,0.7107,0.7107,1327,2012
8,2012-07-10 00:00:00,0.7367,0.7367,0.6933,0.6933,404,2012
9,2012-07-11 00:00:00,0.65,0.65,0.6067,0.6067,691,2012
10,2012-07-13 00:00:00,0.6067,0.6673,0.5893,0.6673,1386,2012
11,2012-07-16 00:00:00,0.624,0.624,0.624,0.624,196,2012
12,2012-07-18 00:00:00,0.6067,0.6413,0.6067,0.624,886,2012
13,2012-07-19 00:00:00,0.624,0.624,0.624,0.624,204,2012
14,2012-07-20 00:00:00,0.5893,0.5893,0.5547,0.5547,1325,2012
15,2012-07-23 00:00:00,0.52,0.52,0.52,0.52,1058,2012
16,2012-07-24 00:00:00,0.4853,0.4853,0.4853,0.4853,2462,2012
17,2012-07-25 00:00:00,0.4853,0.5373,0.4507,0.5373,10986,2012
18,2012-07-26 00:00:00,0.5720000000000001,0.624,0.5720000000000001,0.624,7340,2012
19,2012-07-27 00:00:00,0.65,0.65,0.5893,0.5893,207,2012
20,2012-07-30 00:00:00,0.5893,0.598,0.5893,0.598,231,2012
21,2012-08-03 00:00:00,0.5633,0.5633,0.546,0.546,3104,2012
22,2012-08-08 00:00:00,0.52,0.52,0.5113,0.52,3265,2012
23,2012-08-10 00:00:00,0.5113,0.5113,0.4593,0.5113,9900,2012
24,2012-08-13 00:00:00,0.5113,0.5633,0.5113,0.5633,5227,2012
25,2012-08-14 00:00:00,0.624,0.624,0.624,0.624,1589,2012
26,2012-08-16 00:00:00,0.6759999999999999,0.6933,0.6759999999999999,0.6933,3404,2012
27,2012-08-22 00:00:00,0.7020000000000001,0.7020000000000001,0.6933,0.6933,2423,2012
28,2012-08-28 00:00:00,0.6933,0.6933,0.6933,0.6933,58,2012
29,2012-08-29 00:00:00,0.6933,0.6933,0.6933,0.6933,35,2012
30,2012-08-30 00:00:00,0.6933,0.6933,0.624,0.65,7087,2012
31,2012-08-31 00:00:00,0.65,0.65,0.65,0.65,58,2012
32,2012-09-03 00:00:00,0.65,0.65,0.65,0.65,58,2012
33,2012-09-04 00:00:00,0.65,0.65,0.5893,0.5893,1212,2012
34,2012-09-07 00:00:00,0.5893,0.624,0.5373,0.624,4788,2012
35,2012-09-10 00:00:00,0.6933,0.6933,0.6933,0.6933,1731,2012
36,2012-09-13 00:00:00,0.7107,0.8320000000000001,0.7107,0.8320000000000001,5297,2012
37,2012-09-14 00:00:00,0.7973,0.7973,0.7627,0.7627,231,2012
38,2012-09-17 00:00:00,0.7367,0.7713,0.7367,0.7713,6751,2012
39,2012-09-18 00:00:00,0.8059999999999999,1.0573,0.8059999999999999,1.0573,7938,2012
40,2012-09-19 00:00:00,1.0227,1.0227,0.9533,0.988,3715,2012
41,2012-09-20 00:00:00,1.0227,1.0573,1.0227,1.0573,2567,2012
42,2012-09-21 00:00:00,1.0573,1.2653,1.0227,1.2653,40486,2012
43,2012-09-24 00:00:00,1.43,1.6293,1.3,1.6293,5630,2012
44,2012-09-25 00:00:00,1.6293,2.1319999999999997,1.3259999999999998,2.1319999999999997,14117,2012
45,2012-09-26 00:00:00,2.1233,2.392,1.82,2.3833,24524,2012
46,2012-09-27 00:00:00,2.3833,2.8513,1.976,2.8513,7518,2012
47,2012-09-28 00:00:00,3.55,4.25,2.86,2.98,14403,2012
48,2012-10-01 00:00:00,2.6,2.6,1.9327,1.9327,4083,2012
49,2012-10-02 00:00:00,1.768,2.08,1.4213,1.4213,8909,2012
50,2012-10-03 00:00:00,1.43,1.6813,1.3607,1.4907,20200,2012
51,2012-10-04 00:00:00,1.5687,2.1407,1.5687,2.0627,39115,2012
52,2012-10-05 00:00:00,2.4267,2.4267,1.56,1.56,6097,2012
53,2012-10-08 00:00:00,1.43,1.69,1.248,1.274,7260,2012
54,2012-10-09 00:00:00,1.2133,1.2133,1.0227,1.1440000000000001,6910,2012
55,2012-10-10 00:00:00,0.9967,1.1267,0.9967,1.1267,2423,2012
56,2012-10-12 00:00:00,1.0833,1.2567,1.0833,1.2047,3173,2012
57,2012-10-15 00:00:00,1.0833,1.0833,0.9707,1.0833,2654,2012
58,2012-10-17 00:00:00,1.0053,1.0053,0.9967,0.9967,1385,2012
59,2012-10-18 00:00:00,0.9967,0.9967,0.91,0.91,84,2012
60,2012-10-22 00:00:00,0.91,0.91,0.8667,0.8667,1794,2012
61,2012-10-23 00:00:00,0.8667,0.8667,0.8667,0.8667,1240,2012
62,2012-10-25 00:00:00,0.8667,0.8667,0.8667,0.8667,75,2012
