,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-05-19 00:00:00,0.18092,0.26897,0.14667,0.26404,417809,2015
1,2015-05-20 00:00:00,0.27869,0.39603,0.25916999999999996,0.39603,239134,2015
2,2015-05-21 00:00:00,0.46934,0.5622,0.31782,0.35209,527302,2015
3,2015-05-22 00:00:00,0.33739,0.34225,0.27382,0.33247,288304,2015
4,2015-05-25 00:00:00,0.33247,0.33247,0.26897,0.27382,132175,2015
5,2015-05-26 00:00:00,0.25916999999999996,0.28852,0.22491999999999998,0.23959,73202,2015
6,2015-05-27 00:00:00,0.23469,0.33247,0.19068,0.33247,430346,2015
7,2015-05-28 00:00:00,0.35695,0.36182,0.28852,0.30804000000000004,107081,2015
8,2015-05-29 00:00:00,0.31290999999999997,0.31290999999999997,0.25426,0.29825,68527,2015
9,2015-06-01 00:00:00,0.28355,0.28852,0.24448000000000003,0.26897,58812,2015
10,2015-06-02 00:00:00,0.26897,0.27869,0.25426,0.27869,6324,2015
11,2015-06-03 00:00:00,0.23959,0.27382,0.21025,0.21514,41417,2015
12,2015-06-05 00:00:00,0.23959,0.23959,0.17113,0.20536,86710,2015
13,2015-06-08 00:00:00,0.21025,0.21025,0.18092,0.21025,69774,2015
14,2015-06-09 00:00:00,0.21025,0.21025,0.1858,0.1858,27806,2015
15,2015-06-10 00:00:00,0.21514,0.21514,0.17603,0.19068,31301,2015
16,2015-06-11 00:00:00,0.17113,0.19068,0.17113,0.1858,13475,2015
17,2015-06-12 00:00:00,0.20536,0.20536,0.17113,0.19559,6271,2015
18,2015-06-15 00:00:00,0.19559,0.19559,0.18092,0.19559,4114,2015
19,2015-06-16 00:00:00,0.18092,0.18092,0.14667,0.15159,71716,2015
20,2015-06-17 00:00:00,0.1418,0.1418,0.11245999999999999,0.12713,343703,2015
21,2015-06-18 00:00:00,0.12713,0.15159,0.12713,0.15159,57395,2015
22,2015-06-19 00:00:00,0.13691,0.15647,0.13202,0.15647,3085,2015
23,2015-06-22 00:00:00,0.13202,0.1418,0.12224000000000002,0.1418,14503,2015
24,2015-06-23 00:00:00,0.12224000000000002,0.1418,0.12224000000000002,0.1418,4356,2015
25,2015-06-24 00:00:00,0.12224000000000002,0.1418,0.11735,0.1418,71400,2015
26,2015-06-25 00:00:00,0.1418,0.1418,0.12224000000000002,0.1418,50025,2015
27,2015-06-26 00:00:00,0.15647,0.15647,0.15159,0.15159,10256,2015
28,2015-06-29 00:00:00,0.13691,0.15647,0.13202,0.15647,14061,2015
29,2015-06-30 00:00:00,0.15647,0.15647,0.14667,0.15647,10298,2015
30,2015-07-01 00:00:00,0.16135,0.16135,0.13202,0.15647,85299,2015
31,2015-07-02 00:00:00,0.15647,0.15647,0.13691,0.1418,26614,2015
32,2015-07-03 00:00:00,0.1418,0.15159,0.13202,0.15159,99975,2015
33,2015-07-06 00:00:00,0.15159,0.15159,0.12713,0.12713,36981,2015
34,2015-07-07 00:00:00,0.13691,0.13691,0.13691,0.13691,2058,2015
35,2015-07-08 00:00:00,0.13691,0.13691,0.13691,0.13691,56,2015
36,2015-07-09 00:00:00,0.13691,0.13691,0.13691,0.13691,190,2015
37,2015-07-10 00:00:00,0.13691,0.13691,0.13202,0.13691,1673,2015
38,2015-07-13 00:00:00,0.13691,0.15159,0.12713,0.14667,31981,2015
39,2015-07-14 00:00:00,0.14667,0.14667,0.13691,0.1418,2527,2015
40,2015-07-15 00:00:00,0.14667,0.15159,0.1418,0.14667,6015,2015
41,2015-07-16 00:00:00,0.14667,0.15159,0.14667,0.15159,911,2015
42,2015-07-17 00:00:00,0.15159,0.15159,0.12224000000000002,0.12713,59215,2015
43,2015-07-20 00:00:00,0.12713,0.12713,0.12224000000000002,0.12713,32395,2015
44,2015-07-21 00:00:00,0.12713,0.13691,0.12713,0.13202,75508,2015
45,2015-07-22 00:00:00,0.1418,0.1418,0.13202,0.13691,22785,2015
46,2015-07-23 00:00:00,0.13691,0.13691,0.12713,0.13691,8181,2015
47,2015-07-24 00:00:00,0.1418,0.1418,0.12713,0.12713,30480,2015
48,2015-07-27 00:00:00,0.1418,0.1418,0.13202,0.13691,10235,2015
49,2015-07-28 00:00:00,0.1418,0.1418,0.12713,0.1418,7214,2015
50,2015-07-29 00:00:00,0.1418,0.1418,0.1418,0.1418,152,2015
51,2015-07-30 00:00:00,0.1418,0.1418,0.13691,0.1418,529,2015
52,2015-07-31 00:00:00,0.1418,0.1418,0.13202,0.1418,10113,2015
53,2015-08-03 00:00:00,0.14667,0.15159,0.14667,0.15159,2269,2015
54,2015-08-04 00:00:00,0.15159,0.15159,0.12713,0.13202,14262,2015
55,2015-08-05 00:00:00,0.15159,0.15159,0.15159,0.15159,156,2015
56,2015-08-06 00:00:00,0.15159,0.15159,0.14667,0.14667,88,2015
57,2015-08-07 00:00:00,0.15159,0.15159,0.15159,0.15159,30,2015
58,2015-08-10 00:00:00,0.12713,0.17113,0.12713,0.16624,29678,2015
59,2015-08-11 00:00:00,0.16135,0.16135,0.14667,0.14667,1707,2015
60,2015-08-12 00:00:00,0.16624,0.16624,0.15647,0.16135,1704,2015
61,2015-08-13 00:00:00,0.16624,0.16624,0.13691,0.14667,9419,2015
62,2015-08-14 00:00:00,0.16624,0.16624,0.14667,0.15647,2217,2015
63,2015-08-17 00:00:00,0.16624,0.16624,0.13202,0.16135,36456,2015
64,2015-08-18 00:00:00,0.16135,0.16135,0.16135,0.16135,57,2015
65,2015-08-19 00:00:00,0.16135,0.16135,0.13202,0.13202,8772,2015
66,2015-08-20 00:00:00,0.15647,0.15647,0.13202,0.1418,3192,2015
67,2015-08-21 00:00:00,0.15159,0.15159,0.12713,0.15159,10626,2015
68,2015-08-24 00:00:00,0.15159,0.15159,0.12713,0.14667,22092,2015
69,2015-08-25 00:00:00,0.14667,0.14667,0.13202,0.14667,5173,2015
70,2015-08-26 00:00:00,0.14667,0.14667,0.13202,0.14667,10271,2015
71,2015-08-27 00:00:00,0.14667,0.14667,0.12713,0.14667,6673,2015
72,2015-08-28 00:00:00,0.14667,0.14667,0.14667,0.14667,15,2015
73,2015-08-31 00:00:00,0.15159,0.15159,0.12224000000000002,0.12224000000000002,15552,2015
74,2015-09-01 00:00:00,0.1418,0.14667,0.13691,0.14667,10918,2015
75,2015-09-02 00:00:00,0.1418,0.1418,0.12224000000000002,0.1418,27286,2015
76,2015-09-03 00:00:00,0.1418,0.1418,0.13202,0.13691,59014,2015
77,2015-09-04 00:00:00,0.1418,0.1418,0.13202,0.1418,12473,2015
78,2015-09-07 00:00:00,0.1418,0.1418,0.13202,0.13691,12329,2015
79,2015-09-08 00:00:00,0.13202,0.1418,0.13202,0.1418,17766,2015
80,2015-09-09 00:00:00,0.1418,0.1418,0.13202,0.1418,6146,2015
81,2015-09-10 00:00:00,0.1418,0.14667,0.1418,0.14667,32475,2015
82,2015-09-11 00:00:00,0.14667,0.16624,0.13691,0.16624,22593,2015
83,2015-09-14 00:00:00,0.16135,0.17113,0.15647,0.17113,21344,2015
84,2015-09-15 00:00:00,0.17113,0.17113,0.16135,0.17113,20358,2015
85,2015-09-16 00:00:00,0.17113,0.20047,0.16624,0.1858,77666,2015
86,2015-09-17 00:00:00,0.19559,0.19559,0.17603,0.18092,8443,2015
87,2015-09-18 00:00:00,0.18092,0.19068,0.16135,0.19068,5434,2015
88,2015-09-21 00:00:00,0.19068,0.19559,0.17113,0.1858,11757,2015
89,2015-09-22 00:00:00,0.19559,0.20536,0.19559,0.20536,12835,2015
90,2015-09-23 00:00:00,0.20536,0.20536,0.1858,0.20047,5722,2015
91,2015-09-24 00:00:00,0.20047,0.20047,0.19559,0.19559,5002,2015
92,2015-09-25 00:00:00,0.19559,0.23469,0.16624,0.23469,30781,2015
93,2015-09-28 00:00:00,0.21514,0.23959,0.20536,0.23959,28357,2015
94,2015-09-29 00:00:00,0.23469,0.23959,0.21025,0.23469,9101,2015
95,2015-09-30 00:00:00,0.2298,0.2298,0.21514,0.2298,2269,2015
96,2015-10-01 00:00:00,0.19068,0.23469,0.1858,0.23469,12722,2015
97,2015-10-02 00:00:00,0.20047,0.22003000000000003,0.20047,0.22003000000000003,3640,2015
98,2015-10-06 00:00:00,0.1858,0.21025,0.1858,0.21025,3402,2015
