,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-10-17 00:00:00,0.499,0.499,0.499,0.499,969630,2011
1,2011-10-18 00:00:00,0.58,0.696,0.58,0.696,37510,2011
2,2011-10-19 00:00:00,0.833,0.9990000000000001,0.833,0.9990000000000001,425280,2011
3,2011-10-20 00:00:00,1.198,1.43,0.75,0.75,121350,2011
4,2011-10-21 00:00:00,0.61,0.69,0.43,0.509,386390,2011
5,2011-10-24 00:00:00,0.41,0.48,0.32,0.32,1382280,2011
6,2011-10-25 00:00:00,0.304,0.33,0.196,0.2,2793010,2011
7,2011-10-26 00:00:00,0.198,0.23199999999999998,0.175,0.185,1267870,2011
8,2011-10-27 00:00:00,0.184,0.205,0.16,0.191,726770,2011
9,2011-10-28 00:00:00,0.157,0.185,0.11,0.11,7685530,2011
10,2011-10-31 00:00:00,0.12,0.13,0.11,0.12,774120,2011
11,2011-11-02 00:00:00,0.11699999999999999,0.125,0.10099999999999999,0.12,1294570,2011
12,2011-11-03 00:00:00,0.11199999999999999,0.135,0.111,0.12300000000000001,915440,2011
13,2011-11-04 00:00:00,0.13,0.13,0.11,0.11,186930,2011
14,2011-11-07 00:00:00,0.105,0.12300000000000001,0.105,0.12,88500,2011
15,2011-11-08 00:00:00,0.115,0.11900000000000001,0.11,0.11800000000000001,158010,2011
16,2011-11-09 00:00:00,0.113,0.11699999999999999,0.10300000000000001,0.10800000000000001,269650,2011
17,2011-11-10 00:00:00,0.105,0.109,0.10099999999999999,0.10300000000000001,152490,2011
18,2011-11-14 00:00:00,0.10300000000000001,0.109,0.10099999999999999,0.10300000000000001,89470,2011
19,2011-11-15 00:00:00,0.109,0.11599999999999999,0.10300000000000001,0.114,56820,2011
20,2011-11-16 00:00:00,0.113,0.115,0.10099999999999999,0.109,168170,2011
21,2011-11-17 00:00:00,0.10099999999999999,0.106,0.10099999999999999,0.106,85780,2011
22,2011-11-18 00:00:00,0.10099999999999999,0.106,0.09,0.09,136410,2011
23,2011-11-21 00:00:00,0.091,0.099,0.091,0.09699999999999999,137800,2011
24,2011-11-22 00:00:00,0.096,0.096,0.095,0.095,5200,2011
25,2011-11-23 00:00:00,0.098,0.098,0.081,0.095,70100,2011
26,2011-11-24 00:00:00,0.085,0.10400000000000001,0.085,0.102,400580,2011
27,2011-11-25 00:00:00,0.102,0.102,0.095,0.102,23600,2011
28,2011-11-28 00:00:00,0.10099999999999999,0.10099999999999999,0.08199999999999999,0.09,62420,2011
29,2011-11-29 00:00:00,0.085,0.09300000000000001,0.085,0.091,60120,2011
30,2011-11-30 00:00:00,0.09,0.09,0.08,0.09,140520,2011
31,2011-12-01 00:00:00,0.08800000000000001,0.08800000000000001,0.077,0.077,4610,2011
32,2011-12-02 00:00:00,0.09,0.09,0.07,0.09,63820,2011
33,2011-12-05 00:00:00,0.084,0.08900000000000001,0.08,0.087,27520,2011
34,2011-12-06 00:00:00,0.09,0.09,0.08,0.08,61920,2011
35,2011-12-07 00:00:00,0.08,0.09,0.08,0.09,100990,2011
36,2011-12-08 00:00:00,0.08,0.08,0.08,0.08,18480,2011
37,2011-12-09 00:00:00,0.08,0.09,0.08,0.09,57410,2011
38,2011-12-12 00:00:00,0.08,0.08,0.08,0.08,38280,2011
39,2011-12-13 00:00:00,0.08,0.08,0.08,0.08,34300,2011
40,2011-12-14 00:00:00,0.08,0.08,0.08,0.08,38540,2011
41,2011-12-15 00:00:00,0.08,0.08,0.07,0.08,32700,2011
42,2011-12-16 00:00:00,0.08,0.08,0.08,0.08,5340,2011
43,2011-12-19 00:00:00,0.07,0.08,0.07,0.07,26710,2011
44,2011-12-20 00:00:00,0.08,0.09,0.08,0.09,51520,2011
45,2011-12-21 00:00:00,0.08,0.09,0.08,0.08,39170,2011
46,2011-12-22 00:00:00,0.09,0.09,0.07,0.08,235079,2011
47,2011-12-23 00:00:00,0.09,0.09,0.08,0.08,15700,2011
48,2011-12-27 00:00:00,0.07,0.07,0.06,0.07,114491,2011
49,2011-12-28 00:00:00,0.07,0.08,0.07,0.08,16300,2011
50,2011-12-29 00:00:00,0.08,0.08,0.07,0.07,5260,2011
51,2011-12-30 00:00:00,0.07,0.08,0.06,0.08,38591,2011
52,2012-01-02 00:00:00,0.08,0.08,0.08,0.08,100,2012
53,2012-01-03 00:00:00,0.08,0.08,0.06,0.07,11761,2012
54,2012-01-04 00:00:00,0.07,0.07,0.07,0.07,31070,2012
55,2012-01-05 00:00:00,0.06,0.07,0.06,0.07,101780,2012
56,2012-01-09 00:00:00,0.06,0.07,0.06,0.06,239280,2012
