,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-12-12 00:00:00,1.07,1.07,0.9,0.9,2824,2008
1,2008-12-15 00:00:00,0.89,0.89,0.89,0.89,1116,2008
2,2008-12-18 00:00:00,0.56,0.56,0.49,0.49,22548,2008
3,2008-12-19 00:00:00,0.59,0.59,0.59,0.59,11,2008
4,2008-12-22 00:00:00,0.57,0.57,0.57,0.57,11,2008
5,2008-12-31 00:00:00,0.62,0.62,0.62,0.62,2,2008
6,2009-01-05 00:00:00,0.61,0.61,0.61,0.61,11,2009
7,2009-01-06 00:00:00,0.6,0.61,0.6,0.61,334,2009
8,2009-01-08 00:00:00,0.61,0.61,0.61,0.61,223,2009
9,2009-01-27 00:00:00,0.63,0.63,0.63,0.63,334,2009
10,2009-02-03 00:00:00,0.57,0.57,0.57,0.57,1,2009
11,2009-02-24 00:00:00,0.52,0.52,0.52,0.52,22,2009
12,2009-03-19 00:00:00,0.36,0.36,0.36,0.36,1116,2009
13,2009-03-20 00:00:00,0.36,0.36,0.36,0.36,1635,2009
14,2009-03-25 00:00:00,0.36,0.36,0.36,0.36,11,2009
15,2009-03-26 00:00:00,0.36,0.36,0.36,0.36,1116,2009
16,2009-03-30 00:00:00,0.36,0.36,0.36,0.36,1562,2009
17,2009-04-01 00:00:00,0.36,0.36,0.36,0.36,156,2009
18,2009-04-06 00:00:00,0.36,0.36,0.36,0.36,2,2009
19,2009-04-14 00:00:00,0.35,0.35,0.35,0.35,2,2009
20,2009-04-15 00:00:00,0.35,0.36,0.35,0.36,8372,2009
21,2009-04-16 00:00:00,0.36,0.36,0.36,0.36,12339,2009
22,2009-04-20 00:00:00,0.36,0.36,0.36,0.36,1397,2009
23,2009-04-21 00:00:00,0.36,0.45,0.36,0.45,8637,2009
24,2009-04-22 00:00:00,0.45,0.45,0.45,0.45,558,2009
25,2009-04-27 00:00:00,0.43,0.43,0.43,0.43,55,2009
26,2009-04-29 00:00:00,0.4,0.4,0.4,0.4,1100,2009
27,2009-04-30 00:00:00,0.4,0.4,0.4,0.4,3091,2009
28,2009-05-05 00:00:00,0.4,0.4,0.4,0.4,750,2009
29,2009-05-07 00:00:00,0.4,0.4,0.4,0.4,1000,2009
30,2009-05-18 00:00:00,0.4,0.4,0.4,0.4,1500,2009
31,2009-05-25 00:00:00,0.35,0.35,0.35,0.35,1000,2009
32,2009-05-26 00:00:00,0.36,0.36,0.36,0.36,679,2009
33,2009-06-01 00:00:00,0.4,0.4,0.35,0.35,300,2009
34,2009-06-02 00:00:00,0.39,0.39,0.39,0.39,3000,2009
35,2009-06-04 00:00:00,0.4,0.55,0.39,0.45,13729,2009
36,2009-06-05 00:00:00,0.54,0.54,0.37,0.37,549,2009
37,2009-06-08 00:00:00,0.48,0.48,0.48,0.48,3042,2009
38,2009-06-09 00:00:00,0.73,0.73,0.55,0.72,22291,2009
39,2009-06-10 00:00:00,0.8,0.8,0.6,0.69,15845,2009
40,2009-06-12 00:00:00,0.64,0.72,0.64,0.7,630,2009
41,2009-06-15 00:00:00,0.7,0.74,0.7,0.72,2360,2009
