,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2009-05-20 00:00:00,7.9619,9.0446,4.2602,4.7493,68851,2009
1,2009-05-21 00:00:00,4.9238,5.3078,4.3303,4.5048,13007,2009
2,2009-05-22 00:00:00,4.3303,4.435,3.9459,4.1905,12674,2009
3,2009-05-25 00:00:00,4.0507,4.1554,3.4571,3.7017,5862,2009
4,2009-05-26 00:00:00,3.597,4.365,3.3524,3.8065,10419,2009
5,2009-05-27 00:00:00,4.1554,4.1554,3.6316,3.8065,4917,2009
6,2009-05-28 00:00:00,3.8065,3.8762,3.5269,3.6316,5229,2009
7,2009-05-29 00:00:00,3.9112,3.9459,3.597,3.7364,2307,2009
8,2009-06-01 00:00:00,3.9810000000000003,4.1905,3.597,4.016,3594,2009
9,2009-06-02 00:00:00,3.7017,3.9112,3.597,3.7714,5392,2009
10,2009-06-03 00:00:00,3.8762,3.9112,3.5269,3.8762,5717,2009
11,2009-06-04 00:00:00,3.6316,3.8411,3.597,3.8411,3344,2009
12,2009-06-05 00:00:00,3.8762,3.8762,3.6667,3.6667,1252,2009
13,2009-06-08 00:00:00,3.6667,3.7714,3.6667,3.7714,2347,2009
14,2009-06-09 00:00:00,3.6667,4.0507,3.6667,4.0507,1635,2009
15,2009-06-10 00:00:00,3.7714,4.1554,3.7714,4.1554,1580,2009
16,2009-06-12 00:00:00,4.0857,4.2952,3.8065,4.016,3659,2009
17,2009-06-15 00:00:00,4.016,4.1905,3.9810000000000003,4.1208,525,2009
18,2009-06-16 00:00:00,3.9112,3.9112,3.9112,3.9112,646,2009
19,2009-06-17 00:00:00,3.9112,3.9112,3.9112,3.9112,66,2009
20,2009-06-18 00:00:00,3.7714,4.0857,3.7714,4.0857,333,2009
21,2009-06-19 00:00:00,4.1905,4.1905,4.1905,4.1905,29,2009
22,2009-06-22 00:00:00,3.7714,3.7714,3.5269,3.7364,11865,2009
23,2009-06-23 00:00:00,3.6667,3.7017,3.5619,3.5619,4654,2009
24,2009-06-24 00:00:00,3.7017,3.8065,3.597,3.8065,3581,2009
25,2009-06-25 00:00:00,3.7364,3.7364,3.7017,3.7017,1310,2009
26,2009-06-26 00:00:00,3.7017,3.7017,3.7017,3.7017,29,2009
27,2009-06-29 00:00:00,3.7017,3.9459,3.7017,3.7364,341,2009
28,2009-06-30 00:00:00,3.7714,3.7714,3.7714,3.7714,289,2009
29,2009-07-01 00:00:00,3.5619,3.5619,3.5619,3.5619,74,2009
30,2009-07-02 00:00:00,3.7714,3.9459,3.7714,3.9459,173,2009
31,2009-07-03 00:00:00,3.6667,3.9459,3.6667,3.9459,1076,2009
32,2009-07-07 00:00:00,3.9112,3.9112,3.9112,3.9112,3,2009
33,2009-07-09 00:00:00,3.5269,3.6667,3.5269,3.6667,572,2009
34,2009-07-10 00:00:00,3.8065,3.8065,3.4571,3.6316,1084,2009
35,2009-07-13 00:00:00,3.4922,3.4922,3.4922,3.4922,21,2009
36,2009-07-14 00:00:00,3.6667,3.6667,3.6667,3.6667,3,2009
37,2009-07-15 00:00:00,3.7017,3.7017,3.7017,3.7017,16,2009
38,2009-07-16 00:00:00,3.3874,3.7017,3.3874,3.7017,168,2009
39,2009-07-17 00:00:00,3.4922,3.4922,3.3874,3.3874,3,2009
40,2009-07-20 00:00:00,3.4221,3.6667,3.3874,3.6667,588,2009
41,2009-07-21 00:00:00,3.4922,3.9112,3.4571,3.9112,546,2009
42,2009-07-23 00:00:00,3.4922,3.8065,3.4922,3.8065,672,2009
43,2009-07-27 00:00:00,3.9112,3.9112,3.9112,3.9112,3,2009
44,2009-07-28 00:00:00,3.6316,3.6316,3.6316,3.6316,257,2009
45,2009-07-29 00:00:00,3.5269,3.8762,3.4922,3.8762,575,2009
46,2009-07-31 00:00:00,3.7714,3.8762,3.6316,3.7714,389,2009
47,2009-08-04 00:00:00,3.8411,4.5048,3.7364,4.1554,7788,2009
48,2009-08-05 00:00:00,3.8762,3.8762,3.4922,3.4922,6192,2009
49,2009-08-06 00:00:00,3.597,3.9459,3.4922,3.4922,5728,2009
50,2009-08-07 00:00:00,3.5619,3.597,3.4922,3.597,1822,2009
