,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-04-24 00:00:00,0.95,0.95,0.78,0.78,57201,2013
1,2013-04-25 00:00:00,0.75,0.81,0.75,0.81,7420,2013
2,2013-04-26 00:00:00,0.79,0.81,0.78,0.81,5447,2013
3,2013-04-29 00:00:00,0.82,0.89,0.8,0.89,65117,2013
4,2013-04-30 00:00:00,0.79,0.89,0.79,0.88,7743,2013
5,2013-05-02 00:00:00,0.85,0.85,0.81,0.84,7800,2013
6,2013-05-06 00:00:00,0.81,0.81,0.8,0.8,5600,2013
7,2013-05-07 00:00:00,0.85,0.85,0.84,0.84,18,2013
8,2013-05-08 00:00:00,0.83,0.83,0.7,0.76,7502,2013
9,2013-05-09 00:00:00,0.83,0.83,0.71,0.78,7999,2013
10,2013-05-10 00:00:00,0.83,0.83,0.83,0.83,6,2013
11,2013-05-13 00:00:00,0.83,0.83,0.74,0.74,6202,2013
12,2013-05-14 00:00:00,0.76,0.76,0.75,0.76,5077,2013
13,2013-05-15 00:00:00,0.76,0.76,0.76,0.76,8,2013
14,2013-05-16 00:00:00,0.76,0.76,0.7,0.7,2445,2013
15,2013-05-17 00:00:00,0.75,0.75,0.73,0.73,10,2013
16,2013-05-20 00:00:00,0.73,0.73,0.73,0.73,5,2013
17,2013-05-21 00:00:00,0.73,0.73,0.73,0.73,6,2013
18,2013-05-24 00:00:00,0.7,0.74,0.7,0.74,10355,2013
19,2013-05-31 00:00:00,0.7,0.74,0.7,0.74,4250,2013
20,2013-06-03 00:00:00,0.75,0.75,0.75,0.75,7002,2013
21,2013-06-04 00:00:00,0.74,0.74,0.7,0.74,1011,2013
22,2013-06-05 00:00:00,0.75,0.75,0.75,0.75,2,2013
23,2013-06-06 00:00:00,0.74,0.74,0.73,0.73,11,2013
24,2013-06-07 00:00:00,0.73,0.73,0.73,0.73,10,2013
25,2013-06-10 00:00:00,0.73,0.73,0.7,0.73,1522,2013
26,2013-06-11 00:00:00,0.73,0.73,0.73,0.73,8,2013
27,2013-06-12 00:00:00,0.73,0.73,0.7,0.73,4004,2013
28,2013-06-13 00:00:00,0.72,0.72,0.7,0.72,1802,2013
29,2013-06-14 00:00:00,0.72,0.72,0.72,0.72,6,2013
30,2013-06-17 00:00:00,0.72,0.72,0.72,0.72,5,2013
31,2013-06-18 00:00:00,0.71,0.71,0.71,0.71,10,2013
32,2013-06-19 00:00:00,0.71,0.83,0.7,0.76,104814,2013
33,2013-06-20 00:00:00,0.77,0.77,0.7,0.76,11970,2013
34,2013-06-21 00:00:00,0.78,0.78,0.72,0.72,650,2013
35,2013-06-24 00:00:00,0.72,0.75,0.7,0.75,1002,2013
36,2013-06-25 00:00:00,0.75,0.75,0.75,0.75,3,2013
37,2013-06-26 00:00:00,0.75,0.75,0.75,0.75,3,2013
38,2013-06-27 00:00:00,0.74,0.74,0.74,0.74,4,2013
39,2013-06-28 00:00:00,0.75,0.77,0.73,0.77,20035,2013
40,2013-07-01 00:00:00,0.75,0.75,0.75,0.75,3,2013
41,2013-07-02 00:00:00,0.75,0.79,0.75,0.79,12468,2013
42,2013-07-03 00:00:00,0.78,0.78,0.78,0.78,7,2013
43,2013-07-05 00:00:00,0.79,0.94,0.7,0.87,13889,2013
44,2013-07-09 00:00:00,0.8,0.8,0.78,0.78,204,2013
45,2013-07-10 00:00:00,0.78,0.98,0.78,0.98,110100,2013
46,2013-07-11 00:00:00,1.01,1.01,0.84,0.99,22358,2013
47,2013-07-12 00:00:00,0.99,0.99,0.91,0.91,1720,2013
48,2013-07-15 00:00:00,1.09,1.11,0.95,1.11,87156,2013
49,2013-07-16 00:00:00,1.11,1.3,0.94,0.99,15060,2013
50,2013-07-17 00:00:00,1.01,1.09,0.9,1.09,22173,2013
51,2013-07-18 00:00:00,1.09,1.09,0.9,1.08,2311,2013
52,2013-07-19 00:00:00,1.0,1.07,0.9,1.07,13456,2013
53,2013-07-22 00:00:00,1.07,1.09,0.9,1.01,18100,2013
54,2013-07-23 00:00:00,1.21,1.21,1.2,1.2,50,2013
55,2013-07-24 00:00:00,1.0,1.15,1.0,1.1,9270,2013
56,2013-07-25 00:00:00,1.2,1.2,1.15,1.18,2360,2013
57,2013-07-26 00:00:00,1.16,1.16,1.01,1.16,1605,2013
58,2013-07-29 00:00:00,1.18,1.18,1.16,1.16,6,2013
59,2013-07-30 00:00:00,1.1,1.18,0.93,1.18,14977,2013
60,2013-07-31 00:00:00,1.0,1.15,1.0,1.05,3305,2013
61,2013-08-01 00:00:00,0.96,1.0,0.9,1.0,4632,2013
62,2013-08-02 00:00:00,1.14,1.14,0.92,0.94,1761,2013
63,2013-08-05 00:00:00,0.94,1.1,0.83,1.1,8840,2013
64,2013-08-06 00:00:00,1.1,1.1,1.1,1.1,8,2013
65,2013-08-07 00:00:00,1.08,1.14,1.02,1.14,44894,2013
66,2013-08-08 00:00:00,0.92,1.12,0.92,0.95,83232,2013
67,2013-08-09 00:00:00,0.82,1.09,0.82,1.09,1202,2013
68,2013-08-12 00:00:00,0.9,0.9,0.81,0.81,1889,2013
69,2013-08-13 00:00:00,0.81,0.82,0.81,0.82,2118,2013
70,2013-08-14 00:00:00,0.89,0.91,0.89,0.91,1396,2013
71,2013-08-16 00:00:00,1.01,1.01,1.01,1.01,5,2013
72,2013-08-19 00:00:00,1.07,1.07,0.9,0.9,3922,2013
73,2013-08-20 00:00:00,1.02,1.02,0.85,1.02,1093,2013
74,2013-08-21 00:00:00,1.02,1.02,0.82,0.82,668,2013
75,2013-08-22 00:00:00,0.84,0.9,0.82,0.82,10499,2013
76,2013-08-23 00:00:00,0.9,0.9,0.9,0.9,5,2013
77,2013-08-26 00:00:00,0.9,0.9,0.9,0.9,2,2013
78,2013-08-27 00:00:00,0.9,0.9,0.9,0.9,2,2013
79,2013-08-28 00:00:00,0.88,0.88,0.78,0.8,10673,2013
80,2013-08-29 00:00:00,0.85,0.85,0.85,0.85,1,2013
81,2013-08-30 00:00:00,0.82,0.82,0.82,0.82,205,2013
82,2013-09-02 00:00:00,0.82,0.82,0.8,0.8,2000,2013
83,2013-09-03 00:00:00,0.8,0.8,0.8,0.8,4,2013
84,2013-09-04 00:00:00,0.8,0.8,0.79,0.79,271,2013
85,2013-09-06 00:00:00,0.79,0.79,0.79,0.79,737,2013
86,2013-09-09 00:00:00,0.79,0.79,0.79,0.79,505,2013
87,2013-09-10 00:00:00,0.72,0.8,0.72,0.8,4371,2013
88,2013-09-11 00:00:00,0.92,0.92,0.85,0.85,133,2013
89,2013-09-12 00:00:00,0.92,0.92,0.82,0.85,2004,2013
90,2013-09-13 00:00:00,0.82,0.83,0.82,0.83,505,2013
91,2013-09-16 00:00:00,0.85,0.89,0.83,0.86,2685,2013
92,2013-09-17 00:00:00,0.86,0.86,0.86,0.86,1,2013
93,2013-09-18 00:00:00,0.86,0.9,0.78,0.83,22720,2013
94,2013-09-19 00:00:00,0.89,0.96,0.72,0.9,44333,2013
95,2013-09-20 00:00:00,0.87,0.87,0.87,0.87,1451,2013
96,2013-09-23 00:00:00,0.84,0.84,0.71,0.75,32035,2013
97,2013-09-24 00:00:00,0.82,0.82,0.82,0.82,1,2013
98,2013-09-25 00:00:00,0.82,0.82,0.76,0.76,2001,2013
