,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2015-05-28 00:00:00,7.0,7.3,6.55,6.55,10316,2015
1,2015-05-29 00:00:00,6.85,6.85,6.5,6.83,63,2015
2,2015-06-01 00:00:00,6.79,6.79,6.0,6.0,909,2015
3,2015-06-02 00:00:00,6.0,6.27,5.8,6.0,140,2015
4,2015-06-03 00:00:00,6.0,6.25,5.85,6.25,101,2015
5,2015-06-05 00:00:00,6.25,6.81,6.25,6.81,667,2015
6,2015-06-08 00:00:00,6.81,6.81,6.81,6.81,2,2015
7,2015-06-09 00:00:00,6.81,6.81,6.81,6.81,129,2015
8,2015-06-10 00:00:00,6.82,6.82,6.82,6.82,2,2015
9,2015-06-11 00:00:00,6.81,6.81,6.15,6.15,378,2015
10,2015-06-12 00:00:00,6.4,6.44,6.4,6.44,101,2015
11,2015-06-15 00:00:00,6.44,6.44,6.44,6.44,5,2015
12,2015-06-16 00:00:00,6.44,6.44,6.44,6.44,5,2015
13,2015-06-17 00:00:00,6.44,6.44,6.44,6.44,5,2015
14,2015-06-18 00:00:00,6.44,6.44,6.44,6.44,10,2015
15,2015-06-19 00:00:00,6.43,6.43,6.35,6.35,560,2015
16,2015-06-22 00:00:00,6.43,6.43,6.43,6.43,10,2015
17,2015-06-23 00:00:00,6.3,6.3,6.0,6.1,662,2015
18,2015-06-30 00:00:00,6.05,6.05,5.75,5.75,200,2015
19,2015-07-01 00:00:00,5.77,5.8,5.77,5.8,280,2015
20,2015-07-06 00:00:00,5.87,5.9,5.87,5.9,252,2015
21,2015-07-07 00:00:00,5.9,5.9,5.9,5.9,2,2015
22,2015-07-08 00:00:00,5.9,5.9,5.9,5.9,2,2015
23,2015-07-09 00:00:00,5.9,5.9,5.9,5.9,2,2015
24,2015-07-10 00:00:00,5.9,5.9,5.9,5.9,2,2015
25,2015-07-13 00:00:00,5.9,5.9,5.9,5.9,2,2015
26,2015-07-14 00:00:00,5.9,5.9,5.9,5.9,3,2015
27,2015-07-15 00:00:00,5.9,5.9,5.9,5.9,2,2015
28,2015-07-16 00:00:00,5.9,5.9,5.9,5.9,2,2015
29,2015-07-17 00:00:00,5.9,5.9,5.9,5.9,2,2015
30,2015-07-20 00:00:00,5.9,5.9,5.9,5.9,2,2015
31,2015-07-21 00:00:00,5.9,5.9,5.9,5.9,2,2015
32,2015-07-22 00:00:00,5.9,5.9,5.9,5.9,2,2015
33,2015-07-23 00:00:00,5.9,5.9,5.9,5.9,2,2015
34,2015-07-24 00:00:00,5.9,5.9,5.9,5.9,5,2015
35,2015-07-27 00:00:00,5.89,5.9,5.89,5.9,152,2015
36,2015-07-28 00:00:00,5.91,6.2,5.91,6.2,1044,2015
37,2015-07-29 00:00:00,6.18,6.8,6.18,6.8,682,2015
38,2015-07-30 00:00:00,6.5,6.5,6.1,6.1,183,2015
39,2015-08-03 00:00:00,6.1,6.1,6.1,6.1,133,2015
40,2015-08-04 00:00:00,6.34,6.34,6.0,6.0,452,2015
41,2015-08-05 00:00:00,5.95,5.95,5.95,5.95,175,2015
42,2015-08-07 00:00:00,5.97,5.97,5.97,5.97,1,2015
43,2015-08-10 00:00:00,5.96,5.96,5.55,5.55,191,2015
44,2015-08-11 00:00:00,5.78,5.78,5.78,5.78,180,2015
45,2015-08-12 00:00:00,5.78,5.78,5.78,5.78,200,2015
46,2015-08-13 00:00:00,5.78,5.78,5.11,5.11,772,2015
47,2015-08-14 00:00:00,5.12,5.12,5.12,5.12,170,2015
48,2015-08-27 00:00:00,5.2,5.2,5.07,5.07,2353,2015
49,2015-09-07 00:00:00,5.05,5.05,5.05,5.05,20,2015
50,2015-09-08 00:00:00,5.2,5.45,5.2,5.45,950,2015
51,2015-09-09 00:00:00,5.4,5.4,5.4,5.4,20,2015
52,2015-09-11 00:00:00,5.48,5.48,5.48,5.48,3,2015
53,2015-09-14 00:00:00,5.48,5.48,5.48,5.48,203,2015
54,2015-09-15 00:00:00,5.48,5.48,5.48,5.48,3,2015
55,2015-09-16 00:00:00,5.48,5.48,5.48,5.48,375,2015
56,2015-09-29 00:00:00,5.64,5.69,5.64,5.69,300,2015
57,2015-09-30 00:00:00,5.8,5.8,5.8,5.8,103,2015
58,2015-10-01 00:00:00,5.8,5.8,5.8,5.8,1,2015
59,2015-10-02 00:00:00,5.8,6.0,5.8,6.0,604,2015
60,2015-10-09 00:00:00,6.18,6.18,6.18,6.18,40,2015
61,2015-10-12 00:00:00,6.18,6.5,6.18,6.5,517,2015
62,2015-10-13 00:00:00,6.4,6.4,6.4,6.4,6,2015
63,2015-10-14 00:00:00,6.4,6.4,6.4,6.4,15,2015
64,2015-10-15 00:00:00,6.4,6.4,6.4,6.4,15,2015
65,2015-10-16 00:00:00,6.4,6.4,6.4,6.4,92,2015
66,2015-10-19 00:00:00,6.66,6.71,6.66,6.71,230,2015
67,2015-10-21 00:00:00,6.72,6.72,6.72,6.72,5,2015
68,2015-11-03 00:00:00,6.8,6.98,6.8,6.98,100,2015
