,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-04-16 00:00:00,0.48,0.48,0.31,0.31,941399,2010
1,2010-04-19 00:00:00,0.31,0.31,0.27,0.3,93219,2010
2,2010-04-20 00:00:00,0.29,0.29,0.27,0.27,13314,2010
3,2010-04-21 00:00:00,0.28,0.28,0.23,0.23,97203,2010
4,2010-04-22 00:00:00,0.23,0.25,0.21,0.23,85113,2010
5,2010-04-23 00:00:00,0.24,0.24,0.23,0.23,43011,2010
6,2010-04-26 00:00:00,0.23,0.23,0.21,0.22,21116,2010
7,2010-04-27 00:00:00,0.21,0.28,0.2,0.28,77764,2010
8,2010-04-28 00:00:00,0.28,0.28,0.24,0.26,53314,2010
9,2010-04-29 00:00:00,0.26,0.27,0.26,0.27,13519,2010
10,2010-04-30 00:00:00,0.27,0.27,0.25,0.26,4334,2010
11,2010-05-04 00:00:00,0.26,0.26,0.26,0.26,300,2010
12,2010-05-05 00:00:00,0.26,0.26,0.24,0.24,10600,2010
13,2010-05-06 00:00:00,0.22,0.23,0.22,0.23,7267,2010
14,2010-05-10 00:00:00,0.21,0.21,0.21,0.21,19,2010
15,2010-05-11 00:00:00,0.21,0.23,0.21,0.23,19360,2010
16,2010-05-12 00:00:00,0.23,0.23,0.22,0.22,1712,2010
17,2010-05-13 00:00:00,0.22,0.22,0.22,0.22,1040,2010
18,2010-05-14 00:00:00,0.22,0.23,0.22,0.23,2300,2010
19,2010-05-17 00:00:00,0.21,0.21,0.2,0.2,6896,2010
20,2010-05-18 00:00:00,0.2,0.2,0.2,0.2,100,2010
21,2010-05-19 00:00:00,0.22,0.22,0.21,0.21,2940,2010
22,2010-05-20 00:00:00,0.21,0.21,0.21,0.21,600,2010
23,2010-05-21 00:00:00,0.21,0.21,0.21,0.21,3480,2010
24,2010-05-24 00:00:00,0.22,0.22,0.22,0.22,500,2010
25,2010-05-25 00:00:00,0.22,0.23,0.22,0.23,4000,2010
26,2010-05-26 00:00:00,0.22,0.23,0.22,0.22,57009,2010
27,2010-05-27 00:00:00,0.22,0.23,0.22,0.23,370,2010
28,2010-05-28 00:00:00,0.23,0.23,0.23,0.23,5100,2010
29,2010-05-31 00:00:00,0.23,0.23,0.21,0.23,76492,2010
30,2010-06-01 00:00:00,0.21,0.21,0.2,0.21,35143,2010
31,2010-06-02 00:00:00,0.2,0.2,0.2,0.2,83,2010
32,2010-06-04 00:00:00,0.21,0.21,0.2,0.2,17383,2010
33,2010-06-07 00:00:00,0.19,0.2,0.19,0.2,2900,2010
34,2010-06-08 00:00:00,0.2,0.21,0.2,0.2,140231,2010
35,2010-06-09 00:00:00,0.19,0.19,0.18,0.18,9710,2010
36,2010-06-10 00:00:00,0.18,0.18,0.18,0.18,15890,2010
37,2010-06-11 00:00:00,0.18,0.18,0.17,0.17,5100,2010
38,2010-06-14 00:00:00,0.17,0.2,0.17,0.19,54637,2010
39,2010-06-15 00:00:00,0.19,0.19,0.18,0.18,9730,2010
40,2010-06-16 00:00:00,0.18,0.18,0.18,0.18,2000,2010
41,2010-06-17 00:00:00,0.18,0.18,0.18,0.18,5500,2010
42,2010-06-18 00:00:00,0.18,0.18,0.18,0.18,15720,2010
43,2010-06-21 00:00:00,0.18,0.19,0.16,0.19,45300,2010
44,2010-06-22 00:00:00,0.19,0.19,0.19,0.19,27100,2010
45,2010-06-23 00:00:00,0.19,0.19,0.18,0.18,4428,2010
46,2010-06-24 00:00:00,0.18,0.18,0.17,0.17,6400,2010
47,2010-06-25 00:00:00,0.16,0.16,0.16,0.16,30200,2010
48,2010-06-28 00:00:00,0.16,0.16,0.16,0.16,22069,2010
49,2010-06-29 00:00:00,0.16,0.16,0.15,0.15,2000,2010
50,2010-06-30 00:00:00,0.16,0.17,0.16,0.17,3700,2010
51,2010-07-01 00:00:00,0.16,0.17,0.16,0.17,1236,2010
52,2010-07-02 00:00:00,0.17,0.19,0.17,0.18,20654,2010
53,2010-07-05 00:00:00,0.18,0.18,0.17,0.18,5010,2010
54,2010-07-06 00:00:00,0.18,0.18,0.18,0.18,100,2010
55,2010-07-07 00:00:00,0.19,0.19,0.18,0.18,6200,2010
56,2010-07-08 00:00:00,0.18,0.18,0.17,0.18,2100,2010
57,2010-07-09 00:00:00,0.18,0.18,0.18,0.18,1000,2010
58,2010-07-12 00:00:00,0.19,0.19,0.16,0.18,5401,2010
59,2010-07-13 00:00:00,0.19,0.19,0.19,0.19,1000,2010
60,2010-07-14 00:00:00,0.19,0.19,0.18,0.19,19341,2010
61,2010-07-15 00:00:00,0.19,0.19,0.19,0.19,12500,2010
62,2010-07-16 00:00:00,0.19,0.19,0.19,0.19,550,2010
63,2010-07-19 00:00:00,0.19,0.19,0.19,0.19,2000,2010
64,2010-07-20 00:00:00,0.19,0.19,0.19,0.19,1000,2010
65,2010-07-21 00:00:00,0.19,0.19,0.19,0.19,300,2010
66,2010-07-22 00:00:00,0.18,0.2,0.18,0.2,51788,2010
67,2010-07-23 00:00:00,0.2,0.24,0.2,0.22,30354,2010
68,2010-07-26 00:00:00,0.24,0.24,0.21,0.22,9898,2010
69,2010-07-27 00:00:00,0.22,0.22,0.21,0.22,8309,2010
70,2010-07-28 00:00:00,0.21,0.22,0.21,0.21,6579,2010
71,2010-07-29 00:00:00,0.22,0.24,0.21,0.23,32216,2010
72,2010-07-30 00:00:00,0.23,0.25,0.23,0.25,5711,2010
73,2010-08-02 00:00:00,0.25,0.3,0.25,0.28,36323,2010
74,2010-08-03 00:00:00,0.28,0.29,0.28,0.29,23073,2010
75,2010-08-04 00:00:00,0.29,0.29,0.2,0.21,345490,2010
76,2010-08-05 00:00:00,0.21,0.22,0.21,0.22,23600,2010
77,2010-08-06 00:00:00,0.2,0.22,0.2,0.22,4495,2010
78,2010-08-09 00:00:00,0.22,0.22,0.22,0.22,6800,2010
79,2010-08-10 00:00:00,0.22,0.22,0.22,0.22,10100,2010
80,2010-08-11 00:00:00,0.22,0.24,0.21,0.22,42162,2010
81,2010-08-12 00:00:00,0.22,0.22,0.22,0.22,1000,2010
82,2010-08-13 00:00:00,0.22,0.22,0.21,0.22,7347,2010
83,2010-08-16 00:00:00,0.22,0.22,0.22,0.22,2500,2010
84,2010-08-17 00:00:00,0.22,0.22,0.21,0.21,27000,2010
85,2010-08-18 00:00:00,0.22,0.25,0.22,0.25,322809,2010
86,2010-08-19 00:00:00,0.26,0.37,0.26,0.33,368393,2010
87,2010-08-20 00:00:00,0.33,0.39,0.29,0.3,697235,2010
88,2010-08-23 00:00:00,0.32,0.35,0.29,0.33,571005,2010
89,2010-08-24 00:00:00,0.33,0.36,0.31,0.35,194261,2010
90,2010-08-25 00:00:00,0.35,0.37,0.33,0.37,192534,2010
91,2010-08-26 00:00:00,0.37,0.37,0.3,0.33,494084,2010
92,2010-08-27 00:00:00,0.32,0.33,0.28,0.29,221205,2010
93,2010-08-30 00:00:00,0.29,0.31,0.29,0.31,41469,2010
94,2010-08-31 00:00:00,0.31,0.31,0.3,0.3,15792,2010
95,2010-09-01 00:00:00,0.29,0.29,0.26,0.27,176488,2010
96,2010-09-02 00:00:00,0.26,0.28,0.23,0.25,128639,2010
97,2010-09-03 00:00:00,0.25,0.27,0.22,0.25,376102,2010
98,2010-09-06 00:00:00,0.25,0.27,0.25,0.25,56498,2010
99,2010-09-07 00:00:00,0.27,0.29,0.27,0.27,65455,2010
100,2010-09-08 00:00:00,0.27,0.32,0.27,0.3,230840,2010
101,2010-09-09 00:00:00,0.3,0.34,0.3,0.33,472341,2010
102,2010-09-10 00:00:00,0.3,0.31,0.27,0.3,343964,2010
103,2010-09-13 00:00:00,0.29,0.3,0.29,0.29,34067,2010
104,2010-09-14 00:00:00,0.3,0.3,0.28,0.29,27524,2010
105,2010-09-15 00:00:00,0.29,0.29,0.28,0.29,12941,2010
106,2010-09-16 00:00:00,0.28,0.28,0.26,0.28,92916,2010
107,2010-09-17 00:00:00,0.28,0.28,0.26,0.28,24483,2010
108,2010-09-20 00:00:00,0.27,0.28,0.27,0.28,5722,2010
109,2010-09-21 00:00:00,0.28,0.28,0.27,0.28,54202,2010
110,2010-09-22 00:00:00,0.28,0.28,0.26,0.28,58798,2010
111,2010-09-23 00:00:00,0.28,0.28,0.27,0.28,65178,2010
112,2010-09-24 00:00:00,0.28,0.3,0.28,0.3,65725,2010
113,2010-09-27 00:00:00,0.29,0.29,0.28,0.29,10707,2010
114,2010-09-28 00:00:00,0.29,0.29,0.29,0.29,14000,2010
115,2010-09-29 00:00:00,0.29,0.35,0.29,0.35,831886,2010
116,2010-09-30 00:00:00,0.35,0.37,0.33,0.36,307866,2010
117,2010-10-01 00:00:00,0.37,0.37,0.32,0.35,265983,2010
118,2010-10-04 00:00:00,0.35,0.35,0.28,0.29,325014,2010
119,2010-10-05 00:00:00,0.29,0.3,0.29,0.3,126644,2010
120,2010-10-06 00:00:00,0.3,0.3,0.29,0.29,55007,2010
121,2010-10-07 00:00:00,0.29,0.29,0.28,0.29,4313,2010
122,2010-10-08 00:00:00,0.29,0.3,0.29,0.3,102757,2010
123,2010-10-11 00:00:00,0.3,0.32,0.29,0.32,95920,2010
124,2010-10-12 00:00:00,0.32,0.32,0.3,0.3,74680,2010
125,2010-10-13 00:00:00,0.3,0.34,0.29,0.32,159241,2010
126,2010-10-14 00:00:00,0.3,0.33,0.3,0.33,42489,2010
127,2010-10-15 00:00:00,0.33,0.35,0.31,0.35,186072,2010
128,2010-10-18 00:00:00,0.35,0.36,0.32,0.35,161987,2010
129,2010-10-19 00:00:00,0.35,0.36,0.33,0.35,89943,2010
130,2010-10-20 00:00:00,0.34,0.34,0.33,0.34,38530,2010
131,2010-10-21 00:00:00,0.34,0.37,0.34,0.35,203245,2010
132,2010-10-22 00:00:00,0.36,0.37,0.36,0.37,55900,2010
133,2010-10-25 00:00:00,0.37,0.37,0.37,0.37,78389,2010
134,2010-10-26 00:00:00,0.37,0.37,0.35,0.35,27872,2010
135,2010-10-27 00:00:00,0.35,0.36,0.34,0.36,76987,2010
136,2010-10-28 00:00:00,0.35,0.4,0.34,0.37,172052,2010
137,2010-10-29 00:00:00,0.37,0.38,0.35,0.35,148971,2010
138,2010-11-02 00:00:00,0.35,0.37,0.35,0.35,131171,2010
139,2010-11-03 00:00:00,0.35,0.36,0.35,0.36,13751,2010
140,2010-11-04 00:00:00,0.35,0.35,0.34,0.35,22551,2010
141,2010-11-05 00:00:00,0.35,0.35,0.32,0.34,71204,2010
142,2010-11-08 00:00:00,0.34,0.34,0.33,0.34,29611,2010
143,2010-11-09 00:00:00,0.34,0.34,0.33,0.34,13200,2010
144,2010-11-10 00:00:00,0.34,0.34,0.33,0.34,6099,2010
145,2010-11-12 00:00:00,0.34,0.34,0.34,0.34,3300,2010
146,2010-11-15 00:00:00,0.34,0.34,0.33,0.34,24965,2010
147,2010-11-16 00:00:00,0.34,0.34,0.33,0.33,6232,2010
148,2010-11-17 00:00:00,0.33,0.35,0.33,0.34,36528,2010
149,2010-11-18 00:00:00,0.35,0.35,0.33,0.35,113346,2010
150,2010-11-19 00:00:00,0.36,0.36,0.33,0.35,85926,2010
151,2010-11-22 00:00:00,0.34,0.35,0.34,0.35,2602,2010
152,2010-11-23 00:00:00,0.35,0.36,0.35,0.36,58433,2010
153,2010-11-24 00:00:00,0.36,0.36,0.34,0.35,18802,2010
154,2010-11-25 00:00:00,0.35,0.36,0.35,0.36,8200,2010
155,2010-11-26 00:00:00,0.36,0.36,0.34,0.35,8102,2010
156,2010-11-29 00:00:00,0.35,0.35,0.35,0.35,31039,2010
157,2010-11-30 00:00:00,0.35,0.36,0.34,0.35,20619,2010
158,2010-12-01 00:00:00,0.34,0.35,0.33,0.35,38236,2010
159,2010-12-02 00:00:00,0.35,0.36,0.35,0.35,15700,2010
160,2010-12-03 00:00:00,0.35,0.35,0.35,0.35,18965,2010
161,2010-12-06 00:00:00,0.35,0.35,0.34,0.34,5605,2010
162,2010-12-07 00:00:00,0.33,0.33,0.29,0.29,114887,2010
163,2010-12-08 00:00:00,0.28,0.28,0.27,0.27,62010,2010
164,2010-12-09 00:00:00,0.27,0.28,0.27,0.28,31573,2010
165,2010-12-10 00:00:00,0.28,0.28,0.26,0.27,71555,2010
166,2010-12-13 00:00:00,0.27,0.28,0.27,0.27,41527,2010
167,2010-12-14 00:00:00,0.27,0.28,0.26,0.26,114541,2010
168,2010-12-15 00:00:00,0.26,0.26,0.26,0.26,43374,2010
169,2010-12-16 00:00:00,0.26,0.28,0.26,0.28,73439,2010
170,2010-12-17 00:00:00,0.28,0.29,0.28,0.29,1150,2010
171,2010-12-20 00:00:00,0.29,0.29,0.28,0.29,15877,2010
172,2010-12-21 00:00:00,0.29,0.3,0.28,0.3,39100,2010
173,2010-12-22 00:00:00,0.29,0.29,0.27,0.27,44198,2010
174,2010-12-23 00:00:00,0.27,0.27,0.26,0.27,32082,2010
175,2010-12-27 00:00:00,0.28,0.29,0.28,0.28,48383,2010
176,2010-12-28 00:00:00,0.28,0.3,0.28,0.3,45700,2010
177,2010-12-29 00:00:00,0.3,0.32,0.3,0.32,40075,2010
178,2010-12-30 00:00:00,0.32,0.32,0.27,0.28,75719,2010
179,2010-12-31 00:00:00,0.28,0.29,0.28,0.29,11453,2010
180,2011-01-03 00:00:00,0.29,0.29,0.27,0.27,33000,2011
181,2011-01-04 00:00:00,0.27,0.29,0.27,0.28,44000,2011
182,2011-01-05 00:00:00,0.28,0.29,0.28,0.29,23449,2011
183,2011-01-07 00:00:00,0.29,0.29,0.28,0.28,2500,2011
184,2011-01-10 00:00:00,0.28,0.28,0.28,0.28,6500,2011
185,2011-01-11 00:00:00,0.27,0.28,0.27,0.28,23747,2011
186,2011-01-12 00:00:00,0.28,0.28,0.28,0.28,1500,2011
187,2011-01-13 00:00:00,0.28,0.29,0.28,0.29,10403,2011
188,2011-01-14 00:00:00,0.29,0.29,0.28,0.29,3100,2011
189,2011-01-17 00:00:00,0.29,0.29,0.29,0.29,1400,2011
190,2011-01-18 00:00:00,0.29,0.29,0.27,0.27,15500,2011
191,2011-01-19 00:00:00,0.27,0.29,0.27,0.29,7400,2011
192,2011-01-20 00:00:00,0.29,0.29,0.28,0.29,3200,2011
193,2011-01-21 00:00:00,0.28,0.29,0.28,0.29,9223,2011
194,2011-01-24 00:00:00,0.29,0.29,0.27,0.27,19295,2011
195,2011-01-25 00:00:00,0.27,0.28,0.26,0.28,20405,2011
196,2011-01-26 00:00:00,0.27,0.28,0.27,0.28,13500,2011
197,2011-01-27 00:00:00,0.27,0.28,0.27,0.28,11400,2011
198,2011-01-28 00:00:00,0.27,0.28,0.27,0.28,6000,2011
199,2011-01-31 00:00:00,0.27,0.27,0.26,0.27,53839,2011
200,2011-02-01 00:00:00,0.27,0.27,0.25,0.26,49492,2011
201,2011-02-02 00:00:00,0.25,0.26,0.24,0.26,29335,2011
202,2011-02-03 00:00:00,0.25,0.25,0.25,0.25,1000,2011
203,2011-02-04 00:00:00,0.26,0.27,0.26,0.27,2542,2011
204,2011-02-07 00:00:00,0.27,0.27,0.27,0.27,200,2011
205,2011-02-08 00:00:00,0.27,0.27,0.26,0.26,6540,2011
206,2011-02-09 00:00:00,0.26,0.26,0.26,0.26,1500,2011
