,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-06-27 00:00:00,0.7688,0.7688,0.6198,0.6556,145066,2012
1,2012-06-28 00:00:00,0.6556,0.6556,0.5901,0.6079,51426,2012
2,2012-06-29 00:00:00,0.6138,0.6973,0.6138,0.6794,18977,2012
3,2012-07-02 00:00:00,0.6437,0.6437,0.596,0.596,5549,2012
4,2012-07-04 00:00:00,0.5841,0.5841,0.5304,0.5662,5285,2012
5,2012-07-05 00:00:00,0.5841,0.5841,0.5602,0.5602,1006,2012
6,2012-07-06 00:00:00,0.5602,0.5602,0.46484,0.5602,4363,2012
7,2012-07-09 00:00:00,0.5304,0.5304,0.5066,0.5066,2181,2012
8,2012-07-10 00:00:00,0.5245,0.5245,0.5245,0.5245,168,2012
9,2012-07-11 00:00:00,0.5245,0.5364,0.5245,0.5364,672,2012
10,2012-07-12 00:00:00,0.5245,0.5841,0.46484,0.5841,13020,2012
11,2012-07-13 00:00:00,0.5841,0.5841,0.5841,0.5841,42,2012
12,2012-07-16 00:00:00,0.5841,0.6138,0.5602,0.596,7835,2012
13,2012-07-17 00:00:00,0.5543,0.5543,0.49467,0.49467,25252,2012
14,2012-07-18 00:00:00,0.5066,0.5483,0.5066,0.5483,2522,2012
15,2012-07-19 00:00:00,0.5483,0.5483,0.5007,0.5007,922,2012
16,2012-07-20 00:00:00,0.5066,0.5364,0.5007,0.5364,1369,2012
17,2012-07-23 00:00:00,0.5304,0.5364,0.45296000000000003,0.5364,18596,2012
18,2012-07-24 00:00:00,0.5066,0.5483,0.5007,0.5483,2416,2012
19,2012-07-25 00:00:00,0.5483,0.5662,0.5125,0.5662,7825,2012
20,2012-07-26 00:00:00,0.5662,0.5662,0.5662,0.5662,34,2012
21,2012-07-27 00:00:00,0.5721,0.5781,0.5483,0.5662,3205,2012
22,2012-07-30 00:00:00,0.5602,0.6556,0.5602,0.6556,7081,2012
23,2012-07-31 00:00:00,0.6556,0.6556,0.596,0.6437,2695,2012
24,2012-08-01 00:00:00,0.6437,0.6437,0.6437,0.6437,164,2012
25,2012-08-02 00:00:00,0.6437,0.6437,0.6437,0.6437,168,2012
26,2012-08-03 00:00:00,0.6437,0.6556,0.6437,0.6556,856,2012
27,2012-08-06 00:00:00,0.6556,0.6556,0.6556,0.6556,234,2012
28,2012-08-07 00:00:00,0.6556,0.6556,0.6496,0.6496,50,2012
29,2012-08-08 00:00:00,0.6496,0.6496,0.6496,0.6496,16,2012
30,2012-08-09 00:00:00,0.6496,0.6496,0.6496,0.6496,34,2012
31,2012-08-10 00:00:00,0.6496,0.6496,0.6496,0.6496,16,2012
32,2012-08-13 00:00:00,0.6496,0.6496,0.596,0.6437,1879,2012
33,2012-08-14 00:00:00,0.6496,0.6496,0.5841,0.6198,2987,2012
