,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-11-30 00:00:00,197.0,241.0,176.0,193.0,2214,2007
1,2007-12-03 00:00:00,193.0,205.0,156.0,189.0,293,2007
2,2007-12-04 00:00:00,197.0,197.0,156.0,164.0,110,2007
3,2007-12-05 00:00:00,165.0,172.0,146.0,148.0,459,2007
4,2007-12-06 00:00:00,152.0,162.0,131.0,156.0,266,2007
5,2007-12-07 00:00:00,160.0,185.0,160.0,175.0,1028,2007
6,2007-12-10 00:00:00,181.0,200.0,180.0,182.0,873,2007
7,2007-12-11 00:00:00,186.0,189.0,173.0,173.0,268,2007
8,2007-12-12 00:00:00,177.0,182.0,174.0,179.0,294,2007
9,2007-12-13 00:00:00,179.0,179.0,165.0,170.0,61,2007
10,2007-12-14 00:00:00,165.0,176.0,152.0,160.0,227,2007
11,2007-12-17 00:00:00,170.0,170.0,156.0,168.0,245,2007
12,2007-12-18 00:00:00,156.0,164.0,148.0,157.0,162,2007
13,2007-12-19 00:00:00,157.0,164.0,156.0,157.0,449,2007
14,2007-12-20 00:00:00,157.0,163.0,157.0,157.0,128,2007
15,2007-12-21 00:00:00,160.0,162.0,149.0,156.0,376,2007
16,2007-12-27 00:00:00,157.0,157.0,155.0,155.0,55,2007
17,2007-12-28 00:00:00,156.0,156.0,149.0,151.0,168,2007
18,2008-01-02 00:00:00,151.0,155.0,148.0,150.0,157,2008
19,2008-01-03 00:00:00,148.0,151.0,139.0,146.0,243,2008
20,2008-01-04 00:00:00,144.0,156.0,140.0,141.0,653,2008
21,2008-01-07 00:00:00,133.0,148.0,133.0,143.0,126,2008
22,2008-01-08 00:00:00,144.0,146.0,139.0,144.0,47,2008
23,2008-01-09 00:00:00,141.0,143.0,131.0,131.0,284,2008
24,2008-01-10 00:00:00,133.0,134.0,116.0,121.0,294,2008
25,2008-01-11 00:00:00,121.0,130.0,121.0,130.0,198,2008
26,2008-01-14 00:00:00,119.0,123.0,119.0,123.0,12,2008
27,2008-01-15 00:00:00,123.0,127.0,111.0,127.0,54,2008
28,2008-01-16 00:00:00,119.0,126.0,119.0,126.0,93,2008
