,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-11-20 00:00:00,11.919,11.919,10.402999999999999,11.487,25719,2007
1,2007-11-21 00:00:00,11.269,11.269,9.968,11.269,6839,2007
2,2007-11-22 00:00:00,11.052,11.052,10.619000000000002,10.837,1734,2007
3,2007-11-23 00:00:00,10.837,11.052,10.837,10.837,2143,2007
4,2007-11-26 00:00:00,10.837,10.837,10.187000000000001,10.837,1360,2007
5,2007-11-27 00:00:00,10.837,10.837,10.837,10.837,405,2007
6,2007-11-28 00:00:00,10.402999999999999,10.837,10.402999999999999,10.837,423,2007
7,2007-11-29 00:00:00,10.837,10.837,10.619000000000002,10.837,1487,2007
8,2007-11-30 00:00:00,10.837,10.837,10.402999999999999,10.837,1043,2007
9,2007-12-03 00:00:00,10.837,10.837,10.837,10.837,405,2007
10,2007-12-04 00:00:00,10.837,10.837,10.402999999999999,10.402999999999999,441,2007
11,2007-12-05 00:00:00,10.837,10.837,10.619000000000002,10.619000000000002,474,2007
12,2007-12-06 00:00:00,10.837,11.269,10.837,11.269,2550,2007
13,2007-12-07 00:00:00,11.269,11.487,11.052,11.487,4995,2007
14,2007-12-10 00:00:00,11.487,13.437999999999999,11.487,12.787,14814,2007
15,2007-12-11 00:00:00,13.003,13.003,11.919,12.353,2524,2007
16,2007-12-12 00:00:00,11.919,12.137,11.487,12.137,2220,2007
17,2007-12-13 00:00:00,12.137,12.137,11.919,11.919,851,2007
18,2007-12-14 00:00:00,11.703,11.703,11.703,11.703,812,2007
19,2007-12-17 00:00:00,11.052,11.052,11.052,11.052,293,2007
20,2007-12-18 00:00:00,10.837,11.919,10.837,11.919,4688,2007
21,2007-12-19 00:00:00,11.703,11.703,11.487,11.703,1239,2007
22,2007-12-20 00:00:00,11.487,13.652000000000001,11.487,13.652000000000001,43369,2007
23,2007-12-21 00:00:00,13.003,13.652000000000001,12.787,13.652000000000001,11097,2007
24,2007-12-27 00:00:00,13.652000000000001,13.87,13.437999999999999,13.87,18410,2007
25,2007-12-28 00:00:00,13.87,14.088,13.87,13.87,7990,2007
26,2008-01-02 00:00:00,14.088,14.302999999999999,14.088,14.302999999999999,8165,2008
27,2008-01-03 00:00:00,14.088,14.088,12.787,13.87,3980,2008
28,2008-01-04 00:00:00,13.87,13.87,13.219000000000001,13.219000000000001,4189,2008
29,2008-01-07 00:00:00,12.787,13.437999999999999,11.919,13.219000000000001,4170,2008
30,2008-01-08 00:00:00,13.003,13.003,12.353,12.569,1775,2008
31,2008-01-09 00:00:00,12.569,13.003,11.052,12.353,5443,2008
32,2008-01-10 00:00:00,12.137,12.137,11.269,12.137,556,2008
33,2008-01-11 00:00:00,11.269,11.703,11.269,11.703,2314,2008
34,2008-01-14 00:00:00,11.269,11.487,11.269,11.487,710,2008
35,2008-01-15 00:00:00,11.269,11.269,10.837,10.837,710,2008
36,2008-01-16 00:00:00,10.837,10.837,9.752,10.619000000000002,1592,2008
37,2008-01-17 00:00:00,10.402999999999999,10.837,9.752,10.837,3978,2008
38,2008-01-18 00:00:00,10.187000000000001,11.269,10.187000000000001,11.269,974,2008
39,2008-01-21 00:00:00,11.269,11.487,10.619000000000002,10.619000000000002,1661,2008
40,2008-01-22 00:00:00,11.269,11.269,11.269,11.269,325,2008
41,2008-01-23 00:00:00,11.052,11.487,11.052,11.269,405,2008
42,2008-01-24 00:00:00,11.269,11.487,11.269,11.269,4852,2008
43,2008-01-25 00:00:00,11.269,11.487,11.269,11.487,2528,2008
44,2008-01-28 00:00:00,11.269,11.269,11.269,11.269,236,2008
45,2008-01-29 00:00:00,11.269,11.269,11.269,11.269,1747,2008
46,2008-01-31 00:00:00,11.269,11.269,10.837,10.837,405,2008
47,2008-02-01 00:00:00,10.837,11.052,10.837,11.052,798,2008
48,2008-02-04 00:00:00,11.269,11.269,11.052,11.269,1636,2008
49,2008-02-05 00:00:00,11.052,11.052,10.837,10.837,1156,2008
50,2008-02-06 00:00:00,10.619000000000002,10.837,10.619000000000002,10.837,2088,2008
51,2008-02-07 00:00:00,10.187000000000001,10.619000000000002,10.187000000000001,10.619000000000002,568,2008
52,2008-02-08 00:00:00,10.837,10.837,10.837,10.837,1085,2008
53,2008-02-11 00:00:00,10.837,10.837,10.187000000000001,10.837,2054,2008
54,2008-02-12 00:00:00,10.619000000000002,10.619000000000002,10.402999999999999,10.619000000000002,908,2008
55,2008-02-14 00:00:00,10.619000000000002,10.619000000000002,10.402999999999999,10.402999999999999,1118,2008
