,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-08-04 00:00:00,0.552,0.7440000000000001,0.54,0.672,237863,2011
1,2011-08-05 00:00:00,0.624,0.78,0.624,0.78,103462,2011
2,2011-08-08 00:00:00,0.72,0.78,0.636,0.708,113957,2011
3,2011-08-09 00:00:00,0.708,0.708,0.66,0.708,25500,2011
4,2011-08-10 00:00:00,0.66,0.708,0.66,0.66,14043,2011
5,2011-08-11 00:00:00,0.684,0.684,0.6,0.672,21952,2011
6,2011-08-12 00:00:00,0.684,0.696,0.636,0.69,42558,2011
7,2011-08-16 00:00:00,0.684,0.69,0.636,0.69,19167,2011
8,2011-08-17 00:00:00,0.642,0.72,0.636,0.72,36100,2011
9,2011-08-18 00:00:00,0.66,0.66,0.642,0.648,10783,2011
10,2011-08-19 00:00:00,0.6,0.6,0.528,0.546,44183,2011
11,2011-08-23 00:00:00,0.522,0.636,0.504,0.636,29500,2011
12,2011-08-24 00:00:00,0.5579999999999999,0.5579999999999999,0.5579999999999999,0.5579999999999999,6833,2011
13,2011-08-25 00:00:00,0.546,0.57,0.546,0.57,10000,2011
14,2011-08-26 00:00:00,0.54,0.546,0.54,0.546,6867,2011
15,2011-08-29 00:00:00,0.522,0.6,0.498,0.546,443250,2011
16,2011-08-30 00:00:00,0.552,0.5820000000000001,0.54,0.5579999999999999,39333,2011
17,2011-08-31 00:00:00,0.54,0.54,0.54,0.54,16792,2011
18,2011-09-01 00:00:00,0.516,0.534,0.516,0.534,30667,2011
19,2011-09-02 00:00:00,0.51,0.52,0.46,0.46,39213,2011
20,2011-09-05 00:00:00,0.462,0.504,0.456,0.48,34940,2011
21,2011-09-06 00:00:00,0.474,0.498,0.444,0.444,25225,2011
22,2011-09-08 00:00:00,0.42,0.42,0.42,0.42,7333,2011
23,2011-09-09 00:00:00,0.426,0.48,0.414,0.48,49122,2011
24,2011-09-12 00:00:00,0.444,0.46799999999999997,0.42,0.46799999999999997,21205,2011
25,2011-09-13 00:00:00,0.444,0.45,0.444,0.45,7167,2011
26,2011-09-14 00:00:00,0.42,0.42,0.42,0.42,6000,2011
27,2011-09-15 00:00:00,0.42,0.46799999999999997,0.414,0.46799999999999997,24167,2011
28,2011-09-16 00:00:00,0.46799999999999997,0.528,0.462,0.462,47757,2011
