,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-08-09 00:00:00,3.2,3.2,2.1,2.7,31245,2012
1,2012-08-10 00:00:00,2.8,2.9,2.4,2.9,3078,2012
2,2012-08-13 00:00:00,2.8,3.4,2.8,3.3,1163,2012
3,2012-08-14 00:00:00,3.1,3.1,2.2,2.7,2831,2012
4,2012-08-16 00:00:00,2.7,2.7,2.2,2.5,1561,2012
5,2012-08-17 00:00:00,2.3,2.3,2.0,2.2,3684,2012
6,2012-08-20 00:00:00,2.1,2.5,2.1,2.5,965,2012
7,2012-08-21 00:00:00,2.5,2.5,2.3,2.4,570,2012
8,2012-08-22 00:00:00,2.4,2.4,2.0,2.2,1086,2012
9,2012-08-23 00:00:00,2.2,2.3,2.2,2.3,200,2012
10,2012-08-27 00:00:00,2.2,2.4,2.2,2.4,663,2012
11,2012-08-28 00:00:00,2.2,2.3,2.1,2.3,52,2012
12,2012-08-29 00:00:00,2.1,2.1,1.9,2.1,1424,2012
13,2012-08-30 00:00:00,2.1,2.1,1.8,2.0,240,2012
14,2012-08-31 00:00:00,1.8,2.1,1.8,1.8,131,2012
15,2012-09-03 00:00:00,1.8,1.8,1.8,1.8,115,2012
16,2012-09-04 00:00:00,1.8,1.9,1.7,1.9,1650,2012
17,2012-09-10 00:00:00,1.8,2.0,1.8,2.0,210,2012
18,2012-09-11 00:00:00,1.7,1.9,1.7,1.8,180,2012
19,2012-09-12 00:00:00,1.7,1.7,1.2,1.6,7710,2012
20,2012-09-13 00:00:00,1.6,2.1,1.6,2.1,3031,2012
21,2012-09-14 00:00:00,2.1,2.4,2.0,2.2,2202,2012
22,2012-09-17 00:00:00,2.3,2.3,2.3,2.3,30,2012
23,2012-09-18 00:00:00,2.2,3.1,2.2,2.6,4688,2012
24,2012-09-19 00:00:00,2.6,3.1,2.2,3.1,2663,2012
25,2012-09-20 00:00:00,3.1,3.2,2.5,2.7,3582,2012
26,2012-09-21 00:00:00,2.3,2.7,2.3,2.7,814,2012
27,2012-09-24 00:00:00,2.7,2.7,2.2,2.7,2011,2012
28,2012-09-25 00:00:00,2.7,2.7,2.7,2.7,80,2012
29,2012-09-26 00:00:00,2.7,2.7,2.4,2.4,272,2012
30,2012-09-28 00:00:00,2.4,2.4,2.2,2.2,500,2012
31,2012-10-02 00:00:00,2.4,2.4,2.4,2.4,50,2012
32,2012-10-03 00:00:00,2.3,2.3,2.1,2.1,500,2012
33,2012-10-10 00:00:00,2.3,2.5,2.3,2.5,250,2012
34,2012-10-12 00:00:00,2.4,2.4,2.0,2.1,1310,2012
35,2012-10-15 00:00:00,2.2,2.2,2.2,2.2,200,2012
36,2012-10-16 00:00:00,2.0,2.1,1.9,2.1,360,2012
37,2012-10-17 00:00:00,2.1,2.2,2.1,2.2,100,2012
38,2012-10-24 00:00:00,1.9,1.9,1.8,1.8,310,2012
39,2012-10-26 00:00:00,1.9,1.9,1.9,1.9,100,2012
40,2012-10-29 00:00:00,2.0,2.0,1.7,1.7,100,2012
41,2012-10-30 00:00:00,1.8,1.9,1.8,1.9,100,2012
42,2012-11-06 00:00:00,2.0,2.1,2.0,2.1,1814,2012
43,2012-11-07 00:00:00,2.2,2.2,2.1,2.1,60,2012
44,2012-11-08 00:00:00,2.2,2.2,2.1,2.1,49,2012
45,2012-11-12 00:00:00,2.0,2.1,2.0,2.1,200,2012
46,2012-11-13 00:00:00,2.2,2.2,2.2,2.2,5,2012
47,2012-11-15 00:00:00,2.1,2.1,1.6,2.0,1259,2012
48,2012-11-16 00:00:00,2.0,2.0,2.0,2.0,1,2012
49,2012-11-21 00:00:00,1.7,1.7,1.7,1.7,25,2012
50,2012-11-23 00:00:00,1.6,1.6,1.6,1.6,25,2012
51,2012-11-27 00:00:00,1.8,1.8,1.7,1.7,105,2012
52,2012-11-28 00:00:00,1.8,1.9,1.7,1.9,236,2012
53,2012-12-03 00:00:00,1.8,1.8,1.8,1.8,15,2012
54,2012-12-04 00:00:00,1.8,1.8,1.6,1.6,262,2012
55,2012-12-10 00:00:00,1.7,1.7,1.7,1.7,100,2012
56,2012-12-27 00:00:00,1.7,1.7,1.7,1.7,5,2012
57,2012-12-28 00:00:00,1.7,1.7,1.4,1.6,626,2012
58,2013-01-07 00:00:00,1.7,2.1,1.7,2.1,569,2013
59,2013-01-08 00:00:00,2.0,2.0,2.0,2.0,100,2013
60,2013-01-09 00:00:00,2.0,2.0,2.0,2.0,25,2013
61,2013-01-11 00:00:00,2.0,2.0,2.0,2.0,50,2013
62,2013-01-14 00:00:00,2.0,2.0,2.0,2.0,110,2013
63,2013-01-15 00:00:00,2.0,2.0,2.0,2.0,10,2013
64,2013-01-16 00:00:00,1.9,1.9,1.9,1.9,75,2013
65,2013-01-17 00:00:00,1.9,1.9,1.9,1.9,51,2013
66,2013-01-18 00:00:00,2.0,2.0,2.0,2.0,25,2013
67,2013-01-31 00:00:00,1.8,1.8,1.8,1.8,200,2013
68,2013-02-05 00:00:00,1.8,1.8,1.5,1.5,625,2013
69,2013-02-07 00:00:00,1.5,1.5,1.2,1.3,1100,2013
70,2013-02-11 00:00:00,1.4,1.5,1.4,1.5,500,2013
71,2013-02-12 00:00:00,1.6,1.9,1.3,1.5,3140,2013
72,2013-02-14 00:00:00,1.3,1.3,1.2,1.2,600,2013
73,2013-02-15 00:00:00,1.2,1.2,1.2,1.2,265,2013
74,2013-02-18 00:00:00,1.2,1.4,1.2,1.4,285,2013
75,2013-02-19 00:00:00,1.4,1.5,1.4,1.5,300,2013
