,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-05-18 00:00:00,8.0,9.6,6.4,8.5,16075,2010
1,2010-05-19 00:00:00,8.4,8.5,6.0,6.4,70075,2010
2,2010-05-20 00:00:00,6.5,6.7,5.2,5.3,30503,2010
3,2010-05-21 00:00:00,5.3,5.6,4.3,4.8,23764,2010
4,2010-05-24 00:00:00,4.8,5.1,4.4,4.8,6510,2010
5,2010-05-25 00:00:00,4.8,4.8,4.4,4.6,2191,2010
6,2010-05-26 00:00:00,4.7,5.1,4.4,4.9,9020,2010
7,2010-05-27 00:00:00,4.9,5.1,4.6,4.8,2839,2010
8,2010-05-28 00:00:00,4.7,5.1,4.6,4.6,4756,2010
9,2010-05-31 00:00:00,4.9,4.9,4.4,4.4,7267,2010
10,2010-06-01 00:00:00,4.8,4.8,4.5,4.6,688,2010
11,2010-06-02 00:00:00,4.5,4.7,4.3,4.5,895,2010
12,2010-06-04 00:00:00,4.5,4.5,4.1,4.3,6900,2010
13,2010-06-07 00:00:00,4.1,4.5,4.0,4.4,2387,2010
14,2010-06-08 00:00:00,4.4,4.7,3.9,4.0,36497,2010
15,2010-06-09 00:00:00,4.0,4.3,3.8,4.0,8177,2010
16,2010-06-10 00:00:00,4.1,4.1,3.9,3.9,1315,2010
17,2010-06-11 00:00:00,4.0,4.1,4.0,4.0,3800,2010
18,2010-06-14 00:00:00,4.1,4.1,3.9,4.0,3287,2010
19,2010-06-15 00:00:00,3.9,4.0,3.9,4.0,3248,2010
20,2010-06-16 00:00:00,3.9,4.0,3.9,4.0,1346,2010
21,2010-06-17 00:00:00,3.9,4.2,3.9,4.2,7616,2010
22,2010-06-18 00:00:00,4.2,4.4,4.1,4.1,4478,2010
23,2010-06-21 00:00:00,4.3,4.3,4.0,4.2,2242,2010
24,2010-06-22 00:00:00,4.2,4.2,3.9,3.9,2390,2010
25,2010-06-23 00:00:00,3.9,4.0,3.9,4.0,602,2010
26,2010-06-24 00:00:00,3.9,3.9,3.4,3.5,8008,2010
27,2010-06-25 00:00:00,3.6,3.6,3.3,3.6,453,2010
28,2010-06-28 00:00:00,3.4,3.9,3.3,3.8,1850,2010
29,2010-06-29 00:00:00,3.7,3.7,3.4,3.4,452,2010
30,2010-06-30 00:00:00,3.5,3.7,3.5,3.7,912,2010
31,2010-07-01 00:00:00,3.7,4.0,3.7,3.9,1277,2010
32,2010-07-02 00:00:00,3.9,4.3,3.8,4.0,1471,2010
33,2010-07-05 00:00:00,3.9,3.9,3.6,3.6,1050,2010
34,2010-07-06 00:00:00,3.6,4.1,3.6,3.8,1030,2010
35,2010-07-07 00:00:00,3.8,3.8,3.5,3.5,2059,2010
36,2010-07-08 00:00:00,3.4,3.7,3.4,3.7,1221,2010
37,2010-07-09 00:00:00,3.4,3.6,3.4,3.6,28,2010
38,2010-07-12 00:00:00,3.7,3.9,3.4,3.9,3090,2010
39,2010-07-13 00:00:00,3.7,3.9,3.6,3.6,354,2010
40,2010-07-14 00:00:00,3.6,3.9,3.6,3.9,643,2010
41,2010-07-15 00:00:00,3.9,4.0,3.7,3.9,391,2010
42,2010-07-16 00:00:00,4.0,4.0,3.8,4.0,310,2010
43,2010-07-20 00:00:00,4.0,4.0,4.0,4.0,50,2010
44,2010-07-21 00:00:00,4.0,4.1,3.7,3.9,2614,2010
45,2010-07-22 00:00:00,3.9,4.1,3.9,4.1,3060,2010
46,2010-07-23 00:00:00,4.4,6.1,4.4,5.1,75757,2010
47,2010-07-26 00:00:00,5.0,5.1,4.8,4.8,3363,2010
48,2010-07-27 00:00:00,4.8,4.8,4.3,4.6,8389,2010
49,2010-07-28 00:00:00,4.6,4.7,4.3,4.6,3405,2010
50,2010-07-29 00:00:00,4.4,4.6,4.2,4.6,3486,2010
51,2010-07-30 00:00:00,4.4,4.9,4.3,4.9,6303,2010
52,2010-08-02 00:00:00,4.6,5.3,3.8,3.8,114706,2010
53,2010-08-03 00:00:00,3.8,3.9,3.5,3.7,21163,2010
54,2010-08-04 00:00:00,3.6,3.7,3.5,3.7,3266,2010
55,2010-08-05 00:00:00,3.6,3.7,3.5,3.6,7274,2010
56,2010-08-06 00:00:00,3.6,3.7,3.3,3.5,11102,2010
57,2010-08-09 00:00:00,3.5,3.7,3.4,3.5,12827,2010
58,2010-08-10 00:00:00,3.6,3.9,3.6,3.8,24213,2010
59,2010-08-11 00:00:00,3.8,4.4,3.8,4.2,88145,2010
