,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-02-02 00:00:00,75.0,87.5,60.0,60.0,3358,2012
1,2012-02-03 00:00:00,55.0,61.5,38.5,39.25,3166,2012
2,2012-02-06 00:00:00,43.75,52.5,41.25,47.75,1160,2012
3,2012-02-07 00:00:00,46.75,49.75,43.5,45.75,675,2012
4,2012-02-08 00:00:00,44.0,47.5,41.5,44.0,444,2012
5,2012-02-09 00:00:00,44.0,44.0,41.5,41.75,160,2012
6,2012-02-10 00:00:00,41.75,50.0,40.0,46.25,924,2012
7,2012-02-13 00:00:00,46.5,55.5,46.25,47.0,339,2012
8,2012-02-14 00:00:00,44.0,50.0,44.0,49.25,167,2012
9,2012-02-15 00:00:00,45.0,52.5,45.0,46.0,834,2012
10,2012-02-16 00:00:00,45.5,46.75,42.75,44.25,215,2012
11,2012-02-17 00:00:00,44.5,63.5,43.0,63.5,2496,2012
12,2012-02-20 00:00:00,69.25,76.25,58.0,59.5,2133,2012
13,2012-02-21 00:00:00,62.25,83.5,55.0,79.25,1963,2012
14,2012-02-22 00:00:00,83.5,93.75,60.0,67.5,1681,2012
15,2012-02-23 00:00:00,67.5,67.5,47.75,50.0,2328,2012
16,2012-02-24 00:00:00,50.0,54.25,43.75,54.25,368,2012
17,2012-02-27 00:00:00,47.5,49.5,46.5,48.5,316,2012
18,2012-02-28 00:00:00,44.75,53.25,44.75,51.0,591,2012
19,2012-02-29 00:00:00,53.25,53.25,47.25,48.0,356,2012
20,2012-03-01 00:00:00,46.75,48.0,45.25,46.25,199,2012
21,2012-03-02 00:00:00,50.0,56.25,45.75,49.75,1013,2012
22,2012-03-05 00:00:00,45.5,45.5,45.0,45.25,287,2012
23,2012-03-06 00:00:00,45.0,45.25,38.5,42.0,283,2012
24,2012-03-07 00:00:00,42.0,48.75,42.0,45.0,413,2012
25,2012-03-08 00:00:00,43.25,45.0,42.5,45.0,140,2012
26,2012-03-09 00:00:00,42.5,49.25,42.5,48.0,628,2012
27,2012-03-12 00:00:00,48.75,49.75,44.25,48.0,658,2012
28,2012-03-13 00:00:00,46.5,52.25,45.5,49.25,303,2012
29,2012-03-14 00:00:00,47.0,49.5,47.0,49.5,96,2012
30,2012-03-15 00:00:00,49.5,50.5,45.5,48.0,304,2012
31,2012-03-16 00:00:00,45.5,46.75,41.25,43.5,604,2012
32,2012-03-19 00:00:00,43.5,43.5,40.75,43.0,191,2012
33,2012-03-20 00:00:00,42.5,46.0,42.0,45.0,131,2012
34,2012-03-21 00:00:00,43.0,43.0,39.0,41.5,574,2012
35,2012-03-22 00:00:00,39.0,39.0,38.75,38.75,66,2012
36,2012-03-23 00:00:00,38.75,43.75,37.5,43.25,312,2012
37,2012-03-26 00:00:00,43.75,43.75,39.5,41.25,316,2012
38,2012-03-27 00:00:00,40.0,41.25,38.75,41.25,14,2012
39,2012-03-28 00:00:00,40.0,41.25,39.0,41.25,40,2012
40,2012-03-30 00:00:00,41.25,42.5,41.25,42.5,48,2012
41,2012-04-02 00:00:00,41.75,41.75,36.25,40.0,445,2012
42,2012-04-03 00:00:00,40.0,46.25,38.75,43.75,181,2012
43,2012-04-04 00:00:00,43.75,51.75,43.75,46.75,1006,2012
44,2012-04-05 00:00:00,46.75,46.75,39.0,42.5,298,2012
45,2012-04-10 00:00:00,42.5,42.5,37.5,38.0,451,2012
46,2012-04-11 00:00:00,35.75,38.25,34.0,36.0,121,2012
47,2012-04-12 00:00:00,36.0,39.5,36.0,37.75,191,2012
48,2012-04-13 00:00:00,36.25,37.5,35.0,35.25,356,2012
49,2012-04-16 00:00:00,37.75,40.0,37.25,40.0,128,2012
50,2012-04-17 00:00:00,39.5,39.5,35.25,39.0,243,2012
51,2012-04-18 00:00:00,35.25,38.0,34.0,38.0,302,2012
52,2012-04-19 00:00:00,38.75,38.75,36.25,36.75,80,2012
53,2012-04-20 00:00:00,35.0,39.5,34.25,39.5,265,2012
54,2012-04-23 00:00:00,39.5,39.5,35.0,35.0,187,2012
55,2012-04-24 00:00:00,35.5,37.25,35.5,37.25,81,2012
56,2012-04-25 00:00:00,36.5,36.75,32.5,33.0,208,2012
57,2012-04-26 00:00:00,31.25,36.75,31.25,33.75,123,2012
58,2012-04-27 00:00:00,33.75,35.0,32.5,34.75,86,2012
59,2012-04-30 00:00:00,33.0,34.75,31.0,34.5,228,2012
60,2012-05-02 00:00:00,34.5,34.5,30.0,32.0,194,2012
61,2012-05-04 00:00:00,32.5,34.75,28.75,34.5,118,2012
62,2012-05-07 00:00:00,34.5,36.5,31.25,36.25,240,2012
63,2012-05-08 00:00:00,36.5,38.0,36.5,37.75,251,2012
64,2012-05-09 00:00:00,37.75,38.25,32.5,38.25,962,2012
65,2012-05-11 00:00:00,36.5,36.5,34.5,34.75,160,2012
66,2012-05-14 00:00:00,32.5,33.0,30.75,33.0,77,2012
67,2012-05-15 00:00:00,31.75,31.75,30.75,31.25,32,2012
68,2012-05-16 00:00:00,29.0,31.75,29.0,31.75,2,2012
69,2012-05-17 00:00:00,29.0,30.0,26.25,29.0,395,2012
70,2012-05-18 00:00:00,29.75,29.75,25.0,28.5,126,2012
71,2012-05-21 00:00:00,26.0,26.0,24.0,26.0,19,2012
72,2012-05-22 00:00:00,26.0,26.0,26.0,26.0,0,2012
73,2012-05-23 00:00:00,26.0,31.0,26.0,30.25,228,2012
74,2012-05-24 00:00:00,30.0,31.75,25.0,28.75,187,2012
75,2012-05-25 00:00:00,29.75,29.75,25.75,28.75,10,2012
76,2012-05-28 00:00:00,28.75,39.75,28.75,36.25,548,2012
77,2012-05-29 00:00:00,36.25,38.5,27.75,29.0,574,2012
78,2012-05-30 00:00:00,26.75,30.0,26.5,30.0,32,2012
79,2012-05-31 00:00:00,27.25,29.5,27.25,29.5,4,2012
80,2012-06-01 00:00:00,29.5,29.5,27.0,29.25,20,2012
81,2012-06-04 00:00:00,29.25,29.25,24.25,26.75,238,2012
82,2012-06-05 00:00:00,26.75,28.75,24.5,26.75,305,2012
83,2012-06-06 00:00:00,23.5,26.75,21.5,26.75,278,2012
84,2012-06-08 00:00:00,26.5,26.5,26.5,26.5,4,2012
85,2012-06-11 00:00:00,26.5,26.5,23.0,26.5,5,2012
86,2012-06-12 00:00:00,26.5,26.75,24.0,26.25,28,2012
87,2012-06-13 00:00:00,26.25,26.25,23.75,26.25,82,2012
88,2012-06-14 00:00:00,26.25,26.25,24.25,24.25,20,2012
89,2012-06-18 00:00:00,23.5,24.5,23.5,23.5,24,2012
90,2012-06-19 00:00:00,24.5,24.5,23.5,24.25,14,2012
91,2012-06-20 00:00:00,23.5,24.5,21.75,24.5,46,2012
92,2012-06-21 00:00:00,23.75,27.5,22.5,27.5,12,2012
93,2012-06-22 00:00:00,27.5,27.5,27.5,27.5,1,2012
94,2012-06-25 00:00:00,27.5,27.5,27.5,27.5,1,2012
95,2012-06-26 00:00:00,27.5,33.0,26.25,32.25,217,2012
96,2012-06-27 00:00:00,31.25,31.25,28.0,31.25,2,2012
97,2012-06-28 00:00:00,31.25,31.25,25.0,26.0,52,2012
98,2012-06-29 00:00:00,30.75,30.75,30.75,30.75,0,2012
99,2012-07-02 00:00:00,27.5,27.5,18.5,20.0,315,2012
100,2012-07-03 00:00:00,20.75,22.25,17.0,21.75,288,2012
101,2012-07-04 00:00:00,19.75,19.75,16.0,16.0,423,2012
102,2012-07-05 00:00:00,16.0,16.0,13.0,13.25,184,2012
103,2012-07-06 00:00:00,12.5,15.0,12.5,15.0,182,2012
104,2012-07-09 00:00:00,14.5,14.5,11.75,12.0,295,2012
105,2012-07-10 00:00:00,12.0,12.5,12.0,12.5,88,2012
106,2012-07-11 00:00:00,12.5,12.5,10.75,12.5,37,2012
107,2012-07-12 00:00:00,12.25,12.25,9.75,9.75,92,2012
108,2012-07-13 00:00:00,9.75,10.0,9.0,9.0,180,2012
109,2012-07-16 00:00:00,9.0,10.75,7.5,10.5,675,2012
110,2012-07-17 00:00:00,8.75,12.5,8.75,12.5,310,2012
111,2012-07-18 00:00:00,12.5,15.0,10.0,12.5,501,2012
112,2012-07-19 00:00:00,11.25,11.25,9.0,10.0,427,2012
113,2012-07-20 00:00:00,10.0,10.0,8.0,9.75,254,2012
