,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-10-25 00:00:00,2.9,3.45,2.61,2.88,85254,2010
1,2010-10-26 00:00:00,2.88,4.0,2.85,4.0,77700,2010
2,2010-10-27 00:00:00,3.99,4.5,3.2,3.85,50409,2010
3,2010-10-28 00:00:00,3.85,3.85,3.18,3.3,32013,2010
4,2010-10-29 00:00:00,3.24,3.24,2.9,3.15,24605,2010
5,2010-11-02 00:00:00,3.22,3.42,3.0,3.35,10479,2010
6,2010-11-03 00:00:00,3.44,3.44,3.01,3.19,6659,2010
7,2010-11-04 00:00:00,3.18,3.18,2.95,3.03,5526,2010
8,2010-11-05 00:00:00,3.1,3.1,2.9,3.07,4230,2010
9,2010-11-08 00:00:00,3.07,3.07,2.8,2.99,2265,2010
10,2010-11-09 00:00:00,2.84,3.27,2.8,3.22,11649,2010
11,2010-11-10 00:00:00,3.19,3.2,2.95,3.2,4111,2010
12,2010-11-12 00:00:00,3.14,3.17,2.9,3.12,4386,2010
13,2010-11-15 00:00:00,3.01,3.1,2.92,3.08,1206,2010
14,2010-11-16 00:00:00,2.91,2.91,2.8,2.9,8484,2010
15,2010-11-17 00:00:00,2.97,2.97,2.93,2.94,1100,2010
16,2010-11-18 00:00:00,3.0,4.22,2.9,4.22,89290,2010
17,2010-11-19 00:00:00,6.41,6.41,5.45,6.41,70279,2010
18,2010-11-22 00:00:00,6.0,6.39,5.1,5.4,47499,2010
19,2010-11-23 00:00:00,5.3,5.33,4.24,4.55,43505,2010
20,2010-11-24 00:00:00,4.75,5.46,4.47,5.38,29474,2010
21,2010-11-25 00:00:00,5.25,5.65,5.0,5.1,7994,2010
22,2010-11-26 00:00:00,5.43,7.81,5.0,6.98,62918,2010
23,2010-11-29 00:00:00,7.15,7.37,6.12,6.29,16128,2010
24,2010-11-30 00:00:00,6.68,8.01,5.7,7.15,27022,2010
25,2010-12-01 00:00:00,7.39,8.2,7.0,7.04,22798,2010
26,2010-12-02 00:00:00,7.0,7.8,6.5,7.67,20946,2010
27,2010-12-03 00:00:00,7.8,9.3,7.31,9.3,34237,2010
28,2010-12-06 00:00:00,9.4,11.0,8.5,8.91,46518,2010
29,2010-12-07 00:00:00,8.49,8.99,7.5,7.7,54070,2010
30,2010-12-08 00:00:00,7.7,8.29,6.72,7.21,78289,2010
31,2010-12-09 00:00:00,7.4,7.58,6.71,7.05,24576,2010
32,2010-12-10 00:00:00,6.9,6.99,6.08,6.29,19431,2010
33,2010-12-13 00:00:00,6.35,6.7,5.65,6.69,29852,2010
34,2010-12-14 00:00:00,6.75,7.63,6.75,7.2,22927,2010
35,2010-12-15 00:00:00,7.23,7.58,6.5,6.8,19234,2010
36,2010-12-16 00:00:00,6.8,6.98,6.02,6.45,3135,2010
37,2010-12-17 00:00:00,6.74,6.74,6.14,6.35,3863,2010
38,2010-12-20 00:00:00,6.0,6.2,5.8,6.09,5756,2010
39,2010-12-21 00:00:00,6.05,6.05,5.2,5.78,13049,2010
40,2010-12-22 00:00:00,5.5,5.65,5.2,5.24,19431,2010
41,2010-12-23 00:00:00,5.24,5.92,5.01,5.65,10982,2010
42,2010-12-27 00:00:00,5.65,5.65,5.12,5.49,2904,2010
43,2010-12-28 00:00:00,5.1,5.23,4.91,4.91,7178,2010
44,2010-12-29 00:00:00,4.9,5.0,4.38,4.98,10797,2010
45,2010-12-30 00:00:00,4.64,5.09,4.64,4.85,1562,2010
46,2010-12-31 00:00:00,4.8,5.6,4.71,5.55,19526,2010
47,2011-01-03 00:00:00,5.31,5.59,5.13,5.59,1498,2011
48,2011-01-04 00:00:00,5.55,5.85,5.2,5.44,4252,2011
49,2011-01-05 00:00:00,5.12,5.46,4.62,5.2,4852,2011
50,2011-01-07 00:00:00,4.75,5.17,4.54,4.94,7482,2011
51,2011-01-10 00:00:00,4.71,4.9,4.1,4.39,5042,2011
52,2011-01-11 00:00:00,4.6,4.6,4.07,4.12,930,2011
