,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-12-30 00:00:00,0.83,0.84,0.8,0.8,19224,2011
1,2012-01-02 00:00:00,0.8,0.8,0.64,0.65,3531,2012
2,2012-01-03 00:00:00,0.7,0.84,0.56,0.84,6663,2012
3,2012-01-04 00:00:00,0.78,0.8,0.7,0.7,515,2012
4,2012-01-05 00:00:00,0.7,0.73,0.58,0.58,453,2012
5,2012-01-09 00:00:00,0.68,0.68,0.5,0.6,7023,2012
6,2012-01-10 00:00:00,0.64,0.64,0.54,0.62,2913,2012
7,2012-01-11 00:00:00,0.55,0.63,0.55,0.56,522,2012
8,2012-01-12 00:00:00,0.61,0.61,0.52,0.59,5367,2012
9,2012-01-13 00:00:00,0.59,0.59,0.52,0.59,7,2012
10,2012-01-16 00:00:00,0.59,0.59,0.48,0.48,2280,2012
11,2012-01-17 00:00:00,0.49,0.57,0.49,0.57,3,2012
12,2012-01-18 00:00:00,0.58,0.58,0.58,0.58,10,2012
13,2012-01-19 00:00:00,0.58,0.6,0.53,0.6,625,2012
14,2012-01-20 00:00:00,0.59,0.59,0.59,0.59,1,2012
15,2012-01-23 00:00:00,0.59,0.59,0.59,0.59,5,2012
16,2012-01-24 00:00:00,0.59,0.59,0.59,0.59,8,2012
17,2012-01-25 00:00:00,0.59,0.59,0.59,0.59,13,2012
18,2012-01-26 00:00:00,0.59,0.6,0.59,0.6,1270,2012
19,2012-01-27 00:00:00,0.59,0.59,0.59,0.59,47,2012
20,2012-01-30 00:00:00,0.59,0.59,0.59,0.59,10,2012
21,2012-01-31 00:00:00,0.59,0.59,0.55,0.55,2810,2012
22,2012-02-01 00:00:00,0.59,0.59,0.53,0.59,1211,2012
23,2012-02-02 00:00:00,0.59,0.59,0.55,0.55,128,2012
24,2012-02-03 00:00:00,0.59,0.59,0.59,0.59,360,2012
25,2012-02-06 00:00:00,0.59,0.59,0.54,0.59,26,2012
26,2012-02-07 00:00:00,0.6,0.6,0.6,0.6,20,2012
27,2012-02-08 00:00:00,0.6,0.6,0.53,0.54,4471,2012
28,2012-02-09 00:00:00,0.6,0.6,0.54,0.54,1131,2012
29,2012-02-10 00:00:00,0.6,0.6,0.6,0.6,30,2012
30,2012-02-13 00:00:00,0.6,0.6,0.6,0.6,30,2012
31,2012-02-14 00:00:00,0.6,0.6,0.48,0.5,21127,2012
32,2012-02-15 00:00:00,0.5,0.5,0.46,0.46,6201,2012
33,2012-02-16 00:00:00,0.5,0.5,0.43,0.48,11641,2012
34,2012-02-17 00:00:00,0.5,0.5,0.5,0.5,20,2012
35,2012-02-20 00:00:00,0.5,0.5,0.45,0.45,8330,2012
36,2012-02-21 00:00:00,0.5,0.5,0.5,0.5,20,2012
37,2012-02-22 00:00:00,0.48,0.48,0.45,0.45,3220,2012
38,2012-02-23 00:00:00,0.5,0.5,0.45,0.45,1530,2012
39,2012-02-24 00:00:00,0.5,0.5,0.44,0.44,80,2012
40,2012-02-27 00:00:00,0.42,0.47,0.42,0.46,30380,2012
41,2012-02-28 00:00:00,0.5,0.5,0.45,0.45,23634,2012
42,2012-02-29 00:00:00,0.46,0.46,0.46,0.46,40,2012
43,2012-03-01 00:00:00,0.48,0.48,0.42,0.42,20271,2012
44,2012-03-02 00:00:00,0.39,0.44,0.39,0.44,8080,2012
45,2012-03-05 00:00:00,0.47,0.47,0.42,0.47,11330,2012
46,2012-03-06 00:00:00,0.39,0.55,0.39,0.55,6148,2012
47,2012-03-08 00:00:00,0.57,0.57,0.57,0.57,10,2012
48,2012-03-09 00:00:00,0.46,0.46,0.46,0.46,5700,2012
49,2012-03-12 00:00:00,0.55,0.55,0.44,0.44,11750,2012
