,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-08-22 00:00:00,3.11,3.2,2.49,2.8,16715,2012
1,2012-08-23 00:00:00,2.78,2.79,1.8,1.8,2268,2012
2,2012-08-24 00:00:00,1.97,1.97,1.5,1.96,2110,2012
3,2012-08-27 00:00:00,1.94,1.94,1.7,1.84,198,2012
4,2012-08-28 00:00:00,1.85,1.85,1.7,1.84,730,2012
5,2012-08-29 00:00:00,1.72,1.8,1.25,1.25,4214,2012
6,2012-08-30 00:00:00,1.3,1.48,1.29,1.4,1825,2012
7,2012-08-31 00:00:00,1.25,1.25,1.24,1.24,1450,2012
8,2012-09-03 00:00:00,1.25,1.3,1.1,1.3,2378,2012
9,2012-09-05 00:00:00,1.32,1.32,1.32,1.32,20,2012
10,2012-09-06 00:00:00,1.4,1.4,1.4,1.4,20,2012
11,2012-09-07 00:00:00,1.25,1.5,1.25,1.5,2028,2012
12,2012-09-10 00:00:00,1.45,1.45,1.34,1.34,1380,2012
13,2012-09-12 00:00:00,1.34,1.34,1.34,1.34,100,2012
14,2012-09-13 00:00:00,1.35,1.35,1.35,1.35,20,2012
15,2012-09-14 00:00:00,1.35,1.35,1.35,1.35,50,2012
16,2012-09-17 00:00:00,1.35,1.35,1.35,1.35,15,2012
17,2012-09-18 00:00:00,1.35,1.35,1.35,1.35,10,2012
18,2012-09-19 00:00:00,1.35,1.35,1.35,1.35,10,2012
19,2012-09-20 00:00:00,1.35,1.45,1.35,1.45,1154,2012
20,2012-09-21 00:00:00,1.4,1.45,1.21,1.21,2680,2012
21,2012-09-24 00:00:00,1.16,1.16,1.16,1.16,50,2012
22,2012-09-25 00:00:00,1.16,1.16,1.02,1.06,2152,2012
23,2012-09-26 00:00:00,1.06,1.25,1.06,1.25,1430,2012
24,2012-09-27 00:00:00,1.1,1.1,1.1,1.1,100,2012
25,2012-10-02 00:00:00,1.1,1.12,1.1,1.12,220,2012
26,2012-10-03 00:00:00,1.0,1.13,0.9,0.9,3025,2012
27,2012-10-08 00:00:00,0.85,1.08,0.85,1.08,1848,2012
28,2012-10-19 00:00:00,1.09,1.09,1.09,1.09,20,2012
29,2012-10-24 00:00:00,1.0,1.0,0.7,0.7,2500,2012
30,2012-10-25 00:00:00,0.5,0.5,0.5,0.5,5600,2012
31,2012-10-26 00:00:00,0.6,0.6,0.6,0.6,2050,2012
32,2012-10-29 00:00:00,0.68,0.74,0.62,0.69,4420,2012
33,2012-10-30 00:00:00,0.69,0.69,0.69,0.69,20,2012
34,2012-10-31 00:00:00,0.69,0.69,0.69,0.69,20,2012
35,2012-11-02 00:00:00,0.69,0.69,0.62,0.62,2965,2012
36,2012-11-07 00:00:00,0.62,0.62,0.62,0.62,50,2012
37,2012-11-08 00:00:00,0.62,0.62,0.55,0.62,2080,2012
38,2012-11-09 00:00:00,0.62,0.62,0.55,0.6,108,2012
39,2012-11-15 00:00:00,0.6,0.6,0.6,0.6,300,2012
40,2012-11-20 00:00:00,0.59,0.59,0.59,0.59,20,2012
41,2012-11-21 00:00:00,0.59,0.6,0.59,0.6,80,2012
42,2012-11-22 00:00:00,0.62,0.62,0.54,0.62,2040,2012
43,2012-11-23 00:00:00,0.61,0.61,0.54,0.59,5810,2012
44,2012-11-26 00:00:00,0.59,0.59,0.59,0.59,20,2012
45,2012-11-27 00:00:00,0.5,0.5,0.5,0.5,1010,2012
46,2012-11-28 00:00:00,0.4,0.4,0.35,0.35,52095,2012
47,2012-11-29 00:00:00,0.35,0.38,0.28,0.35,35944,2012
48,2012-11-30 00:00:00,0.35,0.35,0.35,0.35,100,2012
49,2012-12-03 00:00:00,0.35,0.42,0.35,0.4,13995,2012
50,2012-12-04 00:00:00,0.48,0.55,0.4,0.55,39042,2012
51,2012-12-05 00:00:00,0.79,0.79,0.79,0.79,13155,2012
52,2012-12-06 00:00:00,0.79,0.93,0.64,0.8,81178,2012
53,2012-12-07 00:00:00,0.8,0.8,0.67,0.67,4837,2012
54,2012-12-10 00:00:00,0.66,0.66,0.54,0.58,6699,2012
