,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2007-09-20 00:00:00,6.03,6.93,4.71,4.83,241897,2007
1,2007-09-21 00:00:00,4.87,4.99,4.8,4.89,34789,2007
2,2007-09-24 00:00:00,4.94,4.94,4.6,4.77,8778,2007
3,2007-09-25 00:00:00,4.79,4.79,4.4,4.5,12262,2007
4,2007-09-26 00:00:00,4.49,4.49,4.14,4.22,18056,2007
5,2007-09-27 00:00:00,4.29,4.29,4.1,4.25,9038,2007
6,2007-09-28 00:00:00,4.29,4.7,4.01,4.67,85042,2007
7,2007-10-01 00:00:00,4.69,4.91,4.69,4.9,26054,2007
8,2007-10-02 00:00:00,4.95,5.09,4.9,5.09,27322,2007
9,2007-10-03 00:00:00,5.05,5.05,4.91,4.99,9387,2007
10,2007-10-04 00:00:00,5.0,5.04,5.0,5.0,2779,2007
11,2007-10-05 00:00:00,5.0,5.04,5.0,5.01,13470,2007
12,2007-10-08 00:00:00,5.01,5.07,5.01,5.07,14855,2007
13,2007-10-09 00:00:00,5.07,5.07,5.0,5.06,90465,2007
14,2007-10-10 00:00:00,5.07,5.27,5.06,5.27,49372,2007
15,2007-10-11 00:00:00,5.29,5.29,5.2,5.27,8225,2007
16,2007-10-12 00:00:00,5.27,5.4,5.26,5.39,21203,2007
17,2007-10-15 00:00:00,5.45,5.75,5.44,5.7,27344,2007
18,2007-10-16 00:00:00,5.89,5.95,5.5,5.9,37586,2007
19,2007-10-17 00:00:00,5.88,6.3,5.87,6.14,74674,2007
20,2007-10-18 00:00:00,6.28,6.34,6.15,6.32,30662,2007
21,2007-10-19 00:00:00,6.32,7.2,6.3,6.98,61330,2007
22,2007-10-22 00:00:00,6.98,6.98,6.3,6.75,26704,2007
23,2007-10-23 00:00:00,6.6,6.97,6.56,6.97,31516,2007
24,2007-10-24 00:00:00,6.97,6.98,6.9,6.94,56713,2007
25,2007-10-25 00:00:00,6.71,6.9,6.7,6.82,31457,2007
26,2007-10-26 00:00:00,6.82,6.82,6.7,6.8,52224,2007
27,2007-10-29 00:00:00,6.85,6.85,6.37,6.69,8699,2007
28,2007-10-30 00:00:00,6.51,6.51,6.3,6.48,1800,2007
29,2007-10-31 00:00:00,6.3,6.85,6.3,6.31,1969,2007
30,2007-11-02 00:00:00,6.46,6.7,6.46,6.59,1267,2007
31,2007-11-05 00:00:00,6.6,6.6,6.0,6.43,6625,2007
32,2007-11-06 00:00:00,6.41,6.41,5.84,5.84,11683,2007
33,2007-11-07 00:00:00,5.85,5.9,5.3,5.5,10378,2007
34,2007-11-08 00:00:00,5.3,5.33,5.0,5.32,23637,2007
35,2007-11-09 00:00:00,5.35,5.8,5.21,5.65,9943,2007
36,2007-11-12 00:00:00,5.2,5.7,5.2,5.7,531,2007
37,2007-11-13 00:00:00,5.2,5.65,5.15,5.37,3701,2007
38,2007-11-14 00:00:00,5.65,5.67,5.0,5.45,6151,2007
39,2007-11-15 00:00:00,5.45,5.45,5.0,5.0,6160,2007
40,2007-11-16 00:00:00,5.0,5.1,4.81,4.9,7267,2007
41,2007-11-19 00:00:00,5.05,5.36,5.0,5.27,6484,2007
42,2007-11-20 00:00:00,5.2,5.2,5.0,5.1,2620,2007
43,2007-11-21 00:00:00,5.09,5.09,4.46,4.68,25620,2007
44,2007-11-22 00:00:00,4.43,4.85,3.9,4.6,24860,2007
45,2007-11-23 00:00:00,4.55,4.7,4.55,4.7,9874,2007
46,2007-11-26 00:00:00,4.8,4.95,4.5,4.8,6778,2007
47,2007-11-27 00:00:00,4.74,4.74,4.6,4.6,956,2007
48,2007-11-28 00:00:00,4.6,5.0,4.6,5.0,7639,2007
49,2007-11-29 00:00:00,5.1,5.15,4.8,5.15,9066,2007
50,2007-11-30 00:00:00,5.15,5.15,4.8,4.8,5158,2007
51,2007-12-03 00:00:00,4.85,4.95,4.65,4.65,10318,2007
52,2007-12-04 00:00:00,4.66,4.75,4.66,4.75,220,2007
53,2007-12-05 00:00:00,4.75,4.75,4.6,4.6,2292,2007
54,2007-12-06 00:00:00,4.69,5.2,4.69,4.9,18885,2007
55,2007-12-07 00:00:00,4.85,5.0,4.6,4.61,13297,2007
56,2007-12-10 00:00:00,4.67,5.0,4.67,4.89,3734,2007
57,2007-12-11 00:00:00,5.1,5.3,4.96,5.0,22098,2007
58,2007-12-12 00:00:00,5.07,5.1,4.9,5.1,4856,2007
59,2007-12-13 00:00:00,5.18,5.18,4.75,4.79,3031,2007
60,2007-12-14 00:00:00,4.85,4.87,4.6,4.87,5404,2007
61,2007-12-17 00:00:00,4.32,4.87,4.3,4.74,9638,2007
62,2007-12-18 00:00:00,4.61,4.61,4.41,4.51,10083,2007
63,2007-12-19 00:00:00,4.55,4.7,4.55,4.56,10060,2007
64,2007-12-20 00:00:00,4.86,4.87,4.5,4.85,2301,2007
65,2007-12-21 00:00:00,4.75,4.75,4.66,4.66,35124,2007
66,2007-12-27 00:00:00,4.66,4.7,4.3,4.7,3092,2007
67,2007-12-28 00:00:00,4.7,4.75,4.34,4.75,553,2007
68,2008-01-02 00:00:00,4.84,4.84,4.5,4.74,4211,2008
69,2008-01-03 00:00:00,4.73,4.73,4.5,4.72,4875,2008
70,2008-01-04 00:00:00,4.62,4.9,4.6,4.9,8244,2008
71,2008-01-07 00:00:00,4.89,4.89,4.7,4.8,1142,2008
72,2008-01-08 00:00:00,4.76,4.76,4.52,4.59,450,2008
73,2008-01-09 00:00:00,4.6,4.6,4.3,4.5,3056,2008
74,2008-01-10 00:00:00,4.47,4.47,4.38,4.38,1380,2008
75,2008-01-11 00:00:00,4.35,4.49,4.35,4.49,1744,2008
