,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-01-14 00:00:00,33.0,33.0,21.0,22.0,14733,2011
1,2011-01-17 00:00:00,21.0,22.0,20.0,20.0,3276,2011
2,2011-01-18 00:00:00,20.0,21.0,19.0,20.0,1195,2011
3,2011-01-19 00:00:00,20.0,23.0,20.0,23.0,2342,2011
4,2011-01-20 00:00:00,23.0,23.0,20.0,23.0,1000,2011
5,2011-01-21 00:00:00,23.0,23.0,22.0,22.0,359,2011
6,2011-01-24 00:00:00,23.0,23.0,21.0,22.0,661,2011
7,2011-01-25 00:00:00,21.0,21.0,20.0,21.0,279,2011
8,2011-01-26 00:00:00,21.0,21.0,20.0,20.0,85,2011
9,2011-01-27 00:00:00,21.0,21.0,20.0,21.0,396,2011
10,2011-01-28 00:00:00,22.0,22.0,19.0,20.0,1883,2011
11,2011-01-31 00:00:00,20.0,20.0,18.0,19.0,1312,2011
12,2011-02-01 00:00:00,18.0,20.0,17.0,18.0,5842,2011
13,2011-02-02 00:00:00,17.0,18.0,17.0,18.0,583,2011
14,2011-02-03 00:00:00,18.0,18.0,17.0,17.0,1416,2011
15,2011-02-04 00:00:00,18.0,18.0,17.0,17.0,939,2011
16,2011-02-07 00:00:00,17.0,20.0,16.0,19.0,2878,2011
17,2011-02-08 00:00:00,19.0,20.0,18.0,20.0,1333,2011
18,2011-02-09 00:00:00,20.0,20.0,19.0,20.0,80,2011
19,2011-02-10 00:00:00,19.0,20.0,19.0,19.0,145,2011
20,2011-02-11 00:00:00,19.0,19.0,19.0,19.0,90,2011
21,2011-02-14 00:00:00,18.0,18.0,18.0,18.0,175,2011
22,2011-02-15 00:00:00,18.0,18.0,18.0,18.0,51,2011
23,2011-02-16 00:00:00,19.0,19.0,18.0,18.0,511,2011
24,2011-02-17 00:00:00,19.0,19.0,17.0,17.0,656,2011
25,2011-02-21 00:00:00,17.0,17.0,17.0,17.0,20,2011
26,2011-02-22 00:00:00,17.0,17.0,17.0,17.0,296,2011
27,2011-02-23 00:00:00,17.0,18.0,17.0,18.0,149,2011
28,2011-02-24 00:00:00,17.0,18.0,17.0,18.0,314,2011
29,2011-02-25 00:00:00,17.0,18.0,16.0,18.0,625,2011
30,2011-02-28 00:00:00,18.0,21.0,18.0,21.0,1496,2011
31,2011-03-01 00:00:00,21.0,22.0,21.0,21.0,251,2011
32,2011-03-02 00:00:00,21.0,22.0,21.0,22.0,35,2011
33,2011-03-03 00:00:00,22.0,22.0,21.0,22.0,475,2011
34,2011-03-04 00:00:00,22.0,23.0,22.0,23.0,648,2011
35,2011-03-07 00:00:00,23.0,24.0,22.0,23.0,497,2011
36,2011-03-08 00:00:00,23.0,24.0,23.0,23.0,171,2011
37,2011-03-09 00:00:00,23.0,25.0,20.0,20.0,3656,2011
38,2011-03-10 00:00:00,20.0,23.0,20.0,23.0,840,2011
39,2011-03-11 00:00:00,22.0,23.0,21.0,22.0,110,2011
40,2011-03-15 00:00:00,22.0,22.0,21.0,21.0,470,2011
41,2011-03-16 00:00:00,21.0,21.0,21.0,21.0,5,2011
42,2011-03-17 00:00:00,21.0,21.0,21.0,21.0,243,2011
43,2011-03-18 00:00:00,21.0,22.0,21.0,21.0,138,2011
44,2011-03-21 00:00:00,21.0,21.0,19.0,19.0,42,2011
45,2011-03-22 00:00:00,19.0,19.0,19.0,19.0,110,2011
46,2011-03-23 00:00:00,20.0,20.0,20.0,20.0,127,2011
47,2011-03-24 00:00:00,20.0,20.0,20.0,20.0,20,2011
48,2011-03-25 00:00:00,21.0,21.0,21.0,21.0,5,2011
49,2011-03-28 00:00:00,20.0,20.0,19.0,19.0,106,2011
50,2011-03-29 00:00:00,20.0,20.0,20.0,20.0,228,2011
51,2011-03-30 00:00:00,20.0,20.0,20.0,20.0,20,2011
52,2011-04-01 00:00:00,20.0,20.0,20.0,20.0,20,2011
53,2011-04-04 00:00:00,20.0,20.0,20.0,20.0,5,2011
54,2011-04-05 00:00:00,20.0,20.0,19.0,20.0,338,2011
55,2011-04-06 00:00:00,20.0,20.0,20.0,20.0,173,2011
56,2011-04-07 00:00:00,19.0,19.0,19.0,19.0,100,2011
57,2011-04-08 00:00:00,19.0,19.0,19.0,19.0,10,2011
58,2011-04-11 00:00:00,19.0,19.0,19.0,19.0,222,2011
59,2011-04-13 00:00:00,20.0,20.0,20.0,20.0,5,2011
60,2011-04-14 00:00:00,20.0,20.0,19.0,19.0,85,2011
61,2011-04-15 00:00:00,19.0,19.0,19.0,19.0,100,2011
62,2011-04-19 00:00:00,20.0,20.0,20.0,20.0,5,2011
63,2011-04-20 00:00:00,20.0,27.0,20.0,27.0,1257,2011
