,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2014-03-12 00:00:00,4.77,4.77,4.3,4.4,6801,2014
1,2014-03-13 00:00:00,4.28,4.28,3.98,4.2,1064,2014
2,2014-03-14 00:00:00,3.91,3.91,3.21,3.8,1452,2014
3,2014-03-17 00:00:00,3.5,3.8,3.4,3.4,404,2014
4,2014-03-18 00:00:00,3.5,3.5,3.4,3.5,147,2014
5,2014-03-19 00:00:00,3.24,3.5,3.24,3.5,101,2014
6,2014-03-20 00:00:00,3.24,3.24,3.0,3.2,249,2014
7,2014-03-21 00:00:00,3.4,3.4,3.4,3.4,2,2014
8,2014-03-25 00:00:00,3.3,3.3,3.3,3.3,1000,2014
9,2014-03-26 00:00:00,3.2,3.2,3.2,3.2,100,2014
10,2014-03-31 00:00:00,3.2,3.2,3.1,3.1,750,2014
11,2014-04-02 00:00:00,3.1,3.1,3.1,3.1,610,2014
12,2014-04-03 00:00:00,3.05,3.05,2.8,3.0,1102,2014
13,2014-04-09 00:00:00,3.0,3.0,3.0,3.0,1698,2014
14,2014-04-11 00:00:00,3.1,3.1,3.1,3.1,2,2014
15,2014-04-22 00:00:00,3.1,3.1,3.1,3.1,1,2014
16,2014-04-30 00:00:00,3.27,3.27,3.27,3.27,2,2014
17,2014-05-02 00:00:00,3.05,3.27,3.05,3.27,493,2014
18,2014-05-06 00:00:00,2.85,2.85,2.85,2.85,500,2014
19,2014-05-12 00:00:00,2.45,2.7,2.41,2.7,510,2014
20,2014-05-13 00:00:00,2.85,2.85,2.45,2.5,1002,2014
21,2014-05-14 00:00:00,2.4,2.4,2.0,2.35,3492,2014
22,2014-05-16 00:00:00,2.1,2.1,2.0,2.0,510,2014
23,2014-05-19 00:00:00,2.0,2.4,2.0,2.4,968,2014
24,2014-05-20 00:00:00,2.11,2.35,2.11,2.35,251,2014
25,2014-05-21 00:00:00,2.2,2.35,2.2,2.35,91,2014
26,2014-05-26 00:00:00,2.1,2.1,2.07,2.1,352,2014
27,2014-05-27 00:00:00,1.95,2.1,1.95,2.05,501,2014
28,2014-05-28 00:00:00,2.0,2.08,1.86,2.08,773,2014
29,2014-05-30 00:00:00,2.08,2.1,2.08,2.1,355,2014
30,2014-06-02 00:00:00,2.0,2.0,1.92,1.92,649,2014
31,2014-06-03 00:00:00,1.95,2.1,1.95,2.1,1247,2014
32,2014-06-06 00:00:00,2.0,2.18,2.0,2.18,210,2014
33,2014-06-09 00:00:00,1.95,2.18,1.95,2.18,410,2014
34,2014-06-10 00:00:00,1.92,2.19,1.92,2.0,600,2014
35,2014-06-11 00:00:00,2.1,2.3,2.0,2.1,220,2014
36,2014-06-12 00:00:00,1.94,2.1,1.94,2.1,160,2014
37,2014-06-17 00:00:00,2.0,2.1,2.0,2.1,1010,2014
38,2014-06-23 00:00:00,1.94,1.99,1.94,1.99,110,2014
39,2014-06-24 00:00:00,1.99,1.99,1.93,1.95,1200,2014
40,2014-06-26 00:00:00,2.02,2.02,2.02,2.02,10,2014
41,2014-06-27 00:00:00,2.0,2.2,2.0,2.2,2689,2014
42,2014-06-30 00:00:00,2.1,2.39,2.1,2.39,210,2014
43,2014-07-01 00:00:00,2.01,2.2,2.01,2.2,110,2014
44,2014-07-07 00:00:00,2.2,2.2,2.1,2.19,200,2014
45,2014-07-10 00:00:00,2.09,2.19,2.0,2.0,1309,2014
46,2014-07-16 00:00:00,1.9,1.99,1.71,1.99,760,2014
47,2014-07-28 00:00:00,1.8,1.9,1.71,1.9,148,2014
48,2014-08-05 00:00:00,1.9,1.9,1.9,1.9,99,2014
49,2014-08-07 00:00:00,1.8,1.8,1.51,1.51,1534,2014
50,2014-08-08 00:00:00,1.52,1.8,1.52,1.8,700,2014
51,2014-08-22 00:00:00,1.85,1.85,1.85,1.85,811,2014
52,2014-08-25 00:00:00,1.97,1.97,1.97,1.97,8,2014
53,2014-08-26 00:00:00,1.8,1.8,1.5,1.7,1800,2014
54,2014-08-27 00:00:00,1.8,1.8,1.8,1.8,100,2014
55,2014-08-28 00:00:00,1.7,1.7,1.7,1.7,100,2014
56,2014-08-29 00:00:00,1.8,1.8,1.7,1.79,210,2014
57,2014-09-08 00:00:00,1.6,1.6,1.6,1.6,100,2014
58,2014-09-11 00:00:00,1.65,1.9,1.6,1.89,1726,2014
59,2014-09-16 00:00:00,1.65,1.65,1.65,1.65,500,2014
60,2014-09-17 00:00:00,1.6,1.65,1.6,1.65,337,2014
61,2014-09-18 00:00:00,1.7,1.7,1.7,1.7,695,2014
62,2014-09-19 00:00:00,1.65,1.65,1.65,1.65,300,2014
63,2014-09-22 00:00:00,1.6,1.6,1.6,1.6,100,2014
64,2014-09-24 00:00:00,1.64,2.35,1.64,2.35,11999,2014
