,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-02-08 00:00:00,0.46,0.46,0.21,0.28,2142883,2016
1,2016-02-09 00:00:00,0.31,0.37,0.28,0.32,2142786,2016
2,2016-02-10 00:00:00,0.33,0.34,0.22,0.24,1572237,2016
3,2016-02-11 00:00:00,0.22,0.27,0.22,0.26,489661,2016
4,2016-02-12 00:00:00,0.24,0.26,0.19,0.2,1231224,2016
5,2016-02-15 00:00:00,0.2,0.21,0.16,0.21,1271683,2016
6,2016-02-16 00:00:00,0.21,0.21,0.19,0.2,379682,2016
7,2016-02-17 00:00:00,0.2,0.21,0.18,0.21,322663,2016
8,2016-02-18 00:00:00,0.21,0.21,0.18,0.2,288812,2016
9,2016-02-19 00:00:00,0.2,0.2,0.17,0.17,171136,2016
10,2016-02-22 00:00:00,0.17,0.18,0.16,0.17,325646,2016
11,2016-02-23 00:00:00,0.17,0.18,0.15,0.16,665510,2016
12,2016-02-24 00:00:00,0.16,0.17,0.14,0.16,792009,2016
13,2016-02-25 00:00:00,0.16,0.17,0.15,0.17,73997,2016
14,2016-02-26 00:00:00,0.16,0.17,0.15,0.16,190034,2016
15,2016-02-29 00:00:00,0.15,0.17,0.14,0.15,180331,2016
16,2016-03-01 00:00:00,0.15,0.15,0.13,0.14,370713,2016
17,2016-03-02 00:00:00,0.14,0.14,0.12,0.13,189297,2016
18,2016-03-03 00:00:00,0.13,0.17,0.13,0.16,815493,2016
19,2016-03-04 00:00:00,0.16,0.16,0.13,0.13,585659,2016
20,2016-03-07 00:00:00,0.14,0.14,0.13,0.14,146172,2016
21,2016-03-08 00:00:00,0.14,0.15,0.13,0.14,44759,2016
22,2016-03-09 00:00:00,0.14,0.14,0.13,0.14,138258,2016
23,2016-03-10 00:00:00,0.14,0.15,0.14,0.14,29199,2016
24,2016-03-11 00:00:00,0.14,0.16,0.14,0.14,276028,2016
25,2016-03-14 00:00:00,0.15,0.15,0.13,0.14,101529,2016
26,2016-03-15 00:00:00,0.13,0.14,0.13,0.13,105913,2016
27,2016-03-16 00:00:00,0.13,0.13,0.13,0.13,31183,2016
28,2016-03-17 00:00:00,0.14,0.14,0.12,0.13,12601,2016
29,2016-03-18 00:00:00,0.13,0.14,0.13,0.14,88080,2016
30,2016-03-21 00:00:00,0.13,0.14,0.12,0.14,25401,2016
31,2016-03-22 00:00:00,0.14,0.14,0.13,0.14,94564,2016
32,2016-03-23 00:00:00,0.14,0.14,0.12,0.12,162854,2016
33,2016-03-24 00:00:00,0.13,0.13,0.11,0.11,883267,2016
34,2016-03-29 00:00:00,0.11,0.13,0.11,0.12,235237,2016
35,2016-03-30 00:00:00,0.12,0.12,0.11,0.12,100902,2016
36,2016-03-31 00:00:00,0.12,0.12,0.11,0.11,225895,2016
37,2016-04-01 00:00:00,0.11,0.12,0.11,0.12,61742,2016
38,2016-04-04 00:00:00,0.11,0.12,0.11,0.12,121996,2016
39,2016-04-05 00:00:00,0.12,0.12,0.11,0.11,58200,2016
40,2016-04-06 00:00:00,0.11,0.12,0.11,0.12,34047,2016
41,2016-04-07 00:00:00,0.12,0.12,0.1,0.11,639083,2016
42,2016-04-08 00:00:00,0.11,0.11,0.1,0.11,229948,2016
43,2016-04-11 00:00:00,0.11,0.11,0.09,0.11,80422,2016
44,2016-04-12 00:00:00,0.11,0.11,0.1,0.11,139413,2016
45,2016-04-13 00:00:00,0.11,0.11,0.1,0.11,29600,2016
46,2016-04-14 00:00:00,0.1,0.14,0.1,0.14,1069203,2016
47,2016-04-15 00:00:00,0.14,0.14,0.12,0.12,199908,2016
48,2016-04-18 00:00:00,0.12,0.13,0.11,0.13,57236,2016
49,2016-04-19 00:00:00,0.12,0.12,0.1,0.11,365434,2016
50,2016-04-20 00:00:00,0.11,0.11,0.11,0.11,95060,2016
51,2016-04-21 00:00:00,0.11,0.14,0.11,0.14,1004999,2016
52,2016-04-22 00:00:00,0.13,0.14,0.12,0.13,493598,2016
53,2016-04-25 00:00:00,0.13,0.14,0.12,0.13,423061,2016
54,2016-04-26 00:00:00,0.13,0.14,0.12,0.14,175598,2016
55,2016-04-27 00:00:00,0.14,0.18,0.13,0.17,2385642,2016
56,2016-04-28 00:00:00,0.17,0.18,0.15,0.16,532926,2016
57,2016-04-29 00:00:00,0.16,0.17,0.15,0.17,407928,2016
58,2016-05-02 00:00:00,0.16,0.16,0.15,0.16,415946,2016
59,2016-05-04 00:00:00,0.16,0.16,0.14,0.15,242919,2016
60,2016-05-05 00:00:00,0.15,0.16,0.14,0.16,616218,2016
61,2016-05-06 00:00:00,0.16,0.17,0.15,0.15,725055,2016
62,2016-05-09 00:00:00,0.15,0.15,0.13,0.13,303693,2016
63,2016-05-10 00:00:00,0.14,0.14,0.12,0.12,255158,2016
64,2016-05-11 00:00:00,0.14,0.14,0.12,0.13,98553,2016
65,2016-05-12 00:00:00,0.13,0.14,0.13,0.14,24083,2016
66,2016-05-13 00:00:00,0.13,0.13,0.12,0.12,510179,2016
67,2016-05-16 00:00:00,0.13,0.13,0.11,0.12,195162,2016
68,2016-05-17 00:00:00,0.12,0.12,0.11,0.11,154733,2016
69,2016-05-18 00:00:00,0.11,0.11,0.1,0.11,448926,2016
70,2016-05-19 00:00:00,0.11,0.12,0.11,0.11,25533,2016
71,2016-05-20 00:00:00,0.11,0.12,0.1,0.11,146830,2016
72,2016-05-23 00:00:00,0.11,0.11,0.1,0.11,260558,2016
73,2016-05-24 00:00:00,0.11,0.11,0.1,0.1,26735,2016
74,2016-05-25 00:00:00,0.1,0.11,0.1,0.1,135128,2016
75,2016-05-27 00:00:00,0.1,0.11,0.09,0.1,187550,2016
