,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-11-14 00:00:00,1.3352,1.3352,1.3352,1.3352,119,2008
1,2008-11-17 00:00:00,1.0838,1.0838,1.0838,1.0838,119,2008
2,2008-11-18 00:00:00,1.0058,1.0058,1.0058,1.0058,119,2008
3,2008-11-19 00:00:00,0.8497,0.8497,0.7544,0.7544,239,2008
4,2008-11-20 00:00:00,0.8497,0.8497,0.8497,0.8497,2391,2008
5,2008-11-21 00:00:00,0.9624,0.9624,0.8324,0.841,1673,2008
6,2008-11-24 00:00:00,0.841,0.841,0.841,0.841,2330,2008
7,2008-11-25 00:00:00,0.8497,0.8497,0.8497,0.8497,1195,2008
8,2008-11-26 00:00:00,0.8497,0.8497,0.8497,0.8497,2211,2008
9,2008-11-27 00:00:00,0.8497,0.8497,0.8497,0.8497,2391,2008
10,2008-11-28 00:00:00,0.8497,0.8497,0.8497,0.8497,3586,2008
11,2008-12-08 00:00:00,0.9191,0.9624,0.9191,0.9624,1973,2008
12,2008-12-09 00:00:00,0.8497,0.8497,0.8497,0.8497,1195,2008
13,2008-12-10 00:00:00,0.841,0.9624,0.841,0.9624,1673,2008
14,2008-12-11 00:00:00,0.9624,1.0058,0.9624,1.0058,71729,2008
15,2008-12-15 00:00:00,0.9971,1.0144,0.9971,1.0144,71729,2008
16,2008-12-16 00:00:00,1.0058,1.0058,1.0058,1.0058,47819,2008
17,2008-12-23 00:00:00,0.9884,0.9884,0.9884,0.9884,1195,2008
18,2009-01-09 00:00:00,0.9191,0.9191,0.9191,0.9191,1721,2009
19,2009-01-12 00:00:00,1.0058,1.0058,1.0058,1.0058,12445,2009
20,2009-01-14 00:00:00,1.0058,1.0058,1.0058,1.0058,21027,2009
21,2009-01-15 00:00:00,1.0058,1.0058,1.0058,1.0058,11955,2009
22,2009-01-16 00:00:00,0.9191,0.9191,0.9191,0.9191,1195,2009
23,2009-03-05 00:00:00,1.0058,1.0058,1.0058,1.0058,1195,2009
24,2009-03-06 00:00:00,1.0058,1.0058,1.0058,1.0058,1195,2009
25,2009-03-10 00:00:00,1.0058,1.0058,1.0058,1.0058,1195,2009
26,2009-03-25 00:00:00,1.0492,1.0492,1.0492,1.0492,119,2009
27,2009-06-01 00:00:00,1.0492,1.0492,1.0492,1.0492,23790,2009
28,2009-06-02 00:00:00,1.0838,1.0838,1.0838,1.0838,1195,2009
29,2009-06-23 00:00:00,1.1705,1.1705,1.1705,1.1705,119,2009
30,2009-08-12 00:00:00,1.1879,1.1879,1.1879,1.1879,11784,2009
31,2009-08-17 00:00:00,1.2746,1.3613,1.2746,1.3613,1177,2009
32,2009-08-21 00:00:00,1.1879,1.1879,1.1879,1.1879,5891,2009
33,2009-08-24 00:00:00,1.3613,1.3613,1.3613,1.3613,1177,2009
34,2009-08-25 00:00:00,1.6995,1.6995,1.1879,1.6995,1343,2009
35,2009-08-26 00:00:00,1.3613,1.6561,1.3613,1.3613,1072,2009
36,2009-08-27 00:00:00,1.2746,1.2746,1.2746,1.2746,235,2009
37,2009-08-31 00:00:00,1.2312,1.2312,1.2312,1.2312,1566,2009
38,2009-09-03 00:00:00,1.1965,1.1965,1.1965,1.1965,1059,2009
39,2009-10-02 00:00:00,1.1965,1.1965,1.1965,1.1965,42421,2009
40,2009-10-05 00:00:00,1.2312,1.2312,1.2312,1.2312,588,2009
41,2009-10-13 00:00:00,1.2746,1.2746,1.2746,1.2746,1225,2009
42,2009-10-14 00:00:00,1.3959,1.4393,1.3959,1.4393,588,2009
43,2009-10-16 00:00:00,1.474,1.474,1.474,1.474,588,2009
44,2009-10-19 00:00:00,1.604,1.604,1.604,1.604,352,2009
45,2009-10-22 00:00:00,1.604,1.6995,1.604,1.6995,471,2009
46,2009-11-09 00:00:00,1.6128,1.6995,1.6128,1.6995,4407,2009
47,2009-11-25 00:00:00,1.3613,1.3613,1.3613,1.3613,588,2009
48,2009-11-27 00:00:00,1.4393,1.6128,1.4393,1.6128,530,2009
49,2009-11-30 00:00:00,1.6995,1.6995,1.6995,1.6995,141,2009
50,2009-12-04 00:00:00,1.6995,1.6995,1.6995,1.6995,118,2009
51,2009-12-07 00:00:00,1.6995,1.6995,1.6995,1.6995,118,2009
52,2009-12-11 00:00:00,1.6995,1.6995,1.6995,1.6995,118,2009
53,2010-01-19 00:00:00,2.0376,2.0376,2.0376,2.0376,11,2010
54,2010-01-21 00:00:00,2.4451,2.4451,2.4451,2.4451,376,2010
55,2010-02-11 00:00:00,2.9306,2.9306,2.9306,2.9306,317,2010
56,2010-02-12 00:00:00,2.9306,2.9306,2.9306,2.9306,34,2010
57,2010-02-15 00:00:00,2.9046,2.9046,2.9046,2.9046,11,2010
58,2010-02-16 00:00:00,2.9046,2.9046,2.9046,2.9046,341,2010
