,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-06-26 00:00:00,3.25,3.7,2.8,3.04,363755,2019
1,2019-06-27 00:00:00,3.06,3.18,2.75,2.85,68900,2019
2,2019-06-28 00:00:00,2.88,2.88,2.56,2.58,36408,2019
3,2019-07-01 00:00:00,2.5105,2.9,2.5105,2.64,24573,2019
4,2019-07-02 00:00:00,2.68,2.745,2.6,2.7,4676,2019
5,2019-07-03 00:00:00,2.6,2.798,2.4805,2.7,14401,2019
6,2019-07-04 00:00:00,2.58,2.6,2.46,2.59,2369,2019
7,2019-07-05 00:00:00,2.66,2.7,2.58,2.7,6394,2019
8,2019-07-08 00:00:00,2.72,2.76,2.7,2.75,5211,2019
9,2019-07-09 00:00:00,2.75,2.75,2.6,2.6,4662,2019
10,2019-07-10 00:00:00,2.54,2.68,2.48,2.68,8651,2019
11,2019-07-11 00:00:00,2.69,2.8,2.69,2.77,8172,2019
12,2019-07-12 00:00:00,2.7939999999999996,3.0,2.7939999999999996,3.0,25392,2019
13,2019-07-15 00:00:00,3.0,3.92,3.0,3.76,95934,2019
14,2019-07-16 00:00:00,3.81,4.415,3.76,3.92,36132,2019
15,2019-07-17 00:00:00,3.92,4.17,3.86,3.95,11053,2019
16,2019-07-18 00:00:00,4.08,4.08,3.62,3.9,8846,2019
17,2019-07-19 00:00:00,3.89,3.9,3.5,3.73,11115,2019
18,2019-07-22 00:00:00,3.8895,3.8895,3.66,3.8,1989,2019
19,2019-07-23 00:00:00,3.82,3.82,3.65,3.77,2940,2019
20,2019-07-24 00:00:00,3.75,3.75,3.61,3.71,1938,2019
21,2019-07-25 00:00:00,3.6,3.81,3.6,3.66,5530,2019
22,2019-07-26 00:00:00,3.695,4.96,3.695,4.38,47853,2019
23,2019-07-29 00:00:00,4.5,5.59,4.5,5.395,47453,2019
24,2019-07-30 00:00:00,5.6,8.06,5.6,6.65,68453,2019
25,2019-07-31 00:00:00,6.77,8.12,6.0,7.2,57217,2019
26,2019-08-01 00:00:00,7.375,7.75,6.63,6.8,17716,2019
27,2019-08-02 00:00:00,6.7,7.1,6.28,6.8,6882,2019
28,2019-08-05 00:00:00,6.6,6.9,5.667999999999999,5.667999999999999,22056,2019
29,2019-08-06 00:00:00,5.58,7.09,5.3,6.9479999999999995,32331,2019
30,2019-08-07 00:00:00,6.978,7.3,5.61,6.249,29566,2019
31,2019-08-08 00:00:00,6.01,6.68,5.9,6.31,6070,2019
32,2019-08-09 00:00:00,6.22,6.8,6.01,6.2,5760,2019
33,2019-08-12 00:00:00,5.71,6.2,5.35,5.64,31021,2019
34,2019-08-13 00:00:00,5.39,6.1,5.39,5.55,6653,2019
35,2019-08-14 00:00:00,5.94,5.94,5.42,5.755,2505,2019
36,2019-08-16 00:00:00,5.745,5.745,5.38,5.38,3372,2019
37,2019-08-19 00:00:00,5.5,6.06,5.4879999999999995,5.769,7796,2019
38,2019-08-20 00:00:00,5.769,6.28,5.73,6.0,6129,2019
39,2019-08-21 00:00:00,6.1,6.55,6.1,6.19,6296,2019
40,2019-08-22 00:00:00,6.36,6.36,6.0,6.28,2799,2019
41,2019-08-23 00:00:00,6.1,6.24,5.7,6.0,10261,2019
42,2019-08-26 00:00:00,5.98,5.98,5.65,5.899,3666,2019
