,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-11-15 00:00:00,3.7252,3.9912,3.3704,3.3704,29428,2010
1,2010-11-16 00:00:00,3.3615,3.3615,2.6963,2.6963,14616,2010
2,2010-11-17 00:00:00,2.6608,2.6608,2.3061,2.3061,2499,2010
3,2010-11-18 00:00:00,2.6608,2.6608,2.5722,2.5722,733,2010
4,2010-11-19 00:00:00,2.3948,2.3948,2.1287,2.1287,27765,2010
5,2010-11-22 00:00:00,2.1287,2.2352,2.1287,2.2173,1353,2010
6,2010-11-23 00:00:00,2.2618,2.3061,2.2618,2.3061,868,2010
7,2010-11-24 00:00:00,2.3061,2.5544,2.2173,2.4568,8153,2010
8,2010-11-25 00:00:00,2.1819,2.4391,2.1819,2.4391,350,2010
9,2010-11-26 00:00:00,2.3859,2.3948,2.3859,2.3948,2943,2010
10,2010-11-29 00:00:00,2.2262,2.2262,2.04,2.04,5791,2010
11,2010-11-30 00:00:00,2.04,2.3061,2.04,2.3061,1710,2010
12,2010-12-01 00:00:00,2.315,2.315,2.1287,2.2972,5534,2010
13,2010-12-03 00:00:00,2.2618,2.2618,2.0666,2.173,2280,2010
14,2010-12-06 00:00:00,2.1996,2.1996,2.0932,2.0932,1364,2010
15,2010-12-07 00:00:00,2.1287,2.1287,2.1287,2.1287,5,2010
16,2010-12-08 00:00:00,2.0577,2.0577,1.7739,1.8359999999999999,27415,2010
17,2010-12-09 00:00:00,2.0755,2.0755,1.8626,1.8626,251,2010
18,2010-12-10 00:00:00,2.0755,2.0755,1.7828,1.9779,2498,2010
19,2010-12-13 00:00:00,1.9868,1.9868,1.7916,1.7916,43,2010
20,2010-12-14 00:00:00,1.8626,2.0666,1.8626,2.0311,341,2010
21,2010-12-15 00:00:00,1.9513,1.9513,1.9513,1.9513,22,2010
22,2010-12-16 00:00:00,1.8005,1.9425,1.8005,1.8094,1242,2010
23,2010-12-17 00:00:00,1.8182,1.8182,1.7916,1.7916,3635,2010
24,2010-12-20 00:00:00,1.8626,2.0755,1.7916,1.7916,2029,2010
25,2010-12-21 00:00:00,1.7828,1.9425,1.7828,1.9425,566,2010
26,2010-12-22 00:00:00,2.0223,2.0223,2.0223,2.0223,2,2010
27,2010-12-27 00:00:00,1.7916,1.8005,1.7916,1.8005,1026,2010
28,2010-12-28 00:00:00,1.7916,1.9691,1.6498,1.6498,870,2010
29,2010-12-30 00:00:00,1.9425,1.9425,1.9246,1.9246,411,2010
30,2010-12-31 00:00:00,1.7118,1.7118,1.7118,1.7118,338,2010
31,2011-01-03 00:00:00,1.7562,1.7562,1.6498,1.6498,11275,2011
32,2011-01-04 00:00:00,1.7384,1.7384,1.7384,1.7384,22,2011
33,2011-01-05 00:00:00,1.5965,1.5965,1.561,1.561,3540,2011
34,2011-01-07 00:00:00,1.5787,1.7118,1.5787,1.7118,847,2011
35,2011-01-10 00:00:00,1.5255,1.5965,1.5078,1.5965,1917,2011
36,2011-01-11 00:00:00,1.5167,1.5167,1.5167,1.5167,905,2011
37,2011-01-12 00:00:00,1.5965,1.6053,1.5965,1.6053,902,2011
38,2011-01-14 00:00:00,1.5965,1.7296,1.5965,1.7296,1184,2011
39,2011-01-18 00:00:00,1.5787,1.5787,1.5167,1.5521,3834,2011
40,2011-01-19 00:00:00,1.4635,1.4635,1.4103,1.4546,59912,2011
41,2011-01-20 00:00:00,1.4635,1.4635,1.4635,1.4635,8727,2011
42,2011-01-21 00:00:00,1.4191,1.5078,1.4191,1.4191,12294,2011
43,2011-01-24 00:00:00,1.4280000000000002,1.5078,1.4191,1.5078,9020,2011
44,2011-01-25 00:00:00,1.4635,1.4635,1.4280000000000002,1.4280000000000002,1353,2011
45,2011-01-26 00:00:00,1.4280000000000002,1.5078,1.4103,1.5078,4784,2011
46,2011-01-27 00:00:00,1.4191,1.4191,1.4191,1.4191,1229,2011
47,2011-01-28 00:00:00,1.4989,1.6231,1.4989,1.6053,4142,2011
48,2011-01-31 00:00:00,1.5787,1.5787,1.5787,1.5787,1148,2011
49,2011-02-01 00:00:00,1.4989,1.4989,1.4457,1.4457,846,2011
50,2011-02-02 00:00:00,1.5078,1.5078,1.5078,1.5078,1015,2011
51,2011-02-03 00:00:00,1.4457,1.4457,1.4191,1.4191,4340,2011
52,2011-02-04 00:00:00,1.4280000000000002,1.4280000000000002,1.4280000000000002,1.4280000000000002,789,2011
53,2011-02-07 00:00:00,1.4280000000000002,1.4280000000000002,1.4280000000000002,1.4280000000000002,338,2011
54,2011-02-08 00:00:00,1.4191,1.4191,1.3393,1.3393,4848,2011
55,2011-02-09 00:00:00,1.3304,1.3304,1.3304,1.3304,1229,2011
56,2011-02-11 00:00:00,1.4014,1.4989,1.4014,1.4989,2978,2011
57,2011-02-14 00:00:00,1.3925,1.4457,1.3837,1.4457,1127,2011
58,2011-02-15 00:00:00,1.3837,1.3837,1.3837,1.3837,564,2011
59,2011-02-16 00:00:00,1.3837,1.3837,1.3837,1.3837,338,2011
60,2011-02-22 00:00:00,1.3837,1.3837,1.3482,1.3482,56,2011
61,2011-02-23 00:00:00,1.3393,1.3393,1.2949,1.2949,6529,2011
62,2011-02-28 00:00:00,1.3038,1.3038,1.3038,1.3038,247,2011
63,2011-03-01 00:00:00,1.3126,1.3126,1.3126,1.3126,1,2011
64,2011-03-02 00:00:00,1.3571,1.4014,1.3038,1.3482,4836,2011
65,2011-03-03 00:00:00,1.3925,1.3925,1.3038,1.3659,1165,2011
66,2011-03-04 00:00:00,1.2417,1.2417,1.2417,1.2417,5637,2011
67,2011-03-07 00:00:00,1.3038,1.3038,1.3038,1.3038,12,2011
68,2011-03-08 00:00:00,1.2417,1.3038,1.2417,1.2949,6772,2011
69,2011-03-09 00:00:00,1.2417,1.3038,1.1974,1.2949,10507,2011
70,2011-03-10 00:00:00,1.2949,1.3659,1.2949,1.3659,1841,2011
71,2011-03-11 00:00:00,1.2506,1.2506,1.1885,1.2506,1510,2011
72,2011-03-14 00:00:00,1.224,1.224,1.224,1.224,789,2011
73,2011-03-15 00:00:00,1.2506,1.3571,1.1974,1.1974,13680,2011
74,2011-03-16 00:00:00,1.1974,1.1974,1.153,1.153,41472,2011
75,2011-03-17 00:00:00,1.2328,1.2328,1.2328,1.2328,107,2011
76,2011-03-23 00:00:00,1.2417,1.2417,1.2417,1.2417,649,2011
77,2011-03-24 00:00:00,1.2417,1.2417,1.1974,1.2417,3157,2011
78,2011-03-25 00:00:00,1.1974,1.1974,1.1974,1.1974,1635,2011
79,2011-03-28 00:00:00,1.286,1.3393,1.286,1.3393,3413,2011
80,2011-03-30 00:00:00,1.3571,1.5787,1.3571,1.4191,10152,2011
81,2011-03-31 00:00:00,1.4191,1.4369,1.3659,1.4191,7243,2011
82,2011-04-01 00:00:00,1.4191,1.4191,1.4191,1.4191,352,2011
83,2011-04-04 00:00:00,1.3748,1.3748,1.3393,1.3393,1326,2011
84,2011-04-06 00:00:00,1.3304,1.3304,1.3304,1.3304,638,2011
85,2011-04-08 00:00:00,1.3215,1.3215,1.3038,1.3038,49881,2011
86,2011-04-12 00:00:00,1.3126,1.3126,1.2417,1.2772,4848,2011
87,2011-04-13 00:00:00,1.2417,1.2417,1.2417,1.2417,377,2011
88,2011-04-14 00:00:00,1.2417,1.2417,1.2417,1.2417,377,2011
89,2011-04-15 00:00:00,1.286,1.286,1.2417,1.2417,1900,2011
90,2011-04-18 00:00:00,1.286,1.286,1.2506,1.2506,1691,2011
91,2011-04-19 00:00:00,1.2506,1.2506,1.2506,1.2506,68,2011
92,2011-04-21 00:00:00,1.2949,1.2949,1.286,1.286,1218,2011
93,2011-04-27 00:00:00,1.3304,1.3571,1.3304,1.3571,1494,2011
94,2011-04-29 00:00:00,1.3571,1.3659,1.3571,1.3571,1319,2011
95,2011-05-02 00:00:00,1.3571,1.4014,1.2772,1.4014,2259,2011
96,2011-05-04 00:00:00,1.4280000000000002,1.4369,1.4280000000000002,1.4369,3100,2011
97,2011-05-06 00:00:00,1.3659,1.3659,1.3304,1.3304,3589,2011
98,2011-05-09 00:00:00,1.3925,1.8182,1.3925,1.7296,71014,2011
