,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-11-28 00:00:00,6.95,10.0,6.2,7.25,68787,2013
1,2013-11-29 00:00:00,7.24,7.5,6.5,7.2,4478,2013
2,2013-12-02 00:00:00,7.0,7.0,5.9,7.0,3022,2013
3,2013-12-03 00:00:00,6.8,6.98,6.8,6.98,350,2013
4,2013-12-04 00:00:00,6.98,6.98,6.52,6.52,520,2013
5,2013-12-05 00:00:00,6.25,6.9,5.9,6.89,1539,2013
6,2013-12-06 00:00:00,6.0,7.15,6.0,7.15,1050,2013
7,2013-12-09 00:00:00,7.0,7.0,7.0,7.0,140,2013
8,2013-12-10 00:00:00,6.6,6.99,5.9,6.98,1187,2013
9,2013-12-11 00:00:00,6.45,6.88,6.45,6.88,6512,2013
10,2013-12-12 00:00:00,6.85,6.85,6.45,6.45,305,2013
11,2013-12-13 00:00:00,5.9,6.6,5.9,6.6,783,2013
12,2013-12-16 00:00:00,6.6,6.6,6.2,6.2,310,2013
13,2013-12-17 00:00:00,6.25,6.6,6.2,6.6,410,2013
14,2013-12-18 00:00:00,6.6,6.85,5.5,6.84,5639,2013
15,2013-12-19 00:00:00,6.54,6.55,6.1,6.55,489,2013
16,2013-12-20 00:00:00,6.36,6.7,6.14,6.6,824,2013
17,2013-12-23 00:00:00,6.19,6.4,5.0,6.39,1530,2013
18,2013-12-27 00:00:00,5.4,6.38,5.4,6.38,200,2013
19,2013-12-30 00:00:00,6.3,6.35,6.3,6.35,130,2013
20,2014-01-02 00:00:00,6.34,6.9,6.34,6.9,1735,2014
21,2014-01-03 00:00:00,6.9,6.9,6.42,6.89,1345,2014
22,2014-01-07 00:00:00,6.33,6.9,6.3,6.9,1345,2014
23,2014-01-08 00:00:00,6.33,6.45,6.33,6.45,250,2014
24,2014-01-09 00:00:00,6.45,6.45,6.45,6.45,10,2014
25,2014-01-10 00:00:00,6.44,6.8,6.44,6.75,4253,2014
26,2014-01-13 00:00:00,6.7,6.7,6.35,6.69,114,2014
27,2014-01-14 00:00:00,6.69,6.69,6.69,6.69,3,2014
28,2014-01-15 00:00:00,6.68,6.68,6.33,6.33,243,2014
29,2014-01-16 00:00:00,6.4,6.4,6.4,6.4,20,2014
30,2014-01-21 00:00:00,6.4,6.67,6.4,6.67,650,2014
