,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-05-10 00:00:00,20.52,31.32,20.412,21.6,34957,2011
1,2011-05-11 00:00:00,21.06,23.004,18.36,22.355999999999998,8106,2011
2,2011-05-12 00:00:00,22.248,22.248,18.035999999999998,18.035999999999998,3726,2011
3,2011-05-13 00:00:00,17.28,21.06,17.064,19.44,6522,2011
4,2011-05-16 00:00:00,19.44,19.44,15.552,16.524,2593,2011
5,2011-05-17 00:00:00,15.12,16.524,14.687999999999999,16.524,2754,2011
6,2011-05-18 00:00:00,14.904000000000002,15.12,13.5,14.255999999999998,1473,2011
7,2011-05-19 00:00:00,14.148,15.767999999999999,14.04,14.04,876,2011
8,2011-05-20 00:00:00,13.607999999999999,16.2,13.607999999999999,15.12,2569,2011
9,2011-05-23 00:00:00,15.12,17.82,15.12,17.82,850,2011
10,2011-05-24 00:00:00,17.82,20.412,16.308,19.224,2222,2011
11,2011-05-25 00:00:00,18.684,20.52,17.064,18.252,4795,2011
12,2011-05-26 00:00:00,18.36,18.36,15.012,15.012,2925,2011
13,2011-05-27 00:00:00,14.904000000000002,16.524,14.687999999999999,16.092,465,2011
14,2011-05-30 00:00:00,15.228,15.228,13.607999999999999,14.904000000000002,917,2011
15,2011-05-31 00:00:00,15.12,17.064,15.12,16.524,1023,2011
16,2011-06-01 00:00:00,14.904000000000002,19.764,14.904000000000002,19.764,4825,2011
17,2011-06-02 00:00:00,18.9,19.98,16.416,17.928,6631,2011
18,2011-06-03 00:00:00,16.74,19.332,15.012,16.2,3634,2011
19,2011-06-06 00:00:00,16.2,16.2,13.932,14.687999999999999,3714,2011
20,2011-06-07 00:00:00,15.12,17.928,14.796,16.524,2768,2011
21,2011-06-08 00:00:00,16.632,16.632,14.58,15.767999999999999,592,2011
22,2011-06-09 00:00:00,14.904000000000002,15.984000000000002,13.716,14.687999999999999,1974,2011
23,2011-06-10 00:00:00,14.472000000000001,14.472000000000001,13.5,14.148,689,2011
24,2011-06-13 00:00:00,12.96,14.364,12.96,14.255999999999998,1068,2011
25,2011-06-14 00:00:00,13.5,14.04,12.96,13.716,459,2011
26,2011-06-15 00:00:00,13.824000000000002,13.824000000000002,12.42,13.5,1585,2011
27,2011-06-16 00:00:00,13.5,13.5,11.88,12.852,999,2011
28,2011-06-17 00:00:00,12.852,13.284,12.527999999999999,13.284,134,2011
29,2011-06-20 00:00:00,12.96,14.687999999999999,11.448,11.448,1955,2011
30,2011-06-21 00:00:00,11.88,16.74,11.88,16.092,12647,2011
31,2011-06-22 00:00:00,16.092,16.74,13.175999999999998,13.607999999999999,2284,2011
32,2011-06-24 00:00:00,13.607999999999999,15.12,12.744000000000002,12.96,1900,2011
33,2011-06-27 00:00:00,12.204,12.527999999999999,11.448,12.095999999999998,1359,2011
34,2011-06-28 00:00:00,11.448,12.42,11.448,12.204,346,2011
35,2011-06-29 00:00:00,11.556,11.88,11.015999999999998,11.556,1730,2011
36,2011-06-30 00:00:00,11.015999999999998,11.015999999999998,9.72,10.8,955,2011
