,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-03-16 00:00:00,1.2,1.2,0.78,1.05,87856,2012
1,2012-03-19 00:00:00,1.04,1.05,0.96,1.05,26708,2012
2,2012-03-20 00:00:00,1.05,1.05,0.95,1.03,17867,2012
3,2012-03-21 00:00:00,1.02,1.02,0.95,1.01,10953,2012
4,2012-03-22 00:00:00,0.88,0.99,0.88,0.99,7924,2012
5,2012-03-23 00:00:00,0.86,0.97,0.86,0.97,425,2012
6,2012-03-26 00:00:00,0.97,1.01,0.97,1.01,5310,2012
7,2012-03-27 00:00:00,1.01,1.01,0.97,1.01,515,2012
8,2012-03-28 00:00:00,1.01,1.02,0.98,1.02,995,2012
9,2012-03-29 00:00:00,1.02,1.02,1.02,1.02,100,2012
10,2012-03-30 00:00:00,1.02,1.02,0.97,1.01,1130,2012
11,2012-04-02 00:00:00,1.01,1.01,1.01,1.01,1480,2012
12,2012-04-03 00:00:00,0.99,1.01,0.96,1.01,3020,2012
13,2012-04-04 00:00:00,1.01,1.03,0.82,0.93,23550,2012
14,2012-04-05 00:00:00,0.9,0.9,0.9,0.9,200,2012
15,2012-04-10 00:00:00,0.9,0.98,0.85,0.98,5599,2012
16,2012-04-11 00:00:00,0.98,0.98,0.98,0.98,60,2012
17,2012-04-12 00:00:00,0.85,0.99,0.85,0.99,5450,2012
18,2012-04-13 00:00:00,0.85,1.01,0.85,1.01,8004,2012
19,2012-04-16 00:00:00,1.0,1.0,1.0,1.0,12,2012
20,2012-04-17 00:00:00,1.0,1.0,0.94,0.96,646,2012
21,2012-04-18 00:00:00,0.96,0.96,0.96,0.96,300,2012
22,2012-04-19 00:00:00,1.0,1.0,1.0,1.0,700,2012
23,2012-04-20 00:00:00,0.99,1.0,0.85,0.9,17724,2012
24,2012-04-23 00:00:00,0.86,0.91,0.75,0.75,31809,2012
25,2012-04-24 00:00:00,0.89,0.89,0.77,0.82,6883,2012
26,2012-04-25 00:00:00,0.83,0.97,0.83,0.97,1400,2012
27,2012-04-26 00:00:00,0.97,0.97,0.86,0.91,3210,2012
28,2012-04-27 00:00:00,0.97,0.97,0.97,0.97,50,2012
29,2012-04-30 00:00:00,0.97,0.97,0.97,0.97,50,2012
30,2012-05-02 00:00:00,0.97,0.97,0.97,0.97,50,2012
31,2012-05-04 00:00:00,0.97,0.97,0.97,0.97,50,2012
32,2012-05-07 00:00:00,0.99,0.99,0.99,0.99,100,2012
33,2012-05-08 00:00:00,0.99,0.99,0.99,0.99,50,2012
34,2012-05-09 00:00:00,1.0,1.0,0.92,0.92,208,2012
35,2012-05-10 00:00:00,0.99,0.99,0.92,0.95,2248,2012
36,2012-05-11 00:00:00,0.99,1.0,0.9,1.0,348,2012
37,2012-05-22 00:00:00,0.9,0.9,0.9,0.9,2,2012
38,2012-05-23 00:00:00,0.9,0.9,0.84,0.9,1000,2012
39,2012-05-24 00:00:00,0.88,0.88,0.88,0.88,10,2012
40,2012-05-25 00:00:00,0.88,0.88,0.88,0.88,22,2012
41,2012-05-30 00:00:00,0.88,0.98,0.88,0.98,5906,2012
42,2012-05-31 00:00:00,0.99,0.99,0.94,0.99,2999,2012
43,2012-06-01 00:00:00,0.99,0.99,0.99,0.99,14,2012
44,2012-06-04 00:00:00,0.99,0.99,0.87,0.92,658,2012
45,2012-06-05 00:00:00,0.99,0.99,0.99,0.99,50,2012
46,2012-06-08 00:00:00,1.0,1.0,1.0,1.0,1,2012
47,2012-06-14 00:00:00,0.87,0.88,0.84,0.88,3067,2012
48,2012-06-15 00:00:00,0.99,0.99,0.83,0.98,3303,2012
49,2012-06-19 00:00:00,0.82,0.98,0.81,0.98,1801,2012
50,2012-06-20 00:00:00,0.9,0.9,0.9,0.9,2833,2012
51,2012-06-22 00:00:00,0.95,0.95,0.95,0.95,2,2012
52,2012-06-25 00:00:00,0.95,0.95,0.95,0.95,4,2012
53,2012-06-26 00:00:00,0.97,0.97,0.97,0.97,4,2012
54,2012-06-27 00:00:00,0.97,0.97,0.97,0.97,5,2012
55,2012-06-28 00:00:00,0.95,0.95,0.95,0.95,4,2012
56,2012-06-29 00:00:00,0.96,0.96,0.96,0.96,4,2012
57,2012-07-02 00:00:00,0.97,0.97,0.97,0.97,5,2012
58,2012-07-03 00:00:00,0.97,0.97,0.97,0.97,12,2012
59,2012-07-04 00:00:00,0.97,0.97,0.97,0.97,21,2012
60,2012-07-05 00:00:00,0.97,0.97,0.97,0.97,7,2012
61,2012-07-06 00:00:00,0.97,0.97,0.97,0.97,5,2012
62,2012-07-10 00:00:00,0.97,0.97,0.97,0.97,3,2012
63,2012-07-11 00:00:00,0.97,0.97,0.97,0.97,14,2012
64,2012-07-12 00:00:00,0.94,0.94,0.94,0.94,4,2012
65,2012-07-13 00:00:00,0.94,0.94,0.94,0.94,3,2012
66,2012-07-16 00:00:00,0.94,0.94,0.94,0.94,2,2012
67,2012-07-17 00:00:00,0.92,0.92,0.92,0.92,1,2012
68,2012-07-18 00:00:00,0.9,0.9,0.9,0.9,1,2012
69,2012-07-19 00:00:00,0.9,0.9,0.9,0.9,1,2012
70,2012-07-20 00:00:00,0.9,0.9,0.9,0.9,1,2012
71,2012-07-23 00:00:00,0.9,0.9,0.9,0.9,1,2012
72,2012-07-25 00:00:00,0.9,0.9,0.9,0.9,1,2012
73,2012-07-30 00:00:00,0.85,0.9,0.85,0.9,700,2012
74,2012-08-07 00:00:00,0.94,0.94,0.94,0.94,100,2012
75,2012-08-10 00:00:00,0.95,0.95,0.95,0.95,1,2012
76,2012-08-28 00:00:00,0.95,0.95,0.95,0.95,1,2012
77,2012-09-03 00:00:00,1.0,1.0,1.0,1.0,4,2012
78,2012-09-19 00:00:00,1.0,1.0,1.0,1.0,1,2012
79,2012-09-26 00:00:00,1.0,1.0,1.0,1.0,1,2012
80,2012-09-27 00:00:00,0.8,1.0,0.8,1.0,926,2012
81,2012-09-28 00:00:00,0.99,0.99,0.99,0.99,1,2012
82,2012-10-02 00:00:00,1.0,1.0,1.0,1.0,1,2012
83,2012-10-03 00:00:00,1.0,1.0,0.98,0.98,27,2012
84,2012-10-04 00:00:00,1.0,1.0,1.0,1.0,1,2012
85,2012-10-08 00:00:00,0.95,0.99,0.95,0.99,8,2012
86,2012-10-09 00:00:00,1.0,1.0,1.0,1.0,1,2012
87,2012-10-10 00:00:00,0.99,0.99,0.99,0.99,1,2012
88,2012-10-11 00:00:00,1.0,1.0,1.0,1.0,1,2012
89,2012-10-12 00:00:00,0.94,0.95,0.94,0.95,610,2012
90,2012-10-15 00:00:00,0.99,0.99,0.99,0.99,10,2012
91,2012-10-17 00:00:00,1.0,1.0,1.0,1.0,1,2012
92,2012-10-18 00:00:00,1.0,1.0,1.0,1.0,1,2012
93,2012-10-22 00:00:00,0.82,0.98,0.82,0.98,1220,2012
94,2012-10-25 00:00:00,1.0,1.0,1.0,1.0,1,2012
95,2012-11-06 00:00:00,1.0,1.0,1.0,1.0,1,2012
