,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-12-18 00:00:00,21.5,25.0,19.0,20.0,29503,2018
1,2018-12-19 00:00:00,21.0,21.0,18.18,18.19,6439,2018
2,2018-12-20 00:00:00,18.19,18.19,16.4,17.8,2741,2018
3,2018-12-21 00:00:00,17.0,19.44,17.0,19.44,2030,2018
4,2018-12-27 00:00:00,19.9,19.9,18.1,18.44,1293,2018
5,2018-12-28 00:00:00,18.35,18.9,17.8,18.8,1621,2018
6,2019-01-02 00:00:00,19.15,19.15,18.0,18.9,365,2019
7,2019-01-03 00:00:00,18.89,18.89,18.0,18.69,740,2019
8,2019-01-04 00:00:00,18.69,18.69,18.0,18.0,1048,2019
9,2019-01-07 00:00:00,18.0,18.48,18.0,18.46,992,2019
10,2019-01-08 00:00:00,18.46,18.46,17.8,18.44,318,2019
11,2019-01-09 00:00:00,18.4,18.69,18.0,18.69,523,2019
12,2019-01-10 00:00:00,18.46,18.68,18.46,18.68,35,2019
13,2019-01-11 00:00:00,18.03,18.63,17.9,18.63,797,2019
14,2019-01-14 00:00:00,18.1,18.55,18.03,18.55,873,2019
15,2019-01-15 00:00:00,18.57,18.88,18.3,18.84,1836,2019
16,2019-01-16 00:00:00,18.83,18.9,18.5,18.9,1153,2019
17,2019-01-17 00:00:00,18.7,19.0,18.7,19.0,2330,2019
18,2019-01-18 00:00:00,19.0,20.8,19.0,20.43,8457,2019
19,2019-01-21 00:00:00,20.5,21.5,20.43,21.28,1880,2019
20,2019-01-22 00:00:00,21.1,21.3,20.44,20.8,1015,2019
21,2019-01-23 00:00:00,20.8,21.08,19.16,21.0,2920,2019
22,2019-01-24 00:00:00,21.05,22.5,21.05,22.2,1799,2019
23,2019-01-25 00:00:00,22.0,26.4,22.0,24.9,6678,2019
24,2019-01-28 00:00:00,24.88,27.2,23.55,25.9,8326,2019
25,2019-01-29 00:00:00,25.98,28.0,25.0,28.0,10702,2019
26,2019-01-30 00:00:00,27.8,28.5,26.65,27.0,3936,2019
27,2019-01-31 00:00:00,26.65,26.75,25.0,26.5,5192,2019
28,2019-02-01 00:00:00,26.5,26.5,25.5,25.99,2774,2019
29,2019-02-04 00:00:00,26.0,26.9,25.99,25.99,2770,2019
30,2019-02-05 00:00:00,25.7,26.8,25.5,26.79,1079,2019
31,2019-02-06 00:00:00,27.25,27.3,26.45,27.25,1719,2019
32,2019-02-07 00:00:00,27.25,27.25,25.5,26.99,1308,2019
33,2019-02-08 00:00:00,25.44,26.29,25.4,26.29,773,2019
34,2019-02-11 00:00:00,26.29,26.29,25.45,26.0,828,2019
35,2019-02-12 00:00:00,25.4,26.68,25.0,26.68,925,2019
36,2019-02-13 00:00:00,26.68,26.68,22.27,26.19,946,2019
37,2019-02-14 00:00:00,26.59,28.54,26.15,26.6,12788,2019
38,2019-02-15 00:00:00,26.6,28.22,26.2,28.22,3808,2019
39,2019-02-18 00:00:00,28.62,28.62,27.7,27.75,1413,2019
40,2019-02-19 00:00:00,28.0,28.5,27.0,28.5,2387,2019
41,2019-02-20 00:00:00,28.2,29.6,28.1,29.0,8137,2019
42,2019-02-21 00:00:00,28.83,28.83,28.06,28.83,480,2019
43,2019-02-22 00:00:00,28.2,29.0,28.2,29.0,222,2019
44,2019-02-25 00:00:00,28.99,28.99,28.5,28.99,371,2019
45,2019-02-26 00:00:00,28.96,28.96,28.0,28.4,631,2019
46,2019-02-27 00:00:00,28.12,28.3,27.32,28.0,362,2019
47,2019-02-28 00:00:00,28.0,28.0,27.21,28.0,462,2019
48,2019-03-01 00:00:00,28.0,28.38,27.62,28.38,2190,2019
49,2019-03-04 00:00:00,28.38,30.0,28.0,28.0,2035,2019
50,2019-03-05 00:00:00,28.4,28.5,28.0,28.5,975,2019
51,2019-03-06 00:00:00,28.5,28.66,28.15,28.6,878,2019
52,2019-03-07 00:00:00,28.4,28.4,27.57,28.0,243,2019
53,2019-03-08 00:00:00,28.15,28.15,27.5,27.99,1033,2019
54,2019-03-11 00:00:00,28.0,30.9,27.95,29.99,18200,2019
55,2019-03-12 00:00:00,30.4,33.34,30.0,32.8,13185,2019
56,2019-03-13 00:00:00,33.5,33.5,31.0,31.32,4434,2019
57,2019-03-14 00:00:00,31.4,33.2,30.6,31.0,6945,2019
58,2019-03-15 00:00:00,31.8,33.195,31.25,32.98,6872,2019
59,2019-03-18 00:00:00,32.5,32.88,32.0,32.88,1523,2019
60,2019-03-19 00:00:00,32.88,32.88,30.55,32.4,5151,2019
61,2019-03-20 00:00:00,32.0,32.0,30.24,30.96,2488,2019
62,2019-03-21 00:00:00,30.97,31.4,30.97,31.4,708,2019
63,2019-03-22 00:00:00,30.81,30.81,29.5,30.7,2844,2019
64,2019-03-25 00:00:00,30.98,30.98,29.16,30.0,1141,2019
