,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-10-24 00:00:00,0.52,0.52,0.35,0.36,432852,2011
1,2011-10-25 00:00:00,0.36,0.4,0.32,0.35,114869,2011
2,2011-10-26 00:00:00,0.32,0.32,0.29,0.31,68162,2011
3,2011-10-27 00:00:00,0.31,0.32,0.31,0.31,15298,2011
4,2011-10-28 00:00:00,0.32,0.32,0.31,0.31,16134,2011
5,2011-10-31 00:00:00,0.3,0.32,0.3,0.32,10384,2011
6,2011-11-02 00:00:00,0.31,0.32,0.3,0.32,9956,2011
7,2011-11-03 00:00:00,0.32,0.32,0.32,0.32,1000,2011
8,2011-11-04 00:00:00,0.3,0.31,0.3,0.31,5000,2011
9,2011-11-07 00:00:00,0.28,0.3,0.28,0.3,7730,2011
10,2011-11-08 00:00:00,0.29,0.31,0.29,0.31,2090,2011
11,2011-11-09 00:00:00,0.3,0.3,0.3,0.3,2000,2011
12,2011-11-10 00:00:00,0.28,0.29,0.28,0.29,4057,2011
13,2011-11-14 00:00:00,0.29,0.29,0.29,0.29,3090,2011
14,2011-11-15 00:00:00,0.29,0.29,0.28,0.28,7413,2011
15,2011-11-16 00:00:00,0.26,0.3,0.26,0.3,19000,2011
16,2011-11-17 00:00:00,0.3,0.3,0.3,0.3,5625,2011
17,2011-11-18 00:00:00,0.31,0.31,0.31,0.31,10,2011
18,2011-11-21 00:00:00,0.29,0.29,0.29,0.29,5210,2011
19,2011-11-22 00:00:00,0.33,0.33,0.3,0.3,110,2011
20,2011-11-24 00:00:00,0.28,0.28,0.28,0.28,8868,2011
21,2011-11-25 00:00:00,0.28,0.28,0.28,0.28,100,2011
22,2011-11-29 00:00:00,0.21,0.27,0.21,0.27,1510,2011
23,2011-11-30 00:00:00,0.25,0.26,0.25,0.26,4984,2011
24,2011-12-01 00:00:00,0.25,0.26,0.22,0.26,1705,2011
25,2011-12-02 00:00:00,0.25,0.25,0.25,0.25,6500,2011
26,2011-12-05 00:00:00,0.26,0.26,0.21,0.26,11715,2011
27,2011-12-07 00:00:00,0.26,0.26,0.26,0.26,10,2011
28,2011-12-09 00:00:00,0.24,0.26,0.24,0.26,1981,2011
29,2011-12-12 00:00:00,0.26,0.26,0.26,0.26,10,2011
30,2011-12-15 00:00:00,0.26,0.26,0.26,0.26,10,2011
31,2011-12-16 00:00:00,0.26,0.26,0.26,0.26,3870,2011
32,2011-12-19 00:00:00,0.27,0.27,0.27,0.27,10,2011
33,2011-12-27 00:00:00,0.26,0.26,0.24,0.24,9296,2011
34,2011-12-30 00:00:00,0.24,0.24,0.24,0.24,100,2011
35,2012-01-02 00:00:00,0.28,0.28,0.28,0.28,10,2012
36,2012-01-04 00:00:00,0.25,0.25,0.25,0.25,1500,2012
37,2012-01-05 00:00:00,0.24,0.24,0.24,0.24,1500,2012
38,2012-01-09 00:00:00,0.25,0.25,0.25,0.25,10,2012
