,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-11-08 00:00:00,8.4,8.4,6.8,6.9,4995,2011
1,2011-11-09 00:00:00,7.14,7.14,6.15,6.6,2628,2011
2,2011-11-10 00:00:00,6.9,6.9,6.6,6.9,221,2011
3,2011-11-14 00:00:00,6.9,6.95,6.8,6.95,16663,2011
4,2011-11-15 00:00:00,5.95,6.75,5.95,6.75,2115,2011
5,2011-11-16 00:00:00,6.75,6.75,5.9,6.45,1500,2011
6,2011-11-17 00:00:00,5.31,5.5,5.3,5.5,1600,2011
7,2011-11-18 00:00:00,5.0,5.0,5.0,5.0,500,2011
8,2011-11-21 00:00:00,4.6,4.6,4.0,4.1,2105,2011
9,2011-11-23 00:00:00,4.8,4.8,4.8,4.8,10,2011
10,2011-11-24 00:00:00,4.5,5.1,4.5,5.1,38,2011
11,2011-12-02 00:00:00,4.08,4.08,4.08,4.08,4,2011
12,2011-12-05 00:00:00,4.1,4.1,4.1,4.1,2,2011
13,2011-12-07 00:00:00,4.0,4.0,4.0,4.0,5,2011
14,2011-12-08 00:00:00,3.21,3.21,3.21,3.21,920,2011
15,2011-12-09 00:00:00,3.0,3.0,2.58,2.58,2700,2011
16,2011-12-12 00:00:00,2.08,3.09,2.08,3.09,4150,2011
17,2011-12-13 00:00:00,2.49,2.49,2.49,2.49,500,2011
18,2011-12-14 00:00:00,3.1,3.55,2.46,2.46,1201,2011
19,2011-12-15 00:00:00,2.95,2.95,2.46,2.95,2200,2011
20,2011-12-16 00:00:00,3.5,4.1,2.82,3.69,361,2011
21,2011-12-19 00:00:00,3.0,3.29,2.97,2.97,2504,2011
22,2011-12-20 00:00:00,3.15,3.49,2.8,3.49,601,2011
23,2011-12-21 00:00:00,3.5,3.5,3.5,3.5,5,2011
24,2011-12-22 00:00:00,3.5,3.89,3.5,3.89,956,2011
25,2011-12-27 00:00:00,3.0,3.0,3.0,3.0,900,2011
26,2011-12-29 00:00:00,3.48,3.48,3.48,3.48,350,2011
27,2011-12-30 00:00:00,3.3,3.3,3.3,3.3,47,2011
28,2012-01-02 00:00:00,3.2,3.53,2.81,2.81,600,2012
29,2012-01-03 00:00:00,3.37,3.37,2.61,2.61,100,2012
30,2012-01-05 00:00:00,3.13,3.13,3.0,3.12,1485,2012
31,2012-01-10 00:00:00,3.6,3.6,3.6,3.6,200,2012
32,2012-01-11 00:00:00,3.59,3.7,3.59,3.7,291,2012
33,2012-01-12 00:00:00,3.7,3.7,3.7,3.7,1,2012
34,2012-01-13 00:00:00,3.7,3.7,3.7,3.7,1,2012
35,2012-01-18 00:00:00,3.3,3.3,3.3,3.3,100,2012
36,2012-01-19 00:00:00,3.5,3.6,3.5,3.6,700,2012
37,2012-01-20 00:00:00,3.7,3.7,3.7,3.7,97,2012
38,2012-01-24 00:00:00,3.65,3.91,3.65,3.91,2134,2012
39,2012-01-25 00:00:00,4.0,4.0,4.0,4.0,1,2012
40,2012-01-26 00:00:00,4.4,4.5,4.0,4.5,201,2012
41,2012-01-30 00:00:00,5.35,5.35,5.35,5.35,5,2012
42,2012-02-01 00:00:00,6.39,6.39,5.35,5.35,251,2012
43,2012-02-02 00:00:00,4.8,4.8,4.8,4.8,10,2012
44,2012-02-06 00:00:00,5.0,5.0,5.0,5.0,1,2012
45,2012-02-10 00:00:00,4.95,5.05,4.2,4.53,1365,2012
46,2012-02-13 00:00:00,4.99,5.05,4.0,4.8,3790,2012
47,2012-02-15 00:00:00,5.0,5.0,5.0,5.0,100,2012
48,2012-02-24 00:00:00,5.0,5.0,5.0,5.0,10,2012
49,2012-02-27 00:00:00,4.5,5.0,4.05,4.05,6025,2012
50,2012-02-28 00:00:00,3.75,4.35,3.75,4.35,2505,2012
51,2012-02-29 00:00:00,4.7,4.7,4.7,4.7,500,2012
52,2012-03-01 00:00:00,4.7,4.75,3.91,4.75,435,2012
53,2012-03-02 00:00:00,4.45,4.75,3.91,4.75,2110,2012
54,2012-03-05 00:00:00,4.9,5.0,4.73,4.89,1500,2012
55,2012-03-06 00:00:00,4.7,4.8,4.7,4.8,500,2012
56,2012-03-09 00:00:00,4.35,4.35,4.01,4.01,510,2012
57,2012-03-13 00:00:00,3.23,3.23,3.23,3.23,10,2012
58,2012-03-14 00:00:00,3.34,3.6,3.03,3.03,910,2012
59,2012-03-16 00:00:00,3.5,3.5,3.5,3.5,450,2012
60,2012-03-20 00:00:00,3.2,3.3,3.0,3.3,1750,2012
61,2012-04-02 00:00:00,3.5,3.93,3.5,3.93,380,2012
62,2012-04-03 00:00:00,3.97,4.33,3.97,4.33,500,2012
63,2012-04-04 00:00:00,5.0,5.0,5.0,5.0,50,2012
64,2012-04-05 00:00:00,5.0,5.9,5.0,5.9,450,2012
65,2012-04-11 00:00:00,5.9,6.39,5.9,5.9,110,2012
66,2012-04-13 00:00:00,5.65,5.7,5.65,5.7,500,2012
67,2012-04-23 00:00:00,5.0,5.0,4.6,4.6,501,2012
68,2012-04-24 00:00:00,3.71,3.71,3.71,3.71,1,2012
69,2012-05-07 00:00:00,4.0,4.0,4.0,4.0,50,2012
70,2012-05-11 00:00:00,3.8,3.8,3.8,3.8,574,2012
71,2012-05-14 00:00:00,4.5,4.5,4.5,4.5,20,2012
72,2012-05-16 00:00:00,5.0,5.0,5.0,5.0,20,2012
73,2012-05-23 00:00:00,5.7,5.7,5.7,5.7,20,2012
74,2012-05-28 00:00:00,4.0,4.0,3.7,3.8,502,2012
75,2012-05-29 00:00:00,4.42,4.42,3.8,3.8,100,2012
76,2012-05-31 00:00:00,4.2,4.2,4.2,4.2,20,2012
77,2012-06-01 00:00:00,4.56,4.56,3.65,3.65,21,2012
78,2012-06-04 00:00:00,2.96,4.38,2.96,4.38,9,2012
79,2012-06-05 00:00:00,4.56,4.56,4.56,4.56,20,2012
80,2012-06-20 00:00:00,3.65,5.0,3.65,5.0,481,2012
81,2012-07-03 00:00:00,4.8,4.8,4.8,4.8,300,2012
82,2012-07-06 00:00:00,4.8,5.0,4.8,5.0,250,2012
83,2012-07-30 00:00:00,4.49,4.49,4.09,4.09,200,2012
84,2012-08-02 00:00:00,4.25,4.3,4.25,4.29,470,2012
85,2012-08-03 00:00:00,4.0,4.4,4.0,4.4,305,2012
86,2012-08-06 00:00:00,3.9,3.9,3.9,3.9,200,2012
87,2012-08-07 00:00:00,3.4,3.4,3.4,3.4,25,2012
88,2012-08-08 00:00:00,2.99,2.99,2.99,2.99,100,2012
89,2012-08-13 00:00:00,2.57,3.42,2.57,3.42,70,2012
90,2012-08-17 00:00:00,3.72,3.72,3.72,3.72,20,2012
