,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-06-21 00:00:00,5.9797,5.9797,4.9884,4.9884,2217,2012
1,2012-06-22 00:00:00,4.9884,4.9884,4.4767,4.4767,130,2012
2,2012-06-25 00:00:00,4.4767,4.4767,3.8372,4.4767,1379,2012
3,2012-06-26 00:00:00,4.4767,4.4767,4.4767,4.4767,8,2012
4,2012-06-27 00:00:00,4.4767,4.4767,3.8372,4.4767,2061,2012
5,2012-06-28 00:00:00,4.4767,4.4767,3.7093,3.7093,219,2012
6,2012-06-29 00:00:00,3.8372,4.4512,3.8372,4.4512,641,2012
7,2012-07-02 00:00:00,4.2337,4.2337,4.2337,4.2337,360,2012
8,2012-07-03 00:00:00,4.2337,4.4767,3.6453,3.6453,1967,2012
9,2012-07-04 00:00:00,3.6453,3.6453,3.3895,3.3895,125,2012
10,2012-07-05 00:00:00,3.3895,3.3895,3.1977,3.1977,3620,2012
11,2012-07-10 00:00:00,3.1337,3.5174,2.8715,3.5174,1087,2012
12,2012-07-11 00:00:00,3.332,3.332,3.2616,3.2616,485,2012
13,2012-07-12 00:00:00,3.1337,3.5174,2.8779,3.5174,563,2012
14,2012-07-13 00:00:00,3.3576,3.3576,3.332,3.332,469,2012
15,2012-07-16 00:00:00,3.2297,3.2297,3.1785,3.1785,485,2012
16,2012-07-17 00:00:00,2.8139999999999996,2.8139999999999996,2.8139999999999996,2.8139999999999996,16,2012
17,2012-07-24 00:00:00,2.8843,2.8843,2.8843,2.8843,547,2012
18,2012-07-26 00:00:00,2.9227,3.4343,2.9227,3.4343,1126,2012
19,2012-07-27 00:00:00,3.4343,3.8372,3.4343,3.8372,227,2012
20,2012-07-30 00:00:00,3.8372,4.6047,3.8372,4.6047,649,2012
21,2012-07-31 00:00:00,4.6047,4.6686,4.6047,4.6686,31,2012
22,2012-08-01 00:00:00,4.6686,5.1163,4.6686,5.1163,391,2012
23,2012-08-02 00:00:00,5.013999999999999,5.3721,5.0076,5.1483,407,2012
24,2012-08-03 00:00:00,6.3953,6.3953,6.3953,6.3953,39,2012
25,2012-08-09 00:00:00,6.3953,7.1628,6.3953,7.1628,1024,2012
26,2012-08-10 00:00:00,7.1628,7.5465,7.1564,7.5465,266,2012
27,2012-08-13 00:00:00,7.6744,7.6744,6.9709,7.6744,600,2012
28,2012-08-14 00:00:00,7.6744,7.6744,7.0349,7.6744,461,2012
29,2012-08-16 00:00:00,7.3291,7.3547,7.0988,7.3547,245,2012
30,2012-08-17 00:00:00,7.3483,7.5465,7.2012,7.3547,805,2012
31,2012-08-20 00:00:00,7.3547,7.3547,7.1628,7.3547,510,2012
32,2012-08-21 00:00:00,7.3547,7.3547,7.3547,7.3547,8,2012
33,2012-08-22 00:00:00,7.3547,7.5465,7.3547,7.5465,688,2012
34,2012-08-23 00:00:00,7.5465,7.5465,7.0349,7.5465,1309,2012
35,2012-08-24 00:00:00,7.5465,7.5465,7.4186,7.4186,172,2012
36,2012-08-27 00:00:00,7.3547,7.3547,6.843,7.1628,493,2012
37,2012-08-30 00:00:00,7.0988,7.1628,7.0988,7.1628,9,2012
38,2012-09-03 00:00:00,7.1052,7.1244,7.1052,7.1244,16309,2012
39,2012-09-04 00:00:00,7.0349,7.0349,6.875,7.0349,250,2012
40,2012-09-06 00:00:00,7.0349,7.0349,7.0349,7.0349,8,2012
41,2012-09-07 00:00:00,7.0349,7.0349,6.7791,7.0349,322,2012
42,2012-09-10 00:00:00,6.7599,7.0285,5.6919,7.0285,669,2012
43,2012-09-11 00:00:00,5.6279,5.8837,5.0523,5.0523,726,2012
44,2012-09-12 00:00:00,6.0372,7.0349,5.436,7.0349,8200,2012
45,2012-09-13 00:00:00,6.9709,6.9709,6.3953,6.907,677,2012
46,2012-09-14 00:00:00,6.6512,6.6512,6.3953,6.5233,283,2012
47,2012-09-17 00:00:00,6.3953,6.5233,6.1395,6.5233,283,2012
48,2012-09-19 00:00:00,6.0756,7.0157,6.0756,7.0157,322,2012
49,2012-09-20 00:00:00,7.0157,7.0157,6.0116,7.0157,1116,2012
50,2012-09-21 00:00:00,7.0157,7.0157,6.1331,6.5872,310,2012
51,2012-09-24 00:00:00,6.3953,6.5872,6.1331,6.5872,281,2012
52,2012-09-25 00:00:00,6.1076,6.2355,5.8326,6.2355,650,2012
53,2012-09-26 00:00:00,6.0948,6.0948,5.1163,5.1163,658,2012
54,2012-09-27 00:00:00,5.1163,5.1163,5.1163,5.1163,16,2012
55,2012-09-28 00:00:00,4.9244,5.7558,4.7581,5.7558,1131,2012
56,2012-10-01 00:00:00,5.436,5.436,4.5087,5.1802,2777,2012
57,2012-10-02 00:00:00,5.0523,5.7558,4.7006,5.7558,721,2012
58,2012-10-03 00:00:00,5.7558,5.8198,4.6047,5.1035,7030,2012
59,2012-10-04 00:00:00,5.0971,5.0971,5.0971,5.0971,8,2012
60,2012-10-05 00:00:00,5.0971,5.0971,5.0395,5.0395,711,2012
61,2012-10-09 00:00:00,5.0971,5.0971,5.0971,5.0971,5,2012
62,2012-10-10 00:00:00,5.0395,6.0756,5.0395,6.0756,1082,2012
63,2012-10-11 00:00:00,6.2035,6.2035,6.2035,6.2035,50,2012
64,2012-10-12 00:00:00,6.0564,6.0628,6.0564,6.0628,414,2012
65,2012-10-17 00:00:00,6.3314,6.3314,6.3314,6.3314,297,2012
66,2012-10-22 00:00:00,6.2994,6.907,6.2994,6.907,1301,2012
67,2012-10-23 00:00:00,6.907,6.907,6.875,6.907,235,2012
68,2012-10-24 00:00:00,6.907,6.907,6.907,6.907,31,2012
69,2012-10-25 00:00:00,6.907,6.907,6.907,6.907,8,2012
70,2012-10-26 00:00:00,6.907,6.907,6.907,6.907,8,2012
71,2012-10-29 00:00:00,6.907,6.907,5.1163,6.907,3754,2012
72,2012-10-30 00:00:00,6.907,6.9581,6.3953,6.9581,873,2012
73,2012-10-31 00:00:00,6.9581,6.9581,6.9581,6.9581,16,2012
74,2012-11-02 00:00:00,6.9581,6.9581,6.9581,6.9581,8,2012
75,2012-11-05 00:00:00,6.9581,6.9581,6.9581,6.9581,8,2012
76,2012-11-06 00:00:00,6.9581,6.9581,6.9581,6.9581,5,2012
77,2012-11-07 00:00:00,6.9581,6.9581,6.9581,6.9581,33,2012
78,2012-11-08 00:00:00,6.9581,6.9581,6.9581,6.9581,8,2012
79,2012-11-09 00:00:00,6.9581,7.7384,6.9517,7.7384,655,2012
80,2012-11-12 00:00:00,7.9942,9.593,7.9942,9.593,544,2012
81,2012-11-13 00:00:00,9.593,10.232999999999999,9.593,10.232999999999999,63,2012
82,2012-11-14 00:00:00,10.297,10.297,10.297,10.297,8,2012
83,2012-11-15 00:00:00,10.265,10.265,9.593,9.593,188,2012
84,2012-11-16 00:00:00,9.721,10.238999999999999,9.657,10.238999999999999,1421,2012
