,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-04-23 00:00:00,1.2583,1.2858,0.9368,1.0379,102942,2012
1,2012-04-24 00:00:00,1.0379,1.0379,0.7072,0.9184,66132,2012
2,2012-04-25 00:00:00,0.8817,0.9093,0.799,0.8633,23874,2012
3,2012-04-26 00:00:00,0.8725,0.9184,0.799,0.8725,26202,2012
4,2012-04-27 00:00:00,0.845,0.8725,0.8266,0.8266,15902,2012
5,2012-04-30 00:00:00,0.8541,0.8633,0.8541,0.8633,3038,2012
6,2012-05-02 00:00:00,0.8633,0.8633,0.8633,0.8633,1089,2012
7,2012-05-04 00:00:00,0.8541,0.8541,0.8266,0.8541,2394,2012
8,2012-05-07 00:00:00,0.8082,0.8174,0.7531,0.7715,16719,2012
9,2012-05-08 00:00:00,0.7623,0.7623,0.6888,0.698,10358,2012
10,2012-05-09 00:00:00,0.698,0.8174,0.6888,0.7072,8489,2012
11,2012-05-10 00:00:00,0.7072,0.7072,0.698,0.7072,1743,2012
12,2012-05-11 00:00:00,0.698,0.7072,0.6613,0.7072,3084,2012
13,2012-05-14 00:00:00,0.7072,0.845,0.7072,0.8266,16860,2012
14,2012-05-15 00:00:00,0.8174,0.8174,0.7439,0.7807,5194,2012
15,2012-05-16 00:00:00,0.7715,0.8358,0.6429,0.6888,33162,2012
16,2012-05-17 00:00:00,0.6613,0.6888,0.6429,0.6613,6897,2012
17,2012-05-18 00:00:00,0.6429,0.6704,0.6429,0.6704,2167,2012
18,2012-05-21 00:00:00,0.6613,0.6704,0.6613,0.6704,1442,2012
19,2012-05-22 00:00:00,0.6613,0.7439,0.6613,0.7439,9931,2012
20,2012-05-23 00:00:00,0.7072,0.7072,0.698,0.698,6533,2012
21,2012-05-24 00:00:00,0.6704,0.6704,0.6613,0.6613,4355,2012
22,2012-05-25 00:00:00,0.6429,0.6429,0.6429,0.6429,653,2012
23,2012-05-28 00:00:00,0.6704,0.7531,0.6704,0.7072,4927,2012
24,2012-05-29 00:00:00,0.7072,0.7439,0.698,0.7439,4206,2012
25,2012-05-30 00:00:00,0.7072,0.7531,0.7072,0.7531,4595,2012
26,2012-05-31 00:00:00,0.7164,0.7531,0.7072,0.7072,14193,2012
27,2012-06-01 00:00:00,0.7164,0.7164,0.6704,0.6704,11815,2012
28,2012-06-04 00:00:00,0.7072,0.7164,0.6704,0.6704,1208,2012
29,2012-06-05 00:00:00,0.7072,0.7807,0.6521,0.7164,19480,2012
30,2012-06-06 00:00:00,0.6888,0.6888,0.6888,0.6888,1884,2012
31,2012-06-08 00:00:00,0.7256,0.7623,0.7164,0.7623,3397,2012
32,2012-06-11 00:00:00,0.7256,0.7531,0.7256,0.7531,1884,2012
33,2012-06-12 00:00:00,0.7256,0.7347,0.7164,0.7256,6582,2012
34,2012-06-13 00:00:00,0.6888,0.6888,0.5786,0.6154,24542,2012
35,2012-06-14 00:00:00,0.6338,0.6338,0.5695,0.5786,34978,2012
36,2012-06-15 00:00:00,0.597,0.6061,0.597,0.6061,2613,2012
37,2012-06-18 00:00:00,0.597,0.597,0.597,0.597,1307,2012
38,2012-06-19 00:00:00,0.5878,0.5878,0.5695,0.5786,3398,2012
39,2012-06-20 00:00:00,0.6061,0.6888,0.6061,0.6429,8710,2012
40,2012-06-21 00:00:00,0.6338,0.6338,0.6338,0.6338,138883,2012
41,2012-06-22 00:00:00,0.6338,0.6338,0.597,0.597,5008,2012
42,2012-06-25 00:00:00,0.5878,0.5878,0.5511,0.5511,11832,2012
43,2012-06-26 00:00:00,0.5511,0.5511,0.5143,0.5327,12619,2012
44,2012-06-27 00:00:00,0.5236,0.5236,0.5236,0.5236,1525,2012
45,2012-06-28 00:00:00,0.5236,0.5327,0.45925,0.45925,42555,2012
46,2012-06-29 00:00:00,0.47193,0.47193,0.47193,0.47193,1089,2012
47,2012-07-02 00:00:00,0.46839,0.46839,0.46839,0.46839,1513,2012
48,2012-07-03 00:00:00,0.45925,0.45925,0.41333000000000003,0.45925,16643,2012
49,2012-07-04 00:00:00,0.45925,0.45925,0.45925,0.45925,1090,2012
50,2012-07-05 00:00:00,0.45001,0.45925,0.40409,0.45925,9625,2012
