,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-09-08 00:00:00,8.5,8.5,7.11,7.65,6834,2011
1,2011-09-09 00:00:00,7.46,8.08,6.52,7.45,1718,2011
2,2011-09-12 00:00:00,7.46,8.9,7.45,8.8,6083,2011
3,2011-09-13 00:00:00,8.99,9.2,8.6,9.16,462,2011
4,2011-09-14 00:00:00,8.93,9.15,8.0,8.85,4450,2011
5,2011-09-16 00:00:00,8.65,8.85,8.65,8.85,510,2011
6,2011-09-19 00:00:00,8.63,8.85,8.63,8.85,1590,2011
7,2011-09-20 00:00:00,8.63,8.84,8.5,8.7,380,2011
8,2011-09-21 00:00:00,8.48,8.48,8.47,8.47,350,2011
9,2011-09-22 00:00:00,8.67,8.79,8.26,8.79,659,2011
10,2011-09-23 00:00:00,8.8,8.8,8.5,8.8,322,2011
11,2011-09-26 00:00:00,8.58,8.79,8.58,8.79,165,2011
12,2011-09-27 00:00:00,8.57,8.57,8.57,8.57,200,2011
13,2011-09-28 00:00:00,8.36,8.36,8.36,8.36,300,2011
14,2011-09-29 00:00:00,8.15,8.77,8.15,8.77,310,2011
15,2011-09-30 00:00:00,8.55,8.73,8.55,8.73,2843,2011
16,2011-10-03 00:00:00,8.51,8.74,8.51,8.74,290,2011
17,2011-10-04 00:00:00,8.52,8.73,8.52,8.73,304,2011
18,2011-10-05 00:00:00,8.51,8.74,8.51,8.74,297,2011
19,2011-10-07 00:00:00,8.1,8.73,8.1,8.73,290,2011
20,2011-10-13 00:00:00,7.9,8.74,7.9,8.74,360,2011
21,2011-10-14 00:00:00,7.7,8.73,7.7,8.73,290,2011
22,2011-10-24 00:00:00,8.51,8.85,8.51,8.85,1942,2011
23,2011-10-25 00:00:00,10.62,10.62,9.0,10.35,357,2011
24,2011-10-26 00:00:00,9.9,10.4,9.9,10.4,110,2011
25,2011-10-31 00:00:00,9.9,12.44,9.9,12.44,2384,2011
26,2011-11-02 00:00:00,10.9,12.0,10.0,10.0,260,2011
27,2011-11-03 00:00:00,11.2,11.5,10.7,10.7,550,2011
28,2011-11-29 00:00:00,8.5,9.85,8.5,9.85,172,2011
29,2011-12-05 00:00:00,8.0,8.0,8.0,8.0,1,2011
30,2011-12-06 00:00:00,8.0,8.0,8.0,8.0,1,2011
31,2011-12-07 00:00:00,9.85,9.85,9.85,9.85,10,2011
32,2011-12-15 00:00:00,9.85,9.85,9.85,9.85,30,2011
33,2011-12-16 00:00:00,9.0,9.85,9.0,9.85,1710,2011
34,2011-12-22 00:00:00,9.0,9.0,9.0,9.0,220,2011
35,2011-12-23 00:00:00,9.85,9.85,9.85,9.85,10,2011
36,2011-12-27 00:00:00,9.0,9.0,9.0,9.0,86,2011
37,2011-12-28 00:00:00,9.01,9.85,8.9,9.85,1562,2011
38,2011-12-29 00:00:00,9.0,9.85,9.0,9.85,1006,2011
39,2012-01-02 00:00:00,11.0,11.0,11.0,11.0,1,2012
40,2012-01-04 00:00:00,9.05,9.05,9.05,9.05,1500,2012
41,2012-01-05 00:00:00,9.05,9.05,9.05,9.05,3759,2012
42,2012-01-09 00:00:00,9.05,9.05,9.05,9.05,1982,2012
43,2012-01-10 00:00:00,8.7,9.2,8.7,9.2,110,2012
44,2012-01-11 00:00:00,9.05,9.05,9.05,9.05,1795,2012
45,2012-01-24 00:00:00,9.13,11.25,9.13,11.25,29575,2012
46,2012-01-25 00:00:00,11.55,11.55,11.55,11.55,10,2012
47,2012-01-26 00:00:00,11.45,11.45,11.45,11.45,19,2012
48,2012-01-27 00:00:00,10.64,10.64,9.17,10.6,505,2012
49,2012-01-30 00:00:00,9.9,9.9,9.65,9.65,517,2012
50,2012-01-31 00:00:00,9.41,10.1,9.41,9.64,690,2012
51,2012-02-01 00:00:00,9.4,10.05,9.39,9.56,1384,2012
52,2012-02-02 00:00:00,9.79,10.03,9.79,10.03,506,2012
53,2012-02-03 00:00:00,10.27,10.4,10.2,10.4,525,2012
54,2012-02-06 00:00:00,10.14,10.39,10.14,10.39,850,2012
55,2012-02-07 00:00:00,10.15,10.15,10.15,10.15,40,2012
56,2012-02-08 00:00:00,10.38,10.64,10.2,10.6,959,2012
57,2012-02-09 00:00:00,10.86,11.25,10.6,11.25,1067,2012
58,2012-02-10 00:00:00,10.97,10.97,10.59,10.59,207,2012
59,2012-02-13 00:00:00,10.85,10.89,10.36,10.5,1350,2012
60,2012-02-14 00:00:00,10.75,11.0,10.36,10.36,708,2012
61,2012-02-15 00:00:00,11.02,11.02,11.02,11.02,227,2012
62,2012-02-16 00:00:00,10.4,11.6,10.4,10.89,127483,2012
63,2012-02-17 00:00:00,10.63,11.01,10.52,10.52,998,2012
64,2012-02-20 00:00:00,10.92,11.59,10.54,10.76,1021,2012
