,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-05-28 00:00:00,2.4026,2.4026,2.2438,2.2715,5220,2012
1,2012-05-29 00:00:00,2.1748,2.1748,2.0712,2.1748,1622,2012
2,2012-05-30 00:00:00,2.1748,2.1748,2.0712,2.1748,594,2012
3,2012-05-31 00:00:00,2.1403,2.1403,1.9677,2.1058,3424,2012
4,2012-06-01 00:00:00,2.0919,2.0919,1.9055,1.9055,3621,2012
5,2012-06-04 00:00:00,1.9193,1.9193,1.9193,1.9193,435,2012
6,2012-06-05 00:00:00,1.9193,1.9193,1.9193,1.9193,29,2012
7,2012-06-06 00:00:00,1.9193,1.9193,1.9193,1.9193,43,2012
8,2012-06-08 00:00:00,1.9193,1.9193,1.9193,1.9193,14,2012
9,2012-06-11 00:00:00,1.9193,1.9193,1.9193,1.9193,14,2012
10,2012-06-12 00:00:00,1.9193,1.9193,1.9193,1.9193,7,2012
11,2012-06-13 00:00:00,1.9193,1.9193,1.9193,1.9193,7,2012
12,2012-06-14 00:00:00,1.9677,1.9677,1.9677,1.9677,145,2012
13,2012-06-15 00:00:00,2.0022,2.1196,2.0022,2.1196,3042,2012
14,2012-06-20 00:00:00,2.0712,2.0712,2.0712,2.0712,145,2012
15,2012-06-22 00:00:00,2.0712,2.0712,2.0712,2.0712,1347,2012
16,2012-06-25 00:00:00,2.0712,2.1403,2.0712,2.1403,174,2012
17,2012-06-27 00:00:00,2.0781,2.0781,2.0091,2.0091,5148,2012
18,2012-06-29 00:00:00,2.01,2.07,2.01,2.07,72,2012
19,2012-07-03 00:00:00,2.0643,2.1403,2.0643,2.0712,2325,2012
20,2012-07-04 00:00:00,2.0712,2.0712,2.016,2.016,2144,2012
21,2012-07-05 00:00:00,1.9884,1.9884,1.9608,1.9608,855,2012
22,2012-07-06 00:00:00,1.9332,2.1403,1.8779,2.1403,3625,2012
23,2012-07-11 00:00:00,2.2093,2.2093,2.2093,2.2093,9560,2012
24,2012-07-19 00:00:00,2.1748,2.2093,2.1748,2.2093,217,2012
25,2012-07-20 00:00:00,2.2024,2.2024,2.2024,2.2024,14,2012
26,2012-07-23 00:00:00,2.2024,2.2024,2.2024,2.2024,14,2012
27,2012-07-24 00:00:00,2.2024,2.2024,2.2024,2.2024,7,2012
28,2012-08-08 00:00:00,2.2024,2.2024,2.2024,2.2024,14,2012
29,2012-08-09 00:00:00,2.2024,2.2024,2.2024,2.2024,14,2012
30,2012-08-10 00:00:00,2.2024,2.2024,2.2024,2.2024,14,2012
31,2012-08-13 00:00:00,2.0781,2.0781,2.0712,2.0781,1340,2012
32,2012-08-17 00:00:00,2.0781,2.0781,2.0781,2.0781,14,2012
33,2012-08-20 00:00:00,2.0781,2.0781,2.0781,2.0781,68,2012
34,2012-08-21 00:00:00,2.0781,2.1334,2.0781,2.1334,811,2012
35,2012-08-23 00:00:00,2.161,2.161,2.085,2.085,978,2012
36,2012-08-24 00:00:00,2.085,2.3957,2.085,2.3957,1398,2012
37,2012-08-27 00:00:00,2.4095,2.4164,2.4095,2.4164,290,2012
38,2012-08-28 00:00:00,2.4026,2.4026,2.4026,2.4026,7,2012
39,2012-08-29 00:00:00,2.4026,2.4026,2.4026,2.4026,14,2012
40,2012-08-30 00:00:00,2.4026,2.4026,2.4026,2.4026,14,2012
41,2012-08-31 00:00:00,2.4,2.4,2.4,2.4,14,2012
42,2012-09-03 00:00:00,2.4026,2.4026,2.3129,2.3129,3582,2012
43,2012-09-04 00:00:00,2.3336,2.3819,2.3336,2.3819,246,2012
44,2012-09-06 00:00:00,2.3819,2.3957,2.3819,2.3957,649,2012
45,2012-09-10 00:00:00,2.306,2.306,2.306,2.306,650,2012
46,2012-09-14 00:00:00,2.306,2.306,2.306,2.306,145,2012
47,2012-09-19 00:00:00,2.306,2.5545,2.306,2.5545,4949,2012
48,2012-09-20 00:00:00,2.5545,2.7133,2.5545,2.7133,862,2012
49,2012-09-21 00:00:00,2.7133,2.81,2.7133,2.81,637,2012
