,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2019-04-18 00:00:00,9.955,11.7,7.605,7.605,8246,2019
1,2019-04-23 00:00:00,9.126,9.126,7.605,8.19,150,2019
2,2019-04-24 00:00:00,7.995,9.243,7.1175,8.58,522,2019
3,2019-04-25 00:00:00,8.2778,8.2778,7.1175,8.2778,57,2019
4,2019-04-26 00:00:00,8.4728,8.4728,7.215,8.463,105,2019
5,2019-04-29 00:00:00,8.4533,8.4533,7.3125,7.995,248,2019
6,2019-04-30 00:00:00,7.3125,8.267999999999999,7.215,8.267999999999999,351,2019
7,2019-05-02 00:00:00,7.215,8.267999999999999,6.825,7.332000000000001,440,2019
8,2019-05-06 00:00:00,7.332999999999999,7.7025,7.332999999999999,7.7025,42,2019
9,2019-05-07 00:00:00,7.6928,7.7025,7.6928,7.7025,103,2019
10,2019-05-08 00:00:00,6.435,7.7025,6.435,7.7025,155,2019
11,2019-05-09 00:00:00,7.3125,7.3125,6.3375,7.02,92,2019
12,2019-05-10 00:00:00,7.02,8.2875,7.02,8.2875,53,2019
13,2019-05-15 00:00:00,7.565,7.565,7.565,7.566,4,2019
14,2019-05-16 00:00:00,7.5075,7.5075,7.5075,7.5075,205,2019
15,2019-05-20 00:00:00,7.5855,7.5855,7.5855,7.5855,8,2019
16,2019-05-24 00:00:00,7.4003,7.4003,7.4003,7.4003,1,2019
17,2019-05-30 00:00:00,6.8153,7.605,5.655,7.5855,1855,2019
18,2019-06-26 00:00:00,7.5845,7.5845,7.5845,7.5855,1,2019
19,2019-07-17 00:00:00,7.5855,7.5855,7.5855,7.5855,200,2019
20,2019-07-18 00:00:00,6.63,6.9713,5.655,6.9713,240,2019
21,2019-08-01 00:00:00,5.6258,5.6258,4.8165,5.1773,636,2019
22,2019-08-05 00:00:00,4.3973,5.655,4.3973,4.8165,306,2019
23,2019-08-06 00:00:00,4.875,4.875,4.875,4.875,21,2019
24,2019-08-07 00:00:00,5.8305,5.8305,5.8305,5.8305,1,2019
25,2019-08-08 00:00:00,6.825,6.825,6.825,6.825,1,2019
26,2019-08-09 00:00:00,7.5855,7.5855,7.5855,7.5855,1,2019
27,2019-08-14 00:00:00,6.3375,7.5855,6.3375,7.5855,49,2019
28,2019-08-20 00:00:00,6.5033,6.5033,6.5033,6.5033,56,2019
29,2019-08-21 00:00:00,6.825,7.5855,5.8403,7.5855,113,2019
30,2019-08-26 00:00:00,7.5855,7.5855,6.3375,6.8055,536,2019
31,2019-08-27 00:00:00,6.6008,6.7275,5.655,6.7275,391,2019
32,2019-08-28 00:00:00,6.7275,6.7275,6.7275,6.7275,5,2019
33,2019-09-02 00:00:00,5.772,6.3375,5.772,6.24,92,2019
34,2019-09-03 00:00:00,6.825,7.5075,6.825,7.5075,2,2019
35,2019-09-04 00:00:00,6.2888,6.2888,5.343,6.045,366,2019
36,2019-09-05 00:00:00,5.2358,6.279,5.1675,6.279,537,2019
37,2019-09-09 00:00:00,5.1675,5.1675,5.1675,5.1675,71,2019
38,2019-09-10 00:00:00,5.1675,5.1675,5.1675,5.1675,205,2019
39,2019-09-13 00:00:00,4.992,4.992,4.875,4.875,205,2019
