,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-01-26 00:00:00,1.78,2.12,1.78,2.12,274609,2010
1,2010-01-27 00:00:00,2.35,2.55,1.89,1.89,294580,2010
2,2010-01-28 00:00:00,1.92,1.98,1.79,1.91,41235,2010
3,2010-01-29 00:00:00,1.89,2.14,1.89,2.14,110290,2010
4,2010-02-01 00:00:00,2.22,2.64,2.17,2.27,354279,2010
5,2010-02-02 00:00:00,2.31,2.35,2.21,2.27,25525,2010
6,2010-02-03 00:00:00,2.31,2.31,2.13,2.22,20017,2010
7,2010-02-04 00:00:00,2.22,2.29,2.06,2.28,43789,2010
8,2010-02-05 00:00:00,2.47,2.62,2.29,2.3,287686,2010
9,2010-02-08 00:00:00,2.47,2.53,2.23,2.25,40387,2010
10,2010-02-09 00:00:00,2.27,2.37,2.25,2.35,12979,2010
11,2010-02-10 00:00:00,2.27,2.45,2.25,2.35,15458,2010
12,2010-02-11 00:00:00,2.22,2.34,2.22,2.29,7326,2010
13,2010-02-12 00:00:00,2.31,2.31,2.17,2.2,31422,2010
14,2010-02-15 00:00:00,2.16,2.16,1.89,2.04,43055,2010
15,2010-02-16 00:00:00,2.15,2.15,2.07,2.1,6072,2010
16,2010-02-17 00:00:00,2.16,2.16,2.03,2.05,12868,2010
17,2010-02-18 00:00:00,2.13,2.13,2.05,2.06,26685,2010
18,2010-02-19 00:00:00,2.06,2.11,1.96,2.02,37778,2010
19,2010-02-22 00:00:00,2.11,2.3,2.05,2.25,19426,2010
20,2010-02-23 00:00:00,2.13,2.13,2.07,2.08,44027,2010
21,2010-02-24 00:00:00,2.16,2.17,2.11,2.17,9534,2010
22,2010-02-25 00:00:00,2.13,2.39,2.11,2.32,59758,2010
23,2010-02-26 00:00:00,2.36,2.66,2.34,2.45,490953,2010
24,2010-03-01 00:00:00,2.42,2.42,2.07,2.27,87208,2010
25,2010-03-02 00:00:00,2.08,2.35,2.04,2.14,89794,2010
26,2010-03-03 00:00:00,2.21,2.21,2.12,2.17,20467,2010
27,2010-03-04 00:00:00,2.22,2.22,2.11,2.14,16086,2010
28,2010-03-05 00:00:00,2.12,2.16,2.11,2.12,7664,2010
29,2010-03-08 00:00:00,2.15,2.22,2.11,2.22,12341,2010
30,2010-03-09 00:00:00,2.26,2.27,2.17,2.2,37227,2010
31,2010-03-10 00:00:00,2.29,2.75,2.27,2.42,406964,2010
32,2010-03-11 00:00:00,2.41,2.42,2.26,2.32,98944,2010
33,2010-03-12 00:00:00,2.28,2.32,2.19,2.28,39654,2010
34,2010-03-15 00:00:00,2.27,2.27,2.21,2.27,11506,2010
35,2010-03-16 00:00:00,2.23,2.27,2.22,2.27,13437,2010
36,2010-03-17 00:00:00,2.25,2.33,2.23,2.33,17095,2010
37,2010-03-18 00:00:00,2.27,2.31,2.24,2.24,26608,2010
38,2010-03-19 00:00:00,2.25,2.28,2.24,2.28,13792,2010
39,2010-03-22 00:00:00,2.25,2.31,2.25,2.31,22285,2010
40,2010-03-23 00:00:00,2.28,2.37,2.28,2.37,14891,2010
41,2010-03-24 00:00:00,2.33,2.4,2.33,2.39,7135,2010
42,2010-03-25 00:00:00,2.4,2.42,2.37,2.38,5576,2010
43,2010-03-26 00:00:00,2.4,2.41,2.38,2.39,13709,2010
