,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-02-21 00:00:00,4.53,5.5,4.31,4.31,451725,2008
1,2008-02-22 00:00:00,4.3,4.3,3.19,3.19,79270,2008
2,2008-02-25 00:00:00,3.1,3.41,2.7,3.0,82167,2008
3,2008-02-26 00:00:00,3.12,3.18,3.0,3.15,9027,2008
4,2008-02-27 00:00:00,3.3,4.45,3.16,4.4,46288,2008
5,2008-02-28 00:00:00,4.44,4.44,3.7,3.9,26904,2008
6,2008-02-29 00:00:00,3.68,3.68,2.38,2.4,447748,2008
7,2008-03-03 00:00:00,2.38,2.38,1.91,1.95,422386,2008
8,2008-03-04 00:00:00,2.01,2.09,1.9,1.9,235340,2008
9,2008-03-05 00:00:00,1.9,2.04,1.75,1.99,144129,2008
10,2008-03-06 00:00:00,1.96,1.96,1.77,1.79,121952,2008
11,2008-03-07 00:00:00,1.79,1.79,1.67,1.73,54234,2008
12,2008-03-10 00:00:00,1.73,1.92,1.6,1.87,86741,2008
13,2008-03-11 00:00:00,1.87,1.92,1.77,1.84,53989,2008
14,2008-03-12 00:00:00,1.81,1.82,1.75,1.77,20093,2008
15,2008-03-13 00:00:00,1.77,1.8,1.7,1.78,23575,2008
16,2008-03-14 00:00:00,1.79,1.8,1.7,1.74,25800,2008
17,2008-03-17 00:00:00,1.68,1.68,1.4,1.5,77783,2008
18,2008-03-18 00:00:00,1.44,1.48,1.38,1.4,27925,2008
19,2008-03-19 00:00:00,1.57,1.57,1.34,1.47,27709,2008
20,2008-03-20 00:00:00,1.4,1.73,1.4,1.66,139366,2008
21,2008-03-25 00:00:00,1.69,1.69,1.47,1.54,63003,2008
22,2008-03-26 00:00:00,1.47,1.5,1.39,1.39,51124,2008
23,2008-03-27 00:00:00,1.37,1.47,1.35,1.43,31117,2008
24,2008-03-28 00:00:00,1.43,1.43,1.37,1.38,24505,2008
25,2008-03-31 00:00:00,1.31,1.42,1.3,1.36,30298,2008
26,2008-04-01 00:00:00,1.36,1.36,1.29,1.3,43856,2008
27,2008-04-02 00:00:00,1.38,1.38,1.31,1.32,29180,2008
28,2008-04-03 00:00:00,1.35,1.53,1.35,1.47,193016,2008
29,2008-04-04 00:00:00,1.5,1.5,1.37,1.41,28723,2008
30,2008-04-07 00:00:00,1.4,1.43,1.36,1.38,25009,2008
31,2008-04-08 00:00:00,1.41,1.41,1.34,1.34,21769,2008
32,2008-04-09 00:00:00,1.39,1.39,1.3,1.3,10199,2008
33,2008-04-10 00:00:00,1.29,1.37,1.26,1.31,43239,2008
34,2008-04-11 00:00:00,1.33,1.4,1.32,1.32,52755,2008
35,2008-04-14 00:00:00,1.3,1.37,1.3,1.37,9968,2008
36,2008-04-15 00:00:00,1.41,1.41,1.32,1.34,23213,2008
37,2008-04-16 00:00:00,1.36,1.4,1.33,1.37,23226,2008
38,2008-04-17 00:00:00,1.37,1.38,1.34,1.34,8755,2008
39,2008-04-18 00:00:00,1.35,1.35,1.31,1.33,6525,2008
40,2008-04-21 00:00:00,1.33,1.33,1.26,1.3,16909,2008
41,2008-04-22 00:00:00,1.28,1.3,1.25,1.25,17381,2008
42,2008-04-23 00:00:00,1.23,1.23,1.17,1.22,7849,2008
43,2008-04-24 00:00:00,1.24,1.24,1.24,1.24,10,2008
44,2008-04-25 00:00:00,1.2,1.3,1.19,1.3,37023,2008
45,2008-04-28 00:00:00,1.3,1.34,1.27,1.32,2970,2008
46,2008-04-29 00:00:00,1.31,1.31,1.23,1.23,9470,2008
47,2008-04-30 00:00:00,1.21,1.32,1.07,1.16,31870,2008
48,2008-05-05 00:00:00,1.2,1.2,1.2,1.2,100,2008
49,2008-05-06 00:00:00,1.11,1.16,1.11,1.16,1500,2008
50,2008-05-07 00:00:00,1.14,1.16,1.11,1.16,3687,2008
51,2008-05-08 00:00:00,1.14,1.17,1.12,1.17,2513,2008
52,2008-05-09 00:00:00,1.13,1.13,1.12,1.12,800,2008
53,2008-05-12 00:00:00,1.12,1.12,1.04,1.12,15269,2008
54,2008-05-13 00:00:00,1.18,1.18,1.13,1.15,1010,2008
55,2008-05-14 00:00:00,1.17,1.17,1.09,1.1,1150,2008
56,2008-05-15 00:00:00,1.13,1.13,1.1,1.13,878,2008
57,2008-05-16 00:00:00,1.16,1.16,1.16,1.16,6,2008
58,2008-05-19 00:00:00,1.05,1.16,1.05,1.16,6680,2008
59,2008-05-20 00:00:00,1.17,1.17,1.17,1.17,50,2008
60,2008-05-21 00:00:00,1.06,1.15,1.02,1.13,4697,2008
61,2008-05-23 00:00:00,1.14,1.16,1.05,1.11,1825,2008
62,2008-05-26 00:00:00,1.03,1.11,1.01,1.1,13851,2008
63,2008-05-27 00:00:00,1.01,1.06,1.0,1.01,31840,2008
64,2008-05-28 00:00:00,1.0,1.0,0.99,1.0,8700,2008
65,2008-05-29 00:00:00,1.0,1.12,0.95,1.11,7182,2008
66,2008-05-30 00:00:00,1.04,1.11,1.01,1.11,3470,2008
67,2008-06-03 00:00:00,1.01,1.09,0.96,1.08,7153,2008
68,2008-06-04 00:00:00,1.07,1.07,1.07,1.07,1100,2008
69,2008-06-05 00:00:00,1.01,1.07,0.97,0.99,25524,2008
70,2008-06-06 00:00:00,0.96,0.98,0.92,0.92,16559,2008
71,2008-06-09 00:00:00,0.91,0.92,0.85,0.85,11977,2008
72,2008-06-10 00:00:00,0.85,0.89,0.83,0.89,6629,2008
73,2008-06-11 00:00:00,0.94,0.94,0.81,0.81,2643,2008
74,2008-06-12 00:00:00,0.88,0.88,0.8,0.85,7058,2008
75,2008-06-13 00:00:00,0.8,0.85,0.8,0.85,11500,2008
76,2008-06-16 00:00:00,0.77,0.84,0.74,0.8,7201,2008
77,2008-06-17 00:00:00,0.75,0.82,0.72,0.78,33152,2008
78,2008-06-18 00:00:00,0.77,0.79,0.74,0.74,19266,2008
79,2008-06-19 00:00:00,0.74,0.78,0.71,0.75,20640,2008
80,2008-06-20 00:00:00,0.76,0.76,0.75,0.76,430,2008
81,2008-06-23 00:00:00,0.75,0.75,0.73,0.73,3600,2008
82,2008-06-24 00:00:00,0.75,0.75,0.72,0.75,47686,2008
83,2008-06-25 00:00:00,0.75,0.75,0.69,0.75,3050,2008
84,2008-06-26 00:00:00,0.75,0.83,0.72,0.8,13089,2008
85,2008-06-27 00:00:00,0.74,0.75,0.7,0.74,12793,2008
