,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-09-23 00:00:00,1.55,1.71,1.0,1.0,115258,2011
1,2011-09-26 00:00:00,1.17,1.44,1.05,1.44,98480,2011
2,2011-09-27 00:00:00,1.6,1.79,1.5,1.69,60931,2011
3,2011-09-28 00:00:00,1.78,1.78,1.3,1.39,9230,2011
4,2011-09-29 00:00:00,1.15,1.44,1.02,1.15,14621,2011
5,2011-09-30 00:00:00,1.25,1.25,1.01,1.24,10765,2011
6,2011-10-03 00:00:00,1.24,1.24,1.0,1.2,2697,2011
7,2011-10-04 00:00:00,1.16,1.16,1.0,1.13,130,2011
8,2011-10-05 00:00:00,1.12,1.17,0.97,1.14,4025,2011
9,2011-10-06 00:00:00,1.05,1.15,1.05,1.15,205,2011
10,2011-10-07 00:00:00,1.12,1.15,1.12,1.15,3561,2011
11,2011-10-10 00:00:00,1.13,1.13,0.92,1.1,654,2011
12,2011-10-11 00:00:00,1.15,1.15,1.15,1.15,15,2011
13,2011-10-12 00:00:00,1.14,1.14,1.14,1.14,5,2011
14,2011-10-13 00:00:00,1.13,1.13,1.13,1.13,5,2011
15,2011-10-14 00:00:00,0.91,1.13,0.91,1.13,1200,2011
16,2011-10-17 00:00:00,1.13,1.13,0.96,1.13,325,2011
17,2011-10-18 00:00:00,1.13,1.13,1.11,1.11,70,2011
18,2011-10-19 00:00:00,1.12,1.12,0.95,1.09,6097,2011
19,2011-10-20 00:00:00,0.95,1.06,0.95,1.01,3206,2011
20,2011-10-21 00:00:00,0.88,1.01,0.81,1.01,10268,2011
21,2011-10-24 00:00:00,1.01,1.16,1.01,1.16,2133,2011
22,2011-10-25 00:00:00,1.18,1.18,1.17,1.17,150,2011
23,2011-10-26 00:00:00,1.17,1.17,1.0,1.17,542,2011
24,2011-10-27 00:00:00,1.16,1.17,1.16,1.17,4457,2011
25,2011-10-28 00:00:00,1.24,1.38,1.03,1.2,3640,2011
26,2011-10-31 00:00:00,1.26,1.26,1.26,1.26,3,2011
27,2011-11-02 00:00:00,1.14,1.19,1.02,1.19,2000,2011
28,2011-11-03 00:00:00,1.25,1.26,1.14,1.26,1262,2011
29,2011-11-04 00:00:00,1.26,1.3,1.26,1.3,6005,2011
30,2011-11-07 00:00:00,1.3,1.44,1.19,1.44,4144,2011
31,2011-11-08 00:00:00,1.45,1.45,1.16,1.37,449,2011
32,2011-11-09 00:00:00,1.42,1.45,1.1,1.45,5115,2011
33,2011-11-10 00:00:00,1.44,1.63,1.36,1.52,17141,2011
34,2011-11-14 00:00:00,1.52,1.53,1.44,1.53,5032,2011
35,2011-11-15 00:00:00,1.59,1.59,1.51,1.58,3800,2011
36,2011-11-16 00:00:00,1.55,1.59,1.55,1.59,55,2011
