,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-06-18 00:00:00,0.49,0.49,0.32,0.33,772332,2010
1,2010-06-21 00:00:00,0.27,0.33,0.27,0.33,94445,2010
2,2010-06-22 00:00:00,0.32,0.33,0.29,0.32,22680,2010
3,2010-06-23 00:00:00,0.3,0.31,0.26,0.27,204221,2010
4,2010-06-24 00:00:00,0.27,0.27,0.23,0.23,76718,2010
5,2010-06-25 00:00:00,0.23,0.23,0.2,0.23,114481,2010
6,2010-06-28 00:00:00,0.23,0.23,0.2,0.23,9195,2010
7,2010-06-29 00:00:00,0.23,0.23,0.2,0.22,36803,2010
8,2010-06-30 00:00:00,0.21,0.22,0.21,0.22,13653,2010
9,2010-07-01 00:00:00,0.22,0.22,0.22,0.22,10,2010
10,2010-07-02 00:00:00,0.22,0.22,0.19,0.22,15400,2010
11,2010-07-05 00:00:00,0.2,0.22,0.18,0.22,12258,2010
12,2010-07-06 00:00:00,0.21,0.21,0.21,0.21,100,2010
13,2010-07-07 00:00:00,0.21,0.21,0.21,0.21,1000,2010
14,2010-07-08 00:00:00,0.19,0.21,0.18,0.21,22819,2010
15,2010-07-09 00:00:00,0.21,0.22,0.21,0.22,14030,2010
16,2010-07-12 00:00:00,0.21,0.21,0.21,0.21,51,2010
17,2010-07-14 00:00:00,0.22,0.23,0.2,0.2,13500,2010
18,2010-07-15 00:00:00,0.19,0.24,0.19,0.23,74223,2010
19,2010-07-16 00:00:00,0.24,0.24,0.23,0.24,4500,2010
20,2010-07-20 00:00:00,0.22,0.24,0.22,0.24,3500,2010
21,2010-07-21 00:00:00,0.22,0.23,0.21,0.23,3715,2010
22,2010-07-23 00:00:00,0.24,0.28,0.24,0.28,77500,2010
23,2010-07-26 00:00:00,0.3,0.33,0.26,0.29,276675,2010
24,2010-07-27 00:00:00,0.27,0.28,0.26,0.28,27973,2010
25,2010-07-28 00:00:00,0.28,0.29,0.25,0.27,40589,2010
26,2010-07-29 00:00:00,0.25,0.29,0.24,0.29,161621,2010
27,2010-07-30 00:00:00,0.28,0.29,0.27,0.29,17260,2010
28,2010-08-02 00:00:00,0.29,0.29,0.24,0.24,229687,2010
29,2010-08-03 00:00:00,0.24,0.24,0.22,0.23,102961,2010
30,2010-08-04 00:00:00,0.23,0.24,0.23,0.24,1001,2010
31,2010-08-05 00:00:00,0.23,0.23,0.23,0.23,3500,2010
32,2010-08-06 00:00:00,0.23,0.23,0.22,0.23,5500,2010
33,2010-08-09 00:00:00,0.23,0.23,0.23,0.23,9953,2010
34,2010-08-10 00:00:00,0.22,0.23,0.22,0.23,7500,2010
35,2010-08-11 00:00:00,0.23,0.25,0.23,0.25,15704,2010
36,2010-08-12 00:00:00,0.25,0.25,0.23,0.24,11812,2010
37,2010-08-13 00:00:00,0.24,0.24,0.21,0.22,76901,2010
38,2010-08-16 00:00:00,0.21,0.22,0.21,0.22,38956,2010
39,2010-08-17 00:00:00,0.23,0.24,0.23,0.23,49956,2010
40,2010-08-18 00:00:00,0.23,0.23,0.23,0.23,10000,2010
41,2010-08-19 00:00:00,0.23,0.27,0.23,0.26,122133,2010
42,2010-08-20 00:00:00,0.26,0.26,0.21,0.25,107000,2010
43,2010-08-23 00:00:00,0.25,0.25,0.23,0.23,42200,2010
44,2010-08-24 00:00:00,0.23,0.23,0.23,0.23,38350,2010
45,2010-08-25 00:00:00,0.23,0.27,0.23,0.26,189060,2010
46,2010-08-26 00:00:00,0.26,0.26,0.23,0.23,175804,2010
