,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2010-01-27 00:00:00,4.93,5.1,4.3,4.33,145952,2010
1,2010-01-28 00:00:00,4.44,4.47,4.2,4.44,6950,2010
2,2010-01-29 00:00:00,4.12,4.19,3.85,4.08,15056,2010
3,2010-02-01 00:00:00,4.1,4.1,3.68,3.98,6283,2010
4,2010-02-02 00:00:00,4.0,4.0,3.45,3.54,37628,2010
5,2010-02-03 00:00:00,3.74,3.74,3.43,3.63,5366,2010
6,2010-02-04 00:00:00,3.5,3.6,3.46,3.6,2655,2010
7,2010-02-05 00:00:00,3.42,3.5,3.15,3.47,4469,2010
8,2010-02-08 00:00:00,3.35,3.4,3.2,3.2,9313,2010
9,2010-02-09 00:00:00,3.39,3.39,3.22,3.38,2391,2010
10,2010-02-10 00:00:00,3.4,4.04,3.4,3.94,11335,2010
11,2010-02-11 00:00:00,3.94,3.95,3.6,3.75,3408,2010
12,2010-02-12 00:00:00,3.92,3.92,3.61,3.7,166,2010
13,2010-02-15 00:00:00,3.62,3.8,3.5,3.8,1296,2010
14,2010-02-16 00:00:00,3.74,3.74,3.74,3.74,100,2010
15,2010-02-17 00:00:00,3.47,3.75,3.3,3.75,8534,2010
16,2010-02-18 00:00:00,3.55,3.7,3.55,3.7,1510,2010
17,2010-02-19 00:00:00,3.5,3.5,3.33,3.5,3195,2010
18,2010-02-22 00:00:00,3.3,3.49,3.05,3.49,1433,2010
19,2010-02-23 00:00:00,3.08,3.46,3.07,3.46,3087,2010
20,2010-02-24 00:00:00,3.09,3.61,3.09,3.25,71,2010
21,2010-02-25 00:00:00,3.08,3.66,3.08,3.14,3181,2010
22,2010-02-26 00:00:00,3.1,3.5,3.1,3.5,4636,2010
23,2010-03-01 00:00:00,3.64,3.64,3.64,3.64,1095,2010
24,2010-03-02 00:00:00,3.07,3.49,3.07,3.49,20,2010
25,2010-03-03 00:00:00,3.48,3.6,3.08,3.6,3378,2010
26,2010-03-05 00:00:00,3.1,3.6,3.1,3.6,3803,2010
27,2010-03-09 00:00:00,3.15,3.34,3.15,3.34,1623,2010
28,2010-03-10 00:00:00,3.34,3.48,3.34,3.48,685,2010
29,2010-03-11 00:00:00,3.44,3.44,3.44,3.44,200,2010
30,2010-03-12 00:00:00,3.45,3.45,3.18,3.18,3500,2010
31,2010-03-15 00:00:00,3.48,3.48,2.92,3.19,1500,2010
32,2010-03-16 00:00:00,3.27,3.27,3.27,3.27,200,2010
33,2010-03-17 00:00:00,3.24,3.5,3.15,3.5,5461,2010
34,2010-03-18 00:00:00,3.5,3.5,3.5,3.5,10,2010
35,2010-03-19 00:00:00,3.33,3.33,3.32,3.32,957,2010
36,2010-03-22 00:00:00,3.3,3.3,3.3,3.3,10,2010
37,2010-03-23 00:00:00,3.05,3.5,3.05,3.5,300,2010
38,2010-03-25 00:00:00,3.05,3.26,2.81,3.26,3760,2010
39,2010-03-29 00:00:00,3.26,3.26,3.26,3.26,10,2010
40,2010-03-30 00:00:00,3.02,3.24,3.02,3.24,510,2010
41,2010-03-31 00:00:00,3.24,3.24,3.24,3.24,10,2010
42,2010-04-01 00:00:00,3.05,3.22,2.8,3.22,3690,2010
43,2010-04-06 00:00:00,3.2,3.23,3.2,3.22,1600,2010
44,2010-04-07 00:00:00,3.21,3.21,3.2,3.2,1116,2010
45,2010-04-08 00:00:00,3.2,3.22,3.2,3.22,1000,2010
46,2010-04-09 00:00:00,3.22,3.22,3.22,3.22,700,2010
47,2010-04-13 00:00:00,3.22,3.35,3.01,3.35,5490,2010
48,2010-04-14 00:00:00,3.45,3.48,3.45,3.48,344,2010
49,2010-04-15 00:00:00,3.22,3.38,3.22,3.38,285,2010
50,2010-04-16 00:00:00,3.09,3.38,3.09,3.38,485,2010
51,2010-04-20 00:00:00,3.07,3.07,3.04,3.04,2835,2010
52,2010-04-21 00:00:00,3.28,3.28,3.28,3.28,300,2010
53,2010-04-22 00:00:00,3.3,3.36,3.06,3.32,916,2010
54,2010-04-26 00:00:00,3.07,3.35,3.07,3.35,460,2010
55,2010-04-28 00:00:00,3.08,3.32,3.08,3.32,935,2010
56,2010-04-29 00:00:00,3.1,3.32,3.1,3.2,323,2010
57,2010-04-30 00:00:00,3.35,3.35,3.12,3.31,473,2010
58,2010-05-04 00:00:00,3.09,3.2,3.09,3.2,4113,2010
59,2010-05-05 00:00:00,3.1,3.21,3.1,3.21,100,2010
60,2010-05-06 00:00:00,3.1,3.19,3.1,3.19,330,2010
61,2010-05-07 00:00:00,3.19,3.19,3.19,3.19,10,2010
62,2010-05-11 00:00:00,3.19,3.19,3.19,3.19,10,2010
63,2010-05-13 00:00:00,3.05,3.17,2.88,3.17,4420,2010
64,2010-05-18 00:00:00,3.21,3.32,3.0,3.3,2061,2010
65,2010-05-19 00:00:00,3.05,3.25,3.0,3.25,350,2010
66,2010-05-20 00:00:00,3.0,3.29,3.0,3.29,680,2010
67,2010-05-26 00:00:00,2.87,3.25,2.87,3.25,203,2010
68,2010-05-27 00:00:00,3.25,3.29,3.1,3.29,4152,2010
69,2010-05-28 00:00:00,3.29,3.38,3.29,3.38,960,2010
70,2010-05-31 00:00:00,3.38,3.38,3.21,3.38,720,2010
71,2010-06-01 00:00:00,3.38,3.38,3.1,3.38,2060,2010
72,2010-06-02 00:00:00,3.38,3.89,3.25,3.89,17041,2010
73,2010-06-04 00:00:00,3.41,3.89,3.41,3.89,1519,2010
74,2010-06-07 00:00:00,3.89,3.89,3.89,3.89,1600,2010
75,2010-06-09 00:00:00,3.89,3.89,3.5,3.65,3113,2010
76,2010-06-10 00:00:00,3.8,3.8,3.33,3.7,4460,2010
77,2010-06-11 00:00:00,3.33,3.62,3.1,3.5,1430,2010
78,2010-06-14 00:00:00,3.25,3.65,3.25,3.65,220,2010
79,2010-06-17 00:00:00,3.68,3.68,3.14,3.18,1127,2010
80,2010-06-18 00:00:00,3.18,3.49,3.18,3.49,460,2010
81,2010-06-21 00:00:00,3.54,3.54,3.49,3.49,103,2010
82,2010-06-22 00:00:00,3.45,3.54,3.45,3.54,300,2010
83,2010-06-25 00:00:00,3.47,3.49,3.47,3.49,1900,2010
84,2010-06-30 00:00:00,3.49,3.49,3.49,3.49,5,2010
85,2010-07-07 00:00:00,3.37,3.67,3.37,3.67,500,2010
86,2010-07-15 00:00:00,3.34,3.58,3.18,3.58,1150,2010
87,2010-07-22 00:00:00,3.43,3.67,3.43,3.67,1559,2010
88,2010-07-28 00:00:00,3.67,3.67,3.67,3.67,287,2010
89,2010-08-02 00:00:00,3.65,3.65,3.65,3.65,220,2010
90,2010-08-10 00:00:00,3.3,3.3,3.29,3.29,1130,2010
91,2010-08-16 00:00:00,3.18,3.18,3.17,3.17,330,2010
92,2010-08-17 00:00:00,3.31,3.66,3.31,3.63,5430,2010
93,2010-08-19 00:00:00,3.59,3.67,3.59,3.67,650,2010
94,2010-08-20 00:00:00,3.59,3.67,3.59,3.67,510,2010
95,2010-08-24 00:00:00,3.67,3.89,3.67,3.83,10765,2010
96,2010-08-25 00:00:00,3.85,3.85,3.65,3.8,2643,2010
97,2010-08-26 00:00:00,3.85,3.9,3.79,3.85,2533,2010
98,2010-08-27 00:00:00,3.75,3.9,3.75,3.9,520,2010
99,2010-08-30 00:00:00,3.9,4.05,3.21,4.04,10996,2010
