,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-04-08 00:00:00,10.675999999999998,12.384,9.865,9.865,7859,2013
1,2013-04-09 00:00:00,10.804,10.839,8.7288,10.839,12051,2013
2,2013-04-10 00:00:00,10.25,10.932,8.1993,8.1993,3789,2013
3,2013-04-11 00:00:00,6.8327,8.1138,6.6704,7.8491,10383,2013
4,2013-04-12 00:00:00,7.6612,7.6612,6.2861,6.8242,2325,2013
5,2013-04-15 00:00:00,6.9096,6.9096,5.9786,5.9786,6081,2013
6,2013-04-17 00:00:00,6.3185,6.5965,5.5588,5.9757,6010,2013
7,2013-04-18 00:00:00,6.064,6.5337,6.064,6.3203,96,2013
8,2013-04-19 00:00:00,6.1494,6.4655,5.1416,6.3971,6572,2013
9,2013-04-22 00:00:00,6.3971,6.3971,5.9786,6.3118,3981,2013
10,2013-04-23 00:00:00,6.2946,6.6192,5.1331,6.064,61774,2013
11,2013-04-24 00:00:00,6.064,6.064,5.9786,5.9786,24,2013
12,2013-04-29 00:00:00,5.8932,6.1494,5.8932,6.1494,50,2013
13,2013-04-30 00:00:00,6.1518,6.615,6.1518,6.615,539,2013
14,2013-05-02 00:00:00,6.615,6.615,6.615,6.615,5,2013
15,2013-05-06 00:00:00,6.6192,6.6192,5.9701,6.1067,356,2013
16,2013-05-08 00:00:00,5.8924,5.8924,5.8924,5.8924,1,2013
17,2013-05-09 00:00:00,6.1054,6.1054,5.8738,5.8738,281,2013
18,2013-05-10 00:00:00,6.0591,6.0591,6.0591,6.0591,1,2013
19,2013-05-13 00:00:00,6.064,6.1067,5.8932,5.8932,1153,2013
20,2013-05-14 00:00:00,5.8079,5.8079,5.7224,5.7224,36,2013
21,2013-05-15 00:00:00,5.6370000000000005,5.6370000000000005,5.5004,5.6370000000000005,679,2013
22,2013-05-16 00:00:00,5.4662,5.6370000000000005,5.337999999999999,5.6370000000000005,134,2013
23,2013-05-21 00:00:00,5.6370000000000005,5.6370000000000005,5.6370000000000005,5.6370000000000005,96,2013
24,2013-05-22 00:00:00,5.6370000000000005,5.7224,5.5259,5.5259,621,2013
25,2013-05-24 00:00:00,5.4662,5.4662,5.216,5.3828,427,2013
26,2013-05-28 00:00:00,5.3828,5.3828,5.3828,5.3828,117,2013
27,2013-05-29 00:00:00,5.3828,5.4662,5.3828,5.4662,188,2013
28,2013-05-31 00:00:00,5.1141,5.9294,5.1141,5.9294,1050,2013
29,2013-06-03 00:00:00,6.0221,6.0221,6.0221,6.0221,1,2013
30,2013-06-05 00:00:00,6.0221,6.2074,5.9572,5.9572,497,2013
31,2013-06-10 00:00:00,6.0221,6.3,6.0221,6.3,130,2013
32,2013-06-11 00:00:00,6.3371,6.3371,6.3371,6.3371,266,2013
33,2013-06-12 00:00:00,6.3371,6.3371,6.3371,6.3371,4,2013
34,2013-06-13 00:00:00,6.3278,6.3278,6.3278,6.3278,4,2013
35,2013-06-14 00:00:00,6.3278,6.3278,6.0313,6.1147,1247,2013
36,2013-06-18 00:00:00,6.1610000000000005,6.1610000000000005,6.1610000000000005,6.1610000000000005,1,2013
37,2013-06-19 00:00:00,6.1610000000000005,6.1981,6.1610000000000005,6.1981,17,2013
38,2013-06-20 00:00:00,6.1981,6.3371,6.1981,6.3371,133,2013
39,2013-06-21 00:00:00,6.3371,6.3371,6.3371,6.3371,4,2013
40,2013-06-24 00:00:00,6.3371,6.3371,6.0221,6.3371,110,2013
41,2013-06-25 00:00:00,6.3371,6.3371,5.7071,6.3371,301,2013
42,2013-06-26 00:00:00,6.3371,6.3371,5.9294,5.9572,246,2013
43,2013-07-05 00:00:00,5.9757,5.9757,5.9757,5.9757,6,2013
44,2013-07-08 00:00:00,6.0221,6.0221,6.0221,6.0221,1,2013
45,2013-07-09 00:00:00,5.7441,5.9665,5.4662,5.6515,1505,2013
46,2013-07-11 00:00:00,5.6515,5.6515,5.6515,5.6515,223,2013
47,2013-07-15 00:00:00,5.5588,5.6515,5.5588,5.6515,12,2013
48,2013-07-17 00:00:00,5.6515,5.6515,5.3921,5.5218,299,2013
49,2013-07-18 00:00:00,5.5218,5.5218,5.5218,5.5218,5,2013
50,2013-07-22 00:00:00,5.3735,5.531000000000001,5.2624,5.531000000000001,298,2013
51,2013-07-23 00:00:00,5.4662,5.4662,4.9103,4.9103,174,2013
52,2013-07-24 00:00:00,4.9103,4.9566,4.6416,4.6416,348,2013
53,2013-08-01 00:00:00,4.6324,4.6601,3.7059,4.6601,981,2013
54,2013-08-02 00:00:00,4.1691,4.2618,4.1691,4.2618,421,2013
55,2013-08-05 00:00:00,4.3081,4.3544,4.3081,4.3544,12,2013
56,2013-08-06 00:00:00,4.3544,4.3544,4.3544,4.3544,5,2013
57,2013-08-07 00:00:00,4.3544,4.3544,4.3544,4.3544,11,2013
58,2013-08-08 00:00:00,4.3544,4.3544,4.3544,4.3544,11,2013
59,2013-08-09 00:00:00,4.3544,4.3544,4.3544,4.3544,30,2013
60,2013-08-12 00:00:00,4.3544,4.3544,4.3544,4.3544,12,2013
61,2013-08-13 00:00:00,4.3544,4.3544,4.1228,4.234,371,2013
62,2013-08-14 00:00:00,4.1691,4.1691,4.1691,4.1691,11,2013
63,2013-08-16 00:00:00,4.1691,4.2618,3.9838,3.9838,297,2013
64,2013-08-19 00:00:00,4.4471,4.5212,4.4471,4.5212,367,2013
65,2013-08-20 00:00:00,4.5397,4.5397,4.5304,4.5304,336,2013
66,2013-08-21 00:00:00,4.5212,4.7713,4.3451,4.7713,725,2013
67,2013-08-22 00:00:00,4.7621,5.5588,4.7621,5.5588,1192,2013
68,2013-08-23 00:00:00,5.2809,5.2809,5.0029,5.0029,799,2013
69,2013-08-26 00:00:00,5.0029,5.0956,5.0029,5.0956,324,2013
70,2013-08-27 00:00:00,4.8918,5.6515,4.8918,5.0956,5160,2013
71,2013-08-28 00:00:00,5.0956,5.1882,4.8362,4.8362,3082,2013
72,2013-08-29 00:00:00,4.9103,5.6515,4.9103,5.6515,1767,2013
73,2013-08-30 00:00:00,5.6422,6.0221,5.6422,6.0221,1376,2013
74,2013-09-02 00:00:00,5.846,6.0221,5.7256,5.7256,530,2013
75,2013-09-03 00:00:00,5.6515,5.6515,5.3828,5.3828,1538,2013
76,2013-09-04 00:00:00,5.3828,5.3828,5.3828,5.3828,22,2013
77,2013-09-06 00:00:00,5.4106,5.4199,4.8732,5.4199,584,2013
78,2013-09-10 00:00:00,5.4199,5.5588,5.4199,5.5588,86,2013
79,2013-09-12 00:00:00,5.5588,5.7904,5.5588,5.5681,325,2013
80,2013-09-13 00:00:00,5.3457,5.3457,5.2901,5.2901,431,2013
81,2013-09-16 00:00:00,5.2901,5.4013,5.2901,5.4013,629,2013
82,2013-09-18 00:00:00,5.4199,5.5032,5.4199,5.5032,108,2013
83,2013-09-23 00:00:00,5.2809,5.2809,5.1882,5.1975,2429,2013
84,2013-09-24 00:00:00,5.1882,5.1882,5.0493,5.0493,324,2013
85,2013-09-25 00:00:00,5.0122,5.0122,5.0122,5.0122,208,2013
86,2013-09-30 00:00:00,5.0122,5.0122,5.0122,5.0122,216,2013
87,2013-10-08 00:00:00,5.0029,5.0029,4.8176,4.8176,22,2013
88,2013-10-16 00:00:00,4.864,4.864,4.864,4.864,1001,2013
89,2013-10-17 00:00:00,4.8269,4.8454,4.8269,4.8454,49,2013
90,2013-10-18 00:00:00,4.9103,5.0215,4.9103,5.0215,43,2013
91,2013-10-24 00:00:00,4.8547,4.8547,4.8547,4.8547,313,2013
92,2013-10-28 00:00:00,4.8269,4.8269,4.8269,4.8269,324,2013
93,2013-10-29 00:00:00,4.8269,4.8269,4.8269,4.8269,27,2013
94,2013-10-30 00:00:00,4.8269,4.8269,4.8269,4.8269,356,2013
95,2013-11-12 00:00:00,4.864,5.1882,4.864,5.1882,119,2013
96,2013-11-13 00:00:00,5.0122,5.0956,5.0122,5.0956,399,2013
97,2013-11-15 00:00:00,5.0122,5.0122,5.0122,5.0122,1079,2013
98,2013-11-29 00:00:00,5.0029,5.0029,4.8732,4.8732,335,2013
99,2013-12-02 00:00:00,4.8176,4.8176,3.8912,3.8912,1015,2013
100,2013-12-03 00:00:00,3.9838,4.2618,3.1963,3.7059,1759,2013
101,2013-12-06 00:00:00,3.7522,4.3081,3.7522,4.3081,281,2013
102,2013-12-09 00:00:00,4.1691,4.1691,3.9653,3.9838,416,2013
103,2013-12-12 00:00:00,3.9838,4.0579,3.9838,4.0579,443,2013
104,2013-12-16 00:00:00,4.0765,4.1413,4.0765,4.1413,151,2013
105,2013-12-19 00:00:00,3.8912,3.8912,3.8726,3.8726,97,2013
106,2013-12-23 00:00:00,4.095,4.095,4.095,4.095,5,2013
107,2014-01-14 00:00:00,4.1691,4.864,4.1691,4.864,1042,2014
108,2014-01-15 00:00:00,4.9103,5.7441,4.9103,5.3735,726,2014
109,2014-01-16 00:00:00,5.3735,5.3735,5.3735,5.3735,545,2014
110,2014-01-20 00:00:00,5.3735,5.3735,5.3735,5.3735,4,2014
