,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-07-04 00:00:00,1.5,2.25,1.5,2.25,4984,2013
1,2013-07-05 00:00:00,2.7,2.7,2.15,2.5,7840,2013
2,2013-07-08 00:00:00,2.4,2.4,2.2,2.4,808,2013
3,2013-07-09 00:00:00,2.4,2.4,1.92,1.99,259,2013
4,2013-07-10 00:00:00,1.99,1.99,1.6,1.9,3831,2013
5,2013-07-11 00:00:00,1.52,1.8,1.22,1.58,6532,2013
6,2013-07-12 00:00:00,1.58,1.58,1.27,1.57,550,2013
7,2013-07-15 00:00:00,1.5,1.5,1.5,1.5,15,2013
8,2013-07-16 00:00:00,1.2,1.2,1.1,1.1,491,2013
9,2013-07-17 00:00:00,1.1,1.1,0.88,1.1,531,2013
10,2013-07-18 00:00:00,1.1,1.1,1.1,1.1,5,2013
11,2013-07-22 00:00:00,1.1,1.3,1.1,1.3,1505,2013
12,2013-07-23 00:00:00,1.35,1.35,1.35,1.35,5,2013
13,2013-07-25 00:00:00,1.2,1.25,1.0,1.18,5905,2013
14,2013-07-30 00:00:00,1.2,1.2,1.08,1.2,975,2013
15,2013-07-31 00:00:00,1.2,1.2,0.94,1.1,1007,2013
16,2013-08-01 00:00:00,1.15,1.25,0.92,1.25,6504,2013
17,2013-08-02 00:00:00,1.2,1.4,1.0,1.32,4304,2013
18,2013-08-05 00:00:00,1.25,1.35,1.25,1.35,2280,2013
19,2013-08-06 00:00:00,1.35,1.4,1.08,1.39,11213,2013
20,2013-08-07 00:00:00,1.39,1.6,1.12,1.43,4923,2013
21,2013-08-08 00:00:00,1.35,1.44,1.08,1.4,5053,2013
22,2013-08-09 00:00:00,1.25,1.42,1.0,1.19,14420,2013
23,2013-08-12 00:00:00,1.31,1.35,1.05,1.29,22637,2013
24,2013-08-13 00:00:00,1.28,1.28,1.03,1.03,27054,2013
25,2013-08-14 00:00:00,1.04,1.22,1.02,1.22,7089,2013
26,2013-08-16 00:00:00,1.16,1.16,1.01,1.16,4464,2013
27,2013-08-19 00:00:00,1.15,1.16,1.0,1.14,4588,2013
28,2013-08-20 00:00:00,1.12,1.14,1.0,1.1,1695,2013
29,2013-08-21 00:00:00,1.09,1.15,1.0,1.11,8602,2013
30,2013-08-22 00:00:00,1.1,1.13,1.0,1.12,4048,2013
31,2013-08-26 00:00:00,1.09,1.15,1.0,1.1,18316,2013
32,2013-08-27 00:00:00,1.09,1.1,1.0,1.07,4439,2013
33,2013-08-28 00:00:00,1.07,1.08,1.07,1.08,2690,2013
34,2013-08-29 00:00:00,1.08,1.1,1.0,1.08,11345,2013
35,2013-08-30 00:00:00,1.08,1.08,1.0,1.08,676,2013
36,2013-09-02 00:00:00,1.07,1.1,0.95,0.97,72873,2013
37,2013-09-03 00:00:00,1.04,1.05,0.84,0.94,14806,2013
38,2013-09-06 00:00:00,0.9,0.9,0.89,0.89,390,2013
39,2013-09-10 00:00:00,0.72,0.72,0.5,0.5,10207,2013
40,2013-09-11 00:00:00,0.41,0.46,0.35,0.46,5631,2013
41,2013-09-12 00:00:00,0.4,0.4,0.37,0.37,1100,2013
42,2013-09-13 00:00:00,0.37,0.42,0.3,0.41,12617,2013
43,2013-09-17 00:00:00,0.41,0.41,0.41,0.41,35,2013
44,2013-09-19 00:00:00,0.35,0.35,0.35,0.35,1000,2013
45,2013-09-24 00:00:00,0.38,0.39,0.37,0.37,1600,2013
46,2013-09-26 00:00:00,0.3,0.3,0.29,0.3,2630,2013
47,2013-09-27 00:00:00,0.35,0.35,0.35,0.35,4386,2013
48,2013-09-30 00:00:00,0.32,0.36,0.26,0.35,4758,2013
49,2013-10-01 00:00:00,0.34,0.38,0.34,0.38,7010,2013
50,2013-10-02 00:00:00,0.38,0.45,0.38,0.45,3260,2013
51,2013-10-04 00:00:00,0.44,0.46,0.44,0.45,2210,2013
52,2013-10-07 00:00:00,0.46,0.46,0.46,0.46,50,2013
53,2013-10-08 00:00:00,0.43,0.47,0.35,0.44,32271,2013
54,2013-10-09 00:00:00,0.43,0.43,0.42,0.42,210,2013
55,2013-10-10 00:00:00,0.42,0.42,0.34,0.34,760,2013
56,2013-10-11 00:00:00,0.37,0.37,0.37,0.37,50,2013
57,2013-10-14 00:00:00,0.32,0.38,0.32,0.38,5348,2013
58,2013-10-15 00:00:00,0.38,0.38,0.31,0.35,27921,2013
59,2013-10-16 00:00:00,0.35,0.35,0.3,0.35,5300,2013
60,2013-10-21 00:00:00,0.3,0.3,0.3,0.3,50,2013
61,2013-10-22 00:00:00,0.31,0.32,0.31,0.32,5190,2013
62,2013-10-23 00:00:00,0.34,0.42,0.3,0.39,101986,2013
63,2013-10-24 00:00:00,0.39,0.46,0.39,0.46,38540,2013
64,2013-10-25 00:00:00,0.46,0.54,0.46,0.54,18754,2013
65,2013-10-29 00:00:00,0.68,0.79,0.59,0.79,59287,2013
66,2013-10-30 00:00:00,0.79,0.8,0.61,0.61,91021,2013
67,2013-10-31 00:00:00,0.61,0.65,0.49,0.61,31894,2013
68,2013-11-04 00:00:00,0.61,0.63,0.49,0.51,97086,2013
69,2013-11-05 00:00:00,0.49,0.58,0.46,0.58,53745,2013
70,2013-11-06 00:00:00,0.56,0.67,0.56,0.66,8884,2013
71,2013-11-07 00:00:00,0.72,0.86,0.68,0.84,35984,2013
72,2013-11-08 00:00:00,0.82,0.9,0.76,0.87,23346,2013
73,2013-11-12 00:00:00,0.86,0.9,0.72,0.86,7744,2013
74,2013-11-13 00:00:00,0.84,0.86,0.67,0.67,141304,2013
75,2013-11-14 00:00:00,0.72,0.84,0.65,0.8,168975,2013
76,2013-11-15 00:00:00,0.81,0.97,0.78,0.97,113066,2013
77,2013-11-18 00:00:00,1.02,1.3,1.02,1.3,82783,2013
78,2013-11-19 00:00:00,1.42,1.43,1.14,1.36,89659,2013
79,2013-11-20 00:00:00,1.3,1.47,1.1,1.1,26729,2013
80,2013-11-21 00:00:00,1.1,1.23,1.06,1.14,20216,2013
81,2013-11-22 00:00:00,1.13,1.29,1.04,1.08,58974,2013
82,2013-11-25 00:00:00,1.11,1.15,0.95,0.96,48317,2013
83,2013-11-26 00:00:00,0.99,1.35,0.99,1.29,91152,2013
84,2013-11-27 00:00:00,1.3,1.34,1.06,1.14,31898,2013
85,2013-11-28 00:00:00,1.17,1.17,1.07,1.15,9722,2013
86,2013-11-29 00:00:00,1.16,1.29,1.09,1.15,18736,2013
87,2013-12-02 00:00:00,1.17,1.17,0.95,1.14,37519,2013
88,2013-12-03 00:00:00,1.11,1.16,0.96,1.12,32831,2013
89,2013-12-04 00:00:00,1.06,1.1,0.97,1.05,4211,2013
90,2013-12-05 00:00:00,1.07,1.07,0.96,0.99,8454,2013
91,2013-12-06 00:00:00,1.03,1.14,1.01,1.09,61964,2013
92,2013-12-09 00:00:00,1.1,1.19,1.05,1.13,80055,2013
93,2013-12-10 00:00:00,1.12,1.17,1.09,1.09,18593,2013
94,2013-12-11 00:00:00,1.15,1.15,1.07,1.1,14794,2013
95,2013-12-12 00:00:00,1.13,1.13,1.04,1.1,15202,2013
96,2013-12-13 00:00:00,1.13,1.13,1.07,1.07,6010,2013
97,2013-12-16 00:00:00,1.08,1.1,1.06,1.09,10722,2013
98,2013-12-17 00:00:00,1.1,1.13,0.88,0.9,71963,2013
99,2013-12-18 00:00:00,0.98,1.12,0.93,0.93,23207,2013
100,2013-12-19 00:00:00,1.07,1.09,0.96,1.0,4594,2013
101,2013-12-20 00:00:00,1.03,1.05,1.0,1.0,1050,2013
102,2013-12-23 00:00:00,1.02,1.04,0.95,1.01,2851,2013
103,2013-12-27 00:00:00,1.03,1.03,0.95,1.03,1050,2013
104,2013-12-30 00:00:00,1.03,1.03,0.9,0.97,17896,2013
