,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2017-08-23 00:00:00,133.0,133.9,122.0,127.9,3389,2017
1,2017-08-24 00:00:00,127.9,130.4,125.0,129.0,419,2017
2,2017-08-25 00:00:00,127.9,128.9,123.1,128.9,665,2017
3,2017-08-28 00:00:00,128.9,129.0,125.0,128.75,1437,2017
4,2017-08-29 00:00:00,129.8,129.8,127.8,127.8,81,2017
5,2017-08-30 00:00:00,127.9,127.9,125.5,127.75,94,2017
6,2017-08-31 00:00:00,127.5,144.85,125.0,138.9,6514,2017
7,2017-09-01 00:00:00,138.8,138.8,132.7,137.0,177,2017
8,2017-09-04 00:00:00,137.4,137.4,136.0,136.0,21,2017
9,2017-09-05 00:00:00,136.0,136.0,130.6,130.6,13,2017
10,2017-09-06 00:00:00,132.0,136.0,132.0,135.0,289,2017
11,2017-09-07 00:00:00,134.0,136.0,133.6,135.0,54,2017
12,2017-09-08 00:00:00,135.9,135.9,135.5,135.5,30,2017
13,2017-09-11 00:00:00,135.9,136.0,133.0,136.0,414,2017
14,2017-09-12 00:00:00,136.0,136.0,132.0,134.9,105,2017
15,2017-09-13 00:00:00,132.0,132.9,127.0,132.9,260,2017
16,2017-09-14 00:00:00,133.85,133.85,111.0,127.7,433,2017
17,2017-09-15 00:00:00,127.7,127.7,125.0,127.7,121,2017
18,2017-09-18 00:00:00,127.65,128.5,105.0,128.5,370,2017
19,2017-09-19 00:00:00,128.5,128.5,128.5,128.5,56,2017
20,2017-09-20 00:00:00,128.5,128.5,123.15,125.0,111,2017
21,2017-09-21 00:00:00,125.0,128.5,124.0,128.5,406,2017
22,2017-09-22 00:00:00,128.5,128.5,128.5,128.5,1,2017
23,2017-09-25 00:00:00,128.5,128.5,123.55,128.5,45,2017
24,2017-09-26 00:00:00,128.5,128.5,128.5,128.5,1,2017
25,2017-09-27 00:00:00,128.5,128.5,128.5,128.5,1,2017
26,2017-09-28 00:00:00,128.5,139.0,128.5,139.0,511,2017
27,2017-09-29 00:00:00,141.5,144.0,135.1,139.1,4748,2017
28,2017-10-02 00:00:00,139.8,139.8,133.95,139.7,562,2017
29,2017-10-03 00:00:00,139.7,139.7,139.7,139.7,1,2017
30,2017-10-04 00:00:00,139.7,139.7,139.65,139.65,90,2017
31,2017-10-05 00:00:00,139.7,139.7,139.5,139.5,18,2017
32,2017-10-06 00:00:00,139.0,141.0,133.55,141.0,319,2017
33,2017-10-09 00:00:00,140.95,140.95,140.95,140.95,1,2017
34,2017-10-10 00:00:00,135.5,140.0,135.5,140.0,102,2017
35,2017-10-11 00:00:00,140.0,140.0,140.0,140.0,22,2017
36,2017-10-12 00:00:00,138.0,138.0,138.0,138.0,1,2017
37,2017-10-13 00:00:00,138.0,138.0,126.15,137.5,394,2017
38,2017-10-16 00:00:00,138.0,138.0,137.5,137.5,81,2017
39,2017-10-17 00:00:00,138.0,138.0,138.0,138.0,1,2017
40,2017-10-18 00:00:00,138.0,138.0,138.0,138.0,1,2017
41,2017-10-19 00:00:00,138.0,138.0,132.1,137.0,371,2017
42,2017-10-20 00:00:00,136.95,136.95,136.9,136.9,131,2017
43,2017-10-23 00:00:00,136.9,136.9,129.55,134.9,1131,2017
44,2017-10-24 00:00:00,130.0,134.5,129.35,129.35,553,2017
45,2017-10-25 00:00:00,130.0,130.0,129.95,129.95,251,2017
46,2017-10-26 00:00:00,130.0,130.0,130.0,130.0,1,2017
47,2017-10-27 00:00:00,129.0,129.0,126.2,129.0,261,2017
48,2017-10-30 00:00:00,129.0,132.0,129.0,131.9,165,2017
49,2017-10-31 00:00:00,134.9,134.9,132.0,133.0,966,2017
50,2017-11-02 00:00:00,127.2,130.0,127.2,130.0,21,2017
51,2017-11-03 00:00:00,127.15,127.15,127.15,127.15,1,2017
52,2017-11-06 00:00:00,130.0,130.0,130.0,130.0,1,2017
53,2017-11-07 00:00:00,129.5,129.95,128.0,129.95,95,2017
54,2017-11-08 00:00:00,129.0,129.0,126.0,128.5,188,2017
55,2017-11-09 00:00:00,128.45,128.45,128.45,128.45,50,2017
56,2017-11-10 00:00:00,124.0,126.95,124.0,126.95,29,2017
57,2017-11-13 00:00:00,126.0,126.0,126.0,126.0,7,2017
58,2017-11-14 00:00:00,125.95,125.95,120.0,124.95,299,2017
59,2017-11-15 00:00:00,118.0,120.0,118.0,120.0,394,2017
60,2017-11-16 00:00:00,123.8,123.8,123.7,123.7,21,2017
61,2017-11-17 00:00:00,123.7,123.7,123.7,123.7,1,2017
62,2017-11-20 00:00:00,123.7,123.7,123.7,123.7,1,2017
63,2017-11-21 00:00:00,123.65,123.65,123.65,123.65,1,2017
64,2017-11-22 00:00:00,123.6,123.6,123.6,123.6,2,2017
65,2017-11-23 00:00:00,123.6,123.6,118.1,118.1,15,2017
66,2017-11-24 00:00:00,122.0,122.0,122.0,122.0,1,2017
67,2017-11-27 00:00:00,119.9,132.75,119.9,126.5,840,2017
68,2017-11-28 00:00:00,124.25,128.9,124.25,128.9,2,2017
69,2017-11-29 00:00:00,129.8,129.8,129.8,129.8,1,2017
70,2017-11-30 00:00:00,129.8,129.8,129.5,129.7,1030,2017
71,2017-12-01 00:00:00,129.0,129.0,129.0,129.0,5,2017
72,2017-12-04 00:00:00,128.95,128.95,128.95,128.95,1,2017
73,2017-12-05 00:00:00,129.9,129.9,129.9,129.9,1,2017
74,2017-12-06 00:00:00,129.9,129.9,107.0,129.1,393,2017
75,2017-12-07 00:00:00,129.8,129.8,129.8,129.8,1,2017
76,2017-12-08 00:00:00,125.0,129.7,108.4,129.6,724,2017
77,2017-12-11 00:00:00,129.5,129.5,125.0,125.0,11,2017
78,2017-12-12 00:00:00,127.95,127.95,124.0,124.0,11,2017
79,2017-12-13 00:00:00,127.95,128.0,127.5,128.0,749,2017
80,2017-12-14 00:00:00,129.0,129.0,128.8,128.95,1025,2017
81,2017-12-15 00:00:00,128.95,128.95,128.75,128.85,1000,2017
82,2017-12-18 00:00:00,128.4,128.5,128.3,128.5,1061,2017
83,2017-12-19 00:00:00,128.45,129.9,128.35,129.9,1000,2017
84,2017-12-20 00:00:00,129.9,138.8,129.9,138.0,1413,2017
