,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-08-29 00:00:00,1.31,1.31,1.28,1.3,6690,2012
1,2012-08-30 00:00:00,1.11,1.3,1.11,1.3,940,2012
2,2012-09-11 00:00:00,1.31,1.31,1.3,1.3,1320,2012
3,2012-09-12 00:00:00,1.24,1.24,1.08,1.18,460,2012
4,2012-09-13 00:00:00,1.18,1.19,1.18,1.19,540,2012
5,2012-09-14 00:00:00,1.19,1.25,1.19,1.25,150,2012
6,2012-09-17 00:00:00,1.28,1.28,1.28,1.28,10,2012
7,2012-09-18 00:00:00,1.28,1.3,1.28,1.3,21200,2012
8,2012-09-19 00:00:00,1.31,1.31,1.31,1.31,10,2012
9,2012-09-20 00:00:00,1.31,1.31,1.23,1.23,1110,2012
10,2012-09-21 00:00:00,1.24,1.28,1.24,1.28,120,2012
11,2012-09-24 00:00:00,1.28,1.29,1.24,1.29,16400,2012
12,2012-09-25 00:00:00,1.29,1.35,1.29,1.35,10700,2012
13,2012-09-26 00:00:00,1.35,1.5,1.35,1.5,5020,2012
14,2012-09-27 00:00:00,1.5,1.7,1.5,1.52,23750,2012
15,2012-09-28 00:00:00,1.56,1.6,1.4,1.6,6060,2012
16,2012-10-01 00:00:00,1.6,1.6,1.6,1.6,20,2012
17,2012-10-02 00:00:00,1.6,1.6,1.46,1.48,690,2012
18,2012-10-04 00:00:00,1.6,1.6,1.6,1.6,300,2012
19,2012-10-05 00:00:00,1.6,1.6,1.32,1.44,3910,2012
20,2012-10-08 00:00:00,1.35,1.35,1.29,1.3,1200,2012
21,2012-10-09 00:00:00,1.3,1.3,1.27,1.27,2210,2012
22,2012-10-10 00:00:00,1.27,1.27,1.27,1.27,10,2012
23,2012-10-11 00:00:00,1.27,1.27,1.02,1.15,6490,2012
24,2012-10-12 00:00:00,1.2,1.24,1.2,1.24,30,2012
25,2012-10-15 00:00:00,1.24,1.28,1.24,1.28,2420,2012
26,2012-10-16 00:00:00,1.29,1.29,1.29,1.29,20,2012
27,2012-10-17 00:00:00,1.29,1.29,1.29,1.29,10,2012
28,2012-10-18 00:00:00,1.29,1.29,1.29,1.29,10,2012
29,2012-10-19 00:00:00,1.29,1.29,1.29,1.29,20,2012
30,2012-10-22 00:00:00,1.29,1.29,1.29,1.29,10,2012
31,2012-10-23 00:00:00,1.29,1.29,1.28,1.28,20,2012
32,2012-10-24 00:00:00,1.29,1.29,1.29,1.29,10,2012
33,2012-10-25 00:00:00,1.29,1.29,1.29,1.29,20,2012
34,2012-10-26 00:00:00,1.29,1.29,1.29,1.29,20,2012
35,2012-10-29 00:00:00,1.29,1.29,1.29,1.29,10,2012
36,2012-10-30 00:00:00,1.29,1.29,1.28,1.28,20,2012
37,2012-11-02 00:00:00,1.29,1.29,1.29,1.29,20,2012
38,2012-11-05 00:00:00,1.29,1.29,1.29,1.29,20,2012
39,2012-11-06 00:00:00,1.29,1.29,1.29,1.29,20,2012
40,2012-11-07 00:00:00,1.29,1.29,1.29,1.29,10,2012
41,2012-11-08 00:00:00,1.29,1.29,1.29,1.29,20,2012
42,2012-11-09 00:00:00,1.29,1.29,1.29,1.29,10,2012
43,2012-11-12 00:00:00,1.29,1.29,1.29,1.29,20,2012
44,2012-11-13 00:00:00,1.29,1.29,1.29,1.29,10,2012
45,2012-11-14 00:00:00,1.29,1.29,1.29,1.29,20,2012
46,2012-11-15 00:00:00,1.29,1.29,1.29,1.29,10,2012
47,2012-11-16 00:00:00,1.29,1.29,1.29,1.29,10,2012
