,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-02-02 00:00:00,6.2729,6.2729,4.2641,4.5109,52739,2011
1,2011-02-03 00:00:00,4.6869,5.412999999999999,4.5813,4.8632,39796,2011
2,2011-02-04 00:00:00,4.6305,4.7222,4.5954,4.6024,2228,2011
3,2011-02-07 00:00:00,4.5742,4.8632,4.2429,4.3699,3410,2011
4,2011-02-08 00:00:00,4.229,4.3628,3.9539,4.3628,2977,2011
5,2011-02-09 00:00:00,4.1303,4.2782,4.1303,4.2782,4123,2011
6,2011-02-10 00:00:00,4.229,4.3628,3.9539,4.1655,7562,2011
7,2011-02-11 00:00:00,4.229,4.7222,4.229,4.6517,9051,2011
8,2011-02-14 00:00:00,4.7575,5.2367,4.7575,5.2016,17168,2011
9,2011-02-15 00:00:00,5.1451,5.4482,5.0535,5.4270000000000005,6224,2011
10,2011-02-16 00:00:00,5.412999999999999,5.412999999999999,5.412999999999999,5.412999999999999,6,2011
11,2011-02-17 00:00:00,5.412999999999999,5.4270000000000005,4.9759,5.2016,3067,2011
12,2011-02-18 00:00:00,5.0746,5.0746,5.0746,5.0746,355,2011
13,2011-02-22 00:00:00,4.6234,4.9266,4.4403,4.9266,32533,2011
14,2011-02-23 00:00:00,4.7222,4.8632,4.6517,4.8632,1474,2011
15,2011-02-24 00:00:00,4.6517,4.8632,4.405,4.7222,2638,2011
16,2011-03-03 00:00:00,4.7192,4.7777,4.6899,4.7777,1837,2011
17,2011-03-04 00:00:00,4.5813,4.7787,4.5813,4.7787,525,2011
18,2011-03-07 00:00:00,4.7928,5.1451,4.3699,4.7856,8237,2011
19,2011-03-09 00:00:00,4.4122,4.4122,4.405,4.405,1420,2011
20,2011-03-10 00:00:00,4.6532,4.6532,4.6532,4.6532,70,2011
21,2011-03-15 00:00:00,4.2711,4.546,4.229,4.546,2768,2011
22,2011-03-16 00:00:00,4.2358,4.2358,4.229,4.229,993,2011
23,2011-03-18 00:00:00,4.229,4.229,4.1584,4.1584,1009,2011
24,2011-03-22 00:00:00,4.5037,4.5037,4.5037,4.5037,70,2011
25,2011-03-23 00:00:00,4.5037,4.9337,4.1019,4.856,8584,2011
26,2011-03-24 00:00:00,4.5813,4.5813,4.5813,4.5813,285,2011
27,2011-03-29 00:00:00,4.4756,4.5742,4.0527,4.4756,6252,2011
28,2011-03-31 00:00:00,4.4261,4.4407,4.1037,4.1037,371,2011
29,2011-04-01 00:00:00,3.9498,4.3015,3.8032,4.2134,4070,2011
30,2011-04-04 00:00:00,4.2641,4.2994,3.8413,4.2994,265,2011
31,2011-04-05 00:00:00,3.9498,3.957,3.9498,3.957,2,2011
32,2011-04-07 00:00:00,4.0157,4.0157,4.0157,4.0157,229,2011
33,2011-04-08 00:00:00,3.8765,3.8765,3.8765,3.8765,285,2011
34,2011-04-14 00:00:00,3.8032,3.8765,3.5246,3.8765,4612,2011
35,2011-04-20 00:00:00,3.5906,4.0303,3.5906,4.0303,424,2011
36,2011-04-21 00:00:00,4.0303,4.0303,4.0303,4.0303,1090,2011
37,2011-04-28 00:00:00,3.6639999999999997,3.6639999999999997,3.6639999999999997,3.6639999999999997,273,2011
38,2011-04-29 00:00:00,4.0303,4.067,3.6639999999999997,4.045,2234,2011
39,2011-05-04 00:00:00,3.957,4.1037,3.6639999999999997,4.1037,645,2011
40,2011-05-05 00:00:00,4.1037,4.7192,4.1037,4.7192,586,2011
41,2011-05-06 00:00:00,3.9204,4.2134,3.8911,4.2134,1501,2011
42,2011-05-09 00:00:00,4.7046,4.7046,4.3967,4.6753,360,2011
43,2011-05-10 00:00:00,4.6532,4.6532,4.6532,4.6532,6,2011
44,2011-05-11 00:00:00,3.7519,3.7519,3.7519,3.7519,342,2011
45,2011-05-12 00:00:00,3.7374,3.9864,3.7374,3.9864,1242,2011
