,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-01-30 00:00:00,35.0,35.0,29.0,30.2,4094,2008
1,2008-01-31 00:00:00,31.0,33.0,30.0,33.0,1745,2008
2,2008-02-01 00:00:00,33.0,35.0,33.0,33.0,11050,2008
3,2008-02-04 00:00:00,35.0,35.0,35.0,35.0,10964,2008
4,2008-02-05 00:00:00,35.0,35.0,35.0,35.0,3990,2008
5,2008-02-06 00:00:00,33.01,33.01,30.1,32.89,7326,2008
6,2008-02-07 00:00:00,33.0,33.0,33.0,33.0,8929,2008
7,2008-02-08 00:00:00,33.0,33.0,33.0,33.0,1,2008
8,2008-02-11 00:00:00,30.23,30.23,30.23,30.23,50,2008
9,2008-02-12 00:00:00,31.8,31.8,31.8,31.8,19,2008
10,2008-02-13 00:00:00,33.0,33.0,33.0,33.0,20,2008
11,2008-02-14 00:00:00,32.0,32.0,32.0,32.0,15,2008
12,2008-02-18 00:00:00,32.95,32.95,32.95,32.95,15,2008
13,2008-02-19 00:00:00,32.49,32.5,32.49,32.5,188,2008
14,2008-02-20 00:00:00,32.0,32.0,32.0,32.0,1183,2008
15,2008-02-21 00:00:00,32.0,33.0,32.0,33.0,364,2008
16,2008-02-25 00:00:00,32.0,32.0,32.0,32.0,156,2008
17,2008-02-26 00:00:00,32.0,32.0,32.0,32.0,103,2008
18,2008-02-27 00:00:00,32.0,32.0,32.0,32.0,312,2008
19,2008-02-28 00:00:00,31.5,32.0,31.5,32.0,3725,2008
20,2008-02-29 00:00:00,32.0,32.0,32.0,32.0,230,2008
21,2008-03-04 00:00:00,32.0,32.0,32.0,32.0,21,2008
22,2008-03-07 00:00:00,32.0,32.0,32.0,32.0,20,2008
23,2008-03-11 00:00:00,32.0,32.0,32.0,32.0,1207,2008
24,2008-03-13 00:00:00,32.0,32.0,32.0,32.0,500,2008
25,2008-03-17 00:00:00,35.0,35.0,31.02,31.99,136,2008
26,2008-03-19 00:00:00,30.5,30.5,30.5,30.5,60,2008
27,2008-03-20 00:00:00,29.0,31.97,28.0,31.97,1710,2008
28,2008-03-25 00:00:00,28.0,28.0,28.0,28.0,677,2008
29,2008-03-26 00:00:00,28.0,28.0,28.0,28.0,230,2008
30,2008-03-27 00:00:00,28.0,28.0,28.0,28.0,1173,2008
31,2008-03-28 00:00:00,28.0,28.0,28.0,28.0,497,2008
32,2008-03-31 00:00:00,28.0,28.0,27.2,27.2,160,2008
33,2008-04-04 00:00:00,27.2,27.2,27.2,27.2,627,2008
34,2008-04-07 00:00:00,27.0,27.0,27.0,27.0,1016,2008
35,2008-04-08 00:00:00,32.0,32.0,32.0,32.0,1,2008
36,2008-04-11 00:00:00,26.4,26.4,26.4,26.4,50,2008
37,2008-04-14 00:00:00,28.0,28.0,28.0,28.0,61,2008
38,2008-04-15 00:00:00,28.4,28.4,27.9,28.0,764,2008
39,2008-04-16 00:00:00,27.94,27.94,27.94,27.94,270,2008
40,2008-04-25 00:00:00,27.39,27.39,27.39,27.39,3947,2008
41,2008-04-28 00:00:00,26.4,26.4,26.0,26.0,259,2008
42,2008-04-29 00:00:00,26.0,26.0,26.0,26.0,844,2008
43,2008-04-30 00:00:00,24.0,24.0,24.0,24.0,650,2008
44,2008-05-05 00:00:00,24.0,24.0,24.0,24.0,433,2008
45,2008-05-08 00:00:00,24.0,24.0,24.0,24.0,682,2008
46,2008-05-09 00:00:00,23.6,23.6,23.6,23.6,50,2008
47,2008-05-13 00:00:00,29.0,29.0,23.5,23.5,1766,2008
48,2008-05-14 00:00:00,23.99,23.99,23.0,23.0,200,2008
49,2008-05-15 00:00:00,22.0,22.0,22.0,22.0,300,2008
50,2008-05-16 00:00:00,22.0,22.0,22.0,22.0,240,2008
51,2008-05-19 00:00:00,22.0,22.0,21.0,21.0,123,2008
52,2008-05-20 00:00:00,21.0,23.75,21.0,23.75,280,2008
53,2008-05-21 00:00:00,21.0,22.0,21.0,22.0,163,2008
54,2008-05-23 00:00:00,20.0,21.0,20.0,21.0,246,2008
55,2008-05-26 00:00:00,20.0,20.0,20.0,20.0,470,2008
56,2008-05-27 00:00:00,18.0,18.0,18.0,18.0,299,2008
57,2008-05-30 00:00:00,19.9,19.9,19.9,19.9,330,2008
58,2008-06-02 00:00:00,19.9,19.9,19.9,19.9,20,2008
59,2008-06-03 00:00:00,21.5,21.5,21.5,21.5,10,2008
60,2008-06-04 00:00:00,21.0,22.5,21.0,22.5,59,2008
61,2008-06-05 00:00:00,23.5,23.5,23.5,23.5,5,2008
62,2008-06-06 00:00:00,23.78,23.78,23.78,23.78,30,2008
63,2008-06-09 00:00:00,24.0,24.0,24.0,24.0,10,2008
64,2008-06-16 00:00:00,20.9,20.9,20.9,20.9,300,2008
65,2008-06-24 00:00:00,22.9,22.9,22.9,22.9,13,2008
66,2008-06-26 00:00:00,20.5,22.98,20.5,22.98,48030,2008
67,2008-06-30 00:00:00,21.9,22.0,21.9,22.0,150,2008
68,2008-07-02 00:00:00,22.05,22.05,22.05,22.05,75,2008
69,2008-07-10 00:00:00,19.0,21.0,19.0,21.0,169,2008
70,2008-07-11 00:00:00,21.0,21.45,21.0,21.45,80,2008
71,2008-07-14 00:00:00,17.8,20.0,17.8,20.0,355,2008
72,2008-07-15 00:00:00,16.01,19.0,16.0,19.0,150,2008
73,2008-07-16 00:00:00,21.4,21.4,16.0,18.9,13879,2008
74,2008-07-17 00:00:00,16.0,18.5,16.0,18.5,4688,2008
75,2008-07-23 00:00:00,18.0,21.0,18.0,21.0,516,2008
76,2008-07-24 00:00:00,20.99,21.45,20.99,21.45,260,2008
