,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-04-10 00:00:00,2.03,2.03,1.07,1.56,393744,2008
1,2008-04-11 00:00:00,1.59,1.69,1.46,1.61,49634,2008
2,2008-04-14 00:00:00,1.66,1.66,1.53,1.61,20010,2008
3,2008-04-15 00:00:00,1.55,1.61,1.54,1.61,10281,2008
4,2008-04-16 00:00:00,1.54,1.6,1.44,1.6,12047,2008
5,2008-04-17 00:00:00,1.45,1.56,1.45,1.56,12664,2008
6,2008-04-18 00:00:00,1.52,1.6,1.52,1.6,21033,2008
7,2008-04-21 00:00:00,1.56,1.59,1.52,1.59,4034,2008
8,2008-04-22 00:00:00,1.56,1.58,1.49,1.53,13132,2008
9,2008-04-23 00:00:00,1.49,1.6,1.48,1.6,10962,2008
10,2008-04-24 00:00:00,1.59,1.59,1.59,1.59,1008,2008
11,2008-04-25 00:00:00,1.59,1.59,1.54,1.59,617,2008
12,2008-04-28 00:00:00,1.59,1.61,1.52,1.61,11003,2008
13,2008-04-29 00:00:00,1.61,1.62,1.54,1.62,10960,2008
14,2008-04-30 00:00:00,1.62,1.74,1.61,1.74,14460,2008
15,2008-05-05 00:00:00,1.78,2.06,1.62,2.05,92859,2008
16,2008-05-06 00:00:00,2.06,2.23,1.96,2.07,75753,2008
17,2008-05-07 00:00:00,2.1,2.1,1.89,1.98,48964,2008
18,2008-05-08 00:00:00,1.96,2.03,1.96,1.96,18800,2008
19,2008-05-09 00:00:00,1.96,2.0,1.96,2.0,5044,2008
20,2008-05-12 00:00:00,2.03,2.03,1.79,1.92,5784,2008
21,2008-05-14 00:00:00,1.81,1.97,1.7,1.97,11042,2008
22,2008-05-15 00:00:00,1.8,1.86,1.76,1.86,37245,2008
23,2008-05-16 00:00:00,1.92,1.92,1.76,1.89,24029,2008
24,2008-05-19 00:00:00,1.78,1.79,1.78,1.78,3883,2008
25,2008-05-20 00:00:00,1.78,1.83,1.7,1.83,2829,2008
