,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-12-03 00:00:00,11.15,11.56,9.1,9.78,124349,2012
1,2012-12-04 00:00:00,9.88,9.88,9.31,9.65,10241,2012
2,2012-12-05 00:00:00,9.73,9.73,9.08,9.55,20949,2012
3,2012-12-06 00:00:00,9.5,9.74,9.29,9.69,19890,2012
4,2012-12-07 00:00:00,9.72,9.72,9.5,9.62,6331,2012
5,2012-12-10 00:00:00,9.69,9.69,9.25,9.4,14400,2012
6,2012-12-11 00:00:00,9.71,10.0,9.5,10.0,21110,2012
7,2012-12-12 00:00:00,10.2,10.5,10.14,10.44,20706,2012
8,2012-12-13 00:00:00,10.5,10.69,10.42,10.6,27953,2012
9,2012-12-14 00:00:00,10.65,10.65,10.01,10.29,23747,2012
10,2012-12-17 00:00:00,10.33,10.33,9.9,10.1,19008,2012
11,2012-12-18 00:00:00,10.1,10.1,9.8,10.09,4629,2012
12,2012-12-19 00:00:00,10.3,10.4,9.37,9.67,27498,2012
13,2012-12-20 00:00:00,9.77,9.77,9.3,9.3,23959,2012
14,2012-12-21 00:00:00,9.66,9.66,8.92,9.55,17740,2012
15,2012-12-27 00:00:00,9.58,9.58,9.01,9.44,2581,2012
16,2012-12-28 00:00:00,9.5,9.5,9.1,9.47,6726,2012
17,2013-01-02 00:00:00,9.77,9.77,9.12,9.13,3785,2013
18,2013-01-03 00:00:00,9.5,9.5,9.11,9.11,12383,2013
19,2013-01-04 00:00:00,9.13,9.3,9.1,9.3,12058,2013
20,2013-01-07 00:00:00,9.25,9.39,9.25,9.35,569,2013
21,2013-01-08 00:00:00,9.35,9.67,9.35,9.6,9276,2013
22,2013-01-09 00:00:00,9.4,9.59,9.4,9.59,4044,2013
23,2013-01-10 00:00:00,9.6,9.66,9.37,9.59,6114,2013
24,2013-01-11 00:00:00,9.59,9.6,9.41,9.59,498,2013
25,2013-01-14 00:00:00,9.6,9.75,9.6,9.72,19999,2013
26,2013-01-15 00:00:00,9.72,9.72,9.61,9.7,1345,2013
27,2013-01-16 00:00:00,9.7,10.0,9.5,10.0,35818,2013
28,2013-01-17 00:00:00,9.99,10.49,9.99,10.49,15576,2013
29,2013-01-18 00:00:00,10.67,10.8,10.39,10.79,15084,2013
30,2013-01-21 00:00:00,10.8,11.63,10.8,11.5,85374,2013
31,2013-01-22 00:00:00,11.7,11.84,11.34,11.84,86715,2013
32,2013-01-23 00:00:00,11.99,12.44,11.85,11.99,67859,2013
33,2013-01-24 00:00:00,12.24,12.25,11.85,11.85,44363,2013
34,2013-01-25 00:00:00,11.8,11.9,11.5,11.86,125088,2013
35,2013-01-28 00:00:00,11.6,11.6,11.4,11.5,5799,2013
36,2013-01-29 00:00:00,11.5,11.5,11.33,11.43,1147,2013
37,2013-01-30 00:00:00,11.48,11.51,11.15,11.4,5263,2013
38,2013-01-31 00:00:00,11.3,11.4,11.01,11.3,50242,2013
39,2013-02-01 00:00:00,11.5,11.5,10.41,11.25,7394,2013
40,2013-02-04 00:00:00,11.28,11.55,11.0,11.02,15583,2013
41,2013-02-05 00:00:00,11.0,11.25,10.85,11.1,2429,2013
42,2013-02-06 00:00:00,11.24,11.24,10.5,10.5,16823,2013
43,2013-02-07 00:00:00,10.48,10.95,10.4,10.84,4519,2013
44,2013-02-08 00:00:00,10.91,10.97,10.9,10.97,874,2013
45,2013-02-11 00:00:00,10.97,11.6,10.71,11.6,41993,2013
46,2013-02-12 00:00:00,11.71,11.9,11.36,11.36,62546,2013
47,2013-02-13 00:00:00,11.5,11.58,10.61,11.0,13750,2013
48,2013-02-14 00:00:00,10.85,11.0,10.5,10.96,8253,2013
49,2013-02-15 00:00:00,10.96,11.0,10.55,10.96,9177,2013
50,2013-02-18 00:00:00,11.0,11.0,10.62,10.91,11036,2013
51,2013-02-19 00:00:00,10.64,10.64,9.9,10.02,14469,2013
52,2013-02-20 00:00:00,9.99,10.8,9.68,10.8,25694,2013
53,2013-02-21 00:00:00,10.7,10.95,10.7,10.9,623,2013
54,2013-02-22 00:00:00,10.97,10.99,10.89,10.89,407,2013
55,2013-02-25 00:00:00,10.89,10.89,10.89,10.89,129,2013
56,2013-02-26 00:00:00,10.7,11.05,10.29,11.0,15356,2013
57,2013-02-27 00:00:00,11.2,11.3,10.5,11.3,10361,2013
58,2013-02-28 00:00:00,11.42,11.42,11.0,11.37,5679,2013
59,2013-03-01 00:00:00,11.35,11.35,10.9,10.9,374,2013
60,2013-03-04 00:00:00,11.3,11.3,10.8,11.19,8366,2013
61,2013-03-05 00:00:00,11.19,11.19,10.8,11.19,224,2013
62,2013-03-06 00:00:00,11.19,11.19,10.82,11.15,649,2013
63,2013-03-07 00:00:00,11.0,11.15,10.8,11.13,9995,2013
64,2013-03-08 00:00:00,11.18,11.18,10.6,11.15,12791,2013
65,2013-03-11 00:00:00,11.18,11.18,10.95,11.15,2885,2013
66,2013-03-12 00:00:00,11.14,11.14,10.68,11.14,3285,2013
67,2013-03-13 00:00:00,11.08,11.08,11.08,11.08,2,2013
68,2013-03-14 00:00:00,11.07,11.07,10.68,10.99,3223,2013
69,2013-03-15 00:00:00,10.95,10.95,10.6,10.87,3200,2013
70,2013-03-18 00:00:00,10.9,10.9,10.0,10.68,22225,2013
71,2013-03-19 00:00:00,10.68,10.69,10.3,10.69,34536,2013
72,2013-03-20 00:00:00,10.8,10.8,10.25,10.77,1325,2013
73,2013-03-21 00:00:00,10.25,10.6,9.57,10.25,3956,2013
74,2013-03-22 00:00:00,9.9,10.29,9.7,10.0,7627,2013
75,2013-03-25 00:00:00,10.49,10.49,9.72,10.3,312,2013
76,2013-03-26 00:00:00,9.74,10.29,9.74,10.0,51011,2013
77,2013-03-27 00:00:00,10.0,10.29,10.0,10.29,454,2013
78,2013-03-28 00:00:00,10.39,10.97,10.0,10.97,15249,2013
79,2013-04-02 00:00:00,10.9,10.9,10.2,10.67,256,2013
80,2013-04-03 00:00:00,10.7,10.7,10.15,10.38,1672,2013
81,2013-04-04 00:00:00,10.16,10.25,10.16,10.16,806,2013
82,2013-04-05 00:00:00,10.0,10.0,9.76,9.99,2760,2013
83,2013-04-08 00:00:00,9.99,10.15,9.52,10.15,11187,2013
84,2013-04-09 00:00:00,10.7,10.7,10.7,10.7,2,2013
85,2013-04-10 00:00:00,10.56,10.56,10.55,10.55,800,2013
86,2013-04-11 00:00:00,10.3,10.3,10.29,10.29,2100,2013
87,2013-04-12 00:00:00,10.3,10.3,9.92,10.16,549,2013
88,2013-04-15 00:00:00,10.5,10.5,10.04,10.04,78,2013
89,2013-04-17 00:00:00,10.04,10.04,9.5,10.0,226,2013
