,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-07-30 00:00:00,14.0,16.8,13.99,16.5,8463,2018
1,2018-07-31 00:00:00,17.9,17.9,13.1,13.31,1882,2018
2,2018-08-01 00:00:00,14.95,15.3,11.96,15.3,1278,2018
3,2018-08-02 00:00:00,15.49,17.9,13.5,13.6,490,2018
4,2018-08-03 00:00:00,13.5,14.0,13.0,13.6,362,2018
5,2018-08-06 00:00:00,13.7,15.9,13.0,14.0,1183,2018
6,2018-08-07 00:00:00,12.9,15.0,12.9,15.0,143,2018
7,2018-08-08 00:00:00,14.95,15.65,14.95,15.65,88,2018
8,2018-08-09 00:00:00,14.3,16.35,12.6,13.8,1194,2018
9,2018-08-10 00:00:00,14.4,14.4,14.4,14.4,1,2018
10,2018-08-13 00:00:00,14.4,14.5,14.4,14.5,99,2018
11,2018-08-14 00:00:00,14.0,14.0,13.5,13.5,450,2018
12,2018-08-16 00:00:00,13.0,13.0,11.0,11.02,394,2018
13,2018-08-17 00:00:00,12.4,12.5,12.4,12.5,209,2018
14,2018-08-20 00:00:00,13.0,13.0,13.0,13.0,100,2018
15,2018-08-22 00:00:00,12.01,12.01,10.8,10.8,145,2018
16,2018-08-23 00:00:00,10.9,10.9,10.9,10.9,2,2018
17,2018-08-27 00:00:00,11.5,11.8,11.5,11.8,161,2018
18,2018-08-29 00:00:00,12.0,12.0,12.0,12.0,15,2018
19,2018-08-31 00:00:00,12.0,12.0,12.0,12.0,83,2018
20,2018-09-03 00:00:00,11.8,11.8,10.8,10.8,281,2018
21,2018-09-04 00:00:00,11.05,11.5,10.0,11.5,700,2018
22,2018-09-05 00:00:00,11.4,11.4,10.0,10.5,422,2018
23,2018-09-06 00:00:00,9.8,10.1,9.5,9.5,551,2018
24,2018-09-07 00:00:00,9.4,9.56,9.4,9.56,121,2018
25,2018-09-10 00:00:00,9.56,9.56,8.9,9.0,180,2018
26,2018-09-11 00:00:00,8.5,8.5,8.0,8.5,315,2018
27,2018-09-12 00:00:00,8.48,8.48,8.48,8.48,117,2018
28,2018-09-13 00:00:00,8.4,8.4,8.21,8.21,110,2018
29,2018-09-14 00:00:00,8.8,8.8,8.8,8.8,4,2018
30,2018-09-17 00:00:00,8.8,8.8,8.8,8.8,36,2018
31,2018-09-18 00:00:00,8.8,10.0,8.8,10.0,125,2018
32,2018-09-19 00:00:00,9.5,9.5,8.8,8.81,330,2018
33,2018-09-21 00:00:00,9.98,9.98,9.98,9.98,5,2018
34,2018-09-24 00:00:00,9.31,9.31,9.31,9.31,175,2018
35,2018-09-27 00:00:00,9.31,9.31,9.31,9.31,188,2018
36,2018-09-28 00:00:00,9.3,9.66,9.3,9.66,99,2018
37,2018-10-16 00:00:00,9.66,9.66,9.66,9.66,102,2018
38,2018-10-18 00:00:00,9.6,9.6,9.6,9.6,30,2018
39,2018-10-23 00:00:00,10.0,10.32,10.0,10.32,9,2018
40,2018-10-25 00:00:00,10.4,10.95,10.4,10.95,63,2018
41,2018-10-26 00:00:00,10.2,11.0,10.2,11.0,21,2018
42,2018-10-29 00:00:00,10.95,10.95,10.2,10.2,102,2018
43,2018-10-30 00:00:00,10.2,10.2,10.0,10.0,15,2018
44,2018-10-31 00:00:00,9.7,10.32,9.7,10.32,14,2018
45,2018-11-05 00:00:00,9.6,9.6,9.6,9.6,40,2018
46,2018-11-08 00:00:00,9.5,9.5,8.0,9.0,270,2018
47,2018-11-09 00:00:00,8.5,9.0,7.2,9.0,449,2018
48,2018-11-13 00:00:00,9.0,9.12,9.0,9.12,30,2018
