,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-07-20 00:00:00,35.0,35.0,30.0,30.0,3255,2011
1,2011-07-21 00:00:00,30.0,30.0,30.0,30.0,100,2011
2,2011-07-22 00:00:00,33.39,33.39,33.0,33.0,17,2011
3,2011-07-29 00:00:00,29.5,33.08,29.5,33.08,19,2011
4,2011-08-10 00:00:00,25.1,25.1,25.1,25.1,100,2011
5,2011-08-11 00:00:00,30.0,30.0,30.0,30.0,10,2011
6,2011-08-31 00:00:00,32.0,33.0,32.0,33.0,36,2011
7,2011-09-29 00:00:00,33.0,33.0,33.0,33.0,10,2011
8,2011-10-24 00:00:00,33.0,33.0,33.0,33.0,5,2011
9,2011-10-25 00:00:00,22.0,32.8,22.0,32.8,325,2011
10,2011-10-26 00:00:00,31.0,33.0,22.4,33.0,456,2011
11,2011-10-27 00:00:00,26.4,31.99,26.4,31.99,51,2011
12,2011-10-28 00:00:00,25.6,34.0,25.6,34.0,65,2011
13,2011-11-03 00:00:00,26.1,26.1,26.1,26.1,40,2011
14,2011-11-21 00:00:00,24.8,24.8,24.8,24.8,100,2011
15,2011-11-22 00:00:00,29.0,29.0,29.0,29.0,50,2011
16,2011-11-23 00:00:00,32.0,32.0,32.0,32.0,1,2011
17,2011-12-30 00:00:00,27.0,32.0,27.0,32.0,4010,2011
18,2012-02-02 00:00:00,29.4,29.4,29.4,29.4,1,2012
19,2012-03-27 00:00:00,23.52,23.52,22.8,22.8,200,2012
20,2012-03-29 00:00:00,24.0,24.0,24.0,24.0,1,2012
21,2012-04-18 00:00:00,19.5,24.0,19.5,23.0,204,2012
22,2012-05-04 00:00:00,21.5,21.5,21.5,21.5,62,2012
23,2012-05-18 00:00:00,19.05,19.05,19.05,19.05,135,2012
24,2012-05-25 00:00:00,19.99,19.99,19.99,19.99,35,2012
25,2012-05-31 00:00:00,19.5,19.5,19.5,19.5,100,2012
26,2012-06-29 00:00:00,17.0,19.9,17.0,19.9,11457,2012
27,2012-08-07 00:00:00,16.6,16.6,16.6,16.6,92,2012
28,2012-11-13 00:00:00,15.5,18.3,15.5,18.3,400,2012
29,2012-11-14 00:00:00,15.0,19.8,15.0,19.8,655,2012
30,2012-11-23 00:00:00,19.8,19.9,19.8,19.9,798,2012
31,2012-11-28 00:00:00,19.0,20.4,17.09,20.4,272,2012
32,2012-12-10 00:00:00,17.9,20.73,17.9,20.73,913,2012
