,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2018-06-26 00:00:00,1.99,1.99,1.73,1.73,221427,2018
1,2018-06-27 00:00:00,1.7,1.72,1.4,1.52,45731,2018
2,2018-06-28 00:00:00,1.54,1.54,1.45,1.52,19976,2018
3,2018-06-29 00:00:00,1.46,1.46,1.36,1.4,15281,2018
4,2018-07-02 00:00:00,1.49,1.5,1.36,1.4,1842,2018
5,2018-07-03 00:00:00,1.33,1.44,1.2,1.36,7471,2018
6,2018-07-04 00:00:00,1.32,1.44,1.26,1.44,1316,2018
7,2018-07-05 00:00:00,1.49,1.49,1.32,1.49,11548,2018
8,2018-07-06 00:00:00,1.48,1.48,1.4,1.45,7005,2018
9,2018-07-09 00:00:00,1.35,1.45,1.35,1.4,9810,2018
10,2018-07-10 00:00:00,1.45,1.45,1.3,1.36,3469,2018
11,2018-07-11 00:00:00,1.35,1.38,1.2,1.29,28179,2018
12,2018-07-12 00:00:00,1.2,1.27,1.1,1.26,12030,2018
13,2018-07-13 00:00:00,1.25,1.3,1.15,1.3,4486,2018
14,2018-07-16 00:00:00,1.48,1.48,1.44,1.44,7754,2018
15,2018-07-17 00:00:00,1.39,1.58,1.39,1.58,37322,2018
16,2018-07-18 00:00:00,1.5,1.59,1.48,1.59,23765,2018
17,2018-07-19 00:00:00,1.51,1.56,1.25,1.55,11255,2018
18,2018-07-20 00:00:00,1.55,1.57,1.42,1.55,18113,2018
19,2018-07-23 00:00:00,1.5,1.5,1.31,1.49,2192,2018
20,2018-07-24 00:00:00,1.49,1.49,1.49,1.49,1,2018
21,2018-07-25 00:00:00,1.42,1.42,1.39,1.42,5515,2018
22,2018-07-26 00:00:00,1.41,1.51,1.41,1.51,2204,2018
23,2018-07-27 00:00:00,1.4,1.43,1.4,1.43,3051,2018
24,2018-07-30 00:00:00,1.43,1.49,1.39,1.46,2654,2018
25,2018-07-31 00:00:00,1.47,1.47,1.39,1.46,4101,2018
26,2018-08-01 00:00:00,1.46,1.5,1.42,1.5,3509,2018
27,2018-08-02 00:00:00,1.46,1.5,1.44,1.5,797,2018
28,2018-08-03 00:00:00,1.49,1.5,1.49,1.5,11,2018
29,2018-08-06 00:00:00,1.41,1.49,1.35,1.43,2894,2018
30,2018-08-07 00:00:00,1.43,1.43,1.36,1.43,816,2018
31,2018-08-08 00:00:00,1.41,1.54,1.35,1.54,1761,2018
32,2018-08-09 00:00:00,1.54,1.54,1.49,1.51,5235,2018
33,2018-08-10 00:00:00,1.54,1.74,1.52,1.55,8469,2018
34,2018-08-13 00:00:00,1.55,1.55,1.52,1.52,815,2018
35,2018-08-14 00:00:00,1.51,1.66,1.5,1.64,10269,2018
36,2018-08-16 00:00:00,1.52,1.52,1.4,1.52,1860,2018
37,2018-08-17 00:00:00,1.46,1.52,1.46,1.52,258,2018
38,2018-08-20 00:00:00,1.5,1.5,1.5,1.5,2050,2018
39,2018-08-21 00:00:00,1.44,1.55,1.41,1.55,11287,2018
40,2018-08-22 00:00:00,1.55,1.55,1.41,1.41,2079,2018
41,2018-08-23 00:00:00,1.54,1.55,1.48,1.52,689,2018
42,2018-08-24 00:00:00,1.5,1.52,1.47,1.52,951,2018
43,2018-08-27 00:00:00,1.52,1.52,1.51,1.52,61,2018
44,2018-08-28 00:00:00,1.47,1.48,1.38,1.48,1725,2018
45,2018-08-29 00:00:00,1.48,1.48,1.48,1.48,1000,2018
