,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2020-08-18 00:00:00,87.3,104.7,85.1,104.7,120463,2020
1,2020-08-19 00:00:00,109.0,150.0,109.0,140.0,76910,2020
2,2020-08-20 00:00:00,147.8,174.5,135.0,146.0,71080,2020
3,2020-08-21 00:00:00,149.0,152.0,119.22,128.0,54109,2020
4,2020-08-24 00:00:00,127.0,127.0,81.03,84.03,120983,2020
5,2020-08-25 00:00:00,80.4,97.9,75.0,79.1,80030,2020
6,2020-08-26 00:00:00,81.2,86.6,78.4,79.99,19706,2020
7,2020-08-27 00:00:00,80.0,82.0,71.5,74.61,23646,2020
8,2020-08-28 00:00:00,77.79,77.79,71.02,71.61,11208,2020
9,2020-08-31 00:00:00,72.5,77.59,72.5,73.9,5027,2020
10,2020-09-01 00:00:00,74.9,74.99,69.9,72.8,5752,2020
11,2020-09-02 00:00:00,72.0,76.99,65.02,75.01,13887,2020
12,2020-09-03 00:00:00,76.1,86.0,75.0,75.0,18668,2020
13,2020-09-04 00:00:00,73.23,80.0,73.23,76.8,5455,2020
14,2020-09-07 00:00:00,77.4,82.4,76.1,78.49,4709,2020
15,2020-09-08 00:00:00,78.49,78.49,66.0,74.3,20534,2020
16,2020-09-09 00:00:00,74.0,77.5,73.0,76.5,4130,2020
17,2020-09-10 00:00:00,77.0,77.0,75.0,76.8,1464,2020
18,2020-09-11 00:00:00,76.8,79.4,76.4,79.4,1976,2020
19,2020-09-14 00:00:00,79.0,79.04,75.5,77.0,861,2020
20,2020-09-15 00:00:00,77.0,77.0,73.21,75.0,1870,2020
21,2020-09-16 00:00:00,73.5,74.8,72.1,73.5,1859,2020
22,2020-09-17 00:00:00,72.2,72.39,70.0,72.39,1517,2020
23,2020-09-18 00:00:00,72.99,76.0,72.99,75.0,2435,2020
24,2020-09-21 00:00:00,75.48,75.48,70.5,70.6,875,2020
25,2020-09-22 00:00:00,71.0,74.49,67.02,73.98,4263,2020
26,2020-09-23 00:00:00,73.97,73.97,69.22,71.29,3282,2020
27,2020-09-24 00:00:00,69.1,72.0,67.0,69.0,5697,2020
