,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2013-06-04 00:00:00,2.0,2.0,2.0,2.0,1000,2013
1,2013-06-05 00:00:00,2.4,2.5,1.92,1.92,12461,2013
2,2013-06-06 00:00:00,1.7,1.7,1.4,1.46,5752,2013
3,2013-06-07 00:00:00,1.45,1.45,1.32,1.4,2592,2013
4,2013-06-10 00:00:00,1.3,1.32,1.26,1.32,3137,2013
5,2013-06-11 00:00:00,1.26,1.3,1.25,1.3,1482,2013
6,2013-06-12 00:00:00,1.2,1.2,1.19,1.2,2610,2013
7,2013-06-13 00:00:00,1.2,1.2,1.2,1.2,132,2013
8,2013-06-19 00:00:00,1.25,1.25,1.25,1.25,310,2013
9,2013-06-20 00:00:00,1.25,1.25,1.25,1.25,60,2013
10,2013-06-21 00:00:00,1.27,1.27,1.22,1.22,2830,2013
11,2013-06-24 00:00:00,1.27,1.27,1.27,1.27,390,2013
12,2013-06-27 00:00:00,1.37,1.37,1.37,1.37,196,2013
13,2013-06-28 00:00:00,1.39,1.39,1.39,1.39,400,2013
14,2013-07-01 00:00:00,1.48,1.63,1.43,1.63,3792,2013
15,2013-07-02 00:00:00,1.63,1.92,1.63,1.9,1836,2013
16,2013-07-03 00:00:00,2.28,2.4,2.21,2.3,11157,2013
17,2013-07-04 00:00:00,2.36,2.5,2.36,2.46,11748,2013
18,2013-07-05 00:00:00,2.32,2.32,1.95,2.2,1200,2013
19,2013-07-08 00:00:00,2.1,2.23,2.0,2.23,1986,2013
20,2013-07-09 00:00:00,2.32,2.45,2.32,2.39,9933,2013
21,2013-07-10 00:00:00,2.43,2.5,2.43,2.5,4519,2013
22,2013-07-11 00:00:00,2.4,2.5,2.14,2.17,12069,2013
23,2013-07-12 00:00:00,2.31,2.31,2.27,2.27,1524,2013
24,2013-07-15 00:00:00,2.2,2.2,2.0,2.12,5446,2013
25,2013-07-16 00:00:00,1.99,2.15,1.99,2.15,4083,2013
26,2013-07-17 00:00:00,2.2,2.2,2.2,2.2,1196,2013
27,2013-07-18 00:00:00,2.13,2.13,2.13,2.13,700,2013
28,2013-07-22 00:00:00,2.04,2.04,2.04,2.04,736,2013
29,2013-07-23 00:00:00,2.05,2.05,1.98,1.98,3400,2013
30,2013-07-26 00:00:00,2.03,2.05,2.03,2.05,250,2013
31,2013-07-29 00:00:00,2.05,2.06,2.05,2.06,713,2013
32,2013-07-30 00:00:00,1.98,1.98,1.85,1.85,1058,2013
33,2013-07-31 00:00:00,1.95,1.95,1.95,1.95,35,2013
34,2013-08-01 00:00:00,1.95,1.95,1.95,1.95,512,2013
35,2013-08-05 00:00:00,1.9,1.9,1.78,1.78,1113,2013
36,2013-08-06 00:00:00,1.72,1.72,1.72,1.72,700,2013
37,2013-08-07 00:00:00,1.71,1.71,1.71,1.71,800,2013
38,2013-08-12 00:00:00,1.74,1.74,1.74,1.74,46,2013
39,2013-08-16 00:00:00,1.6,1.6,1.6,1.6,900,2013
40,2013-08-20 00:00:00,1.35,1.5,1.35,1.49,6962,2013
41,2013-08-26 00:00:00,1.36,1.49,1.36,1.49,6862,2013
42,2013-09-10 00:00:00,1.55,1.55,1.55,1.55,968,2013
43,2013-09-11 00:00:00,1.67,1.75,1.67,1.75,1163,2013
44,2013-09-12 00:00:00,1.7,1.7,1.7,1.7,1500,2013
45,2013-09-16 00:00:00,1.7,1.7,1.7,1.7,232,2013
46,2013-09-17 00:00:00,1.68,1.68,1.68,1.68,700,2013
47,2013-09-18 00:00:00,1.58,1.58,1.56,1.56,1000,2013
48,2013-09-23 00:00:00,1.47,1.48,1.47,1.47,982,2013
49,2013-09-24 00:00:00,1.47,1.47,1.46,1.46,4186,2013
50,2013-10-01 00:00:00,1.38,1.38,1.38,1.38,500,2013
51,2013-10-07 00:00:00,1.31,1.31,1.31,1.31,1100,2013
52,2013-10-08 00:00:00,1.32,1.32,1.32,1.32,700,2013
53,2013-10-31 00:00:00,1.3,1.3,1.25,1.25,27500,2013
54,2013-11-04 00:00:00,1.24,1.24,1.22,1.22,1000,2013
55,2013-11-05 00:00:00,1.21,1.21,1.2,1.2,2000,2013
56,2013-11-06 00:00:00,1.2,1.2,1.2,1.2,1000,2013
57,2013-11-12 00:00:00,1.22,1.34,1.22,1.34,1240,2013
58,2013-11-14 00:00:00,1.34,1.34,1.34,1.34,143,2013
59,2013-11-22 00:00:00,1.2,1.2,1.2,1.2,1250,2013
60,2013-11-25 00:00:00,1.25,1.25,1.25,1.25,1200,2013
61,2013-11-27 00:00:00,1.22,1.34,1.2,1.34,1005,2013
62,2013-11-28 00:00:00,2.35,2.35,2.35,2.35,21555,2013
63,2013-11-29 00:00:00,2.34,2.34,1.88,2.01,28795,2013
64,2013-12-02 00:00:00,2.0,2.03,1.95,1.95,3920,2013
65,2013-12-03 00:00:00,1.92,1.92,1.91,1.91,14062,2013
66,2013-12-04 00:00:00,1.92,1.92,1.59,1.59,2912,2013
67,2013-12-05 00:00:00,1.67,1.89,1.67,1.85,3121,2013
68,2013-12-06 00:00:00,1.89,1.89,1.85,1.85,3488,2013
69,2013-12-09 00:00:00,2.0,2.0,1.99,2.0,6000,2013
70,2013-12-10 00:00:00,2.0,2.0,1.95,1.95,3087,2013
71,2013-12-11 00:00:00,1.95,1.95,1.9,1.9,14790,2013
72,2013-12-12 00:00:00,1.85,1.99,1.85,1.85,10964,2013
73,2013-12-16 00:00:00,1.93,1.99,1.9,1.9,6849,2013
74,2013-12-17 00:00:00,1.9,1.9,1.83,1.83,22290,2013
75,2013-12-18 00:00:00,1.94,1.94,1.92,1.92,3898,2013
76,2013-12-19 00:00:00,1.93,1.93,1.83,1.92,640,2013
77,2013-12-20 00:00:00,1.85,1.85,1.75,1.82,7525,2013
78,2013-12-23 00:00:00,1.82,1.84,1.82,1.84,1047,2013
79,2013-12-30 00:00:00,1.82,1.82,1.8,1.8,3300,2013
80,2014-01-02 00:00:00,1.8,1.8,1.8,1.8,1400,2014
81,2014-01-03 00:00:00,1.8,1.8,1.8,1.8,5416,2014
82,2014-01-07 00:00:00,1.75,1.75,1.75,1.75,500,2014
83,2014-01-10 00:00:00,1.75,1.75,1.75,1.75,700,2014
84,2014-01-13 00:00:00,1.69,1.69,1.69,1.69,1190,2014
85,2014-01-14 00:00:00,1.62,1.73,1.62,1.73,2200,2014
86,2014-01-16 00:00:00,1.72,1.72,1.72,1.72,200,2014
87,2014-01-20 00:00:00,1.62,1.62,1.58,1.58,4426,2014
88,2014-01-21 00:00:00,1.58,1.58,1.5,1.57,3066,2014
89,2014-01-22 00:00:00,1.5,1.57,1.5,1.52,1962,2014
90,2014-01-23 00:00:00,1.55,1.65,1.51,1.65,1069,2014
91,2014-01-28 00:00:00,1.63,1.63,1.63,1.63,340,2014
92,2014-01-29 00:00:00,1.58,1.58,1.58,1.58,500,2014
93,2014-01-30 00:00:00,1.63,1.74,1.6,1.6,2040,2014
94,2014-01-31 00:00:00,1.75,1.75,1.69,1.69,12326,2014
95,2014-02-03 00:00:00,1.63,1.7,1.6,1.62,39429,2014
96,2014-02-04 00:00:00,1.6,1.6,1.6,1.6,1539,2014
97,2014-02-05 00:00:00,1.58,1.58,1.58,1.58,950,2014
98,2014-02-06 00:00:00,1.6,1.65,1.5,1.65,2340,2014
99,2014-02-07 00:00:00,1.58,1.58,1.56,1.56,33010,2014
100,2014-02-10 00:00:00,1.64,1.64,1.51,1.55,3691,2014
101,2014-02-11 00:00:00,1.64,1.64,1.64,1.64,1,2014
102,2014-02-13 00:00:00,1.51,1.65,1.51,1.64,44420,2014
103,2014-02-14 00:00:00,1.64,1.65,1.53,1.53,5282,2014
104,2014-02-17 00:00:00,1.65,1.65,1.55,1.59,4024,2014
105,2014-02-18 00:00:00,1.54,1.59,1.51,1.59,3755,2014
106,2014-02-19 00:00:00,1.59,1.65,1.59,1.59,1448,2014
107,2014-02-20 00:00:00,1.55,1.55,1.45,1.45,4544,2014
108,2014-02-21 00:00:00,1.54,1.54,1.54,1.54,100,2014
109,2014-02-24 00:00:00,1.54,1.54,1.54,1.54,203,2014
110,2014-02-25 00:00:00,1.54,1.54,1.54,1.54,303,2014
111,2014-02-26 00:00:00,1.54,1.55,1.5,1.5,2104,2014
112,2014-02-27 00:00:00,1.54,1.54,1.54,1.54,4,2014
113,2014-02-28 00:00:00,1.55,1.55,1.55,1.55,249,2014
114,2014-03-03 00:00:00,1.54,1.54,1.41,1.48,5164,2014
115,2014-03-04 00:00:00,1.5,1.5,1.35,1.47,2453,2014
116,2014-03-05 00:00:00,1.37,1.37,1.37,1.37,3,2014
117,2014-03-06 00:00:00,1.47,1.47,1.47,1.47,1,2014
118,2014-03-07 00:00:00,1.47,1.47,1.35,1.46,1985,2014
119,2014-03-10 00:00:00,1.46,1.46,1.4,1.45,2921,2014
120,2014-03-11 00:00:00,1.46,1.46,1.33,1.44,12847,2014
121,2014-03-12 00:00:00,1.44,1.44,1.44,1.44,10,2014
