,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-04-26 00:00:00,300.0,300.0,176.0,176.0,234,2012
1,2012-04-27 00:00:00,176.0,193.0,142.0,160.0,53,2012
2,2012-04-30 00:00:00,159.0,159.0,128.0,149.0,36,2012
3,2012-05-02 00:00:00,149.0,149.0,120.0,149.0,9,2012
4,2012-05-04 00:00:00,145.0,160.0,120.0,150.0,27,2012
5,2012-05-07 00:00:00,150.0,150.0,149.0,149.0,12,2012
6,2012-05-08 00:00:00,149.0,150.0,149.0,150.0,11,2012
7,2012-05-09 00:00:00,140.0,144.0,130.0,144.0,24,2012
8,2012-05-10 00:00:00,130.0,140.0,125.0,140.0,24,2012
9,2012-05-14 00:00:00,125.0,125.0,125.0,125.0,4,2012
10,2012-05-15 00:00:00,118.0,127.0,118.0,127.0,1,2012
11,2012-05-16 00:00:00,117.0,125.0,115.0,125.0,26,2012
12,2012-05-18 00:00:00,113.0,113.0,100.0,110.0,28,2012
13,2012-05-28 00:00:00,90.0,100.0,90.0,100.0,1,2012
14,2012-05-29 00:00:00,90.0,100.0,80.0,100.0,66,2012
15,2012-06-01 00:00:00,99.0,99.0,99.0,99.0,17,2012
16,2012-06-06 00:00:00,95.0,95.0,95.0,95.0,1,2012
17,2012-06-12 00:00:00,100.0,100.0,100.0,100.0,1,2012
18,2012-06-14 00:00:00,105.0,105.0,105.0,105.0,3,2012
19,2012-06-15 00:00:00,108.0,126.0,108.0,126.0,29,2012
20,2012-06-18 00:00:00,130.0,149.0,130.0,135.0,4,2012
21,2012-06-20 00:00:00,135.0,143.0,135.0,143.0,6,2012
22,2012-06-21 00:00:00,143.0,143.0,120.0,120.0,2,2012
23,2012-06-22 00:00:00,120.0,120.0,120.0,120.0,0,2012
24,2012-06-25 00:00:00,120.0,120.0,120.0,120.0,0,2012
25,2012-06-26 00:00:00,120.0,120.0,120.0,120.0,0,2012
26,2012-06-27 00:00:00,120.0,120.0,112.0,119.0,9,2012
27,2012-06-28 00:00:00,118.0,118.0,107.0,107.0,15,2012
28,2012-06-29 00:00:00,105.0,105.0,90.0,90.0,20,2012
29,2012-07-02 00:00:00,85.0,85.0,50.0,50.0,88,2012
30,2012-07-03 00:00:00,52.0,57.0,50.0,50.0,39,2012
31,2012-07-04 00:00:00,50.0,56.0,40.0,40.0,78,2012
32,2012-07-09 00:00:00,40.0,40.0,40.0,40.0,1,2012
33,2012-07-17 00:00:00,42.0,43.0,42.0,43.0,36,2012
34,2012-07-18 00:00:00,45.0,48.0,45.0,48.0,1,2012
35,2012-07-19 00:00:00,48.0,60.0,48.0,60.0,5,2012
36,2012-07-20 00:00:00,60.0,60.0,60.0,60.0,2,2012
37,2012-07-23 00:00:00,59.0,59.0,51.0,51.0,30,2012
38,2012-07-25 00:00:00,52.0,52.0,52.0,52.0,1,2012
39,2012-07-26 00:00:00,48.0,48.0,45.0,48.0,61,2012
40,2012-07-30 00:00:00,45.0,45.0,41.0,41.0,25,2012
41,2012-08-01 00:00:00,40.0,40.0,40.0,40.0,1,2012
42,2012-08-02 00:00:00,40.0,40.0,40.0,40.0,1,2012
43,2012-08-03 00:00:00,40.0,40.0,40.0,40.0,1,2012
44,2012-08-06 00:00:00,40.0,40.0,40.0,40.0,13,2012
45,2012-08-16 00:00:00,38.0,38.0,35.0,35.0,7,2012
46,2012-08-27 00:00:00,35.0,38.0,28.0,33.0,117,2012
47,2012-08-28 00:00:00,35.0,35.0,29.0,29.0,15,2012
48,2012-08-29 00:00:00,32.0,32.0,28.0,28.0,9,2012
49,2012-08-31 00:00:00,29.0,30.0,23.0,24.0,91,2012
50,2012-09-04 00:00:00,28.0,28.0,28.0,28.0,0,2012
51,2012-09-05 00:00:00,30.0,39.0,27.0,32.0,77,2012
52,2012-09-06 00:00:00,33.0,33.0,32.0,32.0,6,2012
53,2012-09-07 00:00:00,35.0,38.0,34.0,38.0,53,2012
54,2012-09-10 00:00:00,40.0,45.0,35.0,45.0,29,2012
