,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2016-11-08 00:00:00,5.52,6.2,4.55,4.55,3542,2016
1,2016-11-09 00:00:00,5.0,5.78,4.5,4.5,1213,2016
2,2016-11-10 00:00:00,5.39,5.39,4.9,4.99,123,2016
3,2016-11-14 00:00:00,4.21,4.4,4.01,4.05,12546,2016
4,2016-11-15 00:00:00,4.04,4.04,3.6,3.8,450,2016
5,2016-11-16 00:00:00,3.8,4.5,3.8,4.4,464,2016
6,2016-11-17 00:00:00,4.3,4.3,4.0,4.0,170,2016
7,2016-11-21 00:00:00,3.8,5.0,3.5,4.7,661,2016
8,2016-11-22 00:00:00,4.4,5.28,4.2,4.5,857,2016
9,2016-11-23 00:00:00,5.38,5.8,4.9,5.79,985,2016
10,2016-11-24 00:00:00,6.0,7.2,5.36,7.2,1309,2016
11,2016-11-28 00:00:00,8.0,8.0,8.0,8.0,520,2016
12,2016-11-30 00:00:00,10.0,12.0,10.0,12.0,1534,2016
13,2016-12-01 00:00:00,12.22,17.59,12.22,15.8,934,2016
14,2016-12-02 00:00:00,17.49,17.49,15.2,17.48,446,2016
15,2016-12-05 00:00:00,15.0,15.0,10.0,10.0,923,2016
16,2016-12-06 00:00:00,10.0,12.0,10.0,10.5,333,2016
17,2016-12-07 00:00:00,11.0,11.0,8.0,10.0,1151,2016
18,2016-12-08 00:00:00,9.5,10.99,9.0,9.0,597,2016
19,2016-12-09 00:00:00,10.0,10.5,10.0,10.5,20,2016
20,2016-12-12 00:00:00,10.5,10.5,8.4,8.4,353,2016
21,2016-12-13 00:00:00,8.4,8.4,8.39,8.39,86,2016
22,2016-12-14 00:00:00,8.4,8.4,7.0,7.0,36,2016
23,2016-12-15 00:00:00,7.0,7.0,5.71,5.71,3502,2016
24,2016-12-16 00:00:00,5.99,7.18,5.98,7.18,162,2016
25,2016-12-19 00:00:00,7.6,9.0,7.6,8.4,505,2016
26,2016-12-20 00:00:00,8.9,9.95,8.1,9.95,88,2016
27,2016-12-21 00:00:00,10.0,10.4,8.45,8.45,614,2016
28,2016-12-22 00:00:00,7.2,8.6,7.2,7.5,422,2016
29,2016-12-23 00:00:00,7.3,7.54,6.0,7.1,714,2016
30,2016-12-27 00:00:00,7.4,8.0,6.71,6.71,441,2016
31,2016-12-28 00:00:00,7.0,7.0,6.49,6.5,366,2016
32,2016-12-29 00:00:00,6.05,6.1,5.51,6.1,786,2016
33,2016-12-30 00:00:00,5.5,6.5,5.5,6.5,723,2016
34,2017-01-02 00:00:00,6.3,6.3,5.3,5.3,846,2017
35,2017-01-03 00:00:00,5.85,5.85,5.62,5.62,321,2017
36,2017-01-04 00:00:00,5.9,6.0,5.9,6.0,7,2017
37,2017-01-05 00:00:00,5.75,6.0,5.7,5.7,2615,2017
38,2017-01-09 00:00:00,6.0,6.0,6.0,6.0,200,2017
39,2017-01-10 00:00:00,5.72,6.33,5.72,5.97,384,2017
40,2017-01-12 00:00:00,6.0,6.35,6.0,6.35,63,2017
41,2017-01-13 00:00:00,6.0,6.14,5.94,6.14,281,2017
42,2017-01-16 00:00:00,6.14,6.14,5.93,5.93,50,2017
43,2017-01-17 00:00:00,5.93,5.93,5.73,5.89,412,2017
44,2017-01-18 00:00:00,6.0,6.0,6.0,6.0,344,2017
45,2017-01-19 00:00:00,6.0,6.0,6.0,6.0,3,2017
46,2017-01-20 00:00:00,6.0,6.0,6.0,6.0,2,2017
47,2017-01-23 00:00:00,6.0,6.0,5.72,5.72,248,2017
48,2017-01-24 00:00:00,5.72,5.72,5.69,5.69,325,2017
49,2017-01-25 00:00:00,5.69,5.69,5.6,5.6,201,2017
50,2017-01-26 00:00:00,5.5,5.5,5.37,5.37,395,2017
51,2017-01-30 00:00:00,5.4,5.4,5.4,5.4,23,2017
52,2017-01-31 00:00:00,5.3,5.3,4.4,5.1,614,2017
53,2017-02-01 00:00:00,4.4,5.2,4.4,5.2,105,2017
54,2017-02-03 00:00:00,4.99,5.08,4.99,5.08,343,2017
55,2017-02-06 00:00:00,5.34,5.82,5.34,5.82,397,2017
56,2017-02-07 00:00:00,6.02,6.49,5.87,6.15,983,2017
57,2017-02-08 00:00:00,6.2,6.41,6.2,6.41,265,2017
58,2017-02-09 00:00:00,6.5,8.2,6.5,8.2,829,2017
59,2017-02-10 00:00:00,8.21,9.85,6.57,7.2,1300,2017
60,2017-02-13 00:00:00,7.2,7.2,5.81,5.84,561,2017
61,2017-02-14 00:00:00,6.3,6.3,5.9,5.9,373,2017
62,2017-02-16 00:00:00,5.9,5.91,5.8,5.91,250,2017
63,2017-02-17 00:00:00,6.0,7.2,6.0,7.2,1078,2017
64,2017-02-20 00:00:00,6.5,7.52,6.45,7.0,1128,2017
65,2017-02-21 00:00:00,6.7,8.0,6.5,7.8,846,2017
66,2017-02-22 00:00:00,7.31,7.31,7.31,7.31,20,2017
67,2017-02-23 00:00:00,7.31,7.31,7.31,7.31,2,2017
68,2017-02-24 00:00:00,7.31,7.31,6.8,6.8,135,2017
69,2017-02-27 00:00:00,6.8,6.8,6.8,6.8,33,2017
70,2017-02-28 00:00:00,6.87,6.99,6.87,6.99,522,2017
71,2017-03-01 00:00:00,6.99,6.99,6.4,6.6,313,2017
72,2017-03-02 00:00:00,6.45,6.55,6.45,6.45,133,2017
73,2017-03-03 00:00:00,6.4,6.4,6.4,6.4,13,2017
74,2017-03-06 00:00:00,6.2,6.35,6.2,6.35,111,2017
75,2017-03-07 00:00:00,6.35,7.0,6.2,7.0,676,2017
76,2017-03-08 00:00:00,6.63,6.99,6.63,6.99,223,2017
77,2017-03-09 00:00:00,6.99,6.99,5.7,6.35,1173,2017
78,2017-03-10 00:00:00,6.35,7.58,6.35,7.5,693,2017
79,2017-03-13 00:00:00,7.5,7.5,6.5,6.5,489,2017
80,2017-03-14 00:00:00,6.5,6.5,6.5,6.5,43,2017
81,2017-03-16 00:00:00,6.75,6.75,5.53,5.53,520,2017
82,2017-03-17 00:00:00,6.34,6.66,6.34,6.66,299,2017
83,2017-03-20 00:00:00,6.66,7.09,6.66,7.09,188,2017
84,2017-03-21 00:00:00,7.09,7.09,7.09,7.09,215,2017
85,2017-03-22 00:00:00,7.16,7.16,7.16,7.16,2,2017
86,2017-03-23 00:00:00,6.75,6.75,6.75,6.75,10,2017
87,2017-03-24 00:00:00,6.5,6.5,6.5,6.5,50,2017
88,2017-03-28 00:00:00,7.1,7.32,7.1,7.22,461,2017
89,2017-03-29 00:00:00,7.22,7.22,7.22,7.22,47,2017
90,2017-03-30 00:00:00,7.5,7.5,7.5,7.5,3,2017
91,2017-03-31 00:00:00,7.2,7.2,7.0,7.0,200,2017
92,2017-04-04 00:00:00,7.24,7.24,7.24,7.24,2,2017
93,2017-04-05 00:00:00,7.24,8.5,7.23,8.5,1056,2017
94,2017-04-06 00:00:00,7.9,9.34,7.9,9.03,1151,2017
95,2017-04-07 00:00:00,8.7,10.8,8.4,9.0,1211,2017
96,2017-04-10 00:00:00,8.9,8.92,8.4,8.92,6553,2017
97,2017-04-11 00:00:00,10.5,10.5,8.7,8.7,200,2017
98,2017-04-12 00:00:00,9.0,9.1,7.3,7.3,977,2017
99,2017-04-13 00:00:00,8.1,8.1,8.1,8.1,5,2017
100,2017-04-18 00:00:00,8.0,8.0,8.0,8.0,76,2017
101,2017-04-19 00:00:00,8.17,8.17,8.17,8.17,50,2017
102,2017-04-20 00:00:00,8.33,8.33,8.33,8.33,20,2017
103,2017-04-24 00:00:00,8.0,8.0,7.77,7.77,135,2017
104,2017-04-25 00:00:00,7.7,7.7,7.65,7.65,3050,2017
105,2017-04-28 00:00:00,7.6,7.6,7.35,7.35,58,2017
106,2017-05-04 00:00:00,7.4,7.4,7.35,7.35,165,2017
107,2017-05-10 00:00:00,7.35,7.35,6.6,6.6,265,2017
108,2017-05-11 00:00:00,6.7,6.7,6.4,6.4,360,2017
109,2017-05-18 00:00:00,6.45,6.45,6.45,6.45,15,2017
110,2017-05-24 00:00:00,6.45,7.0,5.4,5.4,1530,2017
111,2017-05-25 00:00:00,5.6,5.6,5.55,5.56,225,2017
112,2017-05-26 00:00:00,5.58,5.58,5.58,5.58,2,2017
113,2017-05-29 00:00:00,5.52,5.52,5.52,5.52,5,2017
114,2017-05-30 00:00:00,5.52,5.52,5.52,5.52,5,2017
115,2017-05-31 00:00:00,5.52,5.52,5.52,5.52,3,2017
116,2017-06-01 00:00:00,5.52,5.52,5.52,5.52,3,2017
117,2017-06-02 00:00:00,5.52,5.52,5.2,5.2,73,2017
118,2017-06-05 00:00:00,5.52,5.52,5.52,5.52,2,2017
119,2017-06-06 00:00:00,5.52,5.52,5.52,5.52,4,2017
120,2017-06-07 00:00:00,5.52,5.52,5.52,5.52,5,2017
121,2017-06-08 00:00:00,5.52,5.52,5.52,5.52,4,2017
122,2017-06-09 00:00:00,5.2,5.2,5.2,5.2,10,2017
123,2017-06-12 00:00:00,5.49,5.49,4.4,5.05,738,2017
124,2017-06-13 00:00:00,5.14,5.14,5.14,5.14,5,2017
125,2017-06-14 00:00:00,5.15,5.26,5.15,5.15,2110,2017
126,2017-06-21 00:00:00,5.14,5.14,5.14,5.14,3,2017
127,2017-06-22 00:00:00,5.14,5.14,4.9,4.9,215,2017
128,2017-06-23 00:00:00,4.9,4.9,4.8,4.8,115,2017
129,2017-06-28 00:00:00,4.7,4.7,4.0,4.4,313,2017
130,2017-06-29 00:00:00,4.4,4.4,4.3,4.3,269,2017
131,2017-07-03 00:00:00,4.3,4.4,4.3,4.4,100,2017
132,2017-07-06 00:00:00,4.4,4.4,4.0,4.0,306,2017
133,2017-07-10 00:00:00,4.15,4.19,4.15,4.19,102,2017
134,2017-07-11 00:00:00,4.25,4.25,4.25,4.25,5,2017
135,2017-07-12 00:00:00,4.25,4.25,4.25,4.25,5,2017
136,2017-07-13 00:00:00,4.25,4.25,4.25,4.25,5,2017
137,2017-07-14 00:00:00,4.25,4.25,4.25,4.25,5,2017
138,2017-07-17 00:00:00,4.25,4.5,4.0,4.19,510,2017
139,2017-07-18 00:00:00,4.19,4.19,4.19,4.19,200,2017
140,2017-07-19 00:00:00,4.0,4.0,4.0,4.0,250,2017
141,2017-07-20 00:00:00,3.8,3.8,3.8,3.8,440,2017
142,2017-07-21 00:00:00,3.8,3.8,3.8,3.8,5,2017
143,2017-07-24 00:00:00,3.8,3.8,3.15,3.3,761,2017
144,2017-07-25 00:00:00,3.3,3.3,3.15,3.22,1219,2017
145,2017-07-26 00:00:00,3.0,3.0,2.98,2.98,473,2017
146,2017-07-28 00:00:00,2.85,2.85,2.78,2.78,45,2017
147,2017-07-31 00:00:00,2.78,2.78,2.78,2.78,10,2017
148,2017-08-01 00:00:00,2.78,2.78,2.78,2.78,10,2017
149,2017-08-02 00:00:00,2.78,2.78,2.58,2.58,325,2017
150,2017-08-03 00:00:00,2.5,2.5,2.4,2.4,157,2017
151,2017-08-07 00:00:00,2.36,2.36,2.36,2.36,353,2017
152,2017-08-08 00:00:00,2.35,2.35,2.2,2.2,351,2017
153,2017-08-14 00:00:00,2.1,2.1,2.05,2.05,352,2017
