,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2012-08-07 00:00:00,2.0439,2.1497,1.6286,1.6286,282322,2012
1,2012-08-08 00:00:00,1.5227,1.6693,1.2866,1.2866,242523,2012
2,2012-08-09 00:00:00,1.083,1.8566,1.0667,1.8403,230299,2012
3,2012-08-10 00:00:00,1.6041,1.7426,1.5064,1.6286,121064,2012
4,2012-08-13 00:00:00,1.6204,1.6204,1.3761,1.4413,112296,2012
5,2012-08-14 00:00:00,1.5227,1.5227,1.1563,1.3843,190778,2012
6,2012-08-16 00:00:00,1.4331,1.4331,1.0586,1.0586,180363,2012
7,2012-08-17 00:00:00,1.1726,1.2051,1.026,1.2051,295346,2012
8,2012-08-20 00:00:00,1.197,1.197,1.083,1.1237,73806,2012
9,2012-08-21 00:00:00,1.1319,1.1807,1.0749,1.1807,42781,2012
10,2012-08-22 00:00:00,1.2214,1.2214,1.1156,1.1644,75181,2012
11,2012-08-23 00:00:00,1.1481,1.1481,0.9283,1.0341,35597,2012
12,2012-08-24 00:00:00,1.083,1.1319,0.9853,1.0993,8741,2012
13,2012-08-27 00:00:00,1.0586,1.0993,0.9283,1.0341,154381,2012
14,2012-08-28 00:00:00,1.0586,1.1156,1.0504,1.0667,40534,2012
15,2012-08-29 00:00:00,1.0586,1.0586,0.9283,1.0179,14080,2012
16,2012-08-30 00:00:00,1.026,1.0341,0.8631,0.8957,21124,2012
17,2012-08-31 00:00:00,0.8876,0.9690000000000001,0.8143,0.9690000000000001,6356,2012
18,2012-09-03 00:00:00,1.1156,1.2377,1.026,1.2377,23001,2012
19,2012-09-04 00:00:00,1.1726,1.6286,1.14,1.6286,13279,2012
20,2012-09-05 00:00:00,1.4169,1.6286,1.4169,1.4331,4715,2012
21,2012-09-06 00:00:00,1.3843,1.3843,1.2214,1.3029,21962,2012
22,2012-09-07 00:00:00,1.1807,1.2377,1.14,1.2296,25544,2012
23,2012-09-10 00:00:00,1.083,1.083,0.9853,1.0423,25102,2012
