,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2008-11-05 00:00:00,7.55,9.0,6.5,8.9,24080,2008
1,2008-11-06 00:00:00,8.3,8.3,7.05,7.05,1006,2008
2,2008-11-07 00:00:00,6.75,7.45,6.75,6.75,1203,2008
3,2008-11-10 00:00:00,7.35,7.35,7.35,7.35,10,2008
4,2008-11-12 00:00:00,6.65,7.35,6.65,7.35,56,2008
5,2008-11-13 00:00:00,7.35,7.35,6.25,6.4,1845,2008
6,2008-11-17 00:00:00,6.05,6.65,6.0,6.65,4385,2008
7,2008-11-18 00:00:00,6.55,6.55,6.55,6.55,2,2008
8,2008-11-19 00:00:00,6.55,6.55,6.55,6.55,2,2008
9,2008-11-20 00:00:00,5.55,5.55,5.5,5.5,660,2008
10,2008-11-24 00:00:00,5.75,8.3,5.75,8.25,2559,2008
11,2008-11-25 00:00:00,9.0,9.7,8.4,9.0,4213,2008
12,2008-11-26 00:00:00,9.0,9.0,7.5,8.5,203,2008
13,2008-11-27 00:00:00,8.3,10.75,8.3,9.5,4034,2008
14,2008-11-28 00:00:00,9.25,9.5,8.0,9.4,1302,2008
15,2008-12-01 00:00:00,9.25,9.4,9.0,9.0,1714,2008
16,2008-12-02 00:00:00,9.15,9.25,9.1,9.25,732,2008
17,2008-12-03 00:00:00,9.15,10.0,9.15,10.0,1730,2008
18,2008-12-04 00:00:00,10.05,10.05,10.0,10.0,1640,2008
19,2008-12-05 00:00:00,10.0,10.25,10.0,10.25,1402,2008
20,2008-12-08 00:00:00,10.25,10.25,10.25,10.25,2,2008
21,2008-12-09 00:00:00,10.2,10.2,10.0,10.0,110,2008
22,2008-12-10 00:00:00,10.0,10.0,10.0,10.0,2,2008
23,2008-12-11 00:00:00,10.0,10.0,10.0,10.0,4,2008
24,2008-12-12 00:00:00,10.0,10.0,10.0,10.0,2,2008
25,2008-12-15 00:00:00,9.95,9.95,9.95,9.95,4,2008
26,2008-12-16 00:00:00,9.95,9.95,9.95,9.95,6,2008
27,2008-12-17 00:00:00,9.95,9.95,9.55,9.55,22,2008
28,2008-12-18 00:00:00,9.5,9.5,9.5,9.5,2,2008
29,2008-12-19 00:00:00,9.5,9.5,9.5,9.5,2,2008
30,2008-12-22 00:00:00,9.5,10.4,9.05,10.4,482,2008
31,2008-12-23 00:00:00,10.4,10.4,10.4,10.4,1042,2008
32,2008-12-29 00:00:00,10.0,10.0,10.0,10.0,101,2008
33,2008-12-30 00:00:00,10.95,11.2,10.95,11.2,40,2008
34,2008-12-31 00:00:00,11.25,11.25,11.25,11.25,24,2008
35,2009-01-05 00:00:00,11.25,11.25,11.25,11.25,2,2009
36,2009-01-06 00:00:00,11.25,11.25,11.25,11.25,2,2009
37,2009-01-07 00:00:00,11.25,11.25,11.25,11.25,2,2009
38,2009-01-08 00:00:00,11.0,11.0,11.0,11.0,2,2009
39,2009-01-09 00:00:00,11.0,11.0,11.0,11.0,2,2009
40,2009-01-12 00:00:00,10.55,10.55,9.25,10.55,46,2009
41,2009-01-13 00:00:00,10.55,10.55,10.55,10.55,2,2009
42,2009-01-14 00:00:00,10.55,10.55,10.55,10.55,2,2009
43,2009-01-15 00:00:00,10.55,10.55,9.5,10.4,64,2009
44,2009-01-16 00:00:00,10.4,10.4,10.4,10.4,2,2009
45,2009-01-19 00:00:00,10.25,10.5,10.25,10.5,192,2009
46,2009-01-20 00:00:00,10.55,10.55,10.55,10.55,2,2009
47,2009-01-21 00:00:00,10.55,10.55,10.55,10.55,2,2009
48,2009-01-22 00:00:00,10.55,10.55,10.55,10.55,2,2009
49,2009-01-23 00:00:00,10.55,10.55,10.55,10.55,2,2009
50,2009-01-26 00:00:00,10.55,10.55,10.55,10.55,2,2009
51,2009-01-27 00:00:00,10.55,10.55,10.55,10.55,2,2009
52,2009-01-28 00:00:00,10.55,10.55,10.55,10.55,2,2009
53,2009-01-29 00:00:00,10.55,10.55,10.55,10.55,2,2009
54,2009-01-30 00:00:00,10.55,10.55,10.55,10.55,2,2009
55,2009-02-02 00:00:00,11.0,11.0,11.0,11.0,2,2009
56,2009-02-03 00:00:00,11.0,11.0,11.0,11.0,2,2009
57,2009-02-04 00:00:00,11.0,11.0,11.0,11.0,2,2009
58,2009-02-05 00:00:00,11.0,11.0,11.0,11.0,2,2009
59,2009-02-06 00:00:00,11.0,11.0,11.0,11.0,2,2009
60,2009-02-09 00:00:00,11.0,11.0,8.5,9.5,1389,2009
61,2009-02-10 00:00:00,7.8,9.5,7.8,8.5,102,2009
62,2009-02-11 00:00:00,7.9,8.5,7.9,8.5,2,2009
63,2009-02-12 00:00:00,7.9,7.9,7.9,7.9,0,2009
64,2009-02-13 00:00:00,8.25,8.9,8.25,8.9,60,2009
65,2009-02-17 00:00:00,7.8,7.8,7.75,7.75,2320,2009
66,2009-02-18 00:00:00,8.0,8.0,8.0,8.0,410,2009
67,2009-02-20 00:00:00,7.05,8.2,6.4,7.5,78,2009
68,2009-02-23 00:00:00,8.0,8.0,7.5,7.5,20,2009
69,2009-02-24 00:00:00,8.0,8.0,8.0,8.0,2,2009
70,2009-02-25 00:00:00,8.0,8.0,5.75,6.0,1264,2009
71,2009-02-27 00:00:00,5.0,6.0,5.0,6.0,540,2009
72,2009-03-02 00:00:00,4.75,5.5,4.75,5.5,535,2009
73,2009-03-06 00:00:00,6.0,6.5,6.0,6.0,150,2009
74,2009-03-09 00:00:00,5.0,5.0,5.0,5.0,500,2009
75,2009-03-10 00:00:00,5.0,5.0,5.0,5.0,60,2009
76,2009-03-11 00:00:00,5.0,5.5,5.0,5.5,510,2009
77,2009-03-12 00:00:00,5.0,5.0,5.0,5.0,506,2009
78,2009-03-13 00:00:00,5.5,6.5,5.5,6.25,1653,2009
79,2009-03-16 00:00:00,7.0,7.0,4.65,5.05,2748,2009
80,2009-03-17 00:00:00,5.3,5.3,4.5,5.0,2424,2009
81,2009-03-19 00:00:00,5.5,6.0,5.5,6.0,180,2009
82,2009-03-20 00:00:00,5.75,5.75,5.75,5.75,2,2009
83,2009-03-23 00:00:00,5.7,5.7,4.75,5.5,2742,2009
84,2009-03-24 00:00:00,4.8,4.8,4.8,4.8,220,2009
85,2009-03-25 00:00:00,4.85,5.0,4.55,4.55,2936,2009
86,2009-03-26 00:00:00,4.55,4.55,4.55,4.55,2,2009
87,2009-03-27 00:00:00,4.5,4.5,4.25,4.25,2104,2009
88,2009-03-30 00:00:00,4.25,4.25,4.25,4.25,4,2009
89,2009-03-31 00:00:00,4.3,5.6,4.3,5.0,2680,2009
90,2009-04-01 00:00:00,5.0,5.0,5.0,5.0,88,2009
91,2009-04-02 00:00:00,5.0,5.7,5.0,5.7,1601,2009
92,2009-04-03 00:00:00,5.5,5.5,5.5,5.5,2,2009
93,2009-04-06 00:00:00,5.5,5.5,5.5,5.5,378,2009
94,2009-04-07 00:00:00,5.5,5.5,5.5,5.5,10,2009
95,2009-04-08 00:00:00,5.5,5.5,4.75,5.2,171,2009
96,2009-04-09 00:00:00,5.5,5.75,5.5,5.7,927,2009
97,2009-04-14 00:00:00,5.75,5.75,5.75,5.75,2,2009
98,2009-04-15 00:00:00,5.75,5.75,5.75,5.75,2,2009
99,2009-04-16 00:00:00,5.75,5.75,5.25,5.25,1402,2009
100,2009-04-17 00:00:00,5.5,5.5,5.5,5.5,2,2009
101,2009-04-20 00:00:00,5.5,6.0,5.5,6.0,200,2009
102,2009-04-21 00:00:00,5.95,5.95,5.95,5.95,2,2009
103,2009-04-22 00:00:00,5.9,6.2,5.9,6.2,116,2009
104,2009-04-23 00:00:00,6.4,6.4,6.4,6.4,2,2009
105,2009-04-24 00:00:00,6.45,6.5,6.45,6.45,720,2009
106,2009-04-27 00:00:00,6.45,6.45,6.45,6.45,15,2009
107,2009-04-28 00:00:00,6.5,6.5,6.5,6.5,2,2009
108,2009-04-29 00:00:00,6.75,6.75,6.75,6.75,20,2009
109,2009-05-04 00:00:00,6.5,6.5,6.5,6.5,100,2009
110,2009-05-05 00:00:00,6.45,6.45,6.45,6.45,2,2009
111,2009-05-06 00:00:00,6.4,6.4,6.4,6.4,2,2009
112,2009-05-07 00:00:00,6.4,6.4,6.4,6.4,2,2009
113,2009-05-08 00:00:00,6.4,6.4,6.4,6.4,2,2009
114,2009-05-11 00:00:00,6.4,6.4,6.0,6.0,222,2009
115,2009-05-12 00:00:00,6.0,6.0,6.0,6.0,2,2009
116,2009-05-13 00:00:00,6.0,6.0,6.0,6.0,2,2009
117,2009-05-14 00:00:00,6.0,6.0,6.0,6.0,2,2009
118,2009-05-15 00:00:00,5.9,5.9,5.0,5.0,1136,2009
119,2009-05-20 00:00:00,4.75,4.75,4.5,4.65,570,2009
120,2009-05-21 00:00:00,4.65,4.7,4.65,4.7,4,2009
121,2009-05-25 00:00:00,4.6,4.6,4.6,4.6,4,2009
122,2009-05-26 00:00:00,4.55,4.55,4.55,4.55,111,2009
123,2009-05-29 00:00:00,4.95,5.0,4.95,5.0,223,2009
124,2009-06-01 00:00:00,5.0,6.35,5.0,6.35,620,2009
125,2009-06-02 00:00:00,6.35,6.35,5.1,5.1,28,2009
126,2009-06-03 00:00:00,5.15,5.15,5.15,5.15,2,2009
127,2009-06-04 00:00:00,5.25,5.25,5.25,5.25,2,2009
128,2009-06-05 00:00:00,5.95,5.95,5.95,5.95,0,2009
129,2009-06-08 00:00:00,6.0,7.1,5.0,5.0,880,2009
130,2009-06-09 00:00:00,5.1,5.1,5.1,5.1,2,2009
