,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-04-21 00:00:00,1.7080000000000002,2.0496,1.7080000000000002,2.0496,581188,2011
1,2011-04-26 00:00:00,2.9178,2.9178,2.9178,2.9178,108540,2011
2,2011-04-29 00:00:00,5.0314,5.4726,4.1632,4.4407,384243,2011
3,2011-05-02 00:00:00,4.2699,4.4479,3.2096,3.2096,140061,2011
4,2011-05-04 00:00:00,3.2807,4.4123,2.8609,4.3696,211596,2011
5,2011-05-05 00:00:00,4.398,4.7396,3.5227,3.5939,170772,2011
6,2011-05-06 00:00:00,3.5583,3.8999,3.0601,3.2736,82739,2011
7,2011-05-09 00:00:00,3.1313,3.2025,2.8609,3.0032,53654,2011
8,2011-05-10 00:00:00,3.0388,3.1598,2.7897,2.8609,70245,2011
9,2011-05-11 00:00:00,2.8466,3.0388,2.5975,2.6687,37486,2011
10,2011-05-12 00:00:00,2.6687,2.8324,2.4054,2.5477,42835,2011
11,2011-05-13 00:00:00,2.5264,2.5264,2.2773,2.3485,23632,2011
12,2011-05-16 00:00:00,2.2987,2.5477,2.0994,2.3058,52747,2011
13,2011-05-17 00:00:00,2.2204,2.3912,2.0780000000000003,2.1207,54736,2011
14,2011-05-18 00:00:00,2.0638,2.1136,1.8147,1.9215,51084,2011
15,2011-05-19 00:00:00,1.9926,2.6616,1.9499,2.4125,119442,2011
16,2011-05-20 00:00:00,2.5121,2.6189,2.1563,2.2275,55115,2011
17,2011-05-23 00:00:00,2.2275,2.2275,1.9571,1.9926,19908,2011
18,2011-05-24 00:00:00,1.9926,1.9926,1.8147,1.9499,24009,2011
19,2011-05-25 00:00:00,1.893,2.2773,1.893,2.0140000000000002,31644,2011
20,2011-05-26 00:00:00,2.0496,2.1706,2.0282,2.1421,11551,2011
21,2011-05-27 00:00:00,2.135,2.135,1.9926,2.0353,11364,2011
22,2011-05-30 00:00:00,2.0353,2.4196,2.0282,2.384,37987,2011
23,2011-05-31 00:00:00,2.4837,2.4837,2.1563,2.2631,27828,2011
24,2011-06-01 00:00:00,2.1634,2.2702,2.0638,2.2631,22554,2011
25,2011-06-02 00:00:00,2.1777,2.2987,2.0638,2.0994,20316,2011
26,2011-06-03 00:00:00,2.2346,2.2346,2.0567,2.1279,8380,2011
27,2011-06-06 00:00:00,2.1634,2.1634,1.9926,2.0638,34257,2011
28,2011-06-07 00:00:00,2.0994,2.1919,2.0994,2.0994,9075,2011
29,2011-06-08 00:00:00,2.1065,2.2204,2.1065,2.1634,18495,2011
30,2011-06-09 00:00:00,2.2133,2.2773,2.0069,2.0780000000000003,15472,2011
31,2011-06-10 00:00:00,2.0852,2.0852,1.8503,2.0069,7669,2011
32,2011-06-13 00:00:00,2.0069,2.384,2.0069,2.3129,34082,2011
33,2011-06-14 00:00:00,2.256,2.256,2.0069,2.0994,10929,2011
34,2011-06-15 00:00:00,2.0852,2.0852,1.9072,1.9072,24664,2011
35,2011-06-16 00:00:00,1.8645,1.8645,1.5656,1.8361,42793,2011
36,2011-06-17 00:00:00,1.6083,1.8076,1.5941,1.7649,12977,2011
37,2011-06-20 00:00:00,1.7222,1.7222,1.4375,1.5301,8411,2011
38,2011-06-21 00:00:00,1.6297,1.6297,1.5158,1.6012,4034,2011
39,2011-06-22 00:00:00,1.5941,1.6368,1.4304,1.5728,5489,2011
40,2011-06-24 00:00:00,1.4518,1.5656,1.4447,1.4447,4714,2011
41,2011-06-27 00:00:00,1.5585,1.5585,1.2667,1.3664,13714,2011
42,2011-06-28 00:00:00,1.3521,1.3521,1.16,1.281,14270,2011
43,2011-06-29 00:00:00,1.2667,1.2952,1.2027,1.281,10870,2011
44,2011-06-30 00:00:00,1.2881,1.3379,1.2098,1.281,5517,2011
45,2011-07-01 00:00:00,1.2952,1.5585,1.281,1.4233,38104,2011
46,2011-07-04 00:00:00,1.4589,1.5656,1.4233,1.5158,15382,2011
47,2011-07-05 00:00:00,1.5656,1.6439,1.5301,1.5301,11622,2011
48,2011-07-06 00:00:00,1.5443,1.5443,1.3877,1.5301,11142,2011
49,2011-07-07 00:00:00,1.5443,1.5443,1.3237,1.3237,6711,2011
50,2011-07-08 00:00:00,1.3166,1.4945,1.3166,1.3877,3374,2011
51,2011-07-11 00:00:00,1.3735,1.4162,1.3735,1.3806,881,2011
52,2011-07-12 00:00:00,1.3806,1.4589,1.3806,1.3877,12756,2011
53,2011-07-13 00:00:00,1.3806,1.3806,1.3166,1.3806,1876,2011
54,2011-07-14 00:00:00,1.345,1.4162,1.345,1.4091,4074,2011
55,2011-07-15 00:00:00,1.3877,1.3948,1.3237,1.3948,5649,2011
56,2011-07-18 00:00:00,1.3308,1.3806,1.3308,1.3806,423,2011
57,2011-07-19 00:00:00,1.3379,1.345,1.3166,1.345,4388,2011
58,2011-07-20 00:00:00,1.345,1.345,1.281,1.281,773,2011
59,2011-07-21 00:00:00,1.281,1.3379,1.224,1.224,6446,2011
60,2011-07-22 00:00:00,1.3166,1.3166,1.2454,1.2454,2573,2011
61,2011-07-25 00:00:00,1.2525,1.2525,1.2525,1.2525,2868,2011
62,2011-07-26 00:00:00,1.2169,1.2169,1.1387,1.2098,3399,2011
63,2011-07-27 00:00:00,1.1387,1.2596,1.1387,1.2596,679,2011
64,2011-07-28 00:00:00,1.1813,1.2454,1.1813,1.2454,374,2011
65,2011-07-29 00:00:00,1.2525,1.2525,1.1956,1.1956,2144,2011
66,2011-08-01 00:00:00,1.1956,1.1956,1.1387,1.1387,2860,2011
67,2011-08-02 00:00:00,1.1885,1.224,1.1885,1.224,4581,2011
68,2011-08-03 00:00:00,1.2454,1.2454,1.1742,1.1813,2198,2011
69,2011-08-04 00:00:00,1.1813,1.1813,1.0675,1.0675,4320,2011
70,2011-08-05 00:00:00,0.8540000000000001,1.0319,0.8540000000000001,1.0319,2616,2011
71,2011-08-08 00:00:00,0.9394,1.0106,0.9394,1.0106,5238,2011
72,2011-08-09 00:00:00,1.0034,1.0034,0.9394,0.9394,3122,2011
73,2011-08-10 00:00:00,0.8825,0.9394,0.8825,0.9394,4307,2011
74,2011-08-11 00:00:00,0.8753,0.9179999999999999,0.7828,0.9179999999999999,8140,2011
75,2011-08-12 00:00:00,0.9179999999999999,0.9179999999999999,0.8611,0.8896,7644,2011
76,2011-08-16 00:00:00,0.8611,0.8611,0.7544,0.7686,10640,2011
77,2011-08-17 00:00:00,0.7544,0.8469,0.7544,0.8184,11078,2011
78,2011-08-18 00:00:00,0.8255,0.8255,0.7971,0.7971,6139,2011
79,2011-08-19 00:00:00,0.7472,0.7615,0.6903,0.7615,8792,2011
80,2011-08-22 00:00:00,0.7472,0.7472,0.7117,0.7472,4616,2011
81,2011-08-23 00:00:00,0.7117,0.7117,0.7117,0.7117,281,2011
82,2011-08-24 00:00:00,0.7117,0.7117,0.5978,0.6761,19049,2011
83,2011-08-25 00:00:00,0.6405,0.6476,0.6405,0.6476,2345,2011
84,2011-08-26 00:00:00,0.6903,0.6903,0.6761,0.6761,211,2011
85,2011-08-29 00:00:00,0.6903,0.6903,0.6761,0.6832,1180,2011
86,2011-08-30 00:00:00,0.6832,0.6832,0.6832,0.6832,70,2011
87,2011-08-31 00:00:00,0.6903,0.6974,0.6903,0.6974,1498,2011
88,2011-09-01 00:00:00,0.6974,0.6974,0.5693,0.6761,13150,2011
89,2011-09-02 00:00:00,0.669,0.6761,0.6263,0.6761,281,2011
90,2011-09-05 00:00:00,0.6761,0.6761,0.6761,0.6761,309,2011
91,2011-09-06 00:00:00,0.6761,0.6761,0.6476,0.6476,3734,2011
92,2011-09-07 00:00:00,0.6761,0.6761,0.6405,0.6476,693,2011
93,2011-09-08 00:00:00,0.6476,0.6476,0.5693,0.6049,10610,2011
94,2011-09-09 00:00:00,0.6761,0.6761,0.5693,0.612,5220,2011
95,2011-09-12 00:00:00,0.6049,0.6049,0.6049,0.6049,422,2011
96,2011-09-13 00:00:00,0.5337,0.5836,0.5337,0.5836,357,2011
97,2011-09-14 00:00:00,0.6049,0.6049,0.5551,0.5551,947,2011
98,2011-09-15 00:00:00,0.5409,0.5409,0.5409,0.5409,195,2011
99,2011-09-16 00:00:00,0.5337,0.5836,0.5337,0.5836,10743,2011
100,2011-09-19 00:00:00,0.5479999999999999,0.5479999999999999,0.5409,0.5479999999999999,5483,2011
101,2011-09-20 00:00:00,0.5337,0.5622,0.5337,0.5622,2879,2011
102,2011-09-21 00:00:00,0.5337,0.5337,0.5337,0.5337,989,2011
103,2011-09-22 00:00:00,0.5337,0.5337,0.5337,0.5337,1589,2011
104,2011-09-23 00:00:00,0.5409,0.5551,0.5409,0.5409,464,2011
105,2011-09-26 00:00:00,0.5409,0.5409,0.4982,0.5409,2061,2011
106,2011-09-27 00:00:00,0.5622,0.5978,0.4982,0.5907,9385,2011
107,2011-09-28 00:00:00,0.5836,0.5836,0.5266,0.5479999999999999,5282,2011
108,2011-09-29 00:00:00,0.5836,0.6547,0.5622,0.6405,16863,2011
109,2011-09-30 00:00:00,0.6405,0.6405,0.5764,0.6049,2153,2011
110,2011-10-03 00:00:00,0.6263,0.6263,0.5479999999999999,0.5693,8439,2011
111,2011-10-04 00:00:00,0.5053,0.5551,0.5053,0.5551,292,2011
112,2011-10-05 00:00:00,0.5409,0.5764,0.5266,0.5764,7372,2011
113,2011-10-06 00:00:00,0.5479999999999999,0.5836,0.5479999999999999,0.5836,1471,2011
114,2011-10-07 00:00:00,0.5479999999999999,0.5764,0.5479999999999999,0.5764,565,2011
115,2011-10-10 00:00:00,0.6334,0.6334,0.5978,0.5978,2108,2011
116,2011-10-11 00:00:00,0.6334,0.6334,0.6049,0.6049,3592,2011
117,2011-10-12 00:00:00,0.6334,0.6334,0.5978,0.6191,2550,2011
118,2011-10-13 00:00:00,0.6191,0.6191,0.5693,0.5978,4564,2011
119,2011-10-14 00:00:00,0.5978,0.5978,0.5978,0.5978,70,2011
120,2011-10-17 00:00:00,0.5978,0.5978,0.5693,0.5693,385,2011
121,2011-10-18 00:00:00,0.5978,0.5978,0.5978,0.5978,70,2011
122,2011-10-19 00:00:00,0.5978,0.7472,0.5693,0.7472,82701,2011
123,2011-10-20 00:00:00,0.7472,0.8540000000000001,0.7472,0.7472,28854,2011
124,2011-10-21 00:00:00,0.7544,0.8825,0.6974,0.733,18273,2011
125,2011-10-24 00:00:00,0.8398,0.8398,0.6761,0.7117,16605,2011
126,2011-10-25 00:00:00,0.7117,0.7117,0.6832,0.6832,4603,2011
127,2011-10-26 00:00:00,0.6832,0.7045,0.6547,0.7045,15871,2011
128,2011-10-27 00:00:00,0.7117,0.733,0.6476,0.733,21215,2011
129,2011-10-28 00:00:00,0.7401,0.7757,0.7117,0.7117,6711,2011
130,2011-10-31 00:00:00,0.6832,0.7117,0.6832,0.7117,5883,2011
131,2011-11-02 00:00:00,0.7117,0.733,0.6761,0.733,9699,2011
132,2011-11-03 00:00:00,0.7401,0.7401,0.7117,0.7117,1785,2011
133,2011-11-04 00:00:00,0.6761,0.6761,0.6761,0.6761,8217,2011
134,2011-11-07 00:00:00,0.7117,0.7117,0.7117,0.7117,70,2011
135,2011-11-08 00:00:00,0.7117,0.7117,0.669,0.7045,10634,2011
136,2011-11-09 00:00:00,0.7117,0.7117,0.6618,0.6974,3119,2011
137,2011-11-10 00:00:00,0.6974,0.6974,0.669,0.669,913,2011
138,2011-11-14 00:00:00,0.6903,0.6903,0.6476,0.6476,5937,2011
139,2011-11-15 00:00:00,0.5836,0.6263,0.5836,0.6263,8740,2011
140,2011-11-16 00:00:00,0.6263,0.6263,0.5479999999999999,0.6191,19559,2011
141,2011-11-17 00:00:00,0.5551,0.5551,0.5479999999999999,0.5479999999999999,3198,2011
142,2011-11-18 00:00:00,0.5479999999999999,0.5479999999999999,0.5479999999999999,0.5479999999999999,1994,2011
143,2011-11-21 00:00:00,0.612,0.612,0.5479999999999999,0.5479999999999999,2681,2011
144,2011-11-22 00:00:00,0.612,0.6191,0.5409,0.6191,11611,2011
145,2011-11-23 00:00:00,0.6191,0.6191,0.6191,0.6191,56,2011
146,2011-11-24 00:00:00,0.6191,0.6191,0.6191,0.6191,56,2011
147,2011-11-25 00:00:00,0.6191,0.6191,0.5693,0.6191,8906,2011
148,2011-11-28 00:00:00,0.5337,0.6191,0.5337,0.6191,5465,2011
149,2011-11-29 00:00:00,0.5337,0.5693,0.5337,0.5337,5056,2011
150,2011-11-30 00:00:00,0.54,0.56,0.54,0.56,1041,2011
151,2011-12-01 00:00:00,0.5337,0.5693,0.5337,0.5693,86,2011
152,2011-12-02 00:00:00,0.5337,0.5693,0.5337,0.5337,592,2011
153,2011-12-05 00:00:00,0.5693,0.5693,0.5479999999999999,0.5693,101,2011
154,2011-12-06 00:00:00,0.5337,0.5409,0.5337,0.5409,6398,2011
155,2011-12-07 00:00:00,0.5409,0.5409,0.5409,0.5409,1223,2011
156,2011-12-08 00:00:00,0.5337,0.5409,0.5337,0.5409,773,2011
157,2011-12-09 00:00:00,0.5622,0.5622,0.5409,0.5409,225,2011
